CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
1805;71;49;0;1170;0;0 
1770;72;49;0;739;0;0 
1621;68;48;0;1094;0;0 
2782;70;49;0;2062;0;0 
2193;74;50;0;1450;0;0 
1231;69;50;0;591;0;0 
1836;75;49;0;1124;0;0 
2142;69;50;0;1207;0;0 
1811;72;50;0;1140;0;0 
1852;68;49;0;1234;0;0 
1807;69;49;0;1157;0;0 
5316;72;48;0;4541;0;0 
1712;71;49;0;1129;0;0 
3350;70;50;0;2865;0;0 
3446;68;49;0;2749;0;0 
1639;72;48;0;1063;0;0 
1569;73;49;0;905;0;0 
1864;74;49;0;1111;0;0 
2049;67;49;0;1396;0;0 
4275;67;48;0;3699;0;0 
2087;72;48;0;1253;0;0 
1967;74;49;0;1281;0;0 
1968;70;48;0;1342;0;0 
1768;68;49;0;1185;0;0 
1604;71;49;0;740;0;0 
1794;74;49;0;1047;0;0 
1776;69;50;0;1325;0;0 
2601;69;48;0;1751;0;0 
1912;74;49;0;994;0;0 
1576;70;49;0;789;0;0 
2018;74;50;0;1291;0;0 
2229;72;49;0;1451;0;0 
1638;72;48;0;1008;0;0 
2001;71;48;0;1007;0;0 
1770;74;49;0;1201;0;0 
4624;72;49;0;3337;0;0 
2072;72;49;0;1320;0;0 
1723;71;48;0;1082;0;0 
1393;67;49;0;848;0;0 
4796;72;49;0;3908;0;0 
2324;70;48;0;1675;0;0 
1910;74;48;0;1202;0;0 
1897;70;48;0;1245;0;0 
4210;69;50;0;3600;0;0 
2317;71;50;0;1561;0;0 
2429;72;49;0;1769;0;0 
2173;69;50;0;1586;0;0 
1886;72;48;0;1227;0;0 
1764;71;48;0;1302;0;0 
1339;72;48;0;610;0;0 
2739;66;49;0;1667;0;0 
1927;71;48;0;1353;0;0 
2019;70;49;0;1336;0;0 
1996;71;49;0;1419;0;0 
4643;69;49;0;3947;0;0 
1925;71;48;0;1091;0;0 
1800;71;49;0;1156;0;0 
3491;70;50;0;2293;0;0 
2022;71;48;0;1412;0;0 
1305;70;48;0;425;0;0 
1749;74;50;0;1166;0;0 
1825;71;48;0;1199;0;0 
2178;71;48;0;1612;0;0 
1787;71;49;0;1195;0;0 
1685;72;49;0;1088;0;0 
1772;72;48;0;1132;0;0 
2376;68;49;0;1133;0;0 
1839;74;50;0;1142;0;0 
2003;68;48;0;1487;0;0 
1675;69;49;0;1068;0;0 
4841;71;49;0;4189;0;0 
2202;69;49;0;1687;0;0 
1734;68;49;0;959;0;0 
2005;74;50;0;1272;0;0 
3476;70;49;0;2788;0;0 
1649;71;48;0;1077;0;0 
2158;74;49;0;1527;0;0 
1882;69;49;0;1378;0;0 
4235;71;50;0;3557;0;0 
1787;69;48;0;1021;0;0 
1653;69;49;0;1025;0;0 
1617;70;49;0;1019;0;0 
2113;72;49;0;1345;0;0 
2024;70;49;0;1298;0;0 
1703;71;49;0;1104;0;0 
1619;72;49;0;1075;0;0 
1852;71;49;0;1156;0;0 
3736;72;50;0;2897;0;0 
1903;69;49;0;1352;0;0 
1737;70;49;0;1087;0;0 
3945;72;49;0;3383;0;0 
2495;73;49;0;1796;0;0 
1769;74;49;0;1214;0;0 
1821;73;49;0;1175;0;0 
1624;70;48;0;1063;0;0 
2663;68;49;0;2007;0;0 
4047;70;48;0;1310;0;0 
4869;73;50;0;2087;0;0 
1596;70;49;0;1043;0;0 
2001;72;50;0;1321;0;0 
1648;74;49;0;900;0;0 
3653;70;49;0;2945;0;0 
2300;73;49;0;1438;0;0 
1718;67;48;0;1073;0;0 
5158;69;50;0;2625;0;0 
1747;68;50;0;1164;0;0 
2091;73;49;0;1118;0;0 
1728;68;51;0;1101;0;0 
1708;72;50;0;1067;0;0 
2055;71;49;0;1382;0;0 
4806;70;49;0;4074;0;0 
1871;71;49;0;1257;0;0 
6808;69;49;0;6087;0;0 
1853;67;49;0;1313;0;0 
1661;69;49;0;1100;0;0 
2054;75;48;0;1147;0;0 
3281;69;49;0;2416;0;0 
1866;68;49;0;1425;0;0 
1951;75;49;0;1323;0;0 
1671;69;50;0;1055;0;0 
3897;71;49;0;3227;0;0 
1897;70;49;0;1268;0;0 
1903;73;49;0;1165;0;0 
2452;74;48;0;1741;0;0 
1881;71;48;0;1149;0;0 
2769;74;49;0;933;0;0 
1563;70;50;0;933;0;0 
2090;68;48;0;1490;0;0 
3504;69;50;0;2923;0;0 
2129;71;49;0;1416;0;0 
1801;73;49;0;1157;0;0 
1819;74;48;0;1000;0;0 
4871;71;48;0;1383;0;0 
2115;73;49;0;1343;0;0 
1708;72;48;0;1146;0;0 
3497;70;49;0;2857;0;0 
1805;75;50;0;1139;0;0 
8348;72;49;0;6139;0;0 
1755;69;50;0;1190;0;0 
3855;69;49;0;3259;0;0 
3769;69;50;0;3122;0;0 
2099;73;49;0;1359;0;0 
3917;69;50;0;2593;0;0 
1958;70;49;0;1323;0;0 
1665;72;48;0;1081;0;0 
3652;72;49;0;2448;0;0 
4962;74;49;0;2460;0;0 
1851;67;50;0;1204;0;0 
1787;71;49;0;1223;0;0 
3069;69;50;0;2448;0;0 
2971;71;49;0;2427;0;0 
2887;74;48;0;2124;0;0 
1960;69;49;0;1375;0;0 
1957;69;48;0;1305;0;0 
4915;70;48;0;4362;0;0 
1629;69;48;0;1047;0;0 
4310;70;48;0;3670;0;0 
1522;68;49;0;893;0;0 
2349;74;50;0;1622;0;0 
2185;69;50;0;1674;0;0 
1687;70;48;0;1138;0;0 
1961;72;49;0;1412;0;0 
4216;69;49;0;3501;0;0 
4229;75;49;0;3631;0;0 
1981;70;49;0;1251;0;0 
2232;75;49;0;1403;0;0 
2074;74;49;0;1429;0;0 
2549;70;48;0;1677;0;0 
4181;72;49;0;1261;0;0 
2610;68;49;0;1850;0;0 
1845;74;49;0;1201;0;0 
1840;74;50;0;1123;0;0 
1875;70;49;0;1026;0;0 
1852;71;49;0;1159;0;0 
2593;69;48;0;1977;0;0 
1945;72;48;0;1212;0;0 
1668;70;50;0;975;0;0 
2750;70;49;0;2199;0;0 
1985;72;49;0;1283;0;0 
1804;69;49;0;1262;0;0 
3189;70;49;0;2453;0;0 
1809;70;48;0;1172;0;0 
1892;70;50;0;1253;0;0 
4607;69;49;0;3974;0;0 
1988;71;49;0;1329;0;0 
2162;74;49;0;1599;0;0 
2219;70;49;0;1456;0;0 
3814;71;48;0;2769;0;0 
2510;69;49;0;1967;0;0 
2336;69;48;0;1809;0;0 
1687;70;49;0;1097;0;0 
1960;70;49;0;1332;0;0 
2408;73;50;0;1492;0;0 
2061;74;49;0;1212;0;0 
1823;70;49;0;1262;0;0 
1886;73;49;0;1118;0;0 
1904;70;49;0;1231;0;0 
1986;68;49;0;1369;0;0 
1824;68;50;0;1097;0;0 
1823;75;49;0;1160;0;0 
4453;75;49;0;3861;0;0 
3603;70;48;0;2423;0;0 
4473;66;50;0;2901;0;0 
1852;70;50;0;1211;0;0 
2169;69;49;0;1567;0;0 
2020;71;49;0;1359;0;0 
2050;72;49;0;1475;0;0 
2661;69;49;0;1863;0;0 
1702;69;50;0;1023;0;0 
4772;71;49;0;3947;0;0 
1564;68;48;0;941;0;0 
2098;67;50;0;1427;0;0 
3305;74;48;0;2439;0;0 
1554;69;49;0;507;0;0 
1800;72;48;0;1101;0;0 
1827;69;49;0;1174;0;0 
2991;71;48;0;2435;0;0 
1684;72;49;0;997;0;0 
1769;71;48;0;1209;0;0 
2056;69;50;0;1422;0;0 
2055;75;49;0;1324;0;0 
2138;69;49;0;1503;0;0 
1723;70;49;0;1119;0;0 
1646;69;49;0;1143;0;0 
1793;70;48;0;1196;0;0 
1276;72;49;0;711;0;0 
4327;69;48;0;3716;0;0 
2693;73;50;0;2072;0;0 
1598;71;48;0;1011;0;0 
1721;69;49;0;1109;0;0 
1755;70;49;0;1123;0;0 
1770;69;50;0;1125;0;0 
4356;75;49;0;3695;0;0 
3565;70;49;0;2896;0;0 
3340;66;49;0;1249;0;0 
1745;69;49;0;1130;0;0 
1721;70;49;0;1048;0;0 
1976;69;50;0;1365;0;0 
4104;72;50;0;3204;0;0 
1616;70;49;0;1052;0;0 
1809;71;50;0;1065;0;0 
1928;70;49;0;1280;0;0 
2352;72;48;0;1560;0;0 
1686;68;50;0;1153;0;0 
4792;70;48;0;4243;0;0 
1866;68;49;0;1087;0;0 
1723;70;48;0;1052;0;0 
2415;69;50;0;1598;0;0 
3947;67;49;0;2807;0;0 
1833;72;48;0;1112;0;0 
1629;69;50;0;1068;0;0 
1626;72;48;0;1049;0;0 
4355;74;49;0;3194;0;0 
1595;70;48;0;884;0;0 
2817;72;49;0;2142;0;0 
1822;69;49;0;1205;0;0 
1643;71;49;0;1003;0;0 
1964;73;49;0;1268;0;0 
5118;70;50;0;4433;0;0 
1886;71;49;0;1215;0;0 
1904;70;49;0;1270;0;0 
1949;70;49;0;1334;0;0 
8311;71;49;0;4432;0;0 
2349;75;49;0;1580;0;0 
1675;69;49;0;1064;0;0 
2083;68;49;0;1437;0;0 
2489;69;49;0;1862;0;0 
1929;70;49;0;1133;0;0 
1704;68;49;0;1159;0;0 
4926;70;49;0;4215;0;0 
2145;68;49;0;1478;0;0 
1620;71;49;0;981;0;0 
1790;70;49;0;1214;0;0 
2314;72;48;0;1586;0;0 
1841;70;48;0;1275;0;0 
1209;72;49;0;591;0;0 
2178;70;48;0;1454;0;0 
1866;69;49;0;1243;0;0 
1867;70;49;0;1248;0;0 
2036;67;49;0;1383;0;0 
2234;75;49;0;1501;0;0 
2948;70;50;0;2338;0;0 
1959;74;49;0;1227;0;0 
2080;70;49;0;1111;0;0 
1886;69;49;0;1244;0;0 
2012;70;48;0;1316;0;0 
1810;74;48;0;1145;0;0 
3993;67;50;0;3134;0;0 
1666;70;50;0;1093;0;0 
1714;69;50;0;1157;0;0 
3970;69;49;0;996;0;0 
1832;72;49;0;1244;0;0 
2119;71;48;0;1262;0;0 
1715;70;48;0;1080;0;0 
1958;70;50;0;1230;0;0 
1877;68;49;0;1067;0;0 
4078;70;48;0;3281;0;0 
1854;70;48;0;1231;0;0 
1906;72;49;0;1279;0;0 
1786;73;49;0;1171;0;0 
1969;68;50;0;1327;0;0 
1548;71;48;0;925;0;0 
1738;69;50;0;1035;0;0 
1640;69;49;0;827;0;0 
1698;69;49;0;1068;0;0 
4337;72;48;0;3473;0;0 
1942;70;49;0;1328;0;0 
4068;70;48;0;3495;0;0 
4821;74;49;0;3979;0;0 
1840;70;49;0;1230;0;0 
4078;67;48;0;3628;0;0 
2091;66;48;0;1428;0;0 
1648;66;49;0;1033;0;0 
3975;72;49;0;3185;0;0 
4398;75;49;0;2139;0;0 
4547;68;49;0;2229;0;0 
3714;70;48;0;3132;0;0 
2502;70;49;0;1507;0;0 
3755;72;50;0;2295;0;0 
1906;72;50;0;1215;0;0 
2078;70;49;0;1340;0;0 
1860;68;49;0;1233;0;0 
1888;73;50;0;1223;0;0 
4353;72;49;0;2957;0;0 
1752;70;50;0;1176;0;0 
2189;69;49;0;1570;0;0 
2460;71;48;0;1907;0;0 
1852;71;49;0;1294;0;0 
1719;68;48;0;1176;0;0 
1854;68;50;0;1256;0;0 
2242;70;49;0;1600;0;0 
3962;73;49;0;3105;0;0 
2183;70;49;0;1466;0;0 
1670;70;49;0;1000;0;0 
1936;70;48;0;1286;0;0 
4517;69;49;0;3916;0;0 
1968;73;49;0;1108;0;0 
2168;69;49;0;1469;0;0 
4593;75;49;0;3686;0;0 
2424;72;50;0;1912;0;0 
1622;70;49;0;1023;0;0 
4223;70;48;0;2955;0;0 
5619;69;48;0;4812;0;0 
1733;73;50;0;1132;0;0 
1756;73;50;0;1187;0;0 
2117;75;49;0;1289;0;0 
3882;75;50;0;3209;0;0 
1776;72;49;0;1117;0;0 
2113;73;49;0;1356;0;0 
1908;73;48;0;1342;0;0 
1753;71;48;0;1197;0;0 
1910;67;50;0;905;0;0 
1727;72;49;0;1173;0;0 
2031;72;48;0;1449;0;0 
4286;69;49;0;3566;0;0 
3590;72;50;0;2965;0;0 
2025;69;50;0;1335;0;0 
1739;71;49;0;1186;0;0 
1948;70;48;0;1329;0;0 
1909;69;48;0;1368;0;0 
1795;67;49;0;1137;0;0 
4619;68;49;0;2686;0;0 
2154;70;48;0;1526;0;0 
4003;73;49;0;3036;0;0 
1784;72;48;0;1160;0;0 
1927;73;49;0;1363;0;0 
2112;68;49;0;1526;0;0 
1889;72;49;0;1088;0;0 
1711;71;49;0;1060;0;0 
1926;74;49;0;1184;0;0 
2072;71;48;0;1336;0;0 
1834;70;48;0;1190;0;0 
1866;72;49;0;1200;0;0 
4927;75;49;0;4212;0;0 
4861;72;48;0;4150;0;0 
1778;70;49;0;1225;0;0 
2861;70;49;0;2247;0;0 
2209;71;48;0;1469;0;0 
1326;75;49;0;705;0;0 
1787;74;48;0;1120;0;0 
2779;72;49;0;1922;0;0 
1720;69;49;0;1108;0;0 
1628;68;49;0;1002;0;0 
3446;72;49;0;2879;0;0 
2781;70;50;0;2055;0;0 
1876;68;49;0;1281;0;0 
2021;72;50;0;1317;0;0 
1914;70;49;0;1203;0;0 
4746;72;50;0;3821;0;0 
1817;71;48;0;1267;0;0 
1948;73;50;0;1202;0;0 
1882;69;49;0;1150;0;0 
1963;69;49;0;1319;0;0 
2259;75;49;0;1555;0;0 
1906;72;48;0;1316;0;0 
1869;71;48;0;1244;0;0 
1846;70;49;0;1213;0;0 
2898;75;49;0;2055;0;0 
4267;69;49;0;941;0;0 
2330;75;49;0;1550;0;0 
3343;71;49;0;2597;0;0 
1535;69;50;0;675;0;0 
3789;71;48;0;3178;0;0 
1661;68;49;0;1120;0;0 
4655;73;50;0;1192;0;0 
2219;76;49;0;1463;0;0 
2051;67;49;0;1486;0;0 
4007;73;48;0;3339;0;0 
1968;73;49;0;1184;0;0 
4137;74;49;0;3495;0;0 
2643;74;49;0;1787;0;0 
1579;75;49;0;911;0;0 
4590;69;50;0;3411;0;0 
6751;73;49;0;4443;0;0 
4502;70;49;0;2277;0;0 
1712;69;48;0;1041;0;0 
2708;75;49;0;2059;0;0 
1650;69;50;0;1031;0;0 
1971;70;49;0;1339;0;0 
4909;73;49;0;4164;0;0 
1730;74;50;0;1123;0;0 
1903;73;49;0;1246;0;0 
4103;71;49;0;3352;0;0 
3744;71;49;0;3133;0;0 
4604;70;50;0;2234;0;0 
1949;71;49;0;1272;0;0 
3323;69;49;0;2753;0;0 
1855;72;50;0;1265;0;0 
2016;76;49;0;963;0;0 
1794;71;49;0;1145;0;0 
2020;70;48;0;1307;0;0 
1655;67;49;0;1122;0;0 
1810;74;49;0;1163;0;0 
1885;72;49;0;1263;0;0 
1896;68;49;0;1315;0;0 
1950;69;50;0;1206;0;0 
1848;70;49;0;1299;0;0 
1653;70;49;0;1033;0;0 
2972;76;50;0;2127;0;0 
1688;72;48;0;1122;0;0 
1592;68;49;0;1031;0;0 
1894;73;49;0;1207;0;0 
1933;70;48;0;1315;0;0 
1715;69;50;0;1162;0;0 
2129;76;49;0;1456;0;0 
1840;75;48;0;1255;0;0 
1729;72;48;0;1076;0;0 
1594;68;49;0;1048;0;0 
3216;69;50;0;871;0;0 
1586;69;50;0;1010;0;0 
4946;73;50;0;4336;0;0 
2104;72;50;0;1429;0;0 
1722;71;50;0;1096;0;0 
1970;72;49;0;919;0;0 
2004;69;49;0;1459;0;0 
1763;69;49;0;1144;0;0 
3957;70;49;0;3447;0;0 
1986;75;50;0;1012;0;0 
2207;72;48;0;1540;0;0 
2013;70;50;0;1305;0;0 
1598;70;49;0;1014;0;0 
2147;69;48;0;1314;0;0 
1754;68;50;0;1074;0;0 
1926;68;49;0;1320;0;0 
2273;71;49;0;1541;0;0 
1725;69;48;0;809;0;0 
1613;69;50;0;1038;0;0 
1653;71;48;0;1095;0;0 
2263;71;48;0;1597;0;0 
2087;67;50;0;1426;0;0 
4775;73;49;0;3351;0;0 
2375;72;50;0;1640;0;0 
2561;72;50;0;1745;0;0 
1999;74;49;0;1300;0;0 
