CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
1477;142;28;288;0;1;0 
3220;142;28;288;0;1;0 
1873;142;28;288;0;1;0 
4849;142;28;288;0;1;0 
1627;142;28;288;0;1;0 
1746;142;28;289;0;1;0 
4067;142;28;289;0;1;0 
4217;142;28;288;0;1;0 
1831;142;28;289;0;1;0 
1908;142;28;289;0;1;0 
2043;142;28;289;0;1;0 
3729;142;28;288;0;1;0 
1922;142;28;289;0;1;0 
1731;142;28;288;0;1;0 
2152;142;28;289;0;1;0 
4267;142;28;288;0;1;0 
3244;142;28;289;0;1;0 
1676;142;28;287;0;1;0 
2065;142;28;289;0;1;0 
4437;142;28;288;0;1;0 
2221;142;28;289;0;1;0 
4812;142;28;288;0;1;0 
3292;142;28;289;0;1;0 
3744;142;28;289;0;1;0 
4254;142;28;288;0;1;0 
1924;142;28;288;0;1;0 
1477;142;28;290;0;1;0 
1500;142;28;288;0;1;0 
1858;142;28;289;0;1;0 
2169;142;28;289;0;1;0 
1927;142;28;288;0;1;0 
1874;142;28;288;0;1;0 
1880;142;28;287;0;1;0 
3928;142;28;288;0;1;0 
1686;142;28;288;0;1;0 
4861;142;28;289;0;1;0 
2356;142;28;289;0;1;0 
2017;142;28;287;0;1;0 
2101;142;28;288;0;1;0 
1411;142;28;289;0;1;0 
1788;142;28;289;0;1;0 
2228;142;28;289;0;1;0 
4368;142;28;289;0;1;0 
2187;142;28;288;0;1;0 
1861;142;28;289;0;1;0 
1782;142;28;289;0;1;0 
3294;142;28;288;0;1;0 
1921;142;28;288;0;1;0 
1899;142;28;288;0;1;0 
2927;142;28;289;0;1;0 
3224;142;28;290;0;1;0 
2792;142;28;288;0;1;0 
2290;142;28;288;0;1;0 
5091;142;28;288;0;1;0 
1594;142;28;288;0;1;0 
2041;142;28;288;0;1;0 
2243;142;28;288;0;1;0 
1848;142;28;289;0;1;0 
2043;142;28;289;0;1;0 
3081;142;28;288;0;1;0 
4998;142;28;287;0;1;0 
5297;142;28;287;0;1;0 
2025;142;28;289;0;1;0 
7294;142;28;289;0;1;0 
1950;142;28;289;0;1;0 
1754;142;28;288;0;1;0 
3803;142;28;287;0;1;0 
1819;142;28;288;0;1;0 
1807;142;28;288;0;1;0 
2220;142;28;288;0;1;0 
3080;142;28;288;0;1;0 
1710;142;28;287;0;1;0 
1764;142;28;288;0;1;0 
2149;142;28;289;0;1;0 
1975;142;28;288;0;1;0 
2013;142;28;287;0;1;0 
1978;142;28;287;0;1;0 
2507;142;28;288;0;1;0 
2294;142;28;288;0;1;0 
4946;142;28;288;0;1;0 
1889;142;28;288;0;1;0 
2050;142;28;289;0;1;0 
3029;142;28;289;0;1;0 
4291;142;28;288;0;1;0 
1886;142;28;289;0;1;0 
1718;142;28;287;0;1;0 
2020;142;28;287;0;1;0 
1641;142;28;288;0;1;0 
2439;142;28;288;0;1;0 
2037;142;28;288;0;1;0 
1816;142;28;288;0;1;0 
2142;142;28;287;0;1;0 
1873;142;28;289;0;1;0 
1734;142;28;289;0;1;0 
1874;142;28;288;0;1;0 
1906;142;28;288;0;1;0 
4922;142;28;288;0;1;0 
1794;142;28;289;0;1;0 
3776;142;28;288;0;1;0 
4297;142;28;289;0;1;0 
1920;142;28;288;0;1;0 
3707;142;28;288;0;1;0 
