CYCLES;0x12;0x13;0x14;0x15;0x16;0x17
2245;42;171;262;9;28;14 
4149;42;171;300;9;30;10 
3250;42;171;331;10;28;8 
2460;42;171;289;9;30;12 
1834;42;171;296;10;28;9 
1402;42;172;292;9;27;9 
1748;42;172;278;10;32;10 
1904;42;171;279;9;28;11 
4374;42;171;277;10;34;13 
2558;42;172;336;10;29;10 
1758;42;171;274;9;25;11 
1744;42;171;280;9;29;12 
1745;42;172;293;9;29;10 
1868;42;171;268;10;32;12 
1812;42;170;284;10;33;12 
1302;42;171;271;9;27;7 
1941;42;172;285;9;31;10 
4969;42;172;282;11;33;12 
2005;42;170;272;9;31;13 
1764;42;171;258;9;29;10 
4359;42;171;328;9;28;10 
3353;42;171;322;10;31;13 
4647;42;172;275;9;26;12 
1648;42;171;332;10;31;10 
2027;42;171;240;9;29;9 
4540;42;171;282;9;30;10 
2135;42;171;285;9;31;12 
2226;42;172;291;9;28;11 
2015;42;171;268;9;31;13 
4557;42;171;290;9;28;12 
2081;42;172;335;9;28;11 
2055;42;171;289;9;30;11 
2137;42;171;272;9;32;14 
1649;42;171;276;9;31;10 
1609;42;171;341;10;32;9 
2119;42;170;261;9;28;11 
2839;42;172;267;10;33;13 
1739;42;171;298;9;31;13 
2162;42;172;300;9;27;10 
1707;42;172;267;9;31;11 
2255;42;171;263;9;32;12 
2180;42;171;306;9;26;10 
1655;42;171;282;9;29;11 
2298;42;171;275;9;30;11 
2158;42;171;268;10;30;9 
1693;42;172;321;9;29;11 
1876;42;171;279;10;33;12 
2284;42;171;282;9;30;10 
1959;42;171;255;9;28;11 
1955;42;171;295;9;33;13 
2094;42;171;282;9;29;11 
4288;42;172;284;10;30;8 
2682;42;171;265;10;29;12 
1661;42;172;274;10;30;7 
1545;42;171;275;9;28;10 
2320;42;171;297;9;29;14 
1721;42;171;293;9;30;13 
1898;42;172;278;9;28;10 
1973;42;171;269;10;31;11 
1796;42;170;293;9;29;12 
4414;42;171;286;9;28;13 
2901;42;172;247;9;29;10 
2321;42;171;310;9;29;12 
2259;42;171;279;9;30;12 
3174;42;172;282;11;32;12 
2452;42;171;242;9;30;10 
2044;42;171;310;9;31;13 
1896;42;171;285;9;29;10 
1799;42;171;279;10;30;11 
1782;42;172;270;9;28;10 
3275;42;172;328;10;31;10 
1980;42;171;291;9;30;10 
1859;42;172;323;9;29;11 
1998;42;171;296;9;28;11 
1641;42;171;277;9;29;11 
4976;42;171;277;9;32;13 
1737;42;172;249;9;28;9 
2014;42;171;294;9;28;10 
5424;42;170;262;9;31;13 
1890;42;171;306;9;30;13 
1800;42;172;271;9;29;9 
1706;42;172;334;10;31;7 
1748;42;170;272;9;28;12 
1694;42;171;334;9;28;11 
1823;42;171;287;10;30;11 
2078;42;172;305;9;28;10 
4182;42;171;275;10;32;13 
4034;42;172;272;9;29;10 
3389;42;171;345;9;28;10 
1975;42;171;275;9;31;11 
2074;42;171;301;9;30;13 
2017;42;172;280;9;31;12 
1784;42;171;240;9;31;12 
1737;42;172;283;9;31;12 
1812;42;172;267;9;29;13 
2150;42;172;268;9;31;12 
1667;42;170;278;9;31;11 
1810;42;171;279;10;32;13 
1535;42;172;286;9;31;9 
1596;42;171;288;9;30;9 
1986;42;171;267;9;27;12 
1963;42;171;288;9;32;12 
3326;42;171;284;9;32;12 
2387;42;172;277;9;31;12 
1860;42;171;289;9;31;11 
3730;42;170;268;10;32;12 
1855;42;171;323;9;31;11 
1776;42;172;329;9;28;10 
2014;42;172;280;9;29;13 
1937;42;171;310;10;33;12 
1827;42;172;289;9;30;11 
1972;42;171;305;9;30;12 
2158;42;171;284;10;29;10 
1852;42;171;267;10;32;13 
1875;42;172;306;9;29;11 
1882;42;172;300;9;30;11 
4373;42;171;291;9;30;9 
1772;42;172;269;10;31;12 
4208;42;171;292;10;30;12 
2210;42;171;301;9;30;12 
2564;42;171;270;10;30;11 
4539;42;171;261;9;31;12 
3928;42;172;273;10;32;12 
1594;42;171;230;9;31;11 
4421;42;171;319;9;32;10 
3473;42;171;266;10;29;11 
1845;42;173;323;9;29;7 
1922;42;171;292;9;26;10 
1850;42;171;302;9;31;11 
3434;42;170;281;10;34;13 
3892;42;171;277;9;29;13 
2086;42;171;291;9;28;11 
1892;42;171;348;9;29;10 
1871;42;171;270;10;31;11 
4549;42;171;271;9;32;13 
4133;42;172;320;10;30;7 
3780;42;171;259;9;31;9 
1827;42;170;330;9;30;11 
2058;42;172;266;9;31;11 
1760;42;172;285;9;29;12 
2123;42;172;295;9;31;12 
1965;42;172;270;9;30;11 
1809;42;173;311;9;28;11 
2244;42;172;289;9;29;12 
1847;42;171;284;10;32;13 
1903;42;171;287;9;29;12 
2055;42;171;305;9;30;11 
1775;42;171;272;9;30;11 
1710;42;172;274;9;30;10 
2132;42;171;290;10;31;11 
4635;42;171;283;9;30;13 
1931;42;171;262;9;30;13 
2148;42;171;281;10;29;11 
3435;42;172;286;9;30;12 
1865;42;171;300;9;27;11 
1442;42;171;332;9;30;9 
1893;42;171;254;9;28;11 
2138;42;171;342;10;30;11 
3355;42;171;272;9;32;9 
1678;42;171;289;10;33;10 
5075;42;171;273;9;30;11 
2396;42;171;347;10;31;11 
8064;42;171;282;10;34;14 
1818;42;171;293;10;30;10 
2008;42;171;244;9;31;13 
1784;42;172;296;10;30;11 
1841;42;172;274;9;29;12 
3640;42;171;297;10;31;12 
1790;42;171;274;9;29;10 
1662;42;171;281;9;28;10 
1493;42;172;275;9;29;11 
2097;42;172;284;9;29;11 
1047;42;170;302;10;33;6 
1860;42;171;299;9;28;10 
3016;42;172;283;9;30;11 
2060;42;171;255;10;32;11 
1937;42;172;314;10;30;11 
1969;42;171;298;11;32;11 
1974;42;172;288;10;33;11 
1857;42;171;294;10;30;13 
4721;42;171;288;9;29;12 
1674;42;172;272;10;32;12 
1826;42;171;262;9;30;10 
1845;42;171;335;9;29;11 
1711;42;171;339;9;31;11 
1903;42;171;296;9;32;12 
3784;42;171;251;11;34;12 
1829;42;171;297;9;33;13 
2247;42;170;304;9;33;15 
3433;42;172;270;9;30;11 
8513;42;171;265;9;32;13 
2739;42;172;275;9;28;10 
1953;42;171;296;9;30;10 
2160;42;171;334;9;30;10 
1960;42;171;262;10;30;11 
1756;42;171;285;9;28;10 
2239;42;171;278;9;30;12 
2102;42;171;296;9;30;12 
1786;42;171;255;9;28;9 
1824;42;172;340;9;31;11 
1947;42;171;289;9;26;9 
2221;42;172;270;9;31;12 
1054;42;171;272;9;29;7 
1908;42;171;308;9;29;11 
2034;42;173;325;10;32;11 
1992;42;171;295;9;32;12 
4907;42;171;269;9;31;15 
1845;42;171;298;9;29;11 
4764;42;171;278;9;29;11 
1757;42;171;297;9;30;10 
1535;42;172;302;10;31;10 
1860;42;172;298;10;31;9 
2063;42;171;264;9;30;10 
4566;42;172;276;10;31;13 
2937;42;172;276;10;29;7 
1751;42;172;274;10;27;11 
1790;42;172;295;9;28;12 
1914;42;172;287;9;31;10 
3861;42;171;284;9;28;11 
1513;42;172;270;10;30;9 
1719;42;172;271;9;28;10 
3469;42;172;278;9;26;11 
4274;42;171;291;9;29;13 
2080;42;171;277;10;29;12 
1570;42;171;266;9;30;9 
1978;42;172;284;9;31;11 
1428;42;172;270;9;30;8 
3471;42;171;289;9;31;13 
1595;42;171;341;9;29;9 
2338;42;171;292;9;28;13 
1871;42;172;269;10;31;13 
1777;42;170;259;9;27;11 
3581;42;172;285;9;29;13 
2104;42;171;344;10;28;10 
1919;42;172;298;9;30;10 
1664;42;172;261;10;28;11 
1566;42;171;272;9;29;10 
2562;42;171;295;10;34;13 
1815;42;171;232;9;28;11 
4329;42;172;326;9;28;8 
1623;42;170;235;9;30;11 
1864;42;171;286;9;29;10 
8308;42;171;253;9;31;13 
1899;42;172;324;9;27;10 
2140;42;171;272;9;28;12 
2031;42;171;273;10;33;13 
1948;42;172;253;9;29;11 
1726;42;171;262;10;31;11 
2241;42;172;314;10;29;11 
1728;42;172;246;10;32;11 
2214;42;172;292;9;30;11 
1809;42;171;333;9;30;12 
1335;42;171;330;9;28;7 
2338;42;171;304;9;28;11 
2133;42;172;286;9;27;11 
1825;42;171;353;9;30;11 
1843;42;172;311;10;32;11 
4363;42;172;297;9;31;12 
1665;42;171;333;9;30;9 
1513;42;171;329;9;29;9 
1871;42;171;283;9;31;10 
3913;42;171;255;9;31;12 
1743;42;170;234;10;32;11 
1583;42;171;280;9;28;9 
2042;42;171;296;9;29;12 
6269;42;171;274;9;29;13 
1767;42;171;312;11;34;13 
1892;42;171;348;9;26;11 
2149;42;172;277;9;28;10 
2115;42;171;282;10;30;13 
4030;42;172;271;10;31;14 
3953;42;171;283;10;33;10 
1764;42;172;304;9;28;11 
1955;42;171;293;9;33;12 
2983;42;171;347;9;30;11 
1968;42;171;278;9;31;12 
1867;42;172;294;9;31;13 
1336;42;171;292;9;29;9 
2271;42;172;282;9;28;11 
1799;42;172;297;9;27;10 
6193;42;170;285;9;29;14 
1597;42;170;284;9;28;10 
4483;42;171;272;10;32;11 
2002;42;171;265;10;29;10 
2176;42;172;270;10;30;13 
2575;42;172;326;10;33;13 
1846;42;171;306;9;31;12 
2190;42;173;295;9;30;11 
1632;42;171;319;9;27;12 
4233;42;171;301;9;29;14 
1926;42;171;295;10;31;12 
1734;42;172;273;9;30;10 
1784;42;172;281;9;28;9 
2160;42;171;280;9;29;12 
2284;42;171;293;9;27;11 
1823;42;171;290;9;31;11 
1780;42;172;284;9;26;11 
2298;42;172;265;10;31;12 
1967;42;171;350;10;32;13 
3735;42;171;296;9;30;9 
1832;42;172;272;9;29;11 
2960;42;171;315;10;31;8 
1640;42;170;265;9;30;10 
3036;42;171;282;9;32;12 
1801;42;171;263;9;31;11 
3014;42;171;240;9;28;5 
1880;42;172;305;9;29;10 
1850;42;171;287;9;32;12 
1830;42;171;285;9;29;10 
1866;42;171;298;9;30;12 
1825;42;172;340;9;26;11 
2159;42;171;339;9;27;10 
2306;42;172;332;9;28;10 
1983;42;171;254;10;33;12 
