CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
1748;12;1;0;0;18;0 
1818;0;1;0;0;21;0 
2767;0;1;0;0;21;0 
2343;40;1;0;0;20;0 
1606;4;1;0;0;21;0 
2321;0;1;0;0;22;0 
4269;12;1;0;0;22;0 
3723;4;1;0;0;22;0 
2092;16;1;0;0;23;0 
1872;4;1;0;0;19;0 
1933;8;1;0;0;21;0 
1816;16;1;0;0;20;0 
2094;8;1;0;0;20;0 
2024;0;1;0;0;23;0 
4226;12;1;0;0;17;0 
1772;4;1;0;0;24;0 
1917;12;1;0;0;21;0 
1880;8;1;0;0;20;0 
1890;4;1;0;0;22;0 
1846;16;1;0;0;22;0 
1742;12;1;0;0;21;0 
1615;4;1;0;0;21;0 
1825;8;1;0;0;21;0 
3915;0;1;0;0;21;0 
3729;12;1;0;0;22;0 
2042;0;1;0;0;22;0 
2222;8;1;0;0;19;0 
2077;4;1;0;0;21;0 
2063;24;1;0;0;22;0 
2173;8;1;0;0;20;0 
5550;32;1;0;0;22;0 
1862;8;1;0;0;22;0 
1806;12;1;0;0;22;0 
1837;20;1;0;0;19;0 
1970;4;1;0;0;19;0 
2891;4;1;0;0;25;0 
2107;16;1;0;0;19;0 
4589;4;1;0;0;22;0 
1552;8;1;0;0;21;0 
4370;4;1;0;0;17;0 
1997;12;1;0;0;22;0 
3185;20;1;0;0;20;0 
1985;8;1;0;0;21;0 
2111;14;1;0;0;22;0 
4303;20;1;0;0;19;0 
3053;24;1;0;0;23;0 
1697;4;1;0;0;20;0 
2131;0;1;0;0;21;0 
1996;4;1;0;0;22;0 
1909;0;1;0;0;18;0 
2066;8;1;0;0;21;0 
2398;16;1;0;0;17;0 
1917;12;1;0;0;22;0 
2210;16;1;0;0;22;0 
1861;8;1;0;0;21;0 
1873;4;1;0;0;21;0 
1846;12;1;0;0;22;0 
1862;8;1;0;0;24;0 
1557;12;1;0;0;22;0 
2550;4;1;0;0;18;0 
2144;12;1;0;0;23;0 
3790;12;1;0;0;21;0 
1845;4;1;0;0;21;0 
2011;4;1;0;0;23;0 
1940;12;1;0;0;24;0 
3579;8;1;0;0;24;0 
1841;12;1;0;0;20;0 
3196;20;1;0;0;20;0 
3999;4;1;0;0;22;0 
4923;8;1;0;0;22;0 
1749;4;1;0;0;19;0 
1986;0;1;0;0;21;0 
1906;4;1;0;0;19;0 
1482;4;1;0;0;21;0 
4557;8;1;0;0;22;0 
4616;12;1;0;0;22;0 
2633;28;1;0;0;21;0 
1660;4;1;0;0;22;0 
1925;8;1;0;0;21;0 
2245;24;1;0;0;24;0 
2026;8;1;0;0;22;0 
2003;4;1;0;0;23;0 
2096;8;1;0;0;21;0 
1671;12;1;0;0;24;0 
4479;4;1;0;0;20;0 
1932;4;1;0;0;21;0 
4876;4;1;0;0;21;0 
1768;8;1;0;0;20;0 
3539;8;1;0;0;21;0 
4454;0;1;0;0;19;0 
1813;8;1;0;0;21;0 
4249;12;1;0;0;19;0 
1901;8;1;0;0;22;0 
1982;24;1;0;0;21;0 
1970;20;1;0;0;19;0 
1564;8;1;0;0;19;0 
5255;8;1;0;0;20;0 
5782;28;1;0;0;21;0 
1523;8;1;0;0;18;0 
1850;8;1;0;0;22;0 
2121;12;1;0;0;20;0 
1814;0;1;0;0;22;0 
2032;8;1;0;0;22;0 
1976;4;1;0;0;24;0 
2629;12;1;0;0;16;0 
1852;16;1;0;0;19;0 
1902;12;1;0;0;21;0 
4664;16;1;0;0;20;0 
4103;16;1;0;0;15;0 
3435;8;1;0;0;22;0 
2270;12;1;0;0;18;0 
2008;12;1;0;0;23;0 
2877;8;1;0;0;22;0 
2048;4;1;0;0;21;0 
3854;16;1;0;0;23;0 
3124;20;1;0;0;21;0 
1783;4;1;0;0;22;0 
2198;8;1;0;0;20;0 
2119;24;1;0;0;19;0 
1916;8;1;0;0;23;0 
1969;12;1;0;0;21;0 
1792;8;1;0;0;19;0 
2006;12;1;0;0;23;0 
2871;8;1;0;0;20;0 
1822;0;1;0;0;21;0 
1634;4;1;0;0;20;0 
1970;4;1;0;0;22;0 
4409;8;1;0;0;19;0 
4539;4;1;0;0;22;0 
2002;32;1;0;0;22;0 
1836;12;1;0;0;22;0 
1902;4;1;0;0;22;0 
3253;16;1;0;0;19;0 
1992;12;1;0;0;19;0 
1707;8;1;0;0;21;0 
1940;4;1;0;0;20;0 
1641;4;1;0;0;19;0 
1915;4;1;0;0;19;0 
2696;4;1;0;0;21;0 
2053;8;1;0;0;20;0 
1987;12;1;0;0;23;0 
1988;16;1;0;0;21;0 
1799;8;1;0;0;21;0 
1925;8;1;0;0;22;0 
2091;12;1;0;0;20;0 
2331;8;1;0;0;20;0 
4208;20;1;0;0;24;0 
2572;8;1;0;0;22;0 
1606;4;1;0;0;21;0 
2413;8;1;0;0;22;0 
6818;20;1;0;0;22;0 
4447;0;1;0;0;22;0 
3945;20;1;0;0;21;0 
3962;4;1;0;0;20;0 
