CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
2100;0;0;29;965;9;0 
1810;0;0;45;331;9;0 
2096;0;0;47;144;8;0 
3357;0;0;34;261;4;0 
1682;0;0;39;36;8;0 
4648;0;0;43;788;9;0 
2005;0;0;34;236;9;0 
2371;0;0;39;202;8;0 
3017;0;0;31;369;5;0 
1648;0;0;37;156;9;0 
4499;0;0;42;151;8;0 
2331;0;0;51;277;8;0 
1535;0;0;38;162;8;0 
1641;0;0;36;214;9;0 
2454;0;0;32;263;9;0 
5383;0;0;40;208;9;0 
1848;0;0;47;174;9;0 
3819;0;0;42;178;8;0 
2004;0;0;29;209;9;0 
2096;0;0;44;239;9;0 
1692;0;0;34;160;9;0 
3345;0;0;47;558;9;0 
2110;0;0;44;418;10;0 
4313;0;0;31;460;8;0 
1777;0;0;38;252;9;0 
1846;0;0;46;115;9;0 
1685;0;0;34;199;9;0 
3542;0;0;43;332;9;0 
4146;0;0;31;771;9;0 
4407;0;0;47;124;10;0 
1994;0;0;30;145;10;0 
1733;0;0;49;214;9;0 
2107;0;0;34;192;10;0 
1726;0;0;47;192;10;0 
2090;0;0;42;334;9;0 
3533;0;0;37;287;9;0 
2534;0;0;44;222;10;0 
1760;0;0;36;157;9;0 
3808;0;0;32;158;4;0 
3260;0;0;32;199;10;0 
1644;0;0;35;151;9;0 
5027;0;0;39;836;9;0 
1859;0;0;33;137;10;0 
1826;0;0;36;168;10;0 
2196;0;0;39;267;9;0 
2106;0;0;45;314;9;0 
1420;0;0;45;169;9;0 
4314;0;0;43;137;9;0 
1950;0;0;47;248;9;0 
1874;0;0;41;184;9;0 
1832;0;0;35;162;8;0 
2438;0;0;34;211;9;0 
2102;0;0;36;280;8;0 
3459;0;0;39;105;9;0 
1634;0;0;46;166;8;0 
2624;0;0;899;163;8;0 
1968;0;0;35;199;8;0 
2097;0;0;48;205;9;0 
3693;0;0;39;336;9;0 
1922;0;0;31;192;10;0 
4815;0;0;46;1271;9;0 
4478;0;0;51;1252;11;0 
2085;0;0;50;278;8;0 
2585;0;0;28;327;8;0 
1845;0;0;42;220;8;0 
4347;0;0;35;854;9;0 
4954;0;0;54;202;10;0 
1712;0;0;52;139;9;0 
4668;0;0;33;2076;9;0 
1646;0;0;46;162;9;0 
2248;0;0;55;279;8;0 
4180;0;0;32;524;8;0 
1823;0;0;48;207;9;0 
2329;0;0;51;278;9;0 
1794;0;0;37;140;9;0 
2666;0;0;73;455;22;0 
1915;0;0;36;207;8;0 
4470;0;0;46;96;10;0 
3100;0;0;31;164;9;0 
1923;0;0;34;175;9;0 
1869;0;0;33;190;4;0 
4677;0;0;43;1828;8;0 
4732;0;0;42;818;8;0 
5831;0;0;27;484;9;0 
1982;0;0;27;201;9;0 
3590;0;0;41;847;9;0 
2044;0;0;35;238;8;0 
2118;0;0;40;305;9;0 
