CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
1978;0;186;0;0;0;0 
1949;0;42;0;0;0;0 
4522;0;45;0;0;0;0 
1659;0;33;0;0;0;0 
1896;0;44;0;0;0;0 
1355;0;191;0;0;0;0 
3630;0;52;0;0;0;0 
2111;0;38;0;0;0;0 
1704;0;29;0;0;0;0 
1600;0;58;0;0;0;0 
2163;0;236;0;0;0;0 
1351;0;43;0;0;0;0 
1737;0;79;0;0;0;0 
3861;0;40;0;0;0;0 
1865;0;200;0;0;0;0 
1920;0;145;0;0;0;0 
3284;0;26;0;0;0;0 
1883;0;43;0;0;0;0 
1887;0;45;0;0;0;0 
1990;0;31;0;0;0;0 
2116;0;38;0;0;0;0 
5543;0;51;0;0;0;0 
2244;0;175;0;0;0;0 
2643;0;32;0;0;0;0 
3311;0;45;0;0;0;0 
1880;0;33;0;0;0;0 
2035;0;40;0;0;0;0 
1587;0;33;0;0;0;0 
4567;0;55;0;0;0;0 
1603;0;33;0;0;0;0 
3053;0;38;0;0;0;0 
2203;0;59;0;0;0;0 
2077;0;53;0;0;0;0 
2748;0;43;0;0;0;0 
1828;0;48;0;0;0;0 
1415;0;20;0;0;0;0 
1749;0;36;0;0;0;0 
1628;0;43;0;0;0;0 
3569;0;23;0;0;0;0 
4170;0;225;0;0;0;0 
2062;0;34;0;0;0;0 
2279;0;43;0;0;0;0 
2167;0;45;0;0;0;0 
1151;0;65;0;0;0;0 
1915;0;48;0;0;0;0 
3174;0;30;0;0;0;0 
1754;0;55;0;0;0;0 
2224;0;55;0;0;0;0 
1809;0;57;0;0;0;0 
1642;0;179;0;0;0;0 
3881;0;28;0;0;0;0 
2196;0;175;0;0;0;0 
4955;0;46;0;0;0;0 
1873;0;55;0;0;0;0 
2445;0;46;0;0;0;0 
2001;0;375;0;0;0;0 
3236;0;57;0;0;0;0 
1654;0;43;0;0;0;0 
2313;0;41;0;0;0;0 
3291;0;30;0;0;0;0 
1940;0;42;0;0;0;0 
1791;0;35;0;0;0;0 
4370;0;58;0;0;0;0 
1960;0;31;0;0;0;0 
1987;0;176;0;0;0;0 
2320;0;38;0;0;0;0 
2324;0;30;0;0;0;0 
2101;0;27;0;0;0;0 
3577;0;33;0;0;0;0 
2182;0;34;0;0;0;0 
1904;0;43;0;0;0;0 
1974;0;47;0;0;0;0 
1917;0;50;0;0;0;0 
1861;0;35;0;0;0;0 
1787;0;153;0;0;0;0 
1421;0;28;0;0;0;0 
3253;0;50;0;0;0;0 
1675;0;55;0;0;0;0 
4531;0;57;0;0;0;0 
1776;0;52;0;0;0;0 
2432;0;30;0;0;0;0 
1666;0;28;0;0;0;0 
2118;0;51;0;0;0;0 
2173;0;28;0;0;0;0 
1931;0;51;0;0;0;0 
2167;0;53;0;0;0;0 
1999;0;25;0;0;0;0 
