CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
2109;36;38;0;0;12;12 
1791;36;38;0;0;12;12 
2042;36;38;0;0;10;10 
4095;36;38;0;0;9;9 
1833;36;38;0;0;11;11 
1616;36;38;0;0;11;11 
1598;36;38;0;0;11;11 
2008;36;38;0;0;12;12 
7673;36;38;0;0;13;13 
1719;36;38;0;0;13;13 
1920;36;38;0;0;12;12 
1662;36;38;0;0;10;10 
2346;36;38;0;0;10;10 
1856;36;38;0;0;9;9 
1848;36;38;0;0;10;10 
4605;36;38;0;0;13;13 
3604;36;38;0;0;10;10 
4426;36;38;0;0;9;9 
1813;36;38;0;0;12;12 
4448;36;38;0;0;6;6 
1693;36;38;0;0;14;14 
2055;36;38;0;0;7;7 
2123;36;38;0;0;8;8 
1954;36;38;0;0;12;12 
3435;36;38;0;0;9;9 
2324;36;38;0;0;14;14 
1811;36;38;0;0;10;10 
2352;36;38;0;0;10;10 
1838;36;38;0;0;14;14 
1855;36;38;0;0;11;11 
3069;36;38;0;0;11;11 
1708;36;38;0;0;11;11 
1663;36;38;0;0;13;13 
4078;36;38;0;0;9;9 
1630;36;38;0;0;10;10 
2056;36;38;0;0;10;10 
2848;36;38;0;0;12;12 
1816;36;38;0;0;12;12 
1877;36;38;0;0;10;10 
1940;36;38;0;0;13;13 
5321;36;38;0;0;10;10 
1715;36;38;0;0;15;15 
4274;36;38;0;0;13;13 
2188;36;38;0;0;13;13 
2293;36;38;0;0;9;9 
1547;36;38;0;0;7;7 
1625;36;38;0;0;10;10 
3690;36;38;0;0;8;8 
5401;36;38;0;0;8;8 
1629;36;38;0;0;12;12 
4014;36;38;0;0;11;11 
1748;36;38;0;0;9;9 
2310;36;38;0;0;10;10 
2380;36;38;0;0;13;13 
1631;36;38;0;0;9;9 
2121;36;38;0;0;12;12 
1908;36;38;0;0;11;11 
3193;36;38;0;0;12;12 
2000;36;38;0;0;10;10 
1957;36;38;0;0;13;13 
2073;36;38;0;0;11;11 
2874;36;38;0;0;10;10 
3464;36;38;0;0;8;8 
1850;36;38;0;0;10;10 
1627;36;38;0;0;9;9 
1665;36;38;0;0;10;10 
2276;36;38;0;0;10;10 
2041;36;38;0;0;11;11 
1772;36;38;0;0;10;10 
1931;36;38;0;0;11;11 
1968;36;38;0;0;12;12 
1958;36;38;0;0;9;9 
3932;36;38;0;0;13;13 
2224;36;38;0;0;9;9 
1971;36;38;0;0;11;11 
2794;36;38;0;0;11;11 
2044;36;38;0;0;10;10 
1738;36;38;0;0;12;12 
1706;36;38;0;0;8;8 
2054;36;38;0;0;8;8 
1629;36;38;0;0;11;11 
3150;36;38;0;0;7;7 
4354;36;38;0;0;12;12 
2021;36;38;0;0;10;10 
1616;36;38;0;0;10;10 
1674;36;38;0;0;9;9 
1725;36;38;0;0;12;12 
4699;36;38;0;0;13;13 
2006;36;38;0;0;12;12 
2026;36;38;0;0;15;15 
1681;36;38;0;0;8;8 
1851;36;38;0;0;11;11 
2322;36;38;0;0;10;10 
1965;36;38;0;0;10;10 
4555;36;38;0;0;9;9 
1941;36;38;0;0;15;15 
4581;36;38;0;0;12;12 
2032;36;38;0;0;13;13 
1808;36;38;0;0;10;10 
2222;36;38;0;0;16;16 
