CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
4124;2;28;0;2062;0;20 
1875;2;48;0;938;0;40 
1428;0;36;0;714;0;36 
2827;10;84;0;1414;0;44 
3910;0;52;0;1955;0;52 
1993;2;56;0;996;0;48 
1779;2;52;0;890;0;44 
2037;2;48;0;1019;0;40 
1803;2;56;0;902;0;48 
4110;5;72;0;2055;0;52 
1895;0;48;0;948;0;48 
1855;1;44;0;927;0;40 
3892;3;64;0;1946;0;52 
5114;10;92;0;2557;0;60 
1773;1;52;0;887;0;48 
2068;1;56;0;1034;0;52 
1986;5;60;0;993;0;40 
1931;1;52;0;966;0;48 
3064;1;48;0;1532;0;44 
1973;2;60;0;987;0;52 
1608;4;48;0;804;0;32 
4206;0;48;0;2103;0;48 
1785;1;56;0;893;0;52 
1819;3;56;0;909;0;44 
4645;3;60;0;2323;0;48 
1719;3;60;0;860;0;48 
1922;0;48;0;961;0;48 
1678;1;44;0;839;0;40 
2240;6;84;0;1120;0;60 
2070;2;48;0;1035;0;40 
1871;1;44;0;936;0;40 
3921;3;60;0;1961;0;48 
4374;2;52;0;2187;0;44 
5744;9;79;0;2872;0;44 
2115;2;60;0;1058;0;52 
1970;2;64;0;985;0;56 
1787;1;44;0;893;0;40 
2161;3;56;0;1081;0;44 
1791;0;44;0;896;0;44 
4473;4;68;0;2237;0;52 
1871;1;52;0;936;0;48 
1945;1;48;0;972;0;44 
5045;4;56;0;2523;0;40 
3765;8;72;0;1882;0;52 
1693;1;52;0;847;0;48 
1928;2;52;0;964;0;44 
4644;2;52;0;2322;0;44 
1787;0;40;0;894;0;40 
1930;1;44;0;965;0;40 
2033;2;52;0;1017;0;44 
2728;2;52;0;1364;0;44 
2178;2;56;0;1089;0;48 
4873;3;56;0;2437;0;44 
4687;0;44;0;2344;0;44 
1790;2;56;0;895;0;48 
2241;5;80;0;1121;0;60 
1860;3;60;0;930;0;48 
1833;0;40;0;917;0;40 
5550;7;56;0;2775;0;40 
1720;2;52;0;860;0;44 
1826;1;44;0;913;0;40 
1720;1;48;0;860;0;44 
5805;10;84;0;2903;0;52 
1970;3;56;0;985;0;44 
1929;2;52;0;965;0;44 
