CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
1648;0;26;0;0;0;0 
1671;0;170;0;0;0;0 
2039;0;48;0;0;0;0 
1964;0;46;0;0;0;0 
1908;0;171;0;0;0;0 
1754;0;143;0;0;0;0 
2367;0;31;0;0;0;0 
2210;0;48;0;0;0;0 
2463;0;39;0;0;0;0 
4676;0;40;0;0;0;0 
1801;0;38;0;0;0;0 
1582;0;38;0;0;0;0 
2127;0;53;0;0;0;0 
2148;0;40;0;0;0;0 
2276;0;50;0;0;0;0 
2180;0;45;0;0;0;0 
2437;0;168;0;0;0;0 
1850;0;44;0;0;0;0 
2071;0;209;0;0;0;0 
4590;0;58;0;0;0;0 
3551;0;33;0;0;0;0 
1314;0;23;0;0;0;0 
1812;0;27;0;0;0;0 
1717;0;47;0;0;0;0 
4431;0;43;0;0;0;0 
3206;0;36;0;0;0;0 
1948;0;35;0;0;0;0 
1974;0;43;0;0;0;0 
1917;0;38;0;0;0;0 
1558;0;31;0;0;0;0 
4161;0;160;0;0;0;0 
1947;0;78;0;0;0;0 
1966;0;46;0;0;0;0 
1603;0;85;0;0;0;0 
1933;0;41;0;0;0;0 
4779;0;38;0;0;0;0 
2119;0;24;0;0;0;0 
4813;0;35;0;0;0;0 
2042;0;47;0;0;0;0 
3768;0;53;0;0;0;0 
4792;0;33;0;0;0;0 
1719;0;162;0;0;0;0 
1594;0;198;0;0;0;0 
1991;0;45;0;0;0;0 
1799;0;179;0;0;0;0 
1724;0;27;0;0;0;0 
1910;0;25;0;0;0;0 
2164;0;33;0;0;0;0 
1812;0;170;0;0;0;0 
1989;0;41;0;0;0;0 
3792;0;169;0;0;0;0 
2191;0;276;0;0;0;0 
1895;0;36;0;0;0;0 
1182;0;265;0;0;0;0 
4614;0;21;0;0;0;0 
2157;0;44;0;0;0;0 
4465;0;34;0;0;0;0 
1703;0;27;0;0;0;0 
1789;0;48;0;0;0;0 
2058;0;30;0;0;0;0 
3164;0;23;0;0;0;0 
1940;0;48;0;0;0;0 
1842;0;43;0;0;0;0 
5257;0;38;0;0;0;0 
1777;0;157;0;0;0;0 
4571;0;26;0;0;0;0 
1742;0;48;0;0;0;0 
1776;0;48;0;0;0;0 
2032;0;46;0;0;0;0 
4074;0;40;0;0;0;0 
3110;0;31;0;0;0;0 
4750;0;87;0;0;0;0 
1908;0;41;0;0;0;0 
2217;0;44;0;0;0;0 
5198;0;36;0;0;0;0 
3000;0;199;0;0;0;0 
1844;0;55;0;0;0;0 
4055;0;55;0;0;0;0 
1896;0;42;0;0;0;0 
1954;0;44;0;0;0;0 
2264;0;34;0;0;0;0 
1690;0;28;0;0;0;0 
3378;0;41;0;0;0;0 
1807;0;148;0;0;0;0 
1737;0;31;0;0;0;0 
1892;0;157;0;0;0;0 
1647;0;58;0;0;0;0 
1700;0;37;0;0;0;0 
2027;0;46;0;0;0;0 
3916;0;29;0;0;0;0 
2004;0;44;0;0;0;0 
2083;0;38;0;0;0;0 
1706;0;57;0;0;0;0 
2024;0;34;0;0;0;0 
4188;0;41;0;0;0;0 
1911;0;220;0;0;0;0 
7037;0;46;0;0;0;0 
3711;0;31;0;0;0;0 
1866;0;37;0;0;0;0 
2002;0;31;0;0;0;0 
1871;0;40;0;0;0;0 
1890;0;36;0;0;0;0 
1777;0;46;0;0;0;0 
1954;0;87;0;0;0;0 
1918;0;43;0;0;0;0 
2223;0;53;0;0;0;0 
3312;0;50;0;0;0;0 
6188;0;46;0;0;0;0 
1725;0;36;0;0;0;0 
1780;0;48;0;0;0;0 
1864;0;45;0;0;0;0 
2171;0;50;0;0;0;0 
1755;0;38;0;0;0;0 
1656;0;34;0;0;0;0 
1904;0;40;0;0;0;0 
1654;0;203;0;0;0;0 
1625;0;34;0;0;0;0 
2591;0;234;0;0;0;0 
3536;0;46;0;0;0;0 
1721;0;178;0;0;0;0 
4942;0;53;0;0;0;0 
1919;0;155;0;0;0;0 
1870;0;45;0;0;0;0 
5074;0;38;0;0;0;0 
3490;0;33;0;0;0;0 
1418;0;36;0;0;0;0 
4368;0;53;0;0;0;0 
1973;0;59;0;0;0;0 
2074;0;24;0;0;0;0 
1818;0;43;0;0;0;0 
3591;0;437;0;0;0;0 
1732;0;50;0;0;0;0 
2040;0;39;0;0;0;0 
1891;0;43;0;0;0;0 
1922;0;50;0;0;0;0 
1894;0;143;0;0;0;0 
1959;0;41;0;0;0;0 
2318;0;31;0;0;0;0 
1818;0;157;0;0;0;0 
4586;0;44;0;0;0;0 
1979;0;40;0;0;0;0 
4169;0;163;0;0;0;0 
4378;0;240;0;0;0;0 
3070;0;58;0;0;0;0 
4409;0;46;0;0;0;0 
1782;0;31;0;0;0;0 
4567;0;47;0;0;0;0 
4643;0;26;0;0;0;0 
1672;0;38;0;0;0;0 
1603;0;48;0;0;0;0 
1742;0;30;0;0;0;0 
1979;0;41;0;0;0;0 
1815;0;41;0;0;0;0 
2075;0;57;0;0;0;0 
1679;0;37;0;0;0;0 
1896;0;43;0;0;0;0 
4063;0;38;0;0;0;0 
1645;0;43;0;0;0;0 
2110;0;45;0;0;0;0 
2577;0;176;0;0;0;0 
3216;0;34;0;0;0;0 
