CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
1391;0;31;1;1;6;0 
1639;0;31;1;1;9;0 
1831;0;31;1;1;8;0 
2893;0;31;1;1;10;0 
1874;0;31;1;1;9;0 
2039;0;31;1;1;10;0 
2084;0;31;1;1;8;0 
1809;0;31;1;1;9;0 
1455;0;31;1;1;7;0 
1673;0;31;1;1;7;0 
5518;0;31;1;1;9;0 
1470;0;31;1;1;8;0 
1437;0;31;1;1;7;0 
3920;0;31;1;1;8;0 
1694;0;31;1;1;8;0 
2292;0;31;1;1;7;0 
2305;0;31;1;1;8;0 
1855;0;31;1;1;6;0 
4866;0;31;1;1;10;0 
2252;0;31;1;1;11;0 
1989;0;31;1;1;6;0 
3652;0;31;1;1;9;0 
2349;0;31;1;1;7;0 
5504;0;31;1;1;7;0 
1697;0;31;1;1;13;0 
1828;0;31;1;1;8;0 
1921;0;31;1;1;10;0 
1829;0;31;1;1;8;0 
1929;0;31;1;1;10;0 
1850;0;31;1;1;6;0 
1696;0;31;1;1;9;0 
2002;0;31;1;1;7;0 
1958;0;31;1;1;9;0 
1821;0;31;1;1;8;0 
4757;0;31;1;1;5;0 
4634;0;31;1;1;10;0 
4268;0;31;1;1;9;0 
3761;0;31;1;1;7;0 
2538;0;31;1;1;9;0 
3497;0;31;1;1;10;0 
1785;0;31;1;1;9;0 
2292;0;31;1;1;7;0 
4495;0;31;1;1;9;0 
4683;0;31;1;1;11;0 
1717;0;31;1;1;11;0 
2114;0;31;1;1;11;0 
1683;0;31;1;1;10;0 
1612;0;31;1;1;12;0 
1450;0;31;1;1;9;0 
5079;0;31;1;1;11;0 
2054;0;31;1;1;8;0 
1885;0;31;1;1;6;0 
1836;0;31;1;1;7;0 
1929;0;31;1;1;7;0 
3022;0;31;1;1;8;0 
4829;0;31;1;1;9;0 
2249;0;31;1;1;13;0 
2187;0;31;1;1;7;0 
2094;0;31;1;1;11;0 
1932;0;31;1;1;10;0 
1974;0;31;1;1;6;0 
1926;0;31;1;1;10;0 
1711;0;31;1;1;7;0 
2048;0;31;1;1;12;0 
1774;0;31;1;1;10;0 
1789;0;31;1;1;8;0 
1603;0;31;1;1;10;0 
3547;0;31;1;1;12;0 
1513;0;31;1;1;10;0 
4627;0;31;1;1;9;0 
2004;0;31;1;1;8;0 
1828;0;31;1;1;8;0 
1734;0;31;1;1;9;0 
2376;0;31;1;1;9;0 
1761;0;31;1;1;7;0 
