CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
1563;142;28;288;0;1;0 
4169;142;28;289;0;1;0 
1683;142;28;289;0;1;0 
1774;142;28;289;0;1;0 
1669;142;28;289;0;1;0 
2182;142;28;289;0;1;0 
2244;142;28;290;0;1;0 
4129;142;28;288;0;1;0 
1898;142;28;288;0;1;0 
1822;142;28;289;0;1;0 
1955;142;28;288;0;1;0 
4749;142;28;288;0;1;0 
4151;142;28;288;0;1;0 
3411;142;28;288;0;1;0 
1966;142;28;288;0;1;0 
1723;142;28;289;0;1;0 
1531;142;28;290;0;1;0 
4801;142;28;287;0;1;0 
1592;142;28;288;0;1;0 
4386;142;28;288;0;1;0 
3725;142;28;289;0;1;0 
1619;142;28;288;0;1;0 
1950;142;28;289;0;1;0 
4144;142;28;288;0;1;0 
1975;142;28;289;0;1;0 
2679;142;28;288;0;1;0 
4598;142;28;288;0;1;0 
2507;142;28;289;0;1;0 
1935;142;28;289;0;1;0 
1817;142;28;288;0;1;0 
3831;142;28;288;0;1;0 
4863;142;28;289;0;1;0 
1822;142;28;288;0;1;0 
1829;142;28;288;0;1;0 
1989;142;28;288;0;1;0 
1607;142;28;288;0;1;0 
1729;142;28;289;0;1;0 
1607;142;28;288;0;1;0 
3015;142;28;287;0;1;0 
2030;142;28;289;0;1;0 
3103;142;28;288;0;1;0 
2033;142;28;289;0;1;0 
1934;142;28;288;0;1;0 
1824;142;28;289;0;1;0 
4684;142;28;288;0;1;0 
2052;142;28;288;0;1;0 
1925;142;28;288;0;1;0 
1826;142;28;287;0;1;0 
1745;142;28;288;0;1;0 
1713;142;28;288;0;1;0 
1791;142;28;288;0;1;0 
1605;142;28;288;0;1;0 
4029;142;28;288;0;1;0 
1946;142;28;288;0;1;0 
4885;142;28;288;0;1;0 
4703;142;28;287;0;1;0 
2109;142;28;288;0;1;0 
4408;142;28;289;0;1;0 
1701;142;28;288;0;1;0 
4724;142;28;288;0;1;0 
4435;142;28;288;0;1;0 
1599;142;28;289;0;1;0 
1388;142;28;288;0;1;0 
3671;142;28;288;0;1;0 
1749;142;28;288;0;1;0 
1587;142;28;289;0;1;0 
3800;142;28;288;0;1;0 
1982;142;28;288;0;1;0 
1771;142;28;288;0;1;0 
3595;142;28;289;0;1;0 
2189;142;28;287;0;1;0 
2399;142;28;288;0;1;0 
2986;142;28;288;0;1;0 
1790;142;28;289;0;1;0 
1965;142;28;288;0;1;0 
2043;142;28;289;0;1;0 
2101;142;28;289;0;1;0 
3562;142;28;289;0;1;0 
1761;142;28;289;0;1;0 
2076;142;28;288;0;1;0 
2142;142;28;289;0;1;0 
2290;142;28;288;0;1;0 
1685;142;28;288;0;1;0 
1652;142;28;288;0;1;0 
1832;142;28;288;0;1;0 
3816;142;28;288;0;1;0 
4595;142;28;288;0;1;0 
1695;142;28;289;0;1;0 
2090;142;28;289;0;1;0 
2329;142;28;289;0;1;0 
1771;142;28;289;0;1;0 
1849;142;28;288;0;1;0 
3535;142;28;289;0;1;0 
1544;142;28;289;0;1;0 
2083;142;28;288;0;1;0 
1977;142;28;288;0;1;0 
1597;142;28;287;0;1;0 
1904;142;28;289;0;1;0 
1812;142;28;288;0;1;0 
1740;142;28;288;0;1;0 
1850;142;28;288;0;1;0 
1730;142;28;288;0;1;0 
1638;142;28;288;0;1;0 
6505;142;28;289;0;1;0 
1962;142;28;288;0;1;0 
1730;142;28;289;0;1;0 
2055;142;28;288;0;1;0 
4205;142;28;289;0;1;0 
1681;142;28;288;0;1;0 
1816;142;28;289;0;1;0 
1833;142;28;290;0;1;0 
1696;142;28;289;0;1;0 
1830;142;28;288;0;1;0 
1967;142;28;289;0;1;0 
2292;142;28;288;0;1;0 
4361;142;28;289;0;1;0 
3506;142;28;289;0;1;0 
2313;142;28;288;0;1;0 
1822;142;28;288;0;1;0 
1757;142;28;287;0;1;0 
1870;142;28;288;0;1;0 
2918;142;28;289;0;1;0 
1916;142;28;288;0;1;0 
1569;142;28;288;0;1;0 
2019;142;28;288;0;1;0 
2217;142;28;289;0;1;0 
2203;142;28;288;0;1;0 
5495;142;28;289;0;1;0 
2025;142;28;288;0;1;0 
3889;142;28;288;0;1;0 
1977;142;28;289;0;1;0 
1864;142;28;288;0;1;0 
5308;142;28;289;0;1;0 
4240;142;28;289;0;1;0 
1886;142;28;288;0;1;0 
4690;142;28;289;0;1;0 
2170;142;28;288;0;1;0 
1989;142;28;288;0;1;0 
1871;142;28;288;0;1;0 
1767;142;28;288;0;1;0 
2547;142;28;288;0;1;0 
3200;142;28;290;0;1;0 
1815;142;28;288;0;1;0 
6091;142;28;289;0;1;0 
2147;142;28;288;0;1;0 
1524;142;28;288;0;1;0 
1865;142;28;287;0;1;0 
3333;142;28;288;0;1;0 
1839;142;28;288;0;1;0 
2522;142;28;288;0;1;0 
5489;142;28;288;0;1;0 
1875;142;28;288;0;1;0 
2054;142;28;288;0;1;0 
1940;142;28;289;0;1;0 
