CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
1614;36;38;0;0;12;12 
2101;36;38;0;0;9;9 
4163;36;38;0;0;10;10 
4921;36;38;0;0;10;10 
2517;36;38;0;0;10;10 
1747;36;38;0;0;14;14 
1257;36;38;0;0;12;12 
1853;36;38;0;0;10;10 
4858;36;38;0;0;13;13 
1753;36;38;0;0;12;12 
4629;36;38;0;0;10;10 
4968;36;38;0;0;10;10 
7213;36;38;0;0;10;10 
1907;36;38;0;0;8;8 
4779;36;38;0;0;11;11 
1635;36;38;0;0;7;7 
1613;36;38;0;0;12;12 
2095;36;38;0;0;11;11 
5280;36;38;0;0;10;10 
3134;36;38;0;0;13;13 
1835;36;38;0;0;11;11 
2412;36;38;0;0;13;13 
3365;36;38;0;0;12;12 
1605;36;38;0;0;13;13 
1762;36;38;0;0;15;15 
2024;36;38;0;0;13;13 
1695;36;38;0;0;13;13 
4189;36;38;0;0;9;9 
1516;36;38;0;0;11;11 
1583;36;38;0;0;9;9 
2143;36;38;0;0;12;12 
2669;36;38;0;0;12;12 
2351;36;38;0;0;11;11 
2072;36;38;0;0;11;11 
2180;36;38;0;0;8;8 
4598;36;38;0;0;9;9 
2052;36;38;0;0;11;11 
3488;36;38;0;0;12;12 
1579;36;38;0;0;10;10 
1721;36;38;0;0;10;10 
4176;36;38;0;0;6;6 
2014;36;38;0;0;12;12 
2386;36;38;0;0;8;8 
1927;36;38;0;0;16;16 
1975;36;38;0;0;10;10 
4670;36;38;0;0;11;11 
1625;36;38;0;0;8;8 
3713;36;38;0;0;8;8 
1891;36;38;0;0;10;10 
4629;36;38;0;0;11;11 
1911;36;38;0;0;13;13 
2737;36;38;0;0;11;11 
3576;36;38;0;0;12;12 
1893;36;38;0;0;8;8 
1870;36;38;0;0;6;6 
1496;36;38;0;0;10;10 
1833;36;38;0;0;10;10 
2287;36;38;0;0;10;10 
3522;36;38;0;0;11;11 
2029;36;38;0;0;9;9 
2478;36;38;0;0;8;8 
1962;36;38;0;0;10;10 
1948;36;38;0;0;13;13 
1946;36;38;0;0;10;10 
1838;36;38;0;0;10;10 
2016;36;38;0;0;7;7 
1896;36;38;0;0;10;10 
5351;36;38;0;0;11;11 
1675;36;38;0;0;11;11 
1899;36;38;0;0;11;11 
1651;36;38;0;0;10;10 
1509;36;38;0;0;8;8 
5180;36;38;0;0;10;10 
4702;36;38;0;0;8;8 
1813;36;38;0;0;10;10 
3117;36;38;0;0;10;10 
3582;36;38;0;0;7;7 
3828;36;38;0;0;11;11 
2066;36;38;0;0;11;11 
2355;36;38;0;0;11;11 
1807;36;38;0;0;12;12 
2141;36;38;0;0;13;13 
2274;36;38;0;0;11;11 
2337;36;38;0;0;13;13 
2248;36;38;0;0;11;11 
3361;36;38;0;0;14;14 
1637;36;38;0;0;9;9 
2092;36;38;0;0;7;7 
1994;36;38;0;0;12;12 
2137;36;38;0;0;16;16 
3158;36;38;0;0;9;9 
2197;36;38;0;0;10;10 
1989;36;38;0;0;9;9 
1764;36;38;0;0;10;10 
2917;36;38;0;0;12;12 
1559;36;38;0;0;11;11 
3454;36;38;0;0;11;11 
2851;36;38;0;0;15;15 
2033;36;38;0;0;15;15 
2193;36;38;0;0;10;10 
2539;36;38;0;0;7;7 
2160;36;38;0;0;11;11 
1909;36;38;0;0;10;10 
3150;36;38;0;0;11;11 
2011;36;38;0;0;10;10 
1731;36;38;0;0;10;10 
1981;36;38;0;0;8;8 
1768;36;38;0;0;11;11 
2890;36;38;0;0;11;11 
1640;36;38;0;0;11;11 
1844;36;38;0;0;9;9 
1441;36;38;0;0;13;13 
3471;36;38;0;0;10;10 
1930;36;38;0;0;10;10 
2023;36;38;0;0;10;10 
1815;36;38;0;0;11;11 
1766;36;38;0;0;13;13 
4103;36;38;0;0;14;14 
1720;36;38;0;0;10;10 
1788;36;38;0;0;9;9 
2052;36;38;0;0;13;13 
2813;36;38;0;0;11;11 
1732;36;38;0;0;9;9 
1952;36;38;0;0;11;11 
1815;36;38;0;0;13;13 
3957;36;38;0;0;10;10 
5120;36;38;0;0;10;10 
1863;36;38;0;0;11;11 
1513;36;38;0;0;10;10 
3890;36;38;0;0;15;15 
2118;36;38;0;0;9;9 
1747;36;38;0;0;13;13 
1709;36;38;0;0;10;10 
1962;36;38;0;0;13;13 
2027;36;38;0;0;9;9 
4035;36;38;0;0;13;13 
2016;36;38;0;0;10;10 
4076;36;38;0;0;10;10 
1835;36;38;0;0;16;16 
