CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
1829;0;52;0;915;0;52 
4632;3;60;0;2316;0;48 
1850;1;44;0;925;0;40 
2265;1;44;0;1132;0;40 
4597;1;56;0;2299;0;52 
4632;3;56;0;2316;0;44 
1944;2;60;0;972;0;52 
2103;6;68;0;1052;0;44 
2533;2;60;0;1267;0;52 
1965;1;44;0;983;0;40 
5112;8;80;0;2556;0;52 
1883;1;48;0;942;0;44 
1894;2;56;0;947;0;48 
1767;1;44;0;883;0;40 
4184;2;60;0;2092;0;52 
1792;3;60;0;896;0;48 
1976;2;56;0;988;0;48 
1996;2;52;0;998;0;44 
4550;2;56;0;2275;0;48 
2015;2;56;0;1007;0;48 
3763;0;56;0;1881;0;56 
1809;4;60;0;905;0;44 
2159;7;76;0;1080;0;48 
2168;0;48;0;1084;0;48 
2167;0;44;0;1083;0;44 
1914;4;60;0;957;0;44 
2113;2;56;0;1057;0;48 
2134;1;52;0;1067;0;48 
1454;0;44;0;727;0;44 
1723;4;56;0;862;0;40 
3948;5;40;0;1974;0;20 
2090;3;52;0;1045;0;40 
3372;3;60;0;1686;0;52 
1643;3;56;0;822;0;44 
1927;3;56;0;964;0;44 
1874;1;44;0;937;0;40 
1743;3;60;0;872;0;48 
1853;3;56;0;927;0;44 
4477;2;52;0;2239;0;44 
2597;3;52;0;1299;0;40 
1559;0;40;0;779;0;40 
2036;4;40;0;1018;0;32 
4164;2;52;0;2082;0;44 
2815;2;52;0;1408;0;44 
1791;1;52;0;895;0;48 
1924;0;48;0;962;0;48 
2124;1;52;0;1062;0;48 
4584;0;52;0;2292;0;52 
2773;2;44;0;1387;0;36 
4798;1;44;0;2399;0;40 
2200;1;48;0;1100;0;44 
2592;5;60;0;1296;0;40 
1766;1;48;0;883;0;44 
1967;2;56;0;984;0;48 
2028;7;84;0;1014;0;56 
2085;1;52;0;1043;0;48 
4494;0;52;0;2247;0;52 
1570;1;36;0;785;0;32 
2281;3;56;0;1141;0;44 
1592;2;56;0;796;0;48 
5605;9;88;0;2803;0;56 
1607;1;44;0;804;0;40 
1824;3;56;0;912;0;44 
1785;2;48;0;893;0;40 
2070;4;72;0;1035;0;56 
1566;1;44;0;783;0;40 
1950;3;56;0;975;0;44 
1650;3;52;0;825;0;40 
1813;2;52;0;906;0;44 
2088;2;60;0;1044;0;52 
5591;2;68;0;2796;0;56 
1764;2;48;0;882;0;40 
1909;1;52;0;954;0;48 
3586;2;52;0;1793;0;44 
2833;0;48;0;1416;0;48 
1883;5;64;0;942;0;44 
3976;3;60;0;1988;0;48 
1952;0;48;0;976;0;48 
1764;1;48;0;882;0;44 
4685;0;52;0;2343;0;52 
3425;1;56;0;1713;0;52 
4129;1;52;0;2065;0;48 
1861;2;48;0;931;0;40 
2031;3;56;0;1015;0;44 
2064;2;48;0;1032;0;40 
1869;4;56;0;934;0;40 
1934;2;60;0;967;0;52 
2272;1;44;0;1136;0;40 
2132;2;56;0;1066;0;48 
1860;1;52;0;930;0;48 
1973;1;48;0;987;0;44 
3471;0;44;0;1736;0;44 
2732;6;64;0;1366;0;40 
1846;2;52;0;923;0;44 
2123;4;64;0;1062;0;48 
1946;2;52;0;973;0;44 
1932;3;56;0;966;0;44 
2078;0;52;0;1039;0;52 
2047;1;60;0;1024;0;56 
4305;1;44;0;2152;0;40 
1940;3;60;0;970;0;48 
3507;1;40;0;1754;0;36 
2117;2;52;0;1058;0;44 
1930;4;68;0;965;0;52 
1898;2;56;0;949;0;48 
3632;0;44;0;1816;0;44 
2234;4;64;0;1117;0;48 
2168;1;52;0;1084;0;48 
3580;0;40;0;1790;0;40 
1558;1;44;0;779;0;40 
1656;6;56;0;828;0;32 
1797;1;48;0;898;0;44 
3723;3;58;0;1861;0;48 
1857;1;40;0;929;0;36 
1878;6;68;0;939;0;44 
3366;0;40;0;1683;0;40 
1855;1;48;0;928;0;44 
2237;2;64;0;1119;0;56 
1393;0;28;0;696;0;28 
2367;1;52;0;1183;0;48 
2143;4;56;0;1071;0;40 
1837;2;48;0;919;0;40 
3712;3;56;0;1856;0;44 
2589;1;56;0;1294;0;52 
2019;3;56;0;1010;0;44 
2049;3;64;0;1025;0;52 
2066;2;60;0;1033;0;52 
3999;1;52;0;1999;0;48 
1844;2;60;0;922;0;52 
4395;2;56;0;2198;0;48 
2390;2;56;0;1195;0;48 
1815;0;44;0;907;0;44 
2833;4;44;0;1417;0;44 
2473;1;44;0;1236;0;40 
1785;2;56;0;892;0;48 
2612;7;68;0;1306;0;40 
2904;2;60;0;1452;0;52 
1516;0;36;0;758;0;36 
3300;2;56;0;1650;0;48 
1765;4;64;0;882;0;48 
1741;4;60;0;870;0;44 
1704;2;48;0;852;0;40 
2083;3;60;0;1041;0;48 
2228;0;40;0;1114;0;40 
1733;1;44;0;866;0;40 
2391;6;64;0;1196;0;40 
4401;1;56;0;2201;0;52 
1938;2;56;0;969;0;48 
2234;0;48;0;1117;0;48 
4929;5;68;0;2464;0;48 
4643;3;44;0;2322;0;32 
4497;4;60;0;2249;0;44 
4549;1;44;0;2274;0;40 
1607;0;36;0;804;0;36 
4224;2;52;0;2112;0;44 
2166;7;76;0;1083;0;48 
2088;0;44;0;1044;0;44 
3855;1;48;0;1928;0;44 
2061;1;56;0;1030;0;52 
2157;5;64;0;1079;0;44 
1818;0;44;0;909;0;44 
1823;1;48;0;911;0;44 
1174;1;36;0;587;0;32 
2039;3;52;0;1019;0;40 
4912;4;68;0;2456;0;52 
2301;9;76;0;1151;0;40 
4653;4;72;0;2327;0;56 
3701;1;52;0;1851;0;48 
3367;3;52;0;1684;0;40 
1862;4;64;0;931;0;48 
1825;3;60;0;913;0;48 
2258;6;76;0;1129;0;52 
1274;0;28;0;637;0;28 
2070;1;48;0;1035;0;44 
1896;2;60;0;948;0;52 
2644;10;72;0;1322;0;48 
1878;0;52;0;939;0;52 
2055;1;52;0;1028;0;48 
1924;3;56;0;962;0;44 
1984;3;56;0;992;0;44 
1814;2;56;0;907;0;48 
4406;5;64;0;2203;0;44 
6014;1;40;0;3007;0;36 
3639;6;72;0;1820;0;48 
3151;2;56;0;1576;0;48 
2533;11;96;0;1266;0;52 
3669;2;60;0;1835;0;52 
1963;2;56;0;982;0;48 
4359;3;60;0;2180;0;48 
1985;1;52;0;993;0;48 
1637;2;52;0;819;0;44 
2285;9;96;0;1143;0;60 
1733;3;52;0;866;0;40 
1437;2;44;0;719;0;36 
1894;2;60;0;947;0;52 
6390;8;68;0;3195;0;48 
1969;1;56;0;985;0;52 
4515;2;56;0;2257;0;48 
1843;1;52;0;921;0;48 
2040;4;64;0;1020;0;48 
4150;1;48;0;2075;0;44 
3830;9;88;0;1915;0;52 
2042;3;52;0;1021;0;40 
2843;1;44;0;1422;0;40 
4994;3;64;0;2497;0;52 
6276;7;84;0;3138;0;56 
1963;1;60;0;982;0;56 
2282;1;52;0;1141;0;48 
1841;5;60;0;921;0;40 
2728;0;48;0;1364;0;48 
1733;1;48;0;867;0;44 
4106;6;66;0;2053;0;52 
2019;3;60;0;1010;0;48 
4611;3;64;0;2306;0;52 
2530;6;76;0;1265;0;52 
1812;3;56;0;906;0;44 
3790;1;44;0;1895;0;40 
2253;5;72;0;1126;0;52 
2514;4;68;0;1257;0;52 
1354;2;40;0;677;0;32 
3470;2;48;0;1735;0;40 
1684;2;52;0;842;0;44 
4489;4;56;0;2245;0;40 
1848;1;44;0;924;0;40 
2037;3;56;0;1019;0;44 
1862;3;56;0;931;0;44 
2031;3;52;0;1015;0;40 
3519;3;52;0;1760;0;40 
1630;1;44;0;815;0;40 
2000;0;36;0;1000;0;36 
1992;1;48;0;996;0;44 
1526;1;40;0;763;0;36 
2174;4;68;0;1087;0;52 
2892;1;48;0;1446;0;44 
2047;2;56;0;1023;0;48 
1855;2;56;0;928;0;48 
1468;0;40;0;734;0;40 
3212;5;68;0;1606;0;48 
1981;4;56;0;990;0;40 
1778;0;52;0;889;0;52 
1868;3;52;0;934;0;40 
2793;2;48;0;1396;0;40 
1942;2;52;0;971;0;44 
3464;11;76;0;1732;0;48 
1806;2;52;0;903;0;44 
1925;0;52;0;962;0;52 
4131;4;68;0;2066;0;52 
2141;2;56;0;1071;0;48 
1970;2;48;0;985;0;40 
1353;2;52;0;677;0;44 
7173;6;72;0;3587;0;52 
1536;0;36;0;768;0;36 
1806;3;52;0;903;0;40 
1602;1;48;0;801;0;44 
3921;2;52;0;1960;0;44 
1978;0;52;0;989;0;52 
1929;1;56;0;965;0;52 
1654;1;44;0;827;0;40 
1914;2;44;0;957;0;36 
3987;2;60;0;1994;0;52 
1945;2;60;0;973;0;52 
4388;2;56;0;2194;0;48 
1979;2;60;0;990;0;52 
2392;2;60;0;1196;0;52 
3356;3;44;0;1678;0;32 
2010;1;56;0;1005;0;52 
1631;1;44;0;816;0;40 
1791;3;60;0;896;0;48 
1946;1;48;0;973;0;44 
1873;1;44;0;937;0;40 
2133;2;52;0;1067;0;44 
4906;6;68;0;2453;0;44 
1998;3;56;0;999;0;44 
3653;4;48;0;1827;0;32 
1762;0;48;0;881;0;48 
2198;5;64;0;1099;0;44 
1712;2;52;0;856;0;44 
4376;4;64;0;2188;0;48 
1968;1;44;0;984;0;40 
1889;1;44;0;944;0;40 
4349;2;52;0;2174;0;44 
2010;2;44;0;1005;0;36 
2386;5;64;0;1193;0;44 
1736;0;28;0;868;0;28 
1917;3;56;0;958;0;44 
2019;4;64;0;1010;0;48 
3449;0;48;0;1724;0;48 
1935;1;56;0;968;0;52 
1989;1;52;0;995;0;48 
1919;4;56;0;960;0;40 
3155;2;48;0;1578;0;40 
1838;3;52;0;919;0;40 
1904;2;44;0;952;0;36 
2074;0;40;0;1037;0;40 
1595;1;44;0;797;0;40 
3027;6;64;0;1514;0;40 
1482;1;40;0;741;0;36 
1860;0;48;0;930;0;48 
1592;5;64;0;796;0;44 
2259;7;80;0;1130;0;52 
2113;1;56;0;1057;0;52 
1744;1;44;0;872;0;40 
3202;2;28;0;1601;0;20 
1774;1;40;0;887;0;36 
2365;4;64;0;1182;0;48 
5225;2;52;0;2613;0;44 
1850;1;52;0;925;0;48 
4805;0;48;0;2403;0;48 
3102;2;60;0;1551;0;52 
2480;1;56;0;1240;0;52 
1843;5;64;0;922;0;44 
1658;3;60;0;829;0;48 
3778;1;44;0;1889;0;40 
1772;2;48;0;886;0;40 
4793;3;64;0;2397;0;52 
1979;2;48;0;990;0;40 
1986;3;56;0;993;0;44 
1950;2;56;0;975;0;48 
3594;1;44;0;1797;0;40 
2161;4;60;0;1081;0;44 
1812;1;56;0;906;0;52 
1619;0;40;0;809;0;40 
2247;2;60;0;1124;0;52 
1768;1;44;0;884;0;40 
1685;0;48;0;843;0;48 
1939;5;64;0;970;0;44 
1810;3;56;0;905;0;44 
1932;5;68;0;966;0;48 
2001;1;48;0;1001;0;44 
1900;5;72;0;950;0;52 
1817;0;44;0;908;0;44 
1944;0;40;0;972;0;40 
2317;1;36;0;1159;0;32 
1839;2;52;0;920;0;44 
2097;2;56;0;1048;0;48 
2716;8;84;0;1358;0;52 
1663;1;48;0;832;0;44 
1601;2;48;0;800;0;40 
1970;0;48;0;985;0;48 
2041;5;68;0;1020;0;48 
1890;1;52;0;945;0;48 
1975;3;60;0;988;0;48 
1807;3;56;0;904;0;44 
1369;1;36;0;685;0;32 
1930;1;44;0;965;0;40 
2046;7;68;0;1023;0;40 
2271;4;68;0;1135;0;52 
1894;2;56;0;947;0;48 
2055;1;48;0;1028;0;44 
1959;3;60;0;980;0;48 
2019;1;44;0;1010;0;40 
1804;0;40;0;902;0;40 
3614;1;28;0;1807;0;24 
1357;2;40;0;678;0;32 
1398;1;32;0;699;0;28 
4705;3;60;0;2352;0;48 
1809;4;60;0;905;0;44 
1884;2;64;0;942;0;56 
1974;4;64;0;987;0;48 
2002;2;56;0;1001;0;48 
2096;2;56;0;1048;0;48 
1597;2;52;0;798;0;44 
1684;2;36;0;842;0;28 
1549;0;36;0;775;0;36 
2488;1;56;0;1244;0;52 
2164;9;84;0;1082;0;48 
2067;0;52;0;1034;0;52 
2023;3;56;0;1011;0;44 
2386;3;60;0;1193;0;48 
5054;0;52;0;2527;0;52 
2143;7;80;0;1071;0;52 
2100;5;72;0;1050;0;52 
1532;2;44;0;766;0;36 
1782;3;52;0;891;0;40 
4182;1;52;0;2091;0;48 
3293;6;72;0;1647;0;48 
1838;1;52;0;919;0;48 
1913;2;56;0;957;0;48 
2236;3;64;0;1118;0;52 
4422;2;52;0;2211;0;44 
1576;1;40;0;788;0;36 
2779;8;76;0;1390;0;44 
1777;0;40;0;889;0;40 
1996;2;60;0;998;0;52 
1994;1;52;0;997;0;48 
2894;7;68;0;1447;0;44 
1575;0;44;0;788;0;44 
1401;3;44;0;700;0;32 
1695;5;60;0;848;0;40 
1788;2;52;0;894;0;44 
1924;1;56;0;962;0;52 
4951;6;64;0;2476;0;48 
4742;4;60;0;2371;0;44 
4058;3;52;0;2029;0;40 
1999;1;48;0;1000;0;44 
3992;10;76;0;1996;0;48 
1956;0;48;0;978;0;48 
4480;1;56;0;2240;0;52 
3652;3;60;0;1826;0;48 
1938;2;52;0;969;0;44 
1824;0;44;0;912;0;44 
5462;3;64;0;2731;0;52 
4355;2;56;0;2177;0;48 
1971;0;44;0;986;0;44 
2110;9;76;0;1055;0;40 
1953;3;68;0;977;0;56 
1994;5;68;0;997;0;48 
2070;3;56;0;1035;0;44 
2079;3;56;0;1040;0;44 
1876;1;44;0;938;0;40 
2034;3;64;0;1017;0;52 
1697;1;52;0;849;0;48 
3905;5;72;0;1953;0;52 
2009;1;44;0;1005;0;40 
1467;3;52;0;733;0;40 
1951;2;60;0;976;0;52 
4061;0;52;0;2031;0;52 
1795;3;56;0;898;0;44 
2026;5;64;0;1013;0;44 
2138;0;48;0;1069;0;48 
4780;2;60;0;2390;0;52 
1702;3;56;0;851;0;44 
4848;2;56;0;2424;0;48 
2511;2;52;0;1256;0;44 
3060;3;60;0;1530;0;48 
2790;1;48;0;1395;0;44 
1994;3;64;0;997;0;52 
1885;2;52;0;943;0;44 
4950;1;44;0;2475;0;40 
2152;2;64;0;1076;0;56 
1917;0;48;0;959;0;48 
4585;0;44;0;2293;0;44 
1717;1;52;0;859;0;48 
1676;2;48;0;838;0;40 
1801;1;44;0;900;0;40 
1828;1;40;0;914;0;36 
4183;3;64;0;2091;0;52 
3127;0;48;0;1564;0;48 
2000;3;52;0;1000;0;40 
1903;2;52;0;952;0;44 
1770;1;48;0;885;0;44 
4551;2;60;0;2275;0;52 
1973;0;44;0;987;0;44 
4233;2;48;0;2116;0;40 
1646;2;44;0;823;0;36 
1614;1;36;0;807;0;32 
1895;1;48;0;948;0;44 
1794;1;48;0;897;0;44 
2173;1;44;0;1087;0;40 
1663;0;44;0;831;0;44 
1383;0;24;0;691;0;24 
4627;2;52;0;2314;0;44 
1901;8;78;0;950;0;48 
1814;2;52;0;907;0;44 
1966;4;68;0;983;0;52 
1802;2;56;0;901;0;48 
1706;1;48;0;853;0;44 
1635;4;56;0;817;0;40 
3238;2;48;0;1619;0;40 
1273;4;40;0;636;0;24 
1428;3;48;0;714;0;36 
1924;4;64;0;962;0;48 
2711;8;80;0;1355;0;48 
4906;3;64;0;2453;0;52 
2180;2;60;0;1090;0;52 
2056;2;56;0;1028;0;48 
2181;4;68;0;1090;0;52 
1701;0;40;0;851;0;40 
3306;4;68;0;1653;0;52 
1815;3;56;0;908;0;44 
3260;2;40;0;1630;0;32 
1947;3;52;0;974;0;40 
3725;10;96;0;1862;0;56 
2021;3;56;0;1011;0;44 
3850;3;64;0;1925;0;52 
1990;2;44;0;995;0;36 
2320;2;64;0;1160;0;56 
3710;2;48;0;1855;0;40 
1936;1;52;0;968;0;48 
1851;4;52;0;925;0;36 
2286;3;56;0;1143;0;44 
1735;2;52;0;868;0;44 
1679;2;52;0;840;0;44 
2650;5;64;0;1325;0;44 
1790;2;52;0;895;0;44 
1896;3;60;0;948;0;48 
1934;4;60;0;967;0;44 
1999;1;48;0;1000;0;44 
1822;1;56;0;911;0;52 
1993;1;48;0;997;0;44 
2299;4;68;0;1149;0;52 
2054;1;48;0;1027;0;44 
1830;2;56;0;915;0;48 
2360;8;88;0;1180;0;56 
1590;1;44;0;795;0;40 
1804;4;60;0;902;0;44 
2550;1;44;0;1275;0;40 
2937;1;56;0;1469;0;52 
1993;2;60;0;997;0;52 
3358;4;60;0;1679;0;44 
4223;2;48;0;2112;0;40 
1663;3;52;0;832;0;40 
2138;0;48;0;1069;0;48 
2271;5;59;0;1135;0;40 
2027;3;60;0;1014;0;48 
1741;3;56;0;871;0;44 
2102;3;64;0;1051;0;52 
1817;5;60;0;909;0;40 
2072;2;56;0;1036;0;48 
6332;1;44;0;3166;0;44 
998;3;32;0;499;0;20 
5093;1;48;0;2546;0;44 
1653;2;52;0;826;0;44 
3726;10;76;0;1863;0;52 
4590;3;52;0;2295;0;40 
