Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x1D;bs_perf_n5_eventos_2...;6,5528;3,1758;0,37911678549679273;4,730112344225547;11,65244172109282;10,079175954279147;1,0;0,0602;2,0602
0xE0;bs_perf_n9_eventos_2...;0,0137;52,7651;0,8972623886394836;0,053365962671140466;607,1020860873452;4,969771865100567;0,0021;1,0;1,0042
0xE7;bs_perf_n10_eventos_...;1,5594;4,4949;0,6138883863093824;0,950470048049167;4,282435820280686;10,803737303960459;0,238;0,0852;0,5611
0xC3;bs_perf_n7_eventos_2...;0,0077;25,0014;0,45354642415972035;0,008953261406543511;178,57599546817178;6,350515958979493;0,0012;0,4738;0,4762
0xE1;bs_perf_n9_eventos_2...;0,2028;15,561;0,7845653954087215;0,1760807397011095;30,095598925002815;8,756493733405957;0,0309;0,2949;0,3568
0x61;bs_perf_n6_eventos_2...;0,0408;8,0;0,4929036008507606;0,11859292582544789;3,321579737354043;2,8090356276003017;0,0062;0,1516;0,1641
0x18;bs_perf_n5_eventos_2...;0,0774;5,5;0,5672402215055489;0,0988426474035018;3,813496415473645;2,844480580230162;0,0118;0,1042;0,1279
0x19;bs_perf_n5_eventos_2...;0,1649;1,3333;0,36934745123265333;0,08502052711527508;2,085093073661581;3,4907177292799187;0,0252;0,0253;0,0756
0x60;bs_perf_n5_eventos_2...;0,1648;1,2;0,2845890856685309;0,08354081534098601;1,1545754578370642;2,647397662692586;0,0252;0,0227;0,073
0x17;bs_perf_n4_eventos_2...;0,1512;1,2;0,2785934338472382;0,023893730176038463;1,0719501930661424;2,588993363582662;0,0231;0,0227;0,0689
0xCC;bs_perf_n8_eventos_2...;0,0055;1,6667;0,4363246032109245;0,0;-0,22420767668053765;2,89619161946223;0,0008;0,0316;0,0333
0xE2;bs_perf_n9_eventos_2...;0,0;1,4444;0,8658756872311653;0,0;7453,161825792204;1,8261901692571736;0,0;0,0274;0,0274
0x05;bs_perf_n1_eventos_2...;0,0087;1,0;0,942828229982561;0,0;13,474215454247657;0,338957714896624;0,0013;0,019;0,0216
0x01;bs_perf_n1_eventos_2...;0,0054;1,0;0,38459754615050884;0,010586345075929593;-0,07513874560540268;2,7128687263255062;0,0008;0,019;0,0206
0x86;bs_perf_n6_eventos_2...;0,0;1,0;1,0000000000000002;0,00011500696378075048;550,8333368542515;0,01900652978466376;0,0;0,019;0,019
0x10.1;bs_perf_n3_eventos_2...;0,0;0,8333;0,3815383203294739;0,02301938023771033;-0,1547077791589122;2,996207863218324;0,0;0,0158;0,0158
0x10;bs_perf_n3_eventos_2...;0,0;0,8333;0,3815383203294739;0,02301938023771033;-0,1547077791589122;2,996207863218324;0,0;0,0158;0,0158
0x16;bs_perf_n4_eventos_2...;0,0166;0,3;0,28554999175189405;0,020258396793289446;0,7995948931951453;3,075237937409005;0,0025;0,0057;0,0108
0x03;bs_perf_n1_eventos_2...;0,0052;0,4444;0,5637250354022806;0,0;5,006990342129855;1,1402802375221417;0,0008;0,0084;0,01
0x15;bs_perf_n4_eventos_2...;0,0017;0,4444;0,559494885963933;0,032296136288528565;4,423099534550783;1,1665447864833807;0,0003;0,0084;0,0089
0xC0;bs_perf_n6_eventos_2...;0,0;0,4;0,23329755535418467;0,010327426038904797;1,2940363011421225;2,8558747070355395;0,0;0,0076;0,0076
0x14;bs_perf_n4_eventos_2...;0,0041;0,25;0,4042241421658384;0,0;-0,12299350521767582;6,4913695189560725;0,0006;0,0047;0,006
0xE4;bs_perf_n10_eventos_...;0,0058;0,0758;0,4111543024436391;0,043103241352682176;-0,18452932710240866;3,0095058676801996;0,0009;0,0014;0,0032
0x0F;bs_perf_n3_eventos_2...;0,0067;0,0;0,0;0,0;0,0;0,0;0,001;0,0;0,0021
0x7A;bs_perf_n6_eventos_2...;0,006;0,0;0,0;0,0;0,0;0,0;0,0009;0,0;0,0018
0xC8;bs_perf_n8_eventos_2...;0,0048;0,0;0,0;0,0;0,0;0,0;0,0007;0,0;0,0015
0xE3;bs_perf_n9_eventos_2...;0,0046;0,0;0,0;0,0;0,0;0,0;0,0007;0,0;0,0014
