CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
1802;0;14;0;10;171;0 
1681;0;13;0;9;172;0 
1616;0;10;0;9;172;0 
2003;0;10;0;9;171;0 
1985;0;12;0;9;173;0 
3773;0;10;0;9;172;0 
4273;0;9;0;10;171;0 
3730;0;13;0;9;171;0 
3024;0;12;0;9;171;0 
2097;0;9;0;9;171;0 
3954;0;10;0;9;171;0 
1891;0;10;0;9;171;0 
3615;0;9;0;9;172;0 
7498;0;13;0;9;172;0 
3735;0;10;0;9;171;0 
4847;0;10;0;9;171;0 
4575;0;9;0;9;172;0 
1824;0;14;0;9;171;0 
2021;0;12;0;9;172;0 
1802;0;13;0;9;172;0 
3719;0;11;0;9;171;0 
1949;0;13;0;10;171;0 
1602;0;12;0;9;171;0 
1952;0;13;0;9;171;0 
2165;0;13;0;9;171;0 
1868;0;9;0;10;171;0 
1924;0;9;0;9;171;0 
1813;0;9;0;9;171;0 
3833;0;12;0;9;171;0 
1718;0;13;0;9;171;0 
3200;0;11;0;9;171;0 
1746;0;9;0;9;171;0 
2657;0;12;0;9;172;0 
4014;0;10;0;10;171;0 
3601;0;10;0;9;172;0 
1768;0;8;0;9;171;0 
5191;0;13;0;9;172;0 
1490;0;12;0;9;171;0 
1756;0;12;0;10;171;0 
1720;0;10;0;11;172;1 
1955;0;13;0;9;172;0 
2056;0;12;0;9;171;0 
2056;0;10;0;9;171;0 
2292;0;9;0;9;171;0 
4036;0;13;0;11;172;0 
2577;0;9;0;9;172;0 
2123;0;12;0;9;171;0 
1967;0;10;0;9;172;0 
2933;0;13;0;9;170;0 
1816;0;14;0;10;171;0 
4441;0;11;0;9;171;0 
2083;0;13;0;9;172;0 
3269;0;12;0;9;172;0 
2150;0;10;0;9;171;0 
2863;0;10;0;9;172;0 
3731;0;12;0;9;171;0 
3092;0;13;0;10;171;1 
1560;0;11;0;9;171;0 
4461;0;12;0;9;171;0 
2382;0;10;0;9;171;0 
5823;0;11;0;10;172;1 
1657;0;12;0;9;171;0 
1783;0;12;0;9;172;0 
2164;0;12;0;9;172;0 
2026;0;12;0;9;172;0 
1498;0;12;0;9;170;0 
2185;0;10;0;10;171;0 
1970;0;10;0;10;171;1 
6951;0;12;0;10;172;0 
4639;0;10;0;9;171;0 
2205;0;13;0;9;171;0 
2018;0;13;0;9;171;0 
4606;0;13;0;9;172;0 
1906;0;12;0;9;171;0 
1744;0;13;0;9;171;0 
3717;0;10;0;9;171;0 
4989;0;14;0;9;172;0 
2102;0;9;0;9;171;0 
1722;0;10;0;9;172;0 
3253;0;11;0;10;171;1 
2525;0;12;0;9;171;0 
4034;0;10;0;9;171;0 
3319;0;10;0;9;171;0 
1782;0;12;0;9;172;0 
6926;0;9;0;9;171;0 
2100;0;13;0;9;171;0 
1951;0;10;0;9;172;0 
2006;0;11;0;9;171;0 
1857;0;13;0;9;172;0 
1899;0;10;0;9;172;0 
1739;0;11;0;9;172;0 
2972;0;12;0;10;172;0 
3948;0;8;0;10;171;0 
1585;0;11;0;9;172;0 
4443;0;11;0;9;172;0 
1885;0;9;0;9;173;0 
2993;0;12;0;9;171;0 
1715;0;14;0;9;171;0 
3728;0;14;0;10;171;1 
2878;0;10;0;9;172;0 
4105;0;10;0;9;171;0 
2051;0;12;0;9;171;0 
1889;0;11;0;10;172;0 
1856;0;11;0;9;171;0 
2135;0;10;0;9;172;0 
1829;0;13;0;10;171;0 
3083;0;10;0;9;172;0 
2105;0;13;0;11;171;0 
3213;0;9;0;9;171;0 
3636;0;12;0;9;172;0 
4045;0;13;0;10;171;1 
1888;0;11;0;11;171;0 
2066;0;10;0;10;171;0 
1503;0;12;0;9;171;0 
1865;0;12;0;9;172;0 
3971;0;10;0;9;171;0 
3997;0;8;0;9;172;0 
1601;0;14;0;10;171;1 
2078;0;10;0;9;171;0 
1912;0;8;0;10;171;0 
2180;0;11;0;9;171;0 
3783;0;11;0;11;171;0 
1817;0;11;0;10;171;0 
1969;0;15;0;10;170;0 
4978;0;13;0;9;172;0 
2111;0;13;0;11;171;0 
1774;0;11;0;9;172;0 
1920;0;12;0;9;171;0 
2526;0;10;0;9;173;0 
2435;0;7;0;9;172;0 
1716;0;15;0;9;170;0 
2736;0;10;0;9;172;0 
3993;0;12;0;10;171;0 
1818;0;10;0;9;171;0 
3579;0;12;0;9;172;0 
2418;0;12;0;11;171;0 
4275;0;15;0;9;170;0 
4810;0;10;0;10;172;0 
1981;0;13;0;9;171;0 
2012;0;10;0;9;172;0 
4052;0;13;0;9;172;0 
2121;0;14;0;9;170;0 
1616;0;10;0;10;172;1 
4808;0;13;0;10;170;0 
2509;0;11;0;9;171;0 
1668;0;10;0;10;172;0 
1795;0;10;0;9;171;0 
2017;0;15;0;9;170;0 
5995;0;9;0;9;171;0 
2306;0;13;0;9;172;0 
1661;0;7;0;9;171;0 
2094;0;11;0;9;172;0 
2573;0;9;0;9;172;0 
4549;0;10;0;9;172;0 
2004;0;11;0;9;172;0 
1941;0;10;0;9;172;0 
3896;0;8;0;10;171;0 
1661;0;12;0;9;171;0 
1616;0;12;0;10;171;1 
1669;0;9;0;10;171;0 
2152;0;12;0;9;173;0 
2133;0;12;0;10;170;1 
2227;0;12;0;9;172;0 
1870;0;11;0;9;171;0 
4257;0;11;0;9;172;1 
2000;0;12;0;9;171;0 
1627;0;13;0;9;171;0 
1728;0;13;0;9;172;0 
1818;0;12;0;9;171;0 
1634;0;12;0;9;171;0 
1695;0;10;0;9;171;0 
2200;0;13;0;10;171;0 
4695;0;13;0;9;171;0 
1864;0;13;0;10;171;0 
1886;0;12;0;9;171;0 
1593;0;13;0;9;171;0 
4689;0;11;0;9;171;0 
1625;0;11;0;9;172;0 
2368;0;15;0;9;170;0 
1875;0;10;0;10;171;0 
3897;0;13;0;9;171;0 
2920;0;10;0;9;171;0 
4353;0;12;0;10;173;0 
2101;0;12;0;10;171;0 
2432;0;11;0;10;171;0 
1858;0;13;0;9;171;0 
2082;0;9;0;9;172;0 
2060;0;13;0;10;171;0 
5701;0;11;0;9;172;0 
1768;0;12;0;9;171;0 
1638;0;9;0;9;171;0 
1825;0;11;0;10;171;0 
1671;0;9;0;9;172;0 
2241;0;13;0;12;171;0 
1673;0;10;0;9;171;0 
1802;0;12;0;9;170;0 
3883;0;11;0;9;171;0 
1716;0;10;0;9;170;0 
2020;0;12;0;9;172;0 
2828;0;10;0;10;171;0 
1776;0;12;0;9;171;0 
3440;0;13;0;9;171;0 
1793;0;13;0;9;171;0 
1893;0;10;0;10;170;0 
4719;0;10;0;9;172;0 
1907;0;9;0;9;171;0 
2024;0;12;0;9;171;0 
1778;0;12;0;9;172;0 
1671;0;12;0;10;172;0 
1753;0;11;0;9;172;0 
4333;0;12;0;9;171;0 
3652;0;10;0;9;171;0 
1723;0;11;0;9;171;0 
1926;0;10;0;9;171;0 
1943;0;11;0;10;172;1 
1671;0;12;0;9;171;0 
2797;0;13;0;9;171;0 
1738;0;12;0;9;171;0 
1490;0;9;0;9;171;0 
1649;0;10;0;10;171;0 
1865;0;14;0;9;171;0 
1897;0;12;0;9;173;0 
1360;0;11;0;9;171;0 
1606;0;13;0;9;171;0 
2167;0;12;0;10;171;0 
1738;0;7;0;9;172;0 
1710;0;12;0;9;172;0 
4356;0;11;0;9;171;0 
4539;0;12;0;9;172;0 
3958;0;9;0;10;172;0 
3206;0;13;0;9;171;0 
2158;0;12;0;9;171;0 
4813;0;14;0;9;171;0 
3231;0;13;0;10;172;0 
1697;0;9;0;9;171;0 
4955;0;12;0;9;172;0 
3336;0;10;0;9;172;0 
3565;0;10;0;10;171;1 
2083;0;14;0;9;171;0 
2127;0;10;0;9;172;0 
1717;0;10;0;9;171;0 
1727;0;12;0;10;172;0 
2917;0;11;0;9;172;0 
3684;0;11;0;9;172;0 
4678;0;9;0;9;171;0 
2167;0;13;0;10;170;1 
1968;0;11;0;10;171;0 
2174;0;12;0;9;171;0 
2291;0;14;0;9;171;0 
1515;0;13;0;9;172;0 
1836;0;13;0;9;171;0 
1648;0;10;0;9;171;0 
4154;0;12;0;9;173;0 
3807;0;11;0;9;172;0 
