CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
311979;57853;16202;214388;0;10;0 
310820;57853;16201;214385;0;9;0 
308654;57853;16201;214388;0;9;0 
318846;57853;16201;214387;0;9;0 
317312;57853;16201;214387;0;9;0 
317565;57853;16201;214389;0;11;0 
318970;57853;16201;214387;0;9;0 
309757;57853;16201;214388;0;9;0 
305921;57853;16201;214387;0;9;0 
311918;57853;16201;214387;0;9;0 
305468;57853;16201;214388;0;9;0 
331634;57853;16201;214385;0;9;0 
325926;57853;16201;214387;0;9;0 
317612;57853;16201;214388;0;9;0 
307076;57853;16201;214387;0;9;0 
312927;57853;16201;214388;0;9;0 
313123;57853;16201;214385;0;9;0 
308769;57853;16202;214388;0;10;0 
307542;57853;16201;214384;0;9;0 
317045;57853;16201;214387;0;11;0 
319122;57853;16201;214387;0;9;0 
318304;57853;16201;214388;0;9;0 
319877;57853;16201;214385;0;9;0 
315988;57853;16201;214386;0;9;0 
309174;57853;16201;214385;0;9;0 
311819;57853;16201;214384;0;9;0 
321856;57853;16201;214389;0;9;0 
309728;57853;16201;214386;0;9;0 
314778;57853;16201;214385;0;9;0 
324966;57853;16201;214386;0;9;0 
319493;57853;16201;214386;0;9;0 
323756;57853;16201;214387;0;9;0 
322125;57853;16201;214384;0;9;0 
320617;57853;16201;214387;0;9;0 
316585;57853;16201;214386;0;9;0 
319573;57853;16201;214387;0;9;0 
320395;57853;16201;214387;0;9;0 
318769;57853;16201;214385;0;9;0 
325415;57853;16201;214386;0;9;0 
326809;57853;16201;214386;0;9;0 
318717;57853;16201;214385;0;9;0 
329196;57853;16201;214386;0;9;0 
306058;57854;16201;214389;0;10;0 
322484;57853;16201;214388;0;9;0 
323141;57853;16201;214386;0;9;0 
324957;57853;16201;214385;0;9;0 
326102;57853;16201;214388;0;9;0 
326081;57853;16201;214388;0;9;0 
321992;57853;16201;214387;0;9;0 
317360;57853;16201;214386;0;9;0 
317279;57853;16201;214385;0;9;0 
326299;57853;16201;214385;0;9;0 
330085;57853;16202;214388;0;10;0 
324116;57853;16201;214386;0;9;0 
321847;57853;16202;214387;0;10;0 
311263;57853;16201;214388;0;9;0 
326380;57853;16202;214390;0;10;0 
311473;57853;16201;214384;0;9;0 
316501;57853;16201;214391;0;10;0 
327763;57853;16201;214387;0;9;0 
323075;57853;16201;214387;0;9;0 
330581;57853;16201;214387;0;9;0 
309798;57853;16201;214385;0;9;0 
313583;57853;16201;214385;0;9;0 
