CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
311716;0;21346;3;3;5123;0 
311151;0;21346;2;2;5241;0 
309903;0;21346;2;2;5135;0 
312208;0;21346;2;2;5171;0 
310042;0;21346;2;2;5191;0 
310622;0;21346;2;2;5181;0 
311663;0;21346;2;2;5195;0 
306210;0;21346;2;2;5168;0 
309033;0;21346;2;2;5264;0 
302613;0;21346;2;2;5152;0 
311642;0;21346;2;2;5224;0 
309341;0;21346;2;2;5138;0 
306201;0;21346;2;2;5182;0 
312362;0;21346;2;2;5180;0 
307122;0;21346;2;2;5161;0 
303195;0;21346;2;2;5168;0 
314001;0;21346;2;2;5141;0 
307536;0;21346;2;2;5149;0 
306356;0;21346;2;2;5146;0 
309857;0;21346;2;2;5208;0 
302429;0;21346;2;2;5158;0 
313321;0;21346;2;2;5142;0 
310474;0;21346;2;2;5153;0 
318504;0;21346;2;2;5183;0 
309890;0;21346;2;2;5167;0 
311487;0;21346;2;2;5141;0 
312719;0;21346;2;2;5165;0 
312292;0;21346;2;2;5166;0 
309462;0;21346;2;2;5162;0 
310594;0;21346;2;2;5166;0 
310094;0;21346;2;2;5166;0 
314059;0;21346;2;2;5187;0 
312305;0;21346;2;2;5219;0 
310597;0;21346;2;2;5165;0 
308021;0;21346;2;2;5148;0 
314017;0;21346;2;2;5210;0 
309974;0;21346;2;2;5121;0 
313493;0;21346;2;2;5195;0 
307703;0;21346;2;2;5200;0 
310390;0;21346;2;2;5110;0 
315096;0;21346;2;2;5166;0 
306151;0;21346;2;2;5224;0 
308834;0;21346;2;2;5155;0 
319569;0;21346;2;2;5209;0 
308893;0;21346;2;2;5165;0 
309534;0;21346;2;2;5149;0 
310733;0;21346;2;2;5118;0 
307716;0;21346;2;2;5121;0 
308427;0;21346;2;2;5190;0 
310566;0;21346;2;2;5164;0 
308547;0;21346;2;2;5202;0 
312597;0;21346;2;2;5207;0 
309058;0;21346;2;2;5140;0 
309431;0;21346;2;2;5148;0 
313709;0;21346;2;2;5182;0 
312734;0;21346;2;2;5142;0 
311446;0;21346;2;2;5149;0 
312096;0;21346;2;2;5193;0 
310889;0;21346;2;2;5157;0 
322921;1;21346;2;2;5202;0 
306090;0;21346;2;2;5175;0 
313516;0;21346;2;2;5173;0 
309875;0;21346;2;2;5157;0 
310006;0;21346;2;2;5178;0 
306683;0;21346;2;2;5163;0 
310370;0;21346;2;2;5188;0 
310052;0;21346;2;2;5158;0 
309203;0;21346;2;2;5147;0 
312128;0;21346;2;2;5200;0 
310072;0;21346;2;2;5260;0 
315040;0;21346;2;2;5185;0 
302145;0;21346;2;2;5161;0 
308988;0;21346;2;2;5211;0 
320208;0;21346;2;2;5199;0 
314091;0;21346;2;2;5164;0 
312938;0;21346;2;2;5199;0 
306901;0;21346;2;2;5166;0 
310220;0;21346;2;2;5208;0 
317815;0;21346;2;2;5122;0 
312366;0;21346;2;2;5189;0 
311471;0;21346;2;2;5156;0 
312480;0;21346;2;2;5169;0 
302828;0;21346;2;2;5201;0 
310023;0;21346;2;2;5166;0 
313122;0;21346;2;2;5189;0 
305902;0;21346;2;2;5153;0 
314599;0;21346;2;2;5128;0 
307479;0;21346;2;2;5211;0 
311933;0;21346;2;2;5185;0 
305319;0;21346;2;2;5212;0 
313350;0;21346;2;2;5150;0 
318246;0;21346;2;2;5137;0 
307632;0;21346;2;2;5154;0 
303093;0;21346;2;2;5156;0 
312925;0;21346;2;2;5159;0 
311696;0;21346;2;2;5165;0 
310015;0;21346;2;2;5209;0 
309174;0;21346;2;2;5178;0 
313078;0;21346;2;2;5151;0 
310804;0;21346;2;2;5193;0 
311860;0;21346;2;2;5207;0 
309687;0;21346;2;2;5158;0 
308868;0;21346;2;2;5177;0 
310707;0;21346;2;2;5204;0 
310830;0;21346;2;2;5211;0 
319586;0;21346;2;2;5162;0 
308740;0;21346;2;2;5209;0 
307427;0;21346;2;2;5203;0 
311860;0;21346;2;2;5170;0 
314590;0;21346;2;2;5215;0 
304420;0;21346;2;2;5164;0 
