CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
314889;71712;21702;0;38462;308;0 
307404;71672;21704;0;31609;304;0 
311370;71702;21704;0;35238;325;0 
315956;71737;21705;0;39409;266;0 
311699;71704;21705;0;36094;270;0 
310725;71709;21707;0;34708;279;0 
322625;71616;21705;0;47289;328;0 
310281;71692;21703;0;34175;281;0 
311295;71709;21707;0;35341;256;0 
312353;71739;21704;0;35969;273;0 
315436;71720;21709;0;39203;287;0 
310267;71711;21701;0;33648;285;0 
307090;71680;21701;0;31294;296;0 
315409;71665;21701;0;39616;275;0 
313601;71731;21708;0;37309;299;0 
316674;71694;21707;0;38055;266;0 
316785;71711;21706;0;40875;300;0 
309298;71681;21705;0;33211;292;0 
311654;71689;21702;0;32416;322;0 
309696;71695;21705;0;33509;368;0 
307052;71695;21703;0;31146;281;0 
308943;71669;21705;0;33219;259;0 
315619;71675;21701;0;36838;291;0 
306472;71689;21700;0;30546;359;0 
306811;71669;21704;0;29315;757;0 
309033;71751;21708;0;30736;251;0 
309576;71698;21708;0;33668;349;0 
313660;71631;21700;0;38027;303;0 
309183;71769;21705;0;32712;300;0 
309384;71669;21703;0;33476;307;0 
311959;71720;21703;0;35354;301;0 
312561;71730;21704;0;36282;250;0 
312900;71675;21702;0;37155;283;0 
307536;71716;21704;0;31150;302;0 
312778;71692;21706;0;32149;296;0 
304715;71692;21699;0;28813;315;0 
308052;71722;21704;0;31323;580;0 
305003;71701;21703;0;28964;273;0 
310487;71698;21701;0;34304;310;0 
307883;71773;21708;0;31475;292;0 
305860;71670;21704;0;30347;274;0 
308452;71706;21703;0;32000;247;0 
304718;71682;21707;0;28731;335;0 
316958;71707;21701;0;40694;289;0 
309968;71714;21702;0;33965;315;0 
310734;71681;21704;0;34663;570;0 
305464;71698;21703;0;29462;347;0 
308179;71697;21705;0;31690;301;0 
313293;71709;21703;0;34096;296;0 
315202;71794;21707;0;37397;351;0 
309414;71689;21706;0;33177;274;0 
313141;71693;21703;0;37081;259;0 
307823;71680;21706;0;30454;327;0 
307994;71673;21706;0;32500;304;0 
303729;71645;21703;0;26829;289;0 
319795;71731;21704;0;43410;294;0 
312639;71669;21707;0;36459;267;0 
304983;71654;21701;0;29308;355;0 
311202;71678;21700;0;35435;288;0 
322145;71680;21702;0;46065;344;0 
311073;71701;21704;0;34861;259;0 
314145;71702;21709;0;36964;267;0 
309176;71695;21700;0;33605;274;0 
309576;71671;21707;0;34171;282;0 
310301;71681;21706;0;31547;303;0 
311423;71660;21705;0;33322;278;0 
313626;71730;21703;0;37129;332;0 
310527;71725;21708;0;34276;318;0 
310512;71688;21706;0;34672;286;0 
311583;71651;21705;0;35711;291;0 
307160;71693;21706;0;31248;292;0 
