CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
313615;214;3231;0;156808;0;2375 
308731;156;2825;0;154366;0;2201 
308036;171;2904;0;154016;0;2220 
307236;171;2940;0;153618;0;2260 
309636;153;2816;0;154817;0;2204 
312997;177;2952;0;156498;0;2240 
314028;191;3046;0;157012;0;2288 
302251;198;3000;0;151125;0;2208 
307377;172;2876;0;153689;0;2188 
313218;144;2896;0;156608;0;2320 
304625;147;2820;0;152312;0;2236 
318402;168;3060;0;159201;0;2392 
312025;217;3060;0;156012;0;2204 
304445;149;2880;0;152221;0;2288 
305676;170;2915;0;152838;0;2235 
309891;137;2792;0;154944;0;2244 
312257;152;2828;0;156127;0;2216 
311317;172;2940;0;155659;0;2252 
301930;154;2865;0;150964;0;2252 
307274;184;2960;0;153637;0;2224 
314046;192;3067;0;157023;0;2309 
309584;158;2908;0;154792;0;2276 
315764;213;3170;0;157884;0;2318 
310466;144;2841;0;155233;0;2265 
308348;147;2840;0;154173;0;2252 
307606;181;2976;0;153804;0;2256 
310869;152;2836;0;155436;0;2232 
313374;192;3048;0;156687;0;2282 
310413;172;2998;0;155205;0;2312 
304403;173;2932;0;152201;0;2244 
313821;184;3016;0;156911;0;2280 
312969;179;2964;0;156486;0;2248 
309260;177;2948;0;154630;0;2240 
308537;223;3160;0;154267;0;2276 
309831;181;2924;0;154916;0;2200 
308498;181;3022;0;154248;0;2304 
304351;166;2908;0;152175;0;2244 
303914;171;2880;0;151958;0;2200 
314244;133;2812;0;157122;0;2284 
310245;190;2980;0;155122;0;2224 
316289;217;3108;0;158145;0;2240 
309729;153;2864;0;154864;0;2264 
309809;167;2888;0;154903;0;2224 
310842;166;2922;0;155420;0;2258 
307724;166;2933;0;153861;0;2269 
311106;165;2892;0;155551;0;2232 
312953;155;2865;0;156476;0;2244 
311272;180;2984;0;155637;0;2264 
315808;172;2976;0;157905;0;2288 
313796;161;2924;0;156896;0;2280 
307354;154;2864;0;153677;0;2252 
312407;169;2900;0;156203;0;2228 
307450;187;3002;0;153726;0;2256 
306560;157;2924;0;153280;0;2300 
314677;162;2880;0;157337;0;2232 
313125;196;3054;0;156565;0;2272 
307958;180;2965;0;153979;0;2244 
309596;222;3156;0;154796;0;2268 
318278;169;2908;0;159140;0;2232 
307153;155;2852;0;153575;0;2232 
311008;222;3180;0;155504;0;2292 
307507;161;2888;0;153753;0;2248 
309727;172;2912;0;154863;0;2224 
310659;194;2993;0;155328;0;2221 
315788;163;2952;0;157895;0;2300 
310192;166;2978;0;155095;0;2318 
309576;204;3100;0;154788;0;2288 
312949;189;3020;0;156474;0;2264 
309534;190;2974;0;154766;0;2214 
301435;163;2820;0;150716;0;2168 
310190;148;2800;0;155094;0;2212 
307800;178;2972;0;153899;0;2260 
305483;189;2924;0;152742;0;2168 
307036;154;2836;0;153519;0;2224 
317090;179;3031;0;158546;0;2320 
310447;189;2980;0;155223;0;2224 
310523;177;2932;0;155262;0;2224 
311369;151;2930;0;155684;0;2328 
308671;142;2816;0;154335;0;2248 
318902;200;3183;0;159451;0;2387 
303308;174;2934;0;151654;0;2240 
311515;170;3036;0;155755;0;2356 
311294;192;2968;0;155647;0;2204 
306782;144;2822;0;153391;0;2252 
307957;186;2969;0;153978;0;2245 
310242;173;2948;0;155120;0;2260 
311724;168;2877;0;155863;0;2209 
308071;182;2912;0;154034;0;2184 
309724;196;3028;0;154863;0;2252 
306031;182;2977;0;153015;0;2249 
333615;233;3309;0;166807;0;2377 
301655;168;2938;0;150827;0;2266 
308831;149;2879;0;154416;0;2288 
309794;225;3137;0;154897;0;2236 
307072;184;2940;0;153535;0;2208 
308995;173;2993;0;154497;0;2301 
303404;158;2860;0;151702;0;2228 
310283;167;2932;0;155141;0;2272 
312541;185;2920;0;156270;0;2184 
308928;146;2816;0;154463;0;2236 
311757;202;3060;0;155878;0;2260 
309489;151;2920;0;154745;0;2316 
314712;165;2966;0;157354;0;2308 
306994;178;2983;0;153495;0;2272 
311737;196;3011;0;155871;0;2228 
310422;166;2956;0;155213;0;2292 
313430;205;3042;0;156715;0;2228 
318722;157;2912;0;159360;0;2284 
315203;181;3016;0;157601;0;2292 
307887;190;2972;0;153944;0;2212 
318040;202;3080;0;159021;0;2272 
309777;152;2807;0;154888;0;2199 
307860;203;3081;0;153928;0;2269 
307524;225;3208;0;153761;0;2308 
315305;189;3025;0;157652;0;2272 
312285;205;3106;0;156142;0;2284 
307368;154;2832;0;153682;0;2216 
308559;165;2877;0;154280;0;2217 
314528;172;2898;0;157265;0;2216 
301429;158;2814;0;150715;0;2184 
311865;155;2872;0;155932;0;2256 
313342;175;2917;0;156671;0;2220 
307924;182;3000;0;153961;0;2272 
308648;164;2902;0;154324;0;2248 
310036;184;2996;0;155018;0;2264 
311069;142;2856;0;155534;0;2292 
304924;180;3000;0;152462;0;2284 
305540;171;2944;0;152770;0;2260 
306521;180;2928;0;153260;0;2208 
306889;201;3088;0;153443;0;2284 
304983;204;3066;0;152492;0;2252 
316287;179;2972;0;158144;0;2260 
306798;160;2872;0;153399;0;2240 
304052;196;3048;0;152026;0;2264 
309723;154;2885;0;154861;0;2270 
307842;160;2900;0;153921;0;2264 
307270;179;2948;0;153635;0;2236 
310735;177;3062;0;155368;0;2354 
304856;181;2980;0;152428;0;2260 
312506;153;2832;0;156253;0;2228 
307674;186;3000;0;153836;0;2256 
302221;179;2959;0;151110;0;2244 
304698;136;2792;0;152349;0;2248 
304709;163;2896;0;152356;0;2252 
308844;166;2900;0;154422;0;2236 
308785;186;3014;0;154392;0;2272 
310292;190;3036;0;155146;0;2276 
308831;159;2880;0;154416;0;2244 
312857;181;3019;0;156428;0;2295 
303027;174;2936;0;151514;0;2244 
310401;191;2968;0;155201;0;2212 
310533;176;2951;0;155266;0;2247 
305506;149;2832;0;152754;0;2236 
311993;222;3122;0;155995;0;2240 
309549;189;2972;0;154776;0;2216 
313056;186;3024;0;156529;0;2284 
305942;145;2826;0;152969;0;2252 
314822;192;3088;0;157410;0;2328 
307259;151;2832;0;153629;0;2228 
310971;219;3148;0;155486;0;2271 
310638;189;3016;0;155319;0;2264 
311805;190;3031;0;155902;0;2273 
308574;164;2836;0;154286;0;2180 
302578;161;2864;0;151289;0;2224 
313184;179;2928;0;156592;0;2216 
310670;153;2896;0;155335;0;2284 
308756;182;2904;0;154377;0;2180 
310032;173;2984;0;155016;0;2292 
308623;183;3000;0;154312;0;2276 
315294;143;2840;0;157648;0;2268 
311105;197;3054;0;155550;0;2266 
311293;183;3007;0;155646;0;2275 
310946;149;2861;0;155472;0;2273 
305764;148;2818;0;152881;0;2224 
304685;196;2996;0;152342;0;2214 
314272;209;3149;0;157136;0;2313 
304840;147;2805;0;152418;0;2224 
310394;181;2988;0;155197;0;2264 
309848;176;2920;0;154923;0;2216 
310329;196;3092;0;155163;0;2308 
312898;189;3004;0;156447;0;2254 
312133;172;2986;0;156069;0;2298 
311051;117;2740;0;155525;0;2272 
308149;175;2980;0;154074;0;2280 
313924;182;3040;0;156962;0;2312 
303823;139;2808;0;151912;0;2252 
307172;174;2904;0;153587;0;2208 
310642;201;3046;0;155322;0;2248 
312002;185;2936;0;156003;0;2200 
305609;123;2644;0;152804;0;2156 
312026;210;3110;0;156014;0;2272 
309210;206;3112;0;154605;0;2292 
315685;227;3157;0;157843;0;2250 
307032;183;2988;0;153515;0;2264 
309401;189;3035;0;154699;0;2280 
319674;196;3080;0;159837;0;2296 
301637;149;2760;0;150819;0;2168 
307381;151;2837;0;153691;0;2237 
309231;177;2932;0;154615;0;2228 
308270;171;2973;0;154136;0;2296 
309917;170;2872;0;154958;0;2192 
308923;176;2976;0;154460;0;2276 
310500;177;2912;0;155249;0;2204 
310693;175;3053;0;155345;0;2354 
307355;153;2850;0;153678;0;2242 
309101;165;2975;0;154549;0;2320 
305994;196;2974;0;152997;0;2192 
305174;174;2956;0;152587;0;2264 
310808;149;2828;0;155404;0;2232 
314040;157;2956;0;157019;0;2328 
310628;170;2902;0;155313;0;2222 
315694;188;3027;0;157847;0;2276 
311796;142;2788;0;155896;0;2224 
308167;160;2900;0;154083;0;2264 
310317;224;3150;0;155158;0;2256 
309413;179;3064;0;154707;0;2356 
311016;161;2908;0;155506;0;2264 
309226;176;2976;0;154613;0;2272 
300983;153;2800;0;150492;0;2188 
305853;190;3028;0;152927;0;2276 
314798;177;2894;0;157399;0;2192 
320853;266;3440;0;160427;0;2378 
312177;172;2891;0;156088;0;2205 
304513;191;3048;0;152256;0;2284 
307438;150;2797;0;153718;0;2196 
304179;193;3009;0;152090;0;2241 
315641;198;3048;0;157820;0;2256 
313876;200;3143;0;156937;0;2348 
308574;147;2897;0;154287;0;2312 
313627;186;3009;0;156812;0;2264 
313900;175;2959;0;156949;0;2263 
307424;141;2761;0;153711;0;2197 
309324;165;2926;0;154662;0;2266 
305858;169;2896;0;152929;0;2224 
311691;186;3015;0;155845;0;2272 
310186;157;2913;0;155095;0;2285 
301553;130;2752;0;150774;0;2232 
308502;177;2888;0;154250;0;2188 
312938;157;2818;0;156468;0;2192 
306609;178;2976;0;153304;0;2264 
313451;160;2850;0;156725;0;2216 
313538;212;3172;0;156767;0;2324 
310918;165;2876;0;155459;0;2216 
317601;202;3142;0;158800;0;2334 
311085;207;3080;0;155545;0;2252 
305801;174;2924;0;152902;0;2232 
312140;156;2913;0;156070;0;2293 
305828;165;2988;0;152913;0;2328 
307880;171;2959;0;153940;0;2276 
311485;211;3069;0;155742;0;2224 
310489;151;2853;0;155244;0;2249 
