CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
311789;1165;39911;3;303804;0;213 
315759;1094;48802;3;252078;0;28 
316879;1088;50414;3;42532;0;126 
309092;1176;42382;3;304849;0;30 
307314;1133;43454;3;78860;0;91 
310120;1188;44588;3;35973;0;86 
311689;1178;42187;3;307234;0;35 
314617;1109;47855;3;251146;0;36 
309140;1181;41093;3;33691;0;51 
322977;1188;55076;3;47628;0;187 
312971;1137;42729;3;37540;0;39 
305671;1091;38405;4;300680;0;45 
311060;1153;43831;1;307271;0;11 
312930;1118;44906;3;110762;0;111 
311036;1128;44484;4;268070;0;53 
315251;1064;49228;3;117486;0;48 
311566;1128;44090;4;35905;0;108 
313818;1166;43293;3;34735;0;81 
310584;1138;42928;3;35408;0;36 
323000;1145;48992;4;42076;0;189 
318729;1184;49775;3;313078;0;421 
327631;1147;55206;3;322749;0;86 
306194;1156;39779;5;301819;0;60 
312462;1168;45895;3;111504;0;79 
314817;1117;48634;3;39184;0;49 
309505;1187;42772;3;34928;0;41 
307315;1178;40466;3;32681;0;38 
315414;1108;44797;3;36457;0;34 
308794;1136;42544;3;34075;0;34 
307680;1146;40674;3;303225;0;102 
312056;1199;45459;3;37871;0;33 
311739;1136;44936;3;248299;0;44 
304747;1128;37900;3;29289;0;152 
311488;1151;46609;3;57229;0;46 
317479;1068;52100;3;88509;0;60 
309150;1201;41570;3;34387;0;33 
309252;1181;42101;3;33919;0;40 
315179;1110;46376;4;37874;0;43 
309306;1133;42296;3;152418;0;43 
317855;1107;51895;4;41651;0;54 
311618;1186;44782;3;307433;0;35 
310469;1190;43209;3;304942;0;37 
311693;1174;45024;3;111235;0;44 
308710;1189;42565;3;304725;0;45 
312030;1160;46442;3;36367;0;63 
309547;1105;41564;3;111312;0;44 
308258;1153;42907;3;53633;0;37 
310174;1155;42892;3;34921;0;46 
305810;1147;38787;3;214811;0;31 
315124;1111;45902;3;309598;0;90 
309773;1138;45011;3;305516;0;27 
308666;1151;42158;3;304351;0;43 
314468;1128;45436;7;222886;0;124 
309286;1149;41984;5;303209;0;90 
309541;1159;42262;3;34087;0;63 
312331;1187;45812;4;307746;0;60 
313838;1123;48966;4;39212;0;55 
314127;1134;48705;3;309434;0;82 
311251;1185;42815;3;34891;0;32 
309474;1132;42309;3;278840;0;91 
311692;1160;45948;5;248954;0;97 
313457;1117;46777;3;111496;0;26 
309051;1145;41625;3;33452;0;50 
309233;1167;41080;3;32911;0;45 
314213;1138;48094;3;37088;0;140 
316851;1167;49789;3;312477;0;81 
310090;1162;43803;3;35534;0;55 
309774;1139;42968;4;32824;0;44 
310702;1161;44039;3;192369;0;90 
309748;1109;41938;4;302860;0;71 
311153;1102;43539;3;35215;0;64 
311304;1167;43205;3;139085;0;40 
321966;1102;57168;4;316880;0;61 
313768;1186;45964;6;37359;0;91 
310065;1178;43376;3;35319;0;31 
313734;1156;44823;3;306020;0;125 
307735;1187;38819;3;303654;0;40 
311078;1193;45228;3;36713;0;61 
309635;1182;42214;3;53777;0;66 
311532;1185;43239;3;36413;0;48 
311950;1158;45850;3;37752;0;51 
308836;1133;42266;3;33847;0;56 
307205;1184;40833;3;302941;0;57 
