CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
307342;16240;21467;0;0;5277;5277 
307806;16239;21467;0;0;5261;5261 
311038;16239;21467;0;0;5270;5270 
311299;16239;21467;0;0;5222;5222 
311551;16239;21467;0;0;5156;5156 
312241;16239;21467;0;0;5177;5177 
311532;16239;21467;0;0;5128;5128 
307519;16239;21467;0;0;5232;5232 
311657;16239;21467;0;0;5181;5181 
312437;16239;21467;0;0;5255;5255 
312824;16239;21467;0;0;5180;5180 
309129;16239;21467;0;0;5140;5140 
307827;16239;21467;0;0;5187;5187 
311462;16240;21467;0;0;5175;5175 
310347;16239;21467;0;0;5174;5174 
302304;16239;21467;0;0;5149;5149 
310610;16239;21467;0;0;5222;5222 
309942;16239;21467;0;0;5190;5190 
310863;16239;21467;0;0;5194;5194 
313821;16239;21467;0;0;5179;5179 
319442;16240;21467;0;0;5160;5160 
310086;16239;21467;0;0;5155;5155 
312558;16239;21467;0;0;5158;5158 
310725;16239;21467;0;0;5173;5173 
309817;16239;21467;0;0;5183;5183 
310565;16239;21467;0;0;5319;5319 
310829;16239;21467;0;0;5221;5221 
308429;16239;21467;0;0;5167;5167 
323735;16239;21467;0;0;5183;5183 
309920;16239;21467;0;0;5103;5103 
310260;16239;21467;0;0;5136;5136 
309804;16240;21467;0;0;5193;5193 
308012;16241;21468;0;0;5216;5216 
312732;16239;21467;0;0;5201;5201 
308894;16239;21467;0;0;5191;5191 
309227;16239;21467;0;0;5184;5184 
314694;16241;21467;0;0;5232;5232 
319648;16239;21467;0;0;5210;5210 
312638;16239;21467;0;0;5119;5119 
311538;16239;21467;0;0;5160;5160 
319027;16239;21467;0;0;5215;5215 
307878;16239;21467;0;0;5153;5153 
309198;16239;21467;0;0;5174;5174 
314706;16239;21467;0;0;5215;5215 
315002;16239;21467;0;0;5228;5228 
305431;16239;21467;0;0;5101;5101 
314391;16239;21467;0;0;5178;5178 
307786;16239;21467;0;0;5141;5141 
311885;16239;21467;0;0;5178;5178 
310807;16239;21467;0;0;5196;5196 
311547;16239;21467;0;0;5181;5181 
308812;16240;21467;0;0;5155;5155 
306989;16239;21467;0;0;5149;5149 
311114;16239;21467;0;0;5199;5199 
310070;16239;21467;0;0;5172;5172 
315272;16239;21467;0;0;5233;5233 
311076;16239;21467;0;0;5249;5249 
315839;16239;21467;0;0;5189;5189 
309138;16239;21467;0;0;5189;5189 
304686;16239;21467;0;0;5174;5174 
314541;16239;21467;0;0;5183;5183 
311189;16239;21467;0;0;5173;5173 
310317;16240;21467;0;0;5176;5176 
305022;16239;21467;0;0;5142;5142 
309245;16239;21467;0;0;5183;5183 
309039;16239;21467;0;0;5218;5218 
313918;16239;21467;0;0;5141;5141 
310899;16239;21467;0;0;5156;5156 
311430;16239;21467;0;0;5122;5122 
310375;16239;21467;0;0;5199;5199 
312258;16239;21467;0;0;5185;5185 
313204;16241;21467;0;0;5229;5229 
314007;16239;21467;0;0;5186;5186 
311150;16239;21467;0;0;5162;5162 
317350;16239;21467;0;0;5203;5203 
316947;16239;21467;0;0;5170;5170 
306758;16239;21467;0;0;5186;5186 
310527;16239;21467;0;0;5122;5122 
305751;16239;21467;0;0;5175;5175 
309546;16239;21467;0;0;5138;5138 
314832;16239;21467;0;0;5169;5169 
307855;16239;21467;0;0;5269;5269 
309414;16241;21467;0;0;5181;5181 
307885;16239;21467;0;0;5181;5181 
306118;16239;21467;0;0;5274;5274 
308414;16239;21467;0;0;5180;5180 
311831;16239;21467;0;0;5171;5171 
312750;16239;21467;0;0;5177;5177 
313489;16239;21467;0;0;5316;5316 
308492;16239;21467;0;0;5242;5242 
309677;16239;21467;0;0;5182;5182 
317251;16239;21467;0;0;5211;5211 
317723;16239;21467;0;0;5176;5176 
312109;16240;21467;0;0;5163;5163 
307773;16239;21467;0;0;5141;5141 
308539;16239;21467;0;0;5212;5212 
311510;16239;21467;0;0;5178;5178 
314291;16239;21467;0;0;5145;5145 
307483;16240;21467;0;0;5166;5166 
308947;16239;21467;0;0;5167;5167 
302750;16239;21467;0;0;5174;5174 
308770;16239;21467;0;0;5177;5177 
314185;16239;21467;0;0;5148;5148 
308007;16239;21467;0;0;5136;5136 
309505;16239;21467;0;0;5147;5147 
311820;16239;21467;0;0;5189;5189 
308000;16239;21467;0;0;5181;5181 
306496;16239;21467;0;0;5162;5162 
313416;16239;21467;0;0;5179;5179 
310761;16239;21467;0;0;5237;5237 
314446;16242;21468;0;0;5162;5162 
310860;16239;21467;0;0;5155;5155 
308639;16239;21467;0;0;5149;5149 
305075;16240;21467;0;0;5166;5166 
309010;16240;21467;0;0;5169;5169 
315815;16239;21467;0;0;5221;5221 
305492;16239;21467;0;0;5223;5223 
307405;16239;21467;0;0;5174;5174 
310852;16239;21467;0;0;5243;5243 
306082;16239;21467;0;0;5220;5220 
310997;16239;21467;0;0;5150;5150 
308929;16239;21467;0;0;5145;5145 
305206;16239;21467;0;0;5163;5163 
313963;16239;21467;0;0;5190;5190 
308744;16239;21467;0;0;5173;5173 
309422;16239;21467;0;0;5151;5151 
313100;16239;21467;0;0;5217;5217 
310778;16239;21467;0;0;5146;5146 
310168;16239;21467;0;0;5116;5116 
307611;16239;21467;0;0;5208;5208 
314005;16240;21467;0;0;5220;5220 
312420;16239;21467;0;0;5212;5212 
309033;16239;21467;0;0;5162;5162 
319556;16239;21467;0;0;5182;5182 
319814;16239;21467;0;0;5131;5131 
310980;16239;21467;0;0;5207;5207 
308055;16239;21467;0;0;5189;5189 
312494;16241;21467;0;0;5265;5265 
312477;16239;21467;0;0;5140;5140 
310972;16239;21467;0;0;5217;5217 
307807;16239;21467;0;0;5125;5125 
308575;16239;21467;0;0;5134;5134 
310373;16239;21467;0;0;5196;5196 
303529;16239;21467;0;0;5172;5172 
318202;16242;21467;0;0;5244;5244 
316570;16239;21467;0;0;5147;5147 
