CYCLES;0x12;0x13;0x14;0x15;0x16;0x17
303364;21506;80978;167743;1296;3211;641 
299870;21505;80976;167591;1294;3215;623 
296993;21505;80977;168301;1303;3232;626 
303078;21505;80979;167730;1311;3269;640 
298163;21508;80979;167647;1305;3238;631 
307875;21505;80976;168219;1299;3226;624 
311350;21506;80978;167992;1295;3248;627 
313646;21505;80977;167676;1292;3213;624 
308797;21505;80978;167932;1286;3217;625 
308884;21505;80978;167390;1294;3209;627 
304598;21505;80977;167450;1289;3220;618 
307835;21507;80977;168645;1288;3204;619 
311867;21505;80977;167509;1303;3258;629 
305333;21505;80976;167644;1285;3190;621 
312507;21505;80976;168200;1279;3202;625 
308534;21505;80976;167424;1286;3199;623 
307540;21505;80976;167366;1289;3206;625 
312454;21506;80977;167862;1321;3308;630 
316333;21507;80980;168139;1300;3257;628 
308954;21505;80976;167943;1303;3243;621 
312372;21505;80977;166916;1287;3194;617 
310706;21505;80975;167724;1301;3237;631 
309280;21505;80977;168029;1293;3234;617 
315782;21505;80978;167602;1307;3265;636 
307328;21505;80977;167643;1287;3215;617 
309701;21505;80975;167246;1288;3225;628 
311857;21505;80976;167822;1289;3217;625 
317955;21505;80975;167526;1306;3251;629 
310496;21506;80979;167488;1287;3209;632 
310962;21507;80976;167645;1299;3217;630 
308558;21505;80977;167638;1292;3201;621 
310260;21505;80978;167692;1297;3235;620 
309416;21505;80976;167563;1276;3166;618 
309651;21505;80975;167791;1284;3207;624 
309135;21505;80977;167806;1292;3199;626 
308054;21505;80976;167624;1289;3214;621 
311292;21506;80975;167398;1321;3261;635 
308702;21505;80976;167933;1293;3228;619 
307006;21505;80978;167554;1281;3203;626 
312836;21506;80979;168081;1295;3221;634 
313582;21505;80976;167674;1296;3204;628 
309776;21505;80977;166946;1306;3245;622 
311395;21505;80976;168093;1286;3192;612 
310123;21505;80977;167581;1288;3204;620 
310776;21505;80978;167893;1298;3242;616 
313833;21505;80979;167564;1296;3234;626 
307707;21505;80976;167496;1298;3248;624 
304704;21505;80975;167592;1285;3207;619 
313832;21505;80978;167644;1305;3246;622 
308063;21505;80977;167725;1292;3189;612 
311040;21506;80978;168202;1288;3222;629 
313314;21505;80977;168416;1295;3201;629 
307235;21505;80976;168204;1280;3186;620 
305956;21505;80977;167162;1282;3206;621 
311916;21505;80978;168092;1282;3206;614 
312620;21505;80977;167483;1299;3250;630 
313476;21505;80976;167647;1283;3214;621 
309502;21505;80976;166902;1306;3255;619 
308268;21505;80977;168092;1303;3254;620 
311317;21505;80977;168258;1285;3196;619 
309905;21505;80977;168033;1309;3263;625 
312822;21506;80978;167757;1302;3229;628 
312179;21505;80977;168506;1305;3256;620 
311814;21505;80978;167620;1275;3196;623 
307350;21505;80977;167019;1278;3173;622 
311562;21505;80977;168027;1298;3245;623 
309001;21505;80976;167924;1277;3175;622 
315145;21505;80977;167818;1293;3212;621 
307879;21505;80977;166866;1293;3233;621 
309490;21505;80975;168391;1277;3204;624 
311547;21505;80978;167612;1287;3226;627 
309675;21505;80975;168417;1291;3204;628 
311142;21505;80977;167612;1280;3185;617 
313259;21506;80976;168010;1295;3233;609 
307583;21505;80977;167077;1302;3253;625 
309322;21505;80978;168296;1308;3265;626 
308388;21505;80976;167934;1280;3179;617 
312548;21505;80976;167688;1294;3242;621 
311856;21505;80976;167644;1292;3207;621 
310924;21505;80977;167500;1290;3207;628 
319142;21507;80979;168271;1312;3278;650 
309658;21505;80976;167692;1309;3234;629 
309437;21505;80977;167907;1297;3247;625 
310879;21505;80977;167924;1306;3266;629 
312267;21505;80977;168545;1296;3214;623 
