CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
313523;956;3;0;0;1972;0 
315938;800;3;0;0;1965;0 
309014;676;3;0;0;1957;0 
309436;816;3;0;0;1944;0 
305891;816;3;0;0;1956;0 
308640;836;3;1;0;1963;0 
311905;900;3;0;0;1929;0 
304121;761;3;0;0;1947;0 
305790;741;3;0;0;1941;0 
309756;700;3;2;0;1944;0 
308201;678;3;0;0;1968;0 
315977;940;3;0;0;2011;0 
307483;680;3;0;0;1933;0 
310701;760;3;0;0;1942;0 
310202;658;3;0;0;1925;0 
311840;775;3;0;0;1957;0 
306699;820;3;1;0;1970;0 
310960;676;3;0;0;1950;0 
308346;668;3;0;0;1976;0 
309038;768;3;0;0;1949;0 
313752;756;3;0;0;1965;0 
310911;620;3;0;0;1927;0 
311826;680;3;0;0;1965;0 
312272;744;3;1;0;1966;0 
312078;793;3;0;0;1960;0 
307461;760;3;0;0;1956;0 
307859;738;3;0;0;1946;0 
311658;720;3;0;0;1938;0 
312006;828;3;0;0;1963;0 
310791;584;3;0;0;1962;0 
310559;691;3;0;0;1967;0 
306105;712;3;0;0;1964;0 
313234;798;3;0;0;1943;0 
314858;864;3;0;0;1938;0 
309181;708;3;0;0;1935;0 
304961;764;3;0;0;1949;0 
309441;732;3;0;0;1964;0 
308691;648;3;0;0;1967;0 
311818;766;3;0;0;1951;0 
306807;668;3;0;0;1965;0 
316913;780;3;0;0;1956;0 
305585;588;3;0;0;1946;0 
310002;780;3;0;0;1929;0 
310229;488;3;0;0;1963;0 
308044;914;3;0;0;1955;0 
312547;792;3;0;0;1962;0 
312042;956;3;1;0;1968;0 
309757;656;3;0;0;1946;0 
309444;858;3;0;0;1966;0 
306119;730;3;0;0;1944;0 
314010;828;3;0;0;1958;0 
309059;786;3;0;0;1938;0 
305319;728;3;0;0;1914;0 
309598;684;3;0;0;1965;0 
316489;638;3;0;0;1961;0 
308487;622;3;0;0;1929;0 
313506;834;3;0;0;1952;0 
310098;902;3;0;0;1998;0 
304388;836;3;1;0;1991;0 
311362;568;3;0;0;1971;0 
311273;700;3;0;0;1960;0 
310860;768;3;0;0;1966;0 
308696;781;3;0;0;1955;0 
309896;780;3;0;0;1928;0 
311324;690;3;0;0;1937;0 
309597;840;3;0;0;1963;0 
307870;628;3;0;0;1936;0 
308027;562;3;0;0;1945;0 
