CYCLES;0xD1;0xD2;0xE0;0xE1;0xE2;0xE3
317852;0;0;15991;2099;93;0 
308272;0;0;15691;1796;88;0 
312719;0;0;15621;2576;100;0 
303057;0;0;15540;2699;94;0 
310736;0;0;15752;2235;94;0 
312421;0;0;15707;2445;101;0 
309309;0;0;15963;2775;124;0 
312376;0;0;15629;5672;100;0 
319447;0;0;15944;2224;93;0 
310852;0;0;17251;3108;88;0 
308172;0;0;15687;2342;100;0 
307584;0;0;17750;2424;104;0 
313192;0;0;15628;5306;97;0 
309890;0;0;15660;2427;120;0 
313096;0;0;15409;3458;102;0 
310785;0;0;15553;2322;104;0 
315680;0;0;17322;3866;101;0 
305499;0;0;15842;2199;103;0 
308876;0;0;15633;2350;102;0 
311259;0;0;15845;2639;103;0 
308069;0;0;15807;1872;96;0 
312345;0;0;15586;2101;89;0 
309547;0;0;15576;2439;103;0 
320777;0;0;15626;2905;104;0 
303220;0;0;15689;2249;94;0 
306405;0;0;15880;3606;101;0 
307029;0;0;15808;4308;100;0 
311515;0;0;15684;2554;100;0 
310932;0;0;15627;2708;98;0 
314007;0;0;16703;2804;105;0 
310206;0;0;15689;2411;115;0 
302330;0;0;15818;2215;99;0 
309881;0;0;15660;2186;104;0 
311023;0;0;15562;2793;100;0 
310735;0;0;15599;2344;98;0 
313513;0;0;15685;2261;97;0 
314676;0;0;15631;5114;93;0 
312217;0;0;15703;2241;102;0 
311602;0;0;15719;5494;99;0 
313060;0;0;15673;2124;95;0 
317000;0;0;15695;3320;104;0 
306865;0;0;15651;2944;88;0 
313550;0;0;15647;2250;90;0 
315151;0;0;15569;5210;101;0 
314335;0;0;15653;2902;102;0 
302752;0;0;15620;2551;111;0 
309707;0;0;15671;2361;101;0 
309207;0;0;15630;2508;102;0 
308247;0;0;15760;2007;97;0 
317370;0;0;15678;2413;102;0 
307657;0;0;15687;2776;100;0 
309764;0;0;15574;2603;102;0 
307776;0;0;15639;2425;102;0 
306733;0;0;15662;2274;104;0 
310475;0;0;15727;5006;100;0 
306249;0;0;15601;2521;121;0 
315756;0;0;17752;2163;98;0 
308558;0;0;15668;2090;117;0 
311121;0;0;15630;2866;100;0 
311288;0;0;15756;2147;87;0 
313357;0;0;15698;4960;100;0 
309193;0;0;15672;5065;102;0 
308412;0;0;15727;2802;102;0 
321494;0;0;15647;2392;104;0 
312506;0;0;15774;4834;94;0 
310930;0;0;15646;3128;120;0 
308496;0;0;17619;2306;103;0 
310384;0;0;15608;2235;89;0 
307816;0;0;15835;2168;103;0 
309977;0;0;15619;2719;91;0 
302026;0;0;15653;2181;102;0 
306106;0;0;15782;2289;93;0 
315383;0;0;15752;3401;88;0 
310784;0;0;16055;2261;102;0 
308682;0;0;15797;2456;97;0 
306654;0;0;15584;2641;97;0 
310499;0;0;15660;1860;99;0 
313504;0;0;15636;3292;99;0 
316451;0;0;15979;2617;130;0 
313367;0;0;15806;2608;110;0 
309056;0;0;15637;2430;99;0 
307345;0;0;15668;2214;100;0 
312854;0;0;15718;2159;102;0 
311541;0;0;15753;2515;87;0 
301484;0;0;15720;2494;111;0 
313139;0;0;16595;2447;100;0 
311725;0;0;18077;2315;102;0 
312119;0;0;15623;2424;107;0 
315225;0;0;15572;2249;98;0 
313854;0;0;15647;5518;102;0 
309602;0;0;15614;2586;103;0 
305095;0;0;15614;2546;106;0 
310223;0;0;15668;1965;92;0 
308217;0;0;15611;2622;100;0 
313447;0;0;16661;2028;94;0 
308240;0;0;15919;3390;105;0 
308318;0;0;15936;2091;94;0 
313666;0;0;15665;2764;103;0 
310369;0;0;15755;2525;89;0 
307895;0;0;15919;2456;100;0 
305567;0;0;15698;2297;96;0 
308169;0;0;15662;2128;98;0 
309335;0;0;16433;2343;94;0 
311328;0;0;15663;4711;92;0 
303982;0;0;15685;2364;98;0 
311145;0;0;15603;1896;94;0 
312451;0;0;15568;2721;102;0 
306005;0;0;15697;2264;100;0 
314680;0;0;15580;2748;100;0 
312491;0;0;15632;2411;98;0 
312544;0;0;15808;2120;106;0 
313891;0;0;15542;2410;101;0 
314005;0;0;15567;2530;85;0 
309223;0;0;15654;3561;103;0 
306244;0;0;15621;2414;100;0 
307923;0;0;15515;2182;102;0 
307395;0;0;15744;2660;104;0 
306493;0;0;15707;2239;104;0 
310548;0;0;15911;2884;99;0 
307986;0;0;15553;3541;98;0 
317461;0;0;15771;2362;101;0 
309531;0;0;15594;2470;97;0 
309502;0;0;15709;2189;93;0 
306429;0;0;15774;3054;97;0 
306219;0;0;15530;2163;105;0 
311986;0;0;15782;2552;99;0 
301041;0;0;15589;1844;96;0 
307801;0;0;17378;2413;107;0 
312358;0;0;15693;2370;101;0 
307127;0;0;17384;2415;100;0 
316559;0;0;15741;5660;107;0 
312060;0;0;15780;5509;103;0 
309749;0;0;15629;3001;99;0 
309727;0;0;15761;2526;108;0 
311920;0;0;15619;3441;103;0 
309587;0;0;15696;4946;92;0 
307339;0;0;15501;2008;95;0 
308402;0;0;15675;3105;93;0 
310169;0;0;15689;2470;99;0 
310538;0;0;15712;2271;88;0 
310428;0;0;15670;3299;98;0 
313430;0;0;16121;2270;101;0 
313150;0;0;15741;2657;98;0 
308677;0;0;15644;5344;98;0 
309173;0;0;15644;3308;103;0 
305817;0;0;15581;2451;102;0 
309335;0;0;15721;3208;120;0 
305630;0;0;15760;3158;97;0 
310017;0;0;15620;2433;103;0 
312229;0;0;15780;2670;102;0 
310569;0;0;17941;2614;96;0 
312009;0;0;15626;2560;99;0 
310396;0;0;15482;2214;92;0 
306834;0;0;15659;2220;100;0 
307653;0;0;15657;2350;103;0 
302179;0;0;15631;2184;103;0 
311404;0;0;15854;3549;96;0 
311425;0;0;15733;2412;100;0 
310165;0;0;15483;2546;108;0 
307916;0;0;15743;2472;91;0 
307203;0;0;15737;2265;94;0 
313173;0;0;15904;2370;104;0 
303924;0;0;15729;2095;91;0 
309547;0;0;15794;2336;103;0 
306781;0;0;15642;3310;95;0 
312178;0;0;15909;2093;101;0 
309555;0;0;15575;2567;101;0 
309391;0;0;15747;1997;94;0 
310833;0;0;15688;2531;101;0 
309551;0;0;15695;2455;103;0 
311180;0;0;17820;2134;106;0 
305547;0;0;15627;2771;103;0 
312367;0;0;15524;2654;106;0 
303730;0;0;15587;2227;98;0 
306292;0;0;15633;2459;98;0 
313432;0;0;15543;2532;102;0 
313806;0;0;15734;5070;85;0 
310444;0;0;17020;2464;123;0 
311586;0;0;15733;2593;103;0 
307229;0;0;15628;1964;94;0 
314002;0;0;15597;2727;101;0 
313663;0;0;15706;2018;98;0 
313503;0;0;15787;2705;104;0 
310087;0;0;15740;2183;93;0 
311964;0;0;15725;1760;91;0 
311712;0;0;15706;2269;101;0 
317937;0;0;15632;2837;99;0 
315067;0;0;15617;2646;101;0 
311255;0;0;17822;1435;94;0 
315553;0;0;15739;2043;98;0 
311040;0;0;15669;2157;104;0 
314112;0;0;15698;2148;103;0 
311393;0;0;15628;2455;101;0 
307898;0;0;15799;3396;102;0 
311530;0;0;15699;2239;103;0 
305237;0;0;15721;2556;101;0 
307651;0;0;15691;2800;105;0 
308436;0;0;15704;2406;99;0 
312966;0;0;15658;2069;85;0 
305637;0;0;15609;2132;104;0 
314925;0;0;15632;3919;100;0 
314849;0;0;15744;2201;93;0 
310480;0;0;15666;2350;98;0 
310712;0;0;15826;1835;86;0 
311672;0;0;15663;2925;91;0 
308286;0;0;15787;3428;95;0 
310957;0;0;15768;2791;96;0 
304560;0;0;15684;2159;93;0 
310053;0;0;15967;2535;96;0 
322221;0;0;15786;2564;102;0 
309291;0;0;15619;2216;104;0 
310072;0;0;15705;3501;100;0 
307495;0;0;15531;2488;102;0 
317411;0;0;15623;5249;101;0 
302892;0;0;15706;2137;96;0 
308057;0;0;15918;2736;104;0 
310294;0;0;15660;2206;105;0 
314013;0;0;15748;2166;105;0 
323152;0;0;15700;2331;97;0 
308185;0;0;16876;2312;98;0 
301685;0;0;15726;2030;101;0 
306360;0;0;15655;2121;98;0 
309568;0;0;15605;2253;108;0 
312296;0;0;15737;5224;90;0 
307959;0;0;15701;2292;103;0 
312225;0;0;15838;2188;93;0 
308237;0;0;15932;5401;103;0 
308740;0;0;15711;2272;89;0 
309077;0;0;15567;2514;102;0 
309090;0;0;15866;1910;97;0 
312019;0;0;18497;2259;91;0 
312728;0;0;15953;2121;106;0 
308228;0;0;15665;2346;102;0 
307899;0;0;15728;1864;93;0 
310704;0;0;15772;2210;95;0 
306218;0;0;15973;1890;92;0 
311974;0;0;15737;2812;96;0 
307337;0;0;15489;2280;106;0 
313092;0;0;15679;2439;97;0 
311211;0;0;16702;3631;100;0 
311409;0;0;15763;2307;102;0 
307179;0;0;15736;2228;105;0 
309709;0;0;15607;4436;97;0 
308875;0;0;16589;2368;97;0 
308994;0;0;15635;2258;102;0 
314210;0;0;15739;2678;101;0 
307816;0;0;15672;4662;92;0 
306487;0;0;15742;2157;98;0 
308985;0;0;15825;2273;92;0 
311148;0;0;15761;3241;95;0 
307309;0;0;15653;3948;107;0 
310373;0;0;15665;2085;103;0 
311148;0;0;15768;3178;96;0 
304162;0;0;15801;2365;100;0 
311758;0;0;15610;5025;103;0 
313431;0;0;15729;2149;111;0 
312091;0;0;15891;2974;95;0 
314669;0;0;15715;2179;98;0 
308087;0;0;15679;2135;91;0 
315550;0;0;15686;2712;103;0 
309110;0;0;15863;2675;103;0 
308184;0;0;15865;2484;102;0 
311875;0;0;15716;2121;100;0 
306586;0;0;15686;2514;99;0 
302117;0;0;15607;2300;99;0 
311235;0;0;15718;2366;96;0 
311616;0;0;15649;2510;102;0 
310541;0;0;15787;5343;100;0 
311478;0;0;15660;5470;102;0 
309476;0;0;15897;2143;91;0 
307051;0;0;15712;2158;100;0 
313938;0;0;15910;2171;99;0 
309277;0;0;15712;2751;98;0 
307672;0;0;15851;2541;98;0 
317596;0;0;15851;2324;133;0 
312429;0;0;15684;2562;96;0 
307248;0;0;15671;2551;102;0 
310540;0;0;15699;2414;98;0 
311898;0;0;15792;2627;101;0 
306066;0;0;15681;2328;95;0 
305252;0;0;15654;2708;98;0 
307323;0;0;15684;3748;102;0 
313812;0;0;15958;2365;90;0 
310464;0;0;15602;2569;101;0 
315810;0;0;15659;2860;101;0 
312877;0;0;15897;2587;92;0 
308309;0;0;15650;2666;98;0 
316464;0;0;15631;2931;94;0 
329872;0;0;15810;1686;95;0 
317858;0;0;15667;2625;93;0 
322887;0;0;15673;2252;96;0 
319308;0;0;15688;2515;99;0 
311007;0;0;15715;2775;92;0 
317443;0;0;15704;2561;104;0 
306379;0;0;15565;2712;96;0 
319269;0;0;15860;2567;100;0 
309182;0;0;16043;2745;100;0 
311212;0;0;15758;2725;103;0 
305488;0;0;15636;2284;99;0 
312057;0;0;15899;3717;100;0 
