Evento;Ficheiro;MI Global;Alt A (Impacto Bilateral);Alt B (Bimodal);Alt C (MI P95);Curtose;Entropia;Norm_MI;Norm_Impacto;Índice Global (Base 2)
0x1D;cnt_perf_n5_eventos_...;7,0545;0,0633;0,3028768039502892;4,833423429990525;2,6735472296069402;12,097658295525273;1,0;0,0027;2,0027
0xC7;cnt_perf_n7_eventos_...;0,0184;23,0385;0,5915317145915808;0,052250517116785744;1961,5853843558434;6,609864859800969;0,0026;1,0;1,0052
0xE8;cnt_perf_n10_eventos...;0,0331;16,4025;0,7883859289406532;0,039863950452093455;72,59388708752729;7,544499814962244;0,0047;0,712;0,7213
0xC5;cnt_perf_n7_eventos_...;1,1032;6,5329;0,8979108673030582;0,31119239750862304;-1,2372620050568335;13,017053242373368;0,1564;0,2836;0,5963
0xE7;cnt_perf_n10_eventos...;1,6233;0,5898;0,34204892948854165;1,0453029816014023;2,575530622538808;12,591657588261238;0,2301;0,0256;0,4858
0xC3;cnt_perf_n7_eventos_...;1,2008;0,4232;0,3230065396920973;0,5394237330123701;1,4594284899335794;12,589857101111122;0,1702;0,0184;0,3588
0x02;cnt_perf_n1_eventos_...;0,165;1,4643;0,5027423536790921;0,10745652820067741;1,7594010665974085;7,1607925496151426;0,0234;0,0636;0,1103
0xE1;cnt_perf_n9_eventos_...;0,0623;1,7786;0,5875726166095965;0,033438078740357646;8,27996117381491;10,67677551519658;0,0088;0,0772;0,0949
0x01;cnt_perf_n1_eventos_...;0,0038;2,0;0,8285499347340164;0,010166060106628239;24,044392083240133;0,3270974107172701;0,0005;0,0868;0,0879
0x86;cnt_perf_n6_eventos_...;0,0016;2,0;0,8929610924689452;0,0;11,659235408855036;0,5404939061027009;0,0002;0,0868;0,0873
0xC4;cnt_perf_n7_eventos_...;0,0;2,0;0,5049231981666065;0,0;7,367972084260032;1,0928199470725568;0,0;0,0868;0,0868
0xE2;cnt_perf_n9_eventos_...;0,0037;1,5556;0,7791970185876587;0,008793072002437619;2764,501019766575;4,674876706319953;0,0005;0,0675;0,0686
