CYCLES;0xE4;0xE5;0xE6;0xE7;0xE8;0xE3
308262;71707;21702;0;31029;596;0 
301869;71677;21704;0;25886;316;0 
310474;71702;21707;0;31509;292;0 
313034;71697;21705;0;37281;289;0 
310574;71701;21708;0;33223;274;0 
314048;71724;21703;0;37601;251;0 
313227;71673;21706;0;37413;324;0 
312374;71700;21705;0;33787;290;0 
309373;71739;21707;0;32683;334;0 
315013;71639;21703;0;39419;363;0 
317206;71714;21708;0;40989;290;0 
313126;71703;21703;0;36403;291;0 
305064;71716;21705;0;28775;360;0 
308888;71732;21702;0;32591;417;0 
314155;71695;21703;0;38025;312;0 
306328;71682;21706;0;28672;282;0 
311791;71688;21703;0;36058;267;0 
308010;71693;21708;0;32352;290;0 
305949;71699;21705;0;29708;269;0 
314217;71680;21702;0;37267;300;0 
313053;71670;21703;0;36329;338;0 
308193;71677;21702;0;32603;304;0 
312256;71679;21702;0;36312;286;0 
307239;71709;21705;0;30738;295;0 
323544;71675;21700;0;42333;559;0 
307739;71697;21703;0;31000;603;0 
310614;71848;21703;0;33626;337;0 
308983;71707;21701;0;31257;298;0 
313236;71696;21701;0;34649;306;0 
310674;71722;21703;0;34118;582;0 
313179;71693;21706;0;36983;297;0 
317512;71669;21702;0;41561;327;0 
302998;71657;21706;0;27290;259;0 
315383;71778;21702;0;35982;256;0 
308845;71706;21703;0;32549;361;0 
320793;71713;21708;0;40568;1893;0 
317274;71684;21704;0;41074;300;0 
305922;71656;21707;0;30559;289;0 
307548;71685;21704;0;31236;358;0 
310111;71720;21710;0;32850;297;0 
310784;71682;21705;0;34692;271;0 
316883;71634;21700;0;40916;238;0 
317638;71752;21705;0;40891;417;0 
309697;71646;21703;0;33545;259;0 
312614;71688;21709;0;36617;298;0 
312992;71650;21706;0;37336;302;0 
312768;71686;21705;0;33972;342;0 
314554;71699;21703;0;38282;298;0 
310464;71716;21706;0;34246;285;0 
312051;71769;21706;0;35299;308;0 
311656;71712;21703;0;35157;300;0 
301760;71688;21705;0;25633;284;0 
312310;71658;21702;0;36382;325;0 
321022;71752;21704;0;44592;277;0 
306481;71650;21705;0;31141;271;0 
313449;71703;21700;0;34791;310;0 
312201;71681;21706;0;36465;359;0 
313054;71740;21705;0;37153;287;0 
310243;71696;21705;0;34614;293;0 
311597;71698;21710;0;33958;279;0 
317932;71688;21701;0;41678;290;0 
314678;71664;21703;0;35643;263;0 
312958;71708;21706;0;36368;297;0 
307971;71652;21705;0;32445;293;0 
316823;71736;21705;0;40361;302;0 
310589;71669;21701;0;33317;271;0 
311988;71707;21703;0;33135;309;0 
310422;71701;21705;0;34380;355;0 
313681;71678;21699;0;37559;268;0 
318609;71639;21704;0;39786;266;0 
311669;71744;21699;0;32554;325;0 
309330;71684;21703;0;31503;261;0 
309084;71791;21701;0;32183;324;0 
313614;71686;21709;0;38018;338;0 
307084;71700;21705;0;28632;299;0 
312678;71742;21704;0;35710;293;0 
306736;71693;21704;0;30553;284;0 
312046;71692;21709;0;36103;267;0 
316862;71729;21704;0;40858;287;0 
310320;71747;21703;0;32912;264;0 
305869;71833;21704;0;28687;262;0 
311550;71686;21704;0;32848;278;0 
310307;71715;21706;0;33810;319;0 
310949;71769;21702;0;34113;305;0 
311269;71698;21702;0;35315;349;0 
309587;71734;21707;0;33185;277;0 
309707;71660;21704;0;33959;314;0 
306930;71671;21702;0;31388;264;0 
312576;71697;21707;0;34274;334;0 
311717;71666;21707;0;35937;279;0 
309164;71669;21703;0;33427;316;0 
315664;71698;21702;0;39753;325;0 
305009;71695;21707;0;29477;266;0 
311392;71688;21705;0;32731;269;0 
311884;71700;21707;0;35411;264;0 
317479;71716;21704;0;40962;421;0 
309472;71736;21705;0;32996;295;0 
315029;71680;21704;0;39263;281;0 
311417;71727;21705;0;33591;280;0 
312215;71717;21700;0;35869;370;0 
318672;71689;21705;0;41798;286;0 
314129;71679;21704;0;38246;262;0 
319203;71675;21700;0;42630;332;0 
312844;71720;21706;0;36415;350;0 
305716;71693;21708;0;30001;289;0 
308373;71722;21701;0;31928;251;0 
315256;71764;21701;0;35753;276;0 
316598;71710;21709;0;40788;301;0 
315758;71706;21707;0;37273;280;0 
312640;71800;21704;0;35723;281;0 
311264;71686;21707;0;35130;302;0 
309963;71681;21707;0;32523;299;0 
311208;71692;21704;0;34966;304;0 
309827;71691;21704;0;34076;294;0 
307587;71684;21703;0;31129;298;0 
309702;71684;21711;0;33820;267;0 
312770;71727;21703;0;33375;303;0 
308613;71711;21707;0;32300;275;0 
312743;71714;21699;0;36516;324;0 
309256;71711;21708;0;33436;304;0 
307055;71690;21707;0;30885;277;0 
308481;71744;21704;0;32146;304;0 
308904;71784;21706;0;30269;325;0 
311641;71691;21702;0;35436;297;0 
312384;71685;21706;0;36419;330;0 
315019;71663;21706;0;39255;262;0 
