CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
317603;97;0;127;80971;17;9060080245340 
317083;88;0;209;80967;17;9060080761436 
330226;103;0;181;80968;17;9060080183900 
332166;90;0;110;80968;17;9060080323164 
316722;68;0;101;80969;18;9060080003676 
320737;70;0;134;80967;17;9060080011868 
317274;88;0;99;80969;18;9060079921756 
318188;91;0;163;80967;19;9060079999580 
325560;84;0;100;80968;17;9060080425564 
325262;86;0;96;80969;17;9060080310876 
323000;94;0;154;80969;17;9060080380508 
314928;59;0;134;80969;17;9060080495196 
323449;70;0;132;80968;17;9060080020060 
320981;97;0;183;80969;17;9060080212572 
318420;71;0;161;80969;17;9060080437852 
370004;81;0;113;80968;18;9060080171612 
321074;92;0;137;80967;18;9060080781916 
320793;71;0;108;80968;17;9060080765532 
318599;86;0;149;80968;17;9060080106076 
325216;68;0;135;80968;17;9060080618076 
317163;95;0;192;80968;17;9060080708188 
325237;88;0;175;80968;17;9060080589404 
403309;93;0;161;80969;17;9060079983196 
311180;91;0;95;80967;17;9060080302684 
323102;91;0;124;80969;17;9060080511580 
330181;98;0;136;80968;17;9060080454236 
315082;78;0;95;80968;17;9060080290396 
327669;91;0;178;80967;17;9060080269916 
319874;97;0;106;80969;17;9060080323164 
322059;85;0;174;80968;17;9060080220764 
386733;64;0;102;80968;17;9060079872604 
322044;92;0;121;80968;17;9060080126556 
309108;89;0;109;80971;17;9060080056924 
330179;95;0;204;80967;17;9060080212572 
321291;105;1;110;80968;17;9060080171612 
362747;66;0;142;80968;17;9060080200284 
319269;93;0;162;80968;17;9060080810588 
312505;94;0;180;80967;17;9060080777820 
328830;89;0;95;80967;17;9060080810588 
327650;90;0;109;80969;17;9060079802972 
319922;68;0;197;80968;17;9060080495196 
322174;91;0;100;80968;17;9060080323164 
324806;61;0;138;80968;17;9060080749148 
317368;90;1;134;80969;17;9060080597596 
325315;90;0;179;80967;17;9060080319068 
308249;67;0;163;80969;17;9060080101980 
318777;70;0;113;80968;17;9060080355932 
319794;72;0;141;80968;17;9060079979100 
369167;71;0;144;80967;17;9060080241244 
323846;64;0;157;80968;17;9060080347740 
321283;69;0;123;80968;17;9060080683612 
327459;93;0;176;80966;17;9060080556636 
310960;67;0;104;80969;19;9060079880796 
319446;88;0;102;80968;17;9060080130652 
325232;94;0;132;80969;18;9060080261724 
315540;71;0;97;80969;17;9060080470620 
395078;88;0;128;80968;17;9060080032348 
320612;93;1;98;80969;18;9060080695900 
317434;96;1;96;80968;18;9060079909468 
312075;68;1;171;80968;17;9060080134748 
329707;70;0;152;80967;17;9060080552540 
352993;89;0;181;80968;17;9060079868508 
312533;92;0;118;80969;17;9060080802396 
317078;69;0;124;80967;17;9060080093788 
314460;96;0;122;80967;17;9060080650844 
352150;85;0;91;80968;17;9060079929948 
323987;71;0;172;80969;18;9060080659036 
338648;92;0;146;80968;17;9060080708188 
323851;91;0;130;80967;17;9060080605788 
323152;96;0;188;80969;17;9060080519772 
322444;93;0;99;80968;17;9060080843356 
316259;74;0;146;80967;17;9060080765532 
312823;90;0;124;80969;17;9060080310876 
350799;95;0;156;80969;17;9060080503388 
320041;87;0;179;80969;17;9060080491100 
327537;64;0;202;80967;19;9060080421468 
314579;98;0;135;80969;17;9060080417372 
323831;84;0;143;80966;17;9060080466524 
359932;89;0;205;80969;16;9060080179804 
323594;98;0;224;80969;17;9060080310876 
317789;91;0;183;80968;19;9060080061020 
317333;83;0;128;80967;17;9060080142940 
318121;67;0;136;80968;17;9060080167516 
320910;62;0;174;80970;18;9060080699996 
