CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x10
319193;16240;21467;0;0;5218;5218 
314205;16239;21467;0;0;5151;5151 
309640;16239;21467;0;0;5165;5165 
312750;16239;21467;0;0;5196;5196 
311419;16240;21467;0;0;5254;5254 
311279;16239;21467;0;0;5149;5149 
310384;16239;21467;0;0;5196;5196 
313268;16239;21467;0;0;5162;5162 
311069;16240;21467;0;0;5196;5196 
312603;16239;21467;0;0;5172;5172 
310503;16239;21467;0;0;5171;5171 
312577;16239;21467;0;0;5234;5234 
312994;16239;21467;0;0;5166;5166 
312569;16239;21467;0;0;5233;5233 
310139;16239;21467;0;0;5121;5121 
302716;16239;21467;0;0;5157;5157 
314115;16239;21467;0;0;5182;5182 
309713;16239;21467;0;0;5176;5176 
307112;16239;21467;0;0;5203;5203 
309909;16239;21467;0;0;5191;5191 
313136;16240;21467;0;0;5180;5180 
316734;16239;21467;0;0;5187;5187 
311018;16239;21467;0;0;5181;5181 
307494;16239;21467;0;0;5186;5186 
309678;16241;21467;0;0;5122;5122 
307851;16239;21467;0;0;5199;5199 
302963;16239;21467;0;0;5160;5160 
309703;16239;21467;0;0;5192;5192 
309019;16239;21467;0;0;5168;5168 
312666;16239;21467;0;0;5133;5133 
307694;16239;21467;0;0;5171;5171 
309004;16240;21467;0;0;5155;5155 
309687;16239;21467;0;0;5163;5163 
313558;16239;21467;0;0;5268;5268 
311307;16239;21467;0;0;5217;5217 
307651;16239;21467;0;0;5202;5202 
311308;16239;21467;0;0;5158;5158 
315448;16239;21467;0;0;5174;5174 
312043;16239;21467;0;0;5194;5194 
311413;16239;21467;0;0;5155;5155 
315063;16239;21467;0;0;5225;5225 
307217;16239;21467;0;0;5179;5179 
307279;16239;21467;0;0;5158;5158 
316009;16240;21467;0;0;5237;5237 
316565;16239;21467;0;0;5200;5200 
310292;16239;21467;0;0;5213;5213 
313346;16239;21467;0;0;5176;5176 
314728;16242;21468;0;0;5101;5101 
307669;16239;21467;0;0;5225;5225 
311601;16239;21467;0;0;5185;5185 
311954;16239;21467;0;0;5101;5101 
314729;16240;21467;0;0;5174;5174 
307512;16239;21467;0;0;5157;5157 
305375;16239;21467;0;0;5176;5176 
313592;16239;21467;0;0;5194;5194 
314972;16239;21467;0;0;5193;5193 
312557;16239;21467;0;0;5181;5181 
314762;16239;21467;0;0;5174;5174 
309304;16239;21467;0;0;5162;5162 
314035;16239;21467;0;0;5189;5189 
317066;16239;21467;0;0;5188;5188 
309966;16239;21467;0;0;5157;5157 
308791;16240;21467;0;0;5148;5148 
305253;16241;21467;0;0;5257;5257 
311221;16239;21467;0;0;5175;5175 
308264;16239;21467;0;0;5178;5178 
307477;16239;21467;0;0;5166;5166 
310634;16239;21467;0;0;5234;5234 
315502;16239;21467;0;0;5180;5180 
315433;16239;21467;0;0;5210;5210 
309067;16239;21467;0;0;5229;5229 
317973;16239;21467;0;0;5116;5116 
312066;16239;21467;0;0;5228;5228 
319096;16239;21467;0;0;5161;5161 
304019;16239;21467;0;0;5169;5169 
310102;16239;21467;0;0;5164;5164 
309187;16239;21467;0;0;5222;5222 
