CYCLES;0xC2;0xC3;0xC4;0xC5;0xC6;0xC7
309148;1160;41857;3;33499;0;30 
307211;1186;40739;3;32826;0;161 
308629;1136;42213;3;304082;0;53 
310399;1151;44410;3;35004;0;83 
311447;1180;45774;3;37274;0;33 
310361;1115;41363;4;165421;0;51 
314320;1148;47247;3;37915;0;95 
304581;1166;37771;3;29755;0;56 
311541;1068;41546;3;305651;0;37 
311777;1172;44266;3;35565;0;52 
311294;1126;43626;3;306339;0;37 
313901;1179;46532;3;85543;0;26 
306518;1150;39944;3;32081;0;43 
308608;1134;41716;3;80820;0;40 
308127;1103;41134;3;303865;0;60 
314272;1136;48801;3;39713;0;30 
310453;1177;39024;3;33864;0;35 
312506;1153;43462;3;35025;0;49 
312120;1180;43201;3;275244;0;34 
307294;1155;41112;3;32312;0;62 
313563;1186;45714;3;38052;0;33 
313247;1061;47169;3;34094;0;84 
314629;1131;46690;3;35166;0;40 
308389;1147;42266;3;31552;0;33 
309676;1175;42715;3;34639;0;45 
308326;1148;41718;3;33409;0;94 
309688;1151;43517;3;35050;0;38 
313601;1069;47201;3;308902;0;41 
312608;1171;46890;4;308248;0;61 
310534;1127;45689;3;306232;0;36 
317682;1031;50604;3;41812;0;45 
310228;1191;41849;4;303090;0;50 
314184;1146;42989;5;34705;0;89 
313383;1151;44229;3;306561;0;52 
312076;1173;45837;4;195140;0;66 
309534;1133;40099;3;32278;0;55 
305482;1117;39149;3;243588;0;51 
309177;1188;43071;3;304736;0;43 
308551;1119;42425;3;33906;0;34 
317355;1005;50141;3;312472;0;25 
316287;1057;49457;3;39766;0;35 
316525;1166;50826;3;41919;0;80 
309115;1176;42121;5;33365;0;95 
308625;1163;41487;3;303376;0;44 
312252;1170;43047;3;34744;0;88 
306109;1181;39629;3;31869;0;34 
329566;1174;61802;3;54008;0;50 
304032;1149;37301;3;29288;0;33 
308277;1118;41693;3;33310;0;57 
315888;1036;48575;3;39658;0;56 
311316;1147;44474;4;187740;0;69 
315025;1130;47863;3;39858;0;37 
320722;1111;51998;3;43963;0;136 
314537;1161;45419;3;36327;0;60 
308987;1163;43820;4;304448;0;60 
309923;1161;42228;3;136992;0;83 
313310;1127;47242;3;38407;0;53 
311095;1146;45828;3;37392;0;57 
314404;1119;47838;4;39017;0;96 
317528;1134;45507;3;280490;0;23 
314124;1174;47531;4;39449;0;190 
310649;1154;44996;3;306441;0;89 
315597;1116;49852;3;310816;0;141 
314293;1114;48521;3;196533;0;38 
308717;1160;41095;3;33179;0;50 
313763;1163;44807;3;306572;0;34 
312828;1149;42789;3;34669;0;93 
317495;1109;47517;6;38025;0;65 
314760;1119;48622;3;39688;0;43 
311445;1168;42527;3;37195;0;49 
308177;1160;39395;3;50046;0;75 
311594;1097;43238;3;34082;0;49 
312981;1153;44352;4;36851;0;47 
311063;1117;42172;3;52933;0;43 
311580;1071;43319;3;34433;0;42 
302511;1193;37022;3;298392;0;66 
303506;1131;37253;3;299093;0;225 
311488;1154;43849;3;137916;0;40 
309960;1167;41367;3;107195;0;45 
311003;1150;44452;3;32665;0;53 
310603;1151;44090;3;140594;0;37 
307089;1182;40706;3;302697;0;91 
309345;1186;42409;3;81954;0;41 
309691;1141;41200;5;51272;0;62 
305792;1157;39222;3;50456;0;41 
313558;1145;47576;3;309335;0;49 
306736;1146;40136;3;302335;0;94 
312412;1164;44996;4;36345;0;105 
312717;1113;44362;4;36555;0;57 
307139;1159;41649;3;33060;0;95 
311880;1187;46146;3;277920;0;43 
317112;1131;50432;3;137783;0;92 
312184;1125;44981;3;35689;0;60 
312251;1192;45406;3;307985;0;84 
310358;1165;44303;3;35794;0;39 
317525;1105;52317;3;41669;0;54 
317424;1068;48964;3;40731;0;34 
309791;1189;42542;4;34556;0;55 
315014;1206;45777;3;54749;0;38 
311764;1193;44860;3;140679;0;55 
309070;1171;39738;3;33964;0;98 
308574;1152;40736;3;303631;0;54 
312530;1189;42643;7;33400;0;111 
317023;1179;50810;3;49254;0;45 
311033;1184;44884;3;36640;0;80 
314596;1125;45543;3;36119;0;85 
311588;1156;44723;3;37169;0;110 
308494;1012;41850;3;301872;0;42 
311428;1144;44364;3;36380;0;40 
312191;1160;45826;3;37779;0;44 
309558;1184;43408;6;81201;0;80 
310023;1138;43716;3;35312;0;50 
308423;1104;42619;4;34125;0;69 
313265;1148;46625;3;38347;0;52 
310617;1153;43798;3;35209;0;27 
312408;1192;45001;3;37451;0;37 
314766;1103;48299;3;273004;0;64 
313267;1062;43786;4;308311;0;69 
305347;1083;39290;3;301043;0;44 
318076;1013;51357;3;176616;0;29 
311481;1153;42781;3;34697;0;35 
303990;1170;37741;3;29035;0;57 
311956;1082;45858;3;36226;0;51 
311779;1187;41892;3;33910;0;41 
309728;1152;40989;3;302464;0;34 
311788;1171;46254;3;34497;0;77 
313179;1169;47431;3;112874;0;35 
319142;1001;53046;3;86198;0;38 
316087;1098;49367;3;40624;0;59 
308865;1190;42108;3;53025;0;38 
310206;1115;43823;3;35591;0;33 
314014;1170;45171;3;36164;0;64 
309370;1182;43366;3;53556;0;37 
307964;1181;41735;3;33069;0;36 
309553;1110;43346;3;34746;0;23 
306495;1186;40454;3;302259;0;77 
314474;1132;48659;3;38472;0;111 
308809;1134;42160;3;33931;0;36 
321372;1013;53762;3;43078;0;28 
311043;1186;42113;3;304527;0;35 
318687;1097;49898;3;40396;0;121 
314911;1094;47555;3;38713;0;49 
308725;1176;39232;3;33709;0;35 
310501;1156;44758;3;306215;0;33 
311873;1167;45481;3;37639;0;39 
309374;1179;40748;3;32376;0;51 
309052;1179;42897;3;34480;0;34 
307776;1188;41285;3;33321;0;61 
308843;1191;43215;3;34549;0;68 
315366;1152;48201;8;39285;0;108 
326710;1112;61519;3;51729;0;295 
312604;1170;45822;3;55002;0;84 
308121;1187;41778;3;303884;0;38 
306368;1182;39815;3;301653;0;90 
307169;1183;40784;3;32905;0;45 
310281;1155;44473;3;305821;0;42 
311938;1114;44583;3;36776;0;38 
309721;1192;44102;3;35267;0;49 
303395;1126;36623;4;28282;0;67 
309736;1180;43638;3;35620;0;45 
312588;1137;46325;3;37837;0;37 
312544;1188;46479;5;57119;0;60 
309238;1135;43533;3;304491;0;44 
310980;1122;45247;3;36341;0;31 
307980;1187;42373;3;303669;0;38 
309123;1121;41787;3;33487;0;50 
313963;1152;47963;3;309120;0;52 
309239;1181;42848;3;35023;0;35 
309617;1180;42925;3;34022;0;49 
303717;1154;37782;3;299410;0;35 
311077;1191;41925;3;303677;0;78 
315062;1133;46992;3;37221;0;24 
318300;1082;45983;3;57240;0;41 
309522;1171;40182;3;34250;0;39 
308583;1102;39753;3;31387;0;45 
310789;1137;42095;3;304594;0;41 
310737;1184;42710;3;35117;0;58 
313919;1095;47535;4;38812;0;55 
311470;1170;42741;3;304937;0;41 
311398;1152;41579;3;36840;0;90 
306820;1181;40352;3;302827;0;77 
310711;1139;44630;3;36223;0;37 
309836;1106;43510;3;224311;0;49 
306511;1164;40560;4;79046;0;63 
313504;1162;46226;3;38472;0;51 
309238;1179;42735;3;247656;0;44 
313691;1144;47271;3;39009;0;36 
311664;1166;42108;3;33672;0;34 
310209;1152;41030;3;32695;0;86 
308617;1158;43526;3;53722;0;49 
314411;1167;48818;4;86564;0;47 
309514;1141;42604;3;54025;0;34 
310027;1185;42826;3;35002;0;34 
308572;1145;42180;3;34065;0;33 
313643;1165;46739;3;37762;0;46 
307576;1192;38811;3;50463;0;31 
311145;1100;44956;5;36222;0;95 
310246;1095;43911;3;34925;0;53 
315055;1165;45458;3;37413;0;35 
314451;1140;49822;5;39240;0;80 
