CYCLES;0x61;0x7A;0x86;0x87;0xC0;0xC1
300941;948;3;0;0;1970;0 
310639;818;3;0;0;1945;0 
310321;908;3;0;0;1974;0 
308651;656;3;0;0;1955;0 
308063;673;3;0;0;1967;0 
309148;782;3;0;0;1934;0 
310744;710;3;0;0;1945;0 
305788;722;3;0;0;1958;0 
309023;808;3;0;0;1961;0 
304022;716;3;0;0;1963;0 
313286;826;3;0;0;1920;0 
314795;864;3;1;0;1952;0 
304015;663;3;0;0;1954;0 
312064;888;3;0;0;2005;0 
306482;771;3;0;0;1969;0 
311167;680;3;0;0;1953;0 
313343;692;3;0;0;1938;0 
308309;664;3;0;0;1936;0 
315594;996;3;1;0;1962;0 
306731;596;3;0;0;1942;0 
303696;608;3;0;0;1936;0 
306840;892;3;0;0;1947;0 
311570;848;3;0;0;1952;0 
310273;632;3;0;0;1959;0 
312083;808;3;0;0;1947;0 
310267;876;3;1;0;1976;0 
310087;742;3;0;0;1926;0 
307547;672;3;0;0;1961;0 
308402;560;3;0;0;1970;0 
313331;872;3;0;0;1945;0 
310969;588;3;0;0;1958;0 
307676;664;3;0;0;1933;0 
318940;799;3;1;0;1979;0 
302906;600;3;0;0;1965;0 
309145;788;3;0;0;1969;0 
308107;772;3;0;0;1959;0 
316873;788;3;0;0;1952;0 
310330;684;3;0;0;1927;0 
302996;756;3;0;0;1970;0 
311073;672;3;0;0;1951;0 
310673;816;3;0;0;1934;0 
312295;749;3;0;0;1922;0 
309390;747;3;0;0;1929;0 
312306;784;3;0;0;1926;0 
307052;596;3;0;0;1946;0 
309986;692;3;0;0;1958;0 
309367;744;3;0;0;1931;0 
312566;792;3;0;0;1968;0 
313769;924;3;0;0;1927;0 
306209;736;3;0;0;1954;0 
310185;837;3;1;0;1958;0 
309128;752;3;0;0;1943;0 
309714;620;3;0;0;1950;0 
312689;698;3;0;0;1928;0 
304684;714;3;0;0;1963;0 
307931;728;3;0;0;1952;0 
310120;776;3;0;0;1967;0 
307445;684;3;0;0;1942;0 
313710;652;3;0;0;1961;0 
312115;808;3;0;0;1950;0 
327132;839;3;0;0;1925;0 
313499;705;3;0;0;1963;0 
309731;788;3;0;0;1948;0 
306810;576;3;0;0;1951;0 
314337;927;3;0;0;1945;0 
307596;848;3;2;0;1981;0 
327534;904;3;0;0;1944;0 
301961;756;3;0;0;1941;0 
307284;656;3;0;0;1975;0 
304727;718;3;0;0;1953;0 
306037;632;3;0;0;1960;0 
305661;564;3;0;0;1957;0 
311285;758;3;0;0;1937;0 
311515;620;3;0;0;1929;0 
315036;705;3;2;0;1946;0 
310577;570;3;0;0;1962;0 
312298;814;3;0;0;1954;0 
309327;834;3;0;0;1960;0 
305578;668;3;0;0;1949;0 
306934;545;3;0;0;1974;0 
309363;628;3;0;0;1967;0 
310908;819;3;2;0;1971;0 
306399;652;3;0;0;1970;0 
318434;934;3;0;0;1953;0 
324762;700;3;2;0;1979;0 
304890;694;3;0;0;1964;0 
308062;732;3;0;0;1929;0 
321454;972;3;0;0;1961;0 
307857;628;3;0;0;1918;0 
309754;642;3;1;0;1967;0 
311178;756;3;0;0;1967;0 
314124;784;3;1;0;1962;0 
312540;920;3;0;0;1970;0 
305821;848;3;0;0;1939;0 
309504;716;3;0;0;1950;0 
305627;728;3;0;0;1933;0 
311147;624;3;0;0;1951;0 
308914;660;3;0;0;1955;0 
307790;760;3;0;0;1973;0 
310296;660;3;0;0;1967;0 
316455;784;3;0;0;1936;0 
305417;756;3;0;0;1930;0 
314083;657;3;0;0;1945;0 
308512;728;3;0;0;1948;0 
306332;556;3;0;0;1962;0 
312151;922;3;0;0;1956;0 
313271;754;3;0;0;1932;0 
310640;563;3;0;0;1939;0 
312465;702;3;0;0;1960;0 
318243;825;3;0;0;1929;0 
316751;638;3;0;0;1981;0 
316305;800;3;0;0;1976;0 
311197;635;3;0;0;1962;0 
308798;692;3;1;0;1973;0 
307856;876;3;0;0;1928;0 
307384;694;3;0;0;1945;0 
305035;672;3;0;0;1929;0 
305560;772;3;0;0;1938;0 
315096;840;3;0;0;1947;0 
308828;860;3;0;0;1925;0 
305153;632;3;0;0;1934;0 
315828;752;3;0;0;1947;0 
312623;992;3;0;0;1937;0 
305912;712;3;0;0;1971;0 
309539;936;3;0;0;1955;0 
300811;692;3;0;0;1934;0 
309021;807;3;0;0;1968;0 
308286;708;3;0;0;1972;0 
312157;684;3;0;0;1951;0 
308355;720;3;0;0;1933;0 
314485;808;3;0;0;1961;0 
307970;708;3;0;0;1952;0 
307948;704;3;0;0;1928;0 
307104;740;3;0;0;1932;0 
307566;709;3;0;0;1944;0 
311203;868;3;0;0;1951;0 
302005;636;3;0;0;1936;0 
305645;684;3;1;0;1942;0 
308527;859;3;0;0;1961;0 
308635;732;3;0;0;1954;0 
313160;565;3;0;0;1925;0 
311778;788;3;0;0;1958;0 
319748;780;3;0;0;1966;0 
302669;556;3;0;0;1942;0 
307115;568;3;0;0;1921;0 
306879;644;3;0;0;1929;0 
312266;800;3;0;0;1937;0 
313252;824;3;2;0;1990;0 
308119;660;3;0;0;1937;0 
308075;694;3;0;0;1932;0 
307996;670;3;1;0;1965;0 
316166;992;3;0;0;1948;0 
316265;690;3;1;0;2011;0 
314184;887;3;0;0;1917;0 
312151;812;3;1;0;1952;0 
306261;716;3;0;0;1917;0 
312412;632;3;0;0;1936;0 
313424;752;3;1;0;1928;0 
310930;660;3;0;0;1968;0 
308838;648;3;0;0;1926;0 
307892;660;3;0;0;1931;0 
308187;916;3;2;0;1977;0 
312393;686;3;0;0;1931;0 
311376;792;3;0;0;1983;0 
311667;828;3;0;0;1944;0 
310471;738;3;0;0;1992;0 
317308;804;3;0;0;1972;0 
310131;584;3;0;0;1948;0 
309878;716;3;2;0;1976;0 
307308;616;3;0;0;1948;0 
312503;700;3;0;0;1938;0 
306837;592;3;0;0;1963;0 
306822;664;3;0;0;1948;0 
307784;757;3;0;0;1957;0 
311206;884;3;0;0;1950;0 
316100;672;3;0;0;1968;0 
305429;846;3;0;0;1963;0 
309561;766;3;0;0;1968;0 
310236;808;3;0;0;1965;0 
306817;620;3;0;0;1928;0 
310211;720;3;0;0;1937;0 
312117;764;3;0;0;1953;0 
313258;1024;3;2;0;1958;0 
300805;732;3;0;0;1931;0 
311577;711;3;0;0;1929;0 
314945;838;3;1;0;1968;0 
311461;812;3;0;0;1958;0 
316493;728;3;1;0;2003;0 
323666;929;3;0;0;1936;0 
311887;812;3;0;0;1961;0 
310152;888;3;0;0;1950;0 
307925;828;3;0;0;1953;0 
311412;752;3;2;0;1963;0 
312405;708;3;0;0;1949;0 
308849;784;3;0;0;1941;0 
308091;588;3;0;0;1914;0 
314918;780;3;0;0;1951;0 
309139;644;3;0;0;1964;0 
313096;692;3;0;0;1952;0 
313036;901;3;2;0;1985;0 
317107;643;3;0;0;1980;0 
313941;592;3;0;0;1958;0 
318303;740;3;0;0;1959;0 
309964;708;3;0;0;1950;0 
310755;740;3;0;0;1959;0 
309167;684;3;0;0;1946;0 
315107;594;3;1;0;1958;0 
312001;908;3;0;0;1945;0 
307667;774;3;0;0;1968;0 
311115;772;3;0;0;1948;0 
309723;740;3;0;0;1958;0 
312734;694;3;0;0;1980;0 
312127;778;3;0;0;1954;0 
307657;720;3;0;0;1979;0 
311377;703;3;0;0;1958;0 
306411;632;3;0;0;1963;0 
308888;832;3;0;0;1931;0 
310963;684;3;0;0;1954;0 
311916;788;3;0;0;1959;0 
