CYCLES;0xC8;0xC9;0xCA;0xCB;0xCC;0xD0
317913;0;21346;3;3;5154;0 
303947;0;21346;2;2;5183;0 
308593;0;21346;2;2;5164;0 
309305;0;21346;2;2;5095;0 
309830;0;21346;2;2;5174;0 
309507;0;21346;2;2;5105;0 
310474;0;21346;2;2;5173;0 
310060;0;21346;2;2;5164;0 
314410;0;21346;2;2;5170;0 
304496;0;21346;2;2;5168;0 
310882;0;21346;2;2;5162;0 
314152;0;21346;2;2;5181;0 
313518;0;21346;2;2;5177;0 
311691;0;21346;2;2;5206;0 
314639;0;21346;2;2;5194;0 
314209;0;21346;2;2;5138;0 
317791;0;21346;2;2;5135;0 
308590;0;21346;2;2;5170;0 
305540;0;21346;2;2;5123;0 
314251;0;21346;2;2;5149;0 
307615;0;21346;2;2;5159;0 
312713;0;21346;2;2;5194;0 
309547;0;21346;2;2;5175;0 
320891;0;21346;2;2;5174;0 
314187;0;21346;2;2;5169;0 
309232;0;21346;2;2;5176;0 
308940;0;21346;2;2;5199;0 
309348;0;21346;2;2;5228;0 
308704;0;21346;2;2;5205;0 
308020;0;21346;2;2;5175;0 
311549;0;21346;2;2;5221;0 
311961;0;21346;2;2;5210;0 
312779;0;21346;2;2;5147;0 
313702;0;21346;2;2;5187;0 
308385;0;21346;2;2;5160;0 
305455;0;21346;2;2;5172;0 
308315;0;21346;2;2;5139;0 
310646;0;21346;2;2;5160;0 
309828;0;21346;2;2;5160;0 
307549;0;21346;2;2;5168;0 
309379;0;21346;2;2;5194;0 
304066;0;21346;2;2;5159;0 
316162;0;21346;2;2;5206;0 
311590;0;21346;2;2;5175;0 
306830;0;21346;2;2;5206;0 
316888;0;21346;2;2;5190;0 
330285;0;21346;2;2;5151;0 
307482;0;21346;2;2;5149;0 
311384;0;21346;2;2;5176;0 
308775;0;21346;2;2;5134;0 
304177;0;21346;2;2;5179;0 
311265;0;21346;2;2;5186;0 
310376;0;21346;2;2;5140;0 
315793;0;21346;2;2;5169;0 
309033;0;21346;2;2;5150;0 
312764;0;21346;2;2;5123;0 
310988;0;21346;2;2;5221;0 
312769;0;21346;2;2;5156;0 
308072;0;21346;2;2;5172;0 
308593;0;21346;2;2;5161;0 
307887;0;21346;2;2;5160;0 
306692;0;21346;2;2;5143;0 
310590;0;21346;2;2;5237;0 
310783;0;21346;2;2;5153;0 
310753;0;21346;2;2;5150;0 
312455;0;21346;2;2;5271;0 
313322;0;21346;2;2;5148;0 
308055;0;21346;2;2;5187;0 
306955;0;21347;2;2;5156;0 
309011;0;21346;2;2;5156;0 
310474;0;21346;2;2;5167;0 
308013;0;21346;2;2;5180;0 
302344;0;21346;2;2;5138;0 
314698;0;21347;2;2;5150;0 
303348;0;21346;2;2;5159;0 
314314;0;21346;2;2;5189;0 
309910;0;21346;2;2;5175;0 
309208;0;21346;2;2;5216;0 
307341;0;21346;2;2;5196;0 
311830;0;21346;2;2;5210;0 
312081;0;21346;2;2;5183;0 
312769;0;21346;2;2;5163;0 
309878;0;21346;2;2;5174;0 
311633;0;21346;2;2;5154;0 
307802;0;21346;2;2;5161;0 
313851;0;21346;2;2;5206;0 
309544;0;21346;2;2;5209;0 
309833;0;21346;2;2;5136;0 
312670;0;21346;2;2;5139;0 
311765;0;21346;2;2;5173;0 
313933;0;21346;2;2;5256;0 
308902;0;21346;2;2;5177;0 
310755;0;21346;2;2;5153;0 
306880;0;21346;2;2;5168;0 
312382;0;21346;2;2;5208;0 
310823;0;21346;2;2;5207;0 
307461;0;21346;2;2;5153;0 
307410;0;21346;2;2;5220;0 
308698;0;21346;2;2;5266;0 
311228;0;21346;2;2;5175;0 
313689;0;21346;2;2;5158;0 
312421;0;21346;2;2;5178;0 
309726;0;21346;2;2;5173;0 
310694;0;21346;2;2;5154;0 
311303;0;21346;2;2;5201;0 
317945;0;21346;2;2;5206;0 
311459;0;21346;2;2;5159;0 
312015;0;21346;2;2;5157;0 
310900;0;21346;2;2;5127;0 
310116;0;21346;2;2;5152;0 
308548;0;21346;2;2;5180;0 
308052;0;21346;2;2;5150;0 
311596;0;21346;2;2;5164;0 
311521;0;21346;2;2;5209;0 
309412;0;21346;2;2;5178;0 
311472;0;21346;2;2;5118;0 
307768;0;21346;2;2;5190;0 
312415;0;21346;2;2;5167;0 
310439;0;21346;2;2;5169;0 
315784;0;21346;2;2;5193;0 
317571;0;21346;2;2;5211;0 
311553;0;21346;2;2;5167;0 
306882;0;21346;2;2;5158;0 
318596;0;21346;2;2;5197;0 
308026;0;21346;2;2;5186;0 
310810;0;21346;2;2;5195;0 
309885;0;21346;2;2;5153;0 
314189;0;21346;2;2;5176;0 
312830;0;21346;2;2;5199;0 
311146;0;21346;2;2;5115;0 
322647;0;21346;2;2;5108;0 
322866;0;21346;2;2;5215;0 
313538;0;21346;2;2;5176;0 
315909;0;21346;2;2;5177;0 
307268;0;21346;2;2;5141;0 
309149;0;21346;2;2;5154;0 
318111;0;21346;2;2;5152;0 
310788;0;21346;2;2;5137;0 
311714;0;21346;2;2;5217;0 
313434;0;21346;2;2;5160;0 
312322;0;21347;2;2;5198;0 
318372;0;21346;2;2;5181;0 
309540;0;21346;2;2;5174;0 
316157;0;21346;2;2;5175;0 
309645;0;21346;2;2;5293;0 
312666;0;21346;2;2;5144;0 
309705;0;21346;2;2;5255;0 
311257;0;21346;2;2;5175;0 
311135;0;21346;2;2;5162;0 
305370;0;21346;2;2;5166;0 
307277;0;21346;2;2;5167;0 
314275;0;21346;2;2;5120;0 
302704;0;21346;2;2;5157;0 
311596;0;21346;2;2;5127;0 
311232;0;21346;2;2;5152;0 
308329;0;21346;2;2;5152;0 
311506;0;21346;2;2;5207;0 
310870;0;21346;2;2;5174;0 
306667;0;21346;2;2;5152;0 
307432;0;21346;2;2;5192;0 
310400;0;21346;2;2;5143;0 
309612;0;21346;2;2;5168;0 
310053;0;21346;2;2;5224;0 
306554;0;21346;2;2;5165;0 
307395;0;21346;2;2;5211;0 
313269;0;21346;2;2;5184;0 
310809;0;21346;2;2;5229;0 
307694;0;21346;2;2;5166;0 
307704;0;21346;2;2;5097;0 
319110;0;21346;2;2;5167;0 
311324;0;21346;2;2;5155;0 
313682;0;21346;2;2;5170;0 
308958;0;21346;2;2;5162;0 
313159;0;21346;2;2;5182;0 
304483;0;21346;2;2;5181;0 
310127;0;21346;2;2;5118;0 
309312;0;21346;2;2;5178;0 
313013;0;21346;2;2;5108;0 
311665;0;21346;2;2;5152;0 
311298;0;21346;2;2;5175;0 
308359;0;21346;2;2;5218;0 
305734;0;21346;2;2;5189;0 
313651;0;21346;2;2;5199;0 
317427;0;21346;2;2;5184;0 
310327;0;21346;2;2;5147;0 
305431;0;21346;2;2;5169;0 
311218;0;21346;2;2;5140;0 
314369;0;21346;2;2;5203;0 
309701;0;21346;2;2;5159;0 
310576;0;21346;2;2;5138;0 
312855;0;21346;2;2;5152;0 
307984;0;21346;2;2;5200;0 
308611;0;21346;2;2;5174;0 
313371;0;21346;2;2;5183;0 
307147;0;21346;2;2;5230;0 
315403;0;21346;2;2;5181;0 
303230;0;21346;2;2;5138;0 
312428;0;21346;2;2;5117;0 
311757;0;21346;2;2;5151;0 
310687;0;21346;2;2;5145;0 
312812;0;21346;2;2;5140;0 
315450;0;21346;2;2;5164;0 
309539;0;21346;2;2;5165;0 
317247;0;21346;2;2;5135;0 
316889;0;21346;2;2;5275;0 
313393;0;21346;2;2;5169;0 
312857;0;21346;2;2;5183;0 
303569;0;21346;2;2;5184;0 
312501;0;21346;2;2;5179;0 
311607;0;21346;2;2;5166;0 
307493;0;21346;2;2;5172;0 
308127;0;21346;2;2;5212;0 
310883;0;21346;2;2;5184;0 
306712;0;21346;2;2;5227;0 
310899;0;21346;2;2;5151;0 
310499;0;21346;2;2;5157;0 
313952;0;21346;2;2;5202;0 
315062;0;21347;2;2;5181;0 
306586;0;21346;2;2;5181;0 
307268;0;21346;2;2;5171;0 
308331;0;21346;2;2;5182;0 
309907;0;21346;2;2;5184;0 
308876;0;21346;2;2;5205;0 
306094;0;21346;2;2;5162;0 
310424;0;21346;2;2;5165;0 
315778;0;21346;2;2;5219;0 
318954;0;21346;2;2;5288;0 
315399;0;21346;2;2;5181;0 
317256;0;21346;2;2;5150;0 
307384;0;21346;2;2;5186;0 
310950;0;21346;2;2;5185;0 
310440;0;21346;2;2;5189;0 
310465;0;21346;2;2;5181;0 
309275;0;21346;2;2;5163;0 
311417;0;21346;2;2;5199;0 
315058;0;21346;3;3;5145;0 
314930;0;21346;2;2;5260;0 
312177;0;21346;2;2;5153;0 
307976;0;21346;2;2;5223;0 
303155;0;21346;2;2;5173;0 
315545;0;21346;2;2;5157;0 
306050;0;21346;2;2;5201;0 
314686;0;21346;2;2;5156;0 
312579;0;21346;2;2;5155;0 
308226;0;21346;2;2;5205;0 
312263;0;21346;2;2;5158;0 
309549;0;21346;2;2;5169;0 
309861;0;21346;2;2;5137;0 
316268;0;21346;2;2;5190;0 
313608;0;21346;2;2;5148;0 
304071;0;21346;2;2;5174;0 
310236;0;21346;2;2;5201;0 
310562;0;21346;2;2;5186;0 
311680;0;21346;2;2;5143;0 
307448;0;21346;2;2;5171;0 
312527;0;21346;2;2;5222;0 
315778;0;21346;2;2;5163;0 
308858;0;21346;2;2;5180;0 
311298;0;21346;2;2;5190;0 
307086;0;21346;2;2;5153;0 
310754;0;21346;2;2;5222;0 
304421;0;21346;2;2;5193;0 
315903;0;21346;2;2;5174;0 
309949;0;21346;2;2;5171;0 
304326;0;21346;2;2;5176;0 
305031;0;21346;2;2;5158;0 
309698;0;21346;2;2;5186;0 
306691;0;21346;2;2;5121;0 
307472;0;21346;2;2;5153;0 
306528;0;21346;2;2;5152;0 
303790;0;21346;2;2;5153;0 
312206;0;21346;2;2;5162;0 
305863;0;21346;2;2;5155;0 
310741;0;21346;2;2;5181;0 
309047;0;21346;2;2;5196;0 
308886;0;21346;2;2;5212;0 
312256;0;21346;2;2;5190;0 
311613;0;21346;2;2;5231;0 
317996;0;21346;2;2;5148;0 
310202;0;21346;2;2;5194;0 
309180;0;21346;2;2;5270;0 
313209;0;21346;2;2;5119;0 
312318;0;21346;2;2;5192;0 
311028;0;21346;2;2;5164;0 
310038;0;21346;2;2;5133;0 
309956;0;21346;2;2;5200;0 
306393;0;21346;2;2;5194;0 
306146;0;21346;2;2;5161;0 
311247;0;21346;2;2;5181;0 
314417;0;21346;2;2;5125;0 
315438;0;21346;2;2;5179;0 
318664;0;21346;2;2;5193;0 
311583;0;21346;2;2;5184;0 
310181;0;21346;2;2;5145;0 
308734;0;21346;2;2;5172;0 
310674;0;21346;2;2;5136;0 
307632;0;21346;2;2;5188;0 
315726;0;21346;2;2;5160;0 
316774;0;21346;2;2;5186;0 
305348;0;21346;2;2;5214;0 
305451;0;21346;2;2;5154;0 
314257;0;21346;2;2;5151;0 
311317;0;21346;2;2;5181;0 
312236;0;21346;2;2;5176;0 
314193;0;21346;2;2;5163;0 
306771;0;21346;2;2;5153;0 
317561;0;21346;2;2;5178;0 
307602;0;21346;2;2;5140;0 
310085;0;21346;2;2;5161;0 
310470;0;21346;2;2;5179;0 
308475;0;21346;2;2;5174;0 
311802;0;21346;2;2;5175;0 
312952;0;21346;2;2;5175;0 
311903;0;21346;2;2;5146;0 
