CYCLES;0x18;0x19;0x1A;0x1D;0x1E;0x60
310788;284;3401;0;155394;0;2275 
304296;178;2856;0;152147;0;2160 
308812;206;3076;0;154407;0;2256 
310734;158;2904;0;155366;0;2272 
312142;179;3018;0;156071;0;2304 
311054;207;3051;0;155526;0;2224 
306919;179;2986;0;153461;0;2272 
303798;165;2888;0;151899;0;2228 
312189;222;3137;0;156094;0;2252 
309569;200;3017;0;154784;0;2224 
310142;172;2974;0;155070;0;2288 
311224;162;2924;0;155610;0;2284 
313960;159;2881;0;156980;0;2248 
305835;201;3077;0;152915;0;2284 
305158;135;2752;0;152580;0;2212 
313293;208;3053;0;156647;0;2221 
323052;238;3169;0;161527;0;2221 
308976;186;3005;0;154488;0;2264 
310702;183;2940;0;155353;0;2208 
312785;164;2940;0;156392;0;2284 
313405;185;2912;0;156701;0;2176 
311414;155;2898;0;155706;0;2282 
306224;184;2956;0;153111;0;2226 
308508;181;2959;0;154254;0;2240 
312928;205;3040;0;156463;0;2232 
314361;155;2944;0;157180;0;2324 
307872;170;2894;0;153936;0;2224 
309111;155;2872;0;154554;0;2256 
308322;200;3012;0;154160;0;2212 
312944;184;3008;0;156470;0;2272 
307274;162;2856;0;153636;0;2208 
306841;137;2826;0;153419;0;2280 
306421;141;2759;0;153211;0;2194 
312382;203;3032;0;156190;0;2220 
306966;189;2983;0;153484;0;2227 
311523;164;2960;0;155761;0;2304 
307401;151;2860;0;153700;0;2256 
304416;163;2893;0;152208;0;2244 
311175;153;2868;0;155587;0;2260 
306666;139;2768;0;153334;0;2212 
306524;178;2926;0;153261;0;2224 
301621;155;2868;0;150811;0;2260 
306673;172;2904;0;153336;0;2216 
308142;184;2960;0;154073;0;2228 
311429;174;2939;0;155715;0;2243 
311038;195;3016;0;155519;0;2236 
308192;239;3218;0;154094;0;2270 
301042;163;2862;0;150520;0;2212 
313120;196;3064;0;156562;0;2280 
307379;178;2892;0;153689;0;2180 
305733;148;2816;0;152865;0;2224 
308085;137;2782;0;154044;0;2232 
312803;168;2890;0;156402;0;2226 
311391;207;3081;0;155696;0;2256 
305303;171;2900;0;152651;0;2216 
310662;200;3032;0;155330;0;2240 
307582;161;2881;0;153793;0;2240 
306283;201;3060;0;153140;0;2264 
301660;173;2917;0;150830;0;2228 
310543;198;3050;0;155271;0;2256 
313915;167;2861;0;156956;0;2193 
317535;180;2948;0;158767;0;2228 
309582;172;2940;0;154790;0;2256 
307247;171;2908;0;153624;0;2224 
309101;187;2968;0;154550;0;2224 
305179;200;3030;0;152590;0;2232 
