CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
1760;3;96;1336;0;36;32 
651;3;96;223;0;30;41 
634;3;96;208;0;32;40 
648;3;96;235;0;33;22 
1555;3;96;1142;0;36;18 
817;3;96;252;0;81;126 
611;3;96;189;0;37;22 
637;3;96;213;0;44;36 
651;3;96;227;0;33;36 
1083;3;96;399;0;288;51 
814;3;96;388;0;45;36 
656;3;96;220;0;29;55 
628;3;96;212;0;38;18 
666;3;96;253;0;44;22 
630;3;96;199;0;33;42 
1189;3;96;747;0;40;59 
641;3;96;209;0;34;42 
1037;3;96;623;0;33;22 
1087;3;96;656;0;43;41 
648;3;96;218;0;38;34 
670;3;96;246;0;49;32 
2250;3;96;1819;0;32;42 
646;3;96;221;0;33;36 
1935;3;96;1510;0;37;32 
623;3;96;208;0;25;38 
648;3;96;232;0;25;39 
784;3;96;353;0;36;38 
666;3;96;252;0;33;22 
620;3;96;206;0;33;22 
644;3;96;231;0;36;18 
657;3;97;209;0;25;65 
647;3;96;223;0;36;32 
786;3;96;355;0;37;35 
620;3;96;202;0;27;40 
810;3;96;379;0;33;43 
1920;3;96;1498;0;35;33 
2118;3;96;1282;0;38;461 
706;3;96;268;0;35;42 
659;3;96;228;0;35;38 
657;3;96;242;0;38;18 
814;3;96;365;0;26;63 
1636;3;96;1205;0;46;37 
652;3;96;239;0;36;18 
950;3;96;509;0;38;43 
649;3;96;235;0;36;18 
719;3;96;305;0;34;22 
694;3;96;244;0;26;66 
751;3;96;200;0;153;41 
746;3;96;313;0;45;42 
657;3;96;232;0;34;37 
759;3;96;329;0;36;38 
959;3;96;505;0;48;62 
609;3;96;183;0;38;32 
641;3;96;216;0;36;33 
615;3;96;201;0;36;18 
696;3;96;275;0;47;21 
1589;3;96;1165;0;36;32 
830;3;96;399;0;32;41 
2469;3;96;2056;0;37;18 
634;3;96;220;0;36;18 
658;3;96;244;0;47;18 
771;3;96;251;0;123;48 
747;3;96;313;0;36;41 
2897;3;96;2464;0;26;56 
645;3;96;229;0;37;18 
697;3;96;272;0;36;32 
602;3;96;189;0;36;18 
2740;3;96;2325;0;33;22 
729;3;96;305;0;45;36 
819;3;96;383;0;38;37 
642;3;96;212;0;29;46 
646;3;97;222;0;32;38 
623;3;96;198;0;33;37 
3118;3;96;2704;0;36;18 
638;3;96;211;0;32;37 
648;3;96;218;0;30;45 
2354;3;96;1930;0;33;36 
682;3;96;246;0;50;38 
645;3;96;231;0;33;22 
653;3;96;207;0;33;54 
605;3;96;181;0;36;32 
599;3;96;186;0;36;18 
1761;3;96;1348;0;36;18 
2479;3;96;2051;0;39;32 
668;3;96;251;0;26;42 
1395;3;96;962;0;41;60 
985;3;96;448;0;23;159 
1316;3;96;885;0;36;38 
701;3;96;266;0;41;59 
634;3;96;201;0;36;41 
683;3;96;252;0;37;33 
637;3;96;226;0;33;23 
633;3;96;200;0;37;38 
2598;3;96;2169;0;32;40 
1834;3;96;1407;0;35;33 
3528;3;96;3080;0;26;61 
655;3;96;224;0;32;42 
631;3;96;218;0;36;18 
624;3;96;193;0;35;39 
719;3;96;300;0;35;32 
652;3;96;229;0;43;38 
648;3;96;217;0;33;42 
868;3;96;437;0;34;39 
898;3;96;471;0;33;39 
623;3;96;191;0;33;44 
1031;3;96;579;0;49;57 
648;3;96;235;0;36;18 
650;3;96;223;0;36;33 
615;3;96;200;0;27;38 
637;3;96;227;0;34;22 
657;3;96;223;0;32;45 
692;3;96;278;0;34;22 
623;3;96;199;0;36;32 
841;3;96;428;0;36;18 
1724;3;96;1298;0;38;32 
921;3;96;508;0;36;18 
748;3;96;319;0;43;38 
687;3;96;252;0;38;58 
620;3;96;191;0;29;43 
662;3;96;234;0;48;33 
668;3;96;241;0;36;36 
667;3;96;243;0;47;32 
636;3;96;212;0;36;32 
719;3;96;270;0;27;65 
701;3;96;288;0;36;18 
2337;3;96;1907;0;28;42 
657;3;96;217;0;45;43 
677;3;96;245;0;35;40 
740;3;96;303;0;41;39 
875;3;96;462;0;44;22 
639;3;96;214;0;34;35 
2308;3;96;1884;0;36;32 
676;3;96;247;0;38;33 
1410;3;96;963;0;30;57 
707;3;96;272;0;26;50 
632;3;96;201;0;35;38 
665;3;96;245;0;36;21 
848;3;96;418;0;36;37 
622;3;96;198;0;36;32 
658;3;96;231;0;35;36 
654;3;96;229;0;33;36 
684;3;96;258;0;35;37 
642;3;96;212;0;36;38 
640;3;96;215;0;33;36 
867;3;96;433;0;51;36 
1645;3;96;1214;0;35;38 
620;3;96;207;0;36;18 
792;3;96;337;0;31;68 
669;3;96;235;0;36;36 
626;3;96;196;0;32;41 
634;3;96;219;0;38;18 
637;3;96;207;0;35;38 
744;3;96;311;0;47;42 
613;3;96;197;0;38;18 
666;3;96;242;0;45;36 
632;3;96;231;0;27;22 
1272;3;96;819;0;48;60 
1569;3;96;1137;0;33;42 
637;3;96;210;0;36;36 
649;3;96;236;0;44;22 
650;3;96;234;0;38;18 
670;3;96;242;0;35;38 
653;3;96;229;0;33;38 
649;3;96;224;0;34;38 
2243;3;96;1813;0;32;42 
687;3;96;237;0;26;64 
2486;3;96;2059;0;36;36 
661;3;96;233;0;45;37 
608;3;96;184;0;33;36 
677;3;96;253;0;47;32 
620;3;96;183;0;35;42 
929;3;96;502;0;33;37 
673;3;96;235;0;48;42 
633;3;96;208;0;33;36 
1418;3;96;971;0;32;57 
625;3;96;214;0;28;36 
639;3;96;225;0;36;18 
633;3;96;209;0;33;36 
1652;3;96;1202;0;27;64 
610;3;96;193;0;26;42 
745;3;96;316;0;48;36 
768;3;96;330;0;32;48 
679;3;96;265;0;36;18 
622;3;96;198;0;33;36 
655;3;96;240;0;47;18 
2938;3;96;2483;0;29;64 
648;3;96;234;0;36;19 
2181;3;96;1766;0;35;22 
624;3;96;195;0;32;41 
709;3;96;275;0;39;37 
648;3;96;223;0;49;18 
702;3;96;272;0;33;42 
647;3;96;218;0;45;37 
