CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
644;103;33;309;0;1;0 
759;103;33;309;0;1;0 
654;103;33;309;0;1;0 
612;103;33;309;0;1;0 
809;103;33;309;0;1;0 
3381;103;33;309;0;1;0 
1301;103;33;309;0;1;0 
638;103;33;309;0;1;0 
661;103;33;309;0;1;0 
682;103;33;309;0;1;0 
1335;103;33;309;0;1;0 
924;103;33;309;0;1;0 
2148;103;33;309;0;1;0 
653;103;33;309;0;1;0 
683;103;33;309;0;1;0 
1564;103;33;309;0;1;0 
676;103;33;309;0;1;0 
613;103;33;309;0;1;0 
726;103;33;309;0;1;0 
2635;103;33;309;0;1;0 
644;103;33;309;0;1;0 
614;103;33;309;0;1;0 
665;103;33;309;0;1;0 
655;103;33;309;0;1;0 
765;103;33;309;0;1;0 
1978;103;33;309;0;1;0 
868;103;33;309;0;1;0 
1143;103;33;309;0;1;0 
648;103;33;309;0;1;0 
2804;103;33;309;0;1;0 
612;103;33;309;0;1;0 
690;103;33;309;0;1;0 
639;103;33;309;0;1;0 
942;103;33;309;0;1;0 
720;103;33;309;0;1;0 
654;103;33;309;0;1;0 
652;103;33;309;0;1;0 
641;103;33;309;0;1;0 
629;103;33;309;0;1;0 
737;103;33;309;0;1;0 
2029;103;33;309;0;1;0 
622;103;33;309;0;1;0 
659;103;33;309;0;1;0 
643;103;33;309;0;1;0 
1603;103;33;309;0;1;0 
670;103;33;309;0;1;0 
614;103;33;309;0;1;0 
714;103;33;309;0;1;0 
612;103;33;309;0;1;0 
1648;103;33;309;0;1;0 
717;103;33;309;0;1;0 
659;103;33;309;0;1;0 
1638;103;33;309;0;1;0 
1044;103;33;309;0;1;0 
624;103;33;309;0;1;0 
1359;103;33;309;0;1;0 
795;103;33;309;0;1;0 
646;103;33;309;0;1;0 
621;103;33;309;0;1;0 
782;103;33;309;0;1;0 
632;103;33;309;0;1;0 
775;103;33;309;0;1;0 
1461;103;33;309;0;1;0 
703;103;33;309;0;1;0 
645;103;33;309;0;1;0 
642;103;33;309;0;1;0 
673;103;33;309;0;1;0 
692;103;33;309;0;1;0 
674;103;33;309;0;1;0 
1815;103;33;309;0;1;0 
650;103;33;309;0;1;0 
3011;103;33;309;0;1;0 
673;103;33;309;0;1;0 
1618;103;33;309;0;1;0 
643;103;33;309;0;1;0 
691;103;33;309;0;1;0 
1002;103;33;309;0;1;0 
3147;103;33;309;0;1;0 
623;103;33;309;0;1;0 
626;103;33;309;0;1;0 
1625;103;33;309;0;1;0 
658;103;33;309;0;1;0 
1512;103;33;309;0;1;0 
636;103;33;309;0;1;0 
1142;103;33;309;0;1;0 
2956;103;33;309;0;1;0 
659;103;33;309;0;1;0 
1565;103;33;309;0;1;0 
