CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
684;20;0;342;0;12;8 
3106;8;0;1553;0;8;0 
641;20;0;320;0;16;4 
1818;8;0;909;0;8;0 
1583;8;0;791;0;4;4 
621;4;0;310;0;4;0 
640;12;0;320;0;12;0 
773;8;0;387;0;8;0 
921;16;0;460;0;12;4 
653;4;0;326;0;4;0 
666;12;0;333;0;12;0 
668;4;0;334;0;4;0 
694;4;0;347;0;4;0 
662;8;0;331;0;8;0 
940;16;0;470;0;16;0 
1789;12;0;895;0;12;0 
931;4;0;466;0;4;0 
2994;12;0;1497;0;12;0 
2295;16;0;1148;0;12;4 
766;12;0;383;0;12;0 
648;16;0;324;0;12;4 
620;8;0;310;0;4;4 
652;12;0;326;0;12;0 
1305;16;0;652;0;12;4 
2291;12;0;1146;0;12;0 
787;12;0;393;0;12;0 
1210;12;0;605;0;8;4 
647;4;0;323;0;4;0 
638;12;0;319;0;12;0 
636;4;0;318;0;4;0 
2216;12;0;1108;0;8;4 
678;8;0;339;0;4;4 
3120;16;0;1560;0;12;4 
1496;12;0;748;0;12;0 
635;4;0;317;0;4;0 
759;20;0;380;0;4;16 
901;20;0;451;0;12;8 
629;8;0;314;0;4;4 
608;8;0;304;0;4;4 
3499;12;0;1750;0;8;4 
4819;20;0;2410;0;20;0 
634;16;0;317;0;12;4 
955;8;0;478;0;4;4 
653;12;0;327;0;12;0 
658;8;0;329;0;8;0 
672;16;0;336;0;12;4 
860;16;0;430;0;12;4 
1128;18;0;564;0;8;10 
1346;12;0;673;0;8;4 
1353;8;0;676;0;4;4 
663;12;0;331;0;12;0 
636;8;0;318;0;4;4 
1670;4;0;835;0;4;0 
917;20;0;459;0;16;4 
763;16;0;382;0;12;4 
783;16;0;391;0;8;8 
3087;30;0;1544;0;20;10 
625;16;0;313;0;8;8 
650;4;0;325;0;4;0 
1256;16;0;628;0;12;4 
618;12;0;309;0;12;0 
1846;4;0;923;0;4;0 
712;16;0;356;0;12;4 
823;24;0;411;0;16;8 
879;20;0;439;0;8;12 
2466;16;0;1233;0;12;4 
632;4;0;316;0;4;0 
625;4;0;312;0;4;0 
1596;4;0;798;0;4;0 
590;12;0;295;0;12;0 
1305;4;0;653;0;4;0 
2441;4;0;1221;0;4;0 
3154;12;0;1577;0;8;4 
1364;10;0;682;0;10;0 
620;4;0;310;0;4;0 
837;4;0;418;0;4;0 
656;4;0;328;0;4;0 
659;8;0;329;0;8;0 
693;12;0;346;0;12;0 
663;8;0;332;0;4;4 
635;20;0;317;0;12;8 
832;8;0;416;0;8;0 
867;20;0;433;0;16;4 
781;12;0;391;0;12;0 
1918;4;0;959;0;4;0 
2930;6;0;1465;0;6;0 
651;4;0;325;0;4;0 
1730;4;0;865;0;4;0 
625;12;0;313;0;4;8 
664;4;0;332;0;4;0 
771;8;0;385;0;4;4 
617;12;0;308;0;12;0 
634;4;0;317;0;4;0 
657;4;0;329;0;4;0 
718;8;0;359;0;8;0 
650;12;0;325;0;12;0 
1162;12;0;581;0;8;4 
685;12;0;342;0;8;4 
630;4;0;315;0;4;0 
686;4;0;343;0;4;0 
776;12;0;388;0;12;0 
778;16;0;389;0;12;4 
641;4;0;321;0;4;0 
907;9;0;454;0;5;4 
832;25;0;416;0;9;16 
680;12;0;340;0;8;4 
619;4;0;310;0;4;0 
645;12;0;323;0;12;0 
740;12;0;370;0;12;0 
679;4;0;340;0;4;0 
631;16;0;316;0;12;4 
643;4;0;322;0;4;0 
807;15;0;403;0;8;7 
1738;4;0;869;0;4;0 
633;8;0;317;0;4;4 
645;4;0;323;0;4;0 
652;4;0;326;0;4;0 
618;12;0;309;0;12;0 
623;4;0;311;0;4;0 
645;16;0;323;0;12;4 
917;22;0;459;0;12;10 
677;8;0;339;0;4;4 
602;12;0;301;0;12;0 
680;4;0;340;0;4;0 
1583;4;0;791;0;4;0 
615;12;0;308;0;12;0 
658;8;0;329;0;4;4 
2432;20;0;1216;0;16;4 
816;28;0;408;0;16;12 
620;24;0;310;0;8;16 
642;12;0;321;0;12;0 
2807;16;0;1404;0;16;0 
765;16;0;382;0;12;4 
1012;20;0;506;0;16;4 
621;4;0;310;0;4;0 
620;4;0;310;0;4;0 
977;12;0;489;0;12;0 
2197;8;0;1098;0;4;4 
748;12;0;374;0;12;0 
706;4;0;353;0;4;0 
3264;8;0;1632;0;4;4 
726;16;0;363;0;12;4 
752;24;0;376;0;12;12 
689;12;0;344;0;12;0 
728;8;0;364;0;8;0 
1605;12;0;802;0;12;0 
2704;8;0;1352;0;8;0 
1705;8;0;853;0;4;4 
649;12;0;325;0;8;4 
694;4;0;347;0;4;0 
613;4;0;306;0;4;0 
2465;12;0;1232;0;8;4 
808;24;0;404;0;16;8 
2862;4;0;1431;0;4;0 
642;16;0;321;0;8;8 
1205;4;0;603;0;4;0 
647;4;0;324;0;4;0 
780;16;0;390;0;16;0 
678;12;0;339;0;4;8 
699;4;0;349;0;4;0 
664;4;0;332;0;4;0 
673;4;0;337;0;4;0 
667;4;0;333;0;4;0 
1130;8;0;565;0;4;4 
1753;4;0;876;0;4;0 
680;4;0;340;0;4;0 
684;4;0;342;0;4;0 
1850;4;0;925;0;4;0 
613;4;0;307;0;4;0 
820;9;0;410;0;2;7 
643;4;0;322;0;4;0 
962;4;0;481;0;4;0 
1580;8;0;790;0;8;0 
1517;16;0;759;0;12;4 
644;4;0;322;0;4;0 
2187;4;0;1094;0;4;0 
1787;8;0;894;0;4;4 
1188;20;0;594;0;12;8 
631;8;0;316;0;8;0 
677;12;0;338;0;12;0 
1857;8;0;929;0;4;4 
795;8;0;398;0;4;4 
1914;4;0;957;0;4;0 
1571;12;0;785;0;8;4 
848;16;0;424;0;16;0 
1123;4;0;562;0;4;0 
625;4;0;312;0;4;0 
702;8;0;351;0;8;0 
2361;4;0;1181;0;4;0 
624;4;0;312;0;4;0 
632;8;0;316;0;4;4 
687;8;0;344;0;8;0 
698;4;0;349;0;4;0 
651;8;0;325;0;4;4 
676;8;0;338;0;8;0 
711;8;0;355;0;4;4 
627;4;0;314;0;4;0 
965;12;0;482;0;12;0 
711;8;0;355;0;4;4 
652;4;0;326;0;4;0 
621;4;0;311;0;4;0 
630;16;0;315;0;16;0 
607;20;0;304;0;12;8 
619;12;0;309;0;12;0 
790;16;0;395;0;12;4 
896;4;0;448;0;4;0 
1238;26;0;619;0;26;0 
738;8;0;369;0;4;4 
2538;4;0;1269;0;4;0 
878;12;0;439;0;12;0 
690;16;0;345;0;8;8 
644;4;0;322;0;4;0 
778;8;0;389;0;4;4 
668;8;0;334;0;4;4 
603;12;0;302;0;12;0 
973;16;0;486;0;12;4 
1599;12;0;799;0;4;8 
853;8;0;426;0;8;0 
622;8;0;311;0;8;0 
3100;4;0;1550;0;4;0 
703;8;0;351;0;4;4 
632;20;0;316;0;12;8 
857;12;0;428;0;12;0 
643;8;0;321;0;8;0 
1298;38;0;649;0;22;16 
1266;16;0;633;0;8;8 
776;12;0;388;0;12;0 
721;4;0;360;0;4;0 
655;4;0;328;0;4;0 
2255;4;0;1127;0;4;0 
647;8;0;324;0;4;4 
665;4;0;333;0;4;0 
651;8;0;326;0;4;4 
725;12;0;363;0;8;4 
732;12;0;366;0;8;4 
660;8;0;330;0;4;4 
2385;20;0;1192;0;16;4 
3031;12;0;1516;0;12;0 
899;8;0;450;0;8;0 
667;8;0;334;0;4;4 
609;16;0;304;0;12;4 
619;12;0;310;0;12;0 
850;12;0;425;0;12;0 
724;4;0;362;0;4;0 
622;16;0;311;0;16;0 
671;4;0;336;0;4;0 
3279;4;0;1640;0;4;0 
2414;20;0;1207;0;16;4 
2919;16;0;1459;0;16;0 
675;4;0;338;0;4;0 
724;12;0;362;0;12;0 
656;8;0;328;0;4;4 
3078;4;0;1539;0;4;0 
769;16;0;385;0;12;4 
612;8;0;306;0;4;4 
624;4;0;312;0;4;0 
1225;16;0;612;0;12;4 
2477;4;0;1239;0;4;0 
690;12;0;345;0;4;8 
835;16;0;417;0;16;0 
2471;4;0;1236;0;4;0 
916;16;0;458;0;12;4 
894;12;0;447;0;12;0 
1168;16;0;584;0;12;4 
822;16;0;411;0;12;4 
1303;12;0;652;0;8;4 
669;4;0;335;0;4;0 
797;13;0;398;0;5;8 
691;16;0;346;0;12;4 
649;8;0;324;0;8;0 
827;20;0;413;0;12;8 
659;8;0;329;0;4;4 
1357;8;0;679;0;8;0 
629;8;0;314;0;4;4 
816;12;0;408;0;12;0 
861;12;0;430;0;8;4 
3389;8;0;1694;0;4;4 
622;12;0;311;0;4;8 
653;4;0;327;0;4;0 
619;4;0;310;0;4;0 
1764;8;0;882;0;8;0 
1877;20;0;939;0;12;8 
620;12;0;310;0;12;0 
644;4;0;322;0;4;0 
741;16;0;371;0;12;4 
703;12;0;351;0;12;0 
2009;4;0;1004;0;4;0 
649;4;0;325;0;4;0 
644;12;0;322;0;8;4 
789;20;0;395;0;12;8 
669;8;0;334;0;8;0 
648;16;0;324;0;12;4 
661;4;0;330;0;4;0 
1653;8;0;826;0;4;4 
1894;4;0;947;0;4;0 
845;16;0;423;0;8;8 
674;12;0;337;0;8;4 
1704;4;0;852;0;4;0 
638;12;0;319;0;12;0 
654;8;0;327;0;4;4 
611;4;0;306;0;4;0 
1901;12;0;951;0;4;8 
635;12;0;318;0;12;0 
638;12;0;319;0;12;0 
664;36;0;332;0;12;24 
781;4;0;391;0;4;0 
649;4;0;325;0;4;0 
750;12;0;375;0;4;8 
642;12;0;321;0;12;0 
1099;4;0;549;0;4;0 
661;12;0;331;0;8;4 
646;4;0;323;0;4;0 
971;8;0;486;0;4;4 
749;8;0;375;0;4;4 
623;4;0;311;0;4;0 
661;8;0;331;0;4;4 
1860;20;0;930;0;12;8 
676;16;0;338;0;12;4 
1806;12;0;903;0;12;0 
642;16;0;321;0;12;4 
1136;32;0;568;0;12;20 
1491;20;0;745;0;12;8 
622;4;0;311;0;4;0 
684;4;0;342;0;4;0 
3667;16;0;1834;0;12;4 
636;4;0;318;0;4;0 
1808;4;0;904;0;4;0 
653;4;0;326;0;4;0 
620;16;0;310;0;12;4 
951;10;0;475;0;4;6 
640;4;0;320;0;4;0 
752;24;0;376;0;8;16 
635;12;0;317;0;8;4 
611;16;0;306;0;12;4 
605;12;0;303;0;12;0 
652;8;0;326;0;4;4 
2751;4;0;1375;0;4;0 
771;16;0;386;0;12;4 
653;16;0;326;0;12;4 
694;20;0;347;0;12;8 
930;24;0;465;0;12;12 
657;4;0;328;0;4;0 
758;12;0;379;0;12;0 
572;16;0;286;0;12;4 
642;4;0;321;0;4;0 
722;16;0;361;0;12;4 
2606;8;0;1303;0;4;4 
673;4;0;337;0;4;0 
839;20;0;420;0;12;8 
805;4;0;402;0;4;0 
685;16;0;343;0;12;4 
3041;8;0;1521;0;8;0 
633;4;0;317;0;4;0 
926;28;0;463;0;16;12 
986;12;0;493;0;4;8 
652;12;0;326;0;12;0 
659;12;0;329;0;4;8 
743;20;0;372;0;8;12 
658;4;0;329;0;4;0 
663;4;0;332;0;4;0 
711;4;0;355;0;4;0 
661;4;0;330;0;4;0 
679;4;0;340;0;4;0 
626;12;0;313;0;12;0 
642;8;0;321;0;4;4 
824;12;0;412;0;12;0 
953;32;0;476;0;20;12 
630;16;0;315;0;12;4 
693;4;0;346;0;4;0 
760;8;0;380;0;4;4 
782;16;0;391;0;8;8 
967;4;0;483;0;4;0 
1052;12;0;526;0;12;0 
645;8;0;322;0;8;0 
662;12;0;331;0;12;0 
608;8;0;304;0;8;0 
592;16;0;296;0;12;4 
663;16;0;331;0;8;8 
651;12;0;326;0;8;4 
616;12;0;308;0;12;0 
683;16;0;341;0;12;4 
615;16;0;307;0;12;4 
1379;4;0;689;0;4;0 
640;4;0;320;0;4;0 
1792;4;0;896;0;4;0 
1084;20;0;542;0;12;8 
2517;16;0;1259;0;12;4 
658;8;0;329;0;4;4 
1290;4;0;645;0;4;0 
681;4;0;341;0;4;0 
2653;4;0;1326;0;4;0 
613;12;0;307;0;12;0 
637;4;0;318;0;4;0 
964;20;0;482;0;16;4 
643;4;0;321;0;4;0 
761;12;0;381;0;12;0 
779;8;0;389;0;8;0 
757;4;0;379;0;4;0 
618;4;0;309;0;4;0 
770;16;0;385;0;16;0 
644;12;0;322;0;12;0 
780;4;0;390;0;4;0 
648;4;0;324;0;4;0 
675;12;0;337;0;12;0 
714;12;0;357;0;12;0 
696;12;0;348;0;4;8 
630;12;0;315;0;12;0 
