CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
801;1;0;0;13;0;0 
741;1;0;0;6;0;0 
666;1;0;0;11;0;0 
637;1;0;0;10;0;0 
701;1;0;0;11;0;0 
628;1;0;0;5;0;0 
2219;1;0;0;7;0;0 
629;1;0;0;10;0;0 
1634;1;0;0;10;0;0 
2356;1;0;0;10;0;0 
686;1;0;0;15;0;0 
2801;1;0;0;11;0;0 
824;1;0;0;9;0;0 
653;1;0;0;5;0;0 
720;1;0;0;9;0;0 
2081;1;0;0;8;0;0 
642;1;0;0;11;0;0 
657;1;0;0;13;0;0 
2138;1;0;0;9;0;0 
645;1;0;0;10;0;0 
620;1;0;0;11;0;0 
609;1;0;0;11;0;0 
667;1;0;0;12;0;0 
3173;1;0;0;10;0;0 
816;1;0;0;11;0;0 
819;1;0;0;15;0;0 
635;1;0;0;9;0;0 
671;1;0;0;8;0;0 
637;1;0;0;10;0;0 
641;1;0;0;11;0;0 
1577;1;0;0;10;0;0 
623;1;0;0;9;0;0 
644;1;0;0;9;0;0 
638;1;0;0;8;0;0 
712;1;0;0;11;0;0 
1239;1;0;0;28;0;3 
635;1;0;0;11;0;0 
637;1;0;0;8;0;0 
599;1;0;0;9;0;0 
923;1;0;0;12;0;0 
607;1;0;0;12;0;0 
1401;1;0;0;9;0;0 
801;1;0;0;13;0;0 
643;1;0;0;9;0;0 
2633;1;0;0;12;0;0 
637;1;0;0;15;0;0 
2943;1;0;0;9;0;0 
649;1;0;0;10;0;0 
621;1;0;0;6;0;0 
646;1;0;0;8;0;0 
670;1;0;0;12;0;0 
630;1;0;0;11;0;0 
760;1;0;0;11;0;0 
681;1;0;0;6;0;0 
1224;1;0;0;13;0;0 
655;1;0;0;10;0;0 
2266;1;0;0;13;0;0 
637;1;0;0;10;0;0 
668;1;0;0;6;0;0 
627;1;0;0;7;0;0 
1164;1;0;0;13;0;0 
697;1;0;0;7;0;0 
2128;1;0;0;13;0;0 
2745;1;0;0;9;0;0 
769;1;0;0;12;0;0 
964;1;0;0;14;0;0 
636;1;0;0;12;0;0 
651;1;0;0;7;0;0 
784;1;0;0;11;0;0 
626;1;0;0;11;0;0 
