CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
3277;17;1;1;3;0;0 
624;17;1;1;4;0;0 
624;17;1;1;4;0;0 
2336;17;1;1;4;0;0 
799;17;1;1;4;0;0 
638;17;1;1;4;0;0 
1625;17;1;1;4;0;0 
624;17;1;1;4;0;0 
641;17;1;1;4;0;0 
716;17;1;1;4;0;0 
1039;17;1;1;4;0;0 
643;17;1;1;4;0;0 
679;17;1;1;4;0;0 
837;17;1;1;4;0;0 
679;17;1;1;4;0;0 
2419;17;1;1;4;0;0 
810;17;1;1;4;0;0 
675;17;1;1;4;0;0 
723;17;1;1;4;0;0 
784;17;1;1;4;0;0 
638;17;1;1;4;0;0 
779;17;1;1;4;0;0 
645;17;1;1;4;0;0 
647;17;1;1;4;0;0 
618;17;1;1;4;0;0 
1618;17;1;1;4;0;0 
2309;17;1;1;4;0;0 
660;17;1;1;5;0;0 
670;17;1;1;4;0;0 
749;17;1;1;4;0;0 
883;17;1;1;4;0;0 
1361;17;1;1;5;0;0 
768;17;1;1;4;0;0 
634;17;1;1;4;0;0 
698;17;1;1;4;0;0 
646;17;1;1;4;0;0 
655;17;1;1;4;0;0 
2661;17;1;1;4;0;0 
657;17;1;1;4;0;0 
667;17;1;1;4;0;0 
665;17;1;1;4;0;0 
1197;17;1;1;4;0;0 
2122;17;1;1;3;0;0 
621;17;1;1;4;0;0 
621;17;1;1;4;0;0 
1589;17;1;1;4;0;0 
787;17;1;1;4;0;0 
745;17;1;1;3;0;0 
691;17;1;1;4;0;0 
655;17;1;1;4;0;0 
689;17;1;1;4;0;0 
642;17;1;1;4;0;0 
628;17;1;1;4;0;0 
828;17;1;1;5;0;0 
659;17;1;1;4;0;0 
615;17;1;1;4;0;0 
3440;17;1;1;4;0;0 
984;17;1;1;5;0;0 
1196;17;1;1;4;0;0 
2258;17;1;1;4;0;0 
2238;17;1;1;4;0;0 
625;17;1;1;4;0;0 
650;17;1;1;4;0;0 
729;17;1;1;4;0;0 
626;17;1;1;4;0;0 
1749;17;1;1;4;0;0 
1736;17;1;1;4;0;0 
654;17;1;1;4;0;0 
1694;17;1;1;4;0;0 
854;17;1;1;4;0;0 
622;17;1;1;4;0;0 
706;17;1;1;4;0;0 
606;17;1;1;4;0;0 
1707;17;1;1;5;0;0 
891;17;1;1;4;0;0 
864;17;1;1;4;0;0 
713;17;1;1;4;0;0 
832;17;1;1;4;0;0 
633;17;1;1;4;0;0 
707;17;1;1;4;0;0 
645;17;1;1;4;0;0 
1389;17;1;1;4;0;0 
727;17;1;1;4;0;0 
684;17;1;1;5;0;0 
675;17;1;1;3;0;0 
2357;17;1;1;4;0;0 
773;17;1;1;4;0;0 
652;17;1;1;4;0;0 
689;17;1;1;4;0;0 
654;17;1;1;4;0;0 
651;17;1;1;4;0;0 
754;17;1;1;4;0;0 
790;17;1;1;4;0;0 
658;17;1;1;4;0;0 
601;17;1;1;4;0;0 
594;17;1;1;4;0;0 
2370;17;1;1;4;0;0 
653;17;1;1;3;0;0 
626;17;1;1;4;0;0 
3034;17;1;1;4;0;0 
803;17;1;1;4;0;0 
659;17;1;1;3;0;0 
645;17;1;1;4;0;0 
684;17;1;1;4;0;0 
639;17;1;1;4;0;0 
729;17;1;1;4;0;0 
620;17;1;1;4;0;0 
781;17;1;1;4;0;0 
611;17;1;1;4;0;0 
2624;17;1;1;3;0;0 
650;17;1;1;4;0;0 
624;17;1;1;4;0;0 
658;17;1;1;4;0;0 
806;17;1;1;4;0;0 
2283;17;1;1;5;0;0 
720;17;1;1;4;0;0 
657;17;1;1;3;0;0 
