CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
664;21;18;0;0;6;22 
1588;21;18;0;0;7;22 
1432;21;18;0;0;8;22 
710;21;18;0;0;8;22 
821;21;18;0;0;8;22 
619;21;18;0;0;4;22 
696;21;18;0;0;8;22 
563;21;18;0;0;7;22 
742;21;18;0;0;8;22 
669;21;18;0;0;8;22 
1657;21;18;0;0;8;22 
645;21;18;0;0;8;22 
1164;21;18;0;0;8;22 
686;21;18;0;0;7;22 
826;21;18;0;0;6;22 
639;21;18;0;0;6;22 
644;21;18;0;0;8;22 
663;21;18;0;0;8;22 
642;21;18;0;0;7;22 
686;21;18;0;0;8;22 
666;21;18;0;0;8;22 
643;21;18;0;0;6;22 
2003;21;18;0;0;7;22 
661;21;18;0;0;8;22 
649;21;18;0;0;6;22 
656;21;18;0;0;6;22 
640;21;18;0;0;8;22 
654;21;18;0;0;6;22 
676;21;18;0;0;7;22 
744;21;18;0;0;8;22 
2823;21;18;0;0;6;22 
685;21;18;0;0;7;22 
641;21;18;0;0;7;22 
642;21;18;0;0;8;22 
676;21;18;0;0;8;22 
698;21;18;0;0;7;22 
684;21;18;0;0;8;22 
673;21;18;0;0;8;22 
1040;21;18;0;0;8;22 
686;21;18;0;0;8;22 
668;21;18;0;0;8;22 
2317;21;18;0;0;7;22 
633;21;18;0;0;7;22 
669;21;18;0;0;8;22 
717;21;18;0;0;8;22 
1788;21;18;0;0;8;22 
649;21;18;0;0;8;22 
651;21;18;0;0;7;22 
669;21;18;0;0;8;22 
628;21;18;0;0;7;22 
631;21;18;0;0;8;22 
3364;21;18;0;0;8;22 
701;21;18;0;0;8;22 
632;21;18;0;0;8;22 
494;21;18;0;0;8;22 
660;21;18;0;0;7;22 
646;21;18;0;0;7;22 
664;21;18;0;0;8;22 
689;21;18;0;0;8;22 
707;21;18;0;0;8;22 
3239;21;18;0;0;7;22 
679;21;18;0;0;8;22 
655;21;18;0;0;8;22 
1487;21;18;0;0;7;22 
666;21;18;0;0;7;22 
678;21;18;0;0;8;22 
644;21;18;0;0;7;22 
644;21;18;0;0;8;22 
652;21;18;0;0;8;22 
643;21;18;0;0;7;22 
673;21;18;0;0;8;22 
684;21;18;0;0;8;22 
639;21;18;0;0;7;22 
3238;21;18;0;0;8;22 
681;21;18;0;0;8;22 
644;21;18;0;0;8;22 
797;21;18;0;0;8;22 
673;21;18;0;0;8;22 
653;21;18;0;0;6;22 
629;21;18;0;0;8;22 
655;21;18;0;0;8;22 
651;21;18;0;0;8;22 
836;21;18;0;0;8;22 
672;21;18;0;0;7;22 
660;21;18;0;0;8;22 
1667;21;18;0;0;8;22 
634;21;18;0;0;7;22 
701;21;18;0;0;6;22 
2556;21;18;0;0;8;22 
719;21;18;0;0;6;22 
659;21;18;0;0;8;22 
687;21;18;0;0;8;22 
474;21;18;0;0;8;22 
677;21;18;0;0;8;22 
663;21;18;0;0;8;22 
690;21;18;0;0;8;22 
674;21;18;0;0;8;22 
630;21;18;0;0;7;22 
661;21;18;0;0;8;22 
645;21;18;0;0;8;22 
650;21;18;0;0;8;22 
702;21;18;0;0;8;22 
664;21;18;0;0;8;22 
1658;21;18;0;0;8;22 
660;21;18;0;0;7;22 
2913;21;18;0;0;8;22 
651;21;18;0;0;8;22 
683;21;18;0;0;8;22 
678;21;18;0;0;8;22 
677;21;18;0;0;8;22 
466;21;18;0;0;6;22 
680;21;18;0;0;8;22 
668;21;18;0;0;7;22 
654;21;18;0;0;8;22 
650;21;18;0;0;8;22 
1791;21;18;0;0;8;22 
1412;21;18;0;0;8;22 
667;21;18;0;0;8;22 
498;21;18;0;0;8;22 
643;21;18;0;0;8;22 
634;21;18;0;0;6;22 
656;21;18;0;0;6;22 
644;21;18;0;0;8;22 
689;21;18;0;0;8;22 
879;22;18;0;0;8;23 
656;21;18;0;0;8;22 
676;21;18;0;0;8;22 
667;21;18;0;0;8;22 
769;21;18;0;0;8;22 
640;21;18;0;0;8;22 
690;21;18;0;0;8;22 
647;21;18;0;0;8;22 
655;21;18;0;0;8;22 
1816;21;18;0;0;6;22 
675;21;18;0;0;8;22 
662;21;18;0;0;7;22 
689;21;18;0;0;8;22 
676;21;18;0;0;8;22 
715;21;18;0;0;8;22 
652;21;18;0;0;8;22 
1823;21;18;0;0;8;22 
3815;21;18;0;0;6;22 
656;21;18;0;0;8;22 
645;21;18;0;0;8;22 
667;21;18;0;0;8;22 
680;21;18;0;0;8;22 
630;21;18;0;0;7;22 
696;21;18;0;0;8;22 
694;21;18;0;0;8;22 
1090;21;18;0;0;8;22 
704;21;18;0;0;7;22 
465;21;18;0;0;7;22 
649;21;18;0;0;8;22 
2749;21;18;0;0;8;22 
676;21;18;0;0;8;22 
536;21;18;0;0;6;22 
671;21;18;0;0;8;22 
2487;21;18;0;0;6;22 
674;21;18;0;0;8;22 
662;21;18;0;0;8;22 
2793;21;18;0;0;8;22 
649;21;18;0;0;8;22 
691;21;18;0;0;8;22 
910;21;18;0;0;6;22 
1801;21;18;0;0;8;22 
2330;21;18;0;0;8;22 
670;21;18;0;0;7;22 
3223;21;18;0;0;8;22 
640;21;18;0;0;8;22 
663;21;18;0;0;8;22 
2870;21;18;0;0;8;22 
666;21;18;0;0;8;22 
652;21;18;0;0;8;22 
631;21;18;0;0;7;22 
672;21;18;0;0;8;22 
2128;21;18;0;0;8;22 
696;21;18;0;0;8;22 
647;21;18;0;0;8;22 
669;21;18;0;0;8;22 
640;21;18;0;0;8;22 
675;21;18;0;0;8;22 
659;21;18;0;0;8;22 
690;21;18;0;0;6;22 
648;21;18;0;0;8;22 
665;21;18;0;0;8;22 
688;21;18;0;0;8;22 
653;21;18;0;0;7;22 
692;21;18;0;0;8;22 
659;21;18;0;0;6;22 
648;21;18;0;0;8;22 
668;21;18;0;0;8;22 
644;21;18;0;0;8;22 
650;21;18;0;0;8;22 
682;21;18;0;0;8;22 
626;21;18;0;0;8;22 
1680;21;18;0;0;7;22 
784;21;18;0;0;8;22 
662;21;18;0;0;7;22 
674;21;18;0;0;8;22 
677;21;18;0;0;8;22 
691;21;18;0;0;8;22 
566;21;18;0;0;8;22 
3493;21;18;0;0;8;22 
535;21;18;0;0;8;22 
672;21;18;0;0;8;22 
670;21;18;0;0;8;22 
646;21;18;0;0;8;22 
806;21;18;0;0;8;22 
830;21;18;0;0;8;22 
674;21;18;0;0;8;22 
724;21;18;0;0;8;22 
697;21;18;0;0;8;22 
824;21;18;0;0;8;22 
689;21;18;0;0;8;22 
1671;21;18;0;0;8;22 
724;21;18;0;0;7;22 
673;21;18;0;0;8;22 
1642;21;18;0;0;7;22 
686;21;18;0;0;8;22 
756;21;18;0;0;8;22 
661;21;18;0;0;8;22 
2548;21;18;0;0;8;22 
3303;21;18;0;0;7;22 
2665;21;18;0;0;8;22 
640;21;18;0;0;8;22 
601;21;18;0;0;4;22 
2077;21;18;0;0;8;22 
652;21;18;0;0;8;22 
771;21;18;0;0;8;22 
678;21;18;0;0;8;22 
1610;21;18;0;0;8;22 
469;21;18;0;0;8;22 
672;21;18;0;0;8;22 
1470;21;18;0;0;7;22 
