CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
807;0;38;18;8;0;0 
987;0;36;32;9;0;0 
924;0;280;18;10;0;0 
2427;0;27;874;9;0;0 
2524;0;36;38;8;0;0 
643;0;38;21;9;0;0 
660;0;38;38;10;0;0 
663;0;32;42;9;0;0 
660;0;48;18;9;0;0 
1874;0;51;42;10;0;0 
1020;0;35;32;9;0;0 
1648;0;35;39;9;0;0 
712;0;46;42;9;0;0 
689;0;28;63;13;0;0 
710;0;34;22;8;0;0 
647;0;36;18;9;0;0 
1596;0;31;40;8;0;0 
884;0;38;18;9;0;0 
630;0;32;44;9;0;0 
629;0;34;36;8;0;0 
782;0;96;55;9;0;0 
1709;0;27;42;8;0;0 
635;0;33;36;9;0;0 
626;0;37;18;9;0;0 
830;0;32;41;15;0;0 
2284;0;36;18;9;0;0 
731;0;22;71;14;0;0 
643;0;36;22;10;0;0 
645;0;33;21;9;0;0 
670;0;35;40;9;0;0 
611;0;33;23;10;0;0 
1364;0;39;18;8;0;0 
625;0;35;36;9;0;0 
3218;0;36;32;9;0;0 
948;0;33;36;9;0;0 
706;0;45;22;9;0;0 
931;0;27;46;15;0;0 
703;0;27;63;15;0;0 
803;0;36;22;10;0;0 
615;0;33;22;10;0;0 
735;0;29;40;9;0;0 
1427;0;89;23;9;0;0 
1212;0;44;18;10;0;0 
1619;0;32;42;9;0;0 
614;0;38;18;9;0;0 
637;0;30;46;8;0;0 
2151;0;32;42;9;0;0 
626;0;35;22;9;0;0 
695;0;30;73;9;0;0 
2213;0;35;39;8;0;0 
2028;0;30;46;9;0;0 
620;0;33;22;9;0;0 
641;0;30;37;14;0;0 
627;0;37;18;5;0;0 
775;0;36;39;9;0;0 
934;0;42;28;9;0;0 
685;0;34;34;8;0;0 
655;0;29;47;9;0;0 
763;0;36;17;9;0;0 
660;0;36;36;8;0;0 
672;0;36;33;8;0;0 
769;0;26;66;13;0;0 
2112;0;32;42;9;0;0 
647;0;35;39;9;0;0 
1741;0;39;54;8;0;0 
624;0;35;33;9;0;0 
684;0;46;34;9;0;0 
1586;0;359;64;13;0;0 
787;0;29;46;9;0;0 
657;0;33;41;8;0;0 
651;0;35;38;10;0;0 
640;0;33;39;10;0;0 
647;0;32;41;9;0;0 
2034;0;47;18;9;0;0 
702;0;38;32;9;0;0 
836;0;202;59;14;0;0 
649;0;36;18;10;0;0 
2200;0;32;42;9;0;0 
683;0;32;37;10;0;0 
660;0;32;49;13;0;0 
795;0;37;32;9;0;0 
670;0;30;47;8;0;0 
645;0;36;22;8;0;0 
664;0;38;38;8;0;0 
726;0;38;60;13;0;0 
686;0;38;42;8;0;0 
715;0;36;32;10;0;0 
772;0;39;31;9;0;0 
628;0;27;42;9;0;0 
675;0;32;37;9;0;0 
653;0;48;33;9;0;0 
2084;0;35;38;10;0;0 
1604;0;46;32;11;0;0 
712;0;36;35;8;0;0 
638;0;33;43;9;0;0 
650;0;32;40;9;0;0 
672;0;48;42;9;0;0 
1682;0;36;32;9;0;0 
2056;0;44;18;9;0;0 
877;0;32;67;8;0;0 
2268;0;47;65;8;0;0 
807;0;34;22;9;0;0 
682;0;36;18;10;0;0 
645;0;46;34;9;0;0 
636;0;38;18;9;0;0 
1625;0;38;38;8;0;0 
634;0;33;36;9;0;0 
2739;0;1665;64;14;0;0 
677;0;36;32;9;0;0 
647;0;26;42;10;0;0 
2848;0;38;22;9;0;0 
631;0;36;32;9;0;0 
620;0;44;36;10;0;0 
2416;0;32;61;8;0;0 
2416;0;29;42;13;0;0 
823;0;36;18;9;0;0 
812;0;31;56;9;0;0 
712;0;36;32;10;0;0 
1947;0;37;35;8;0;0 
753;0;46;36;9;0;0 
3915;0;29;47;10;0;0 
894;0;36;23;9;0;0 
2432;0;36;32;9;0;0 
672;0;32;37;10;0;0 
2390;0;35;38;9;0;0 
643;0;48;18;8;0;0 
656;0;47;32;9;0;0 
1941;0;43;42;9;0;0 
676;0;35;37;9;0;0 
2562;0;46;42;8;0;0 
655;0;36;18;9;0;0 
2570;0;38;32;9;0;0 
1017;0;35;37;9;0;0 
733;0;29;56;14;0;0 
654;0;32;42;9;0;0 
1584;0;35;33;10;0;0 
700;0;30;46;8;0;0 
641;0;29;46;9;0;0 
905;0;34;22;8;0;0 
629;0;36;18;9;0;0 
657;0;37;38;9;0;0 
667;0;33;42;9;0;0 
630;0;32;42;9;0;0 
676;0;37;32;9;0;0 
608;0;34;22;8;0;0 
691;0;27;45;14;0;0 
678;0;32;42;9;0;0 
1245;0;27;63;13;0;0 
642;0;35;38;9;0;0 
637;0;35;38;9;0;0 
1216;0;31;26;9;0;0 
628;0;36;31;9;0;0 
2029;0;32;42;9;0;0 
635;0;34;22;8;0;0 
744;0;36;38;9;0;0 
792;0;36;18;9;0;0 
638;0;26;42;10;0;0 
640;0;35;32;11;0;0 
1907;0;35;38;10;0;0 
1553;0;37;32;8;0;0 
2807;0;27;37;10;0;0 
624;0;31;33;10;0;0 
904;0;35;39;9;0;0 
609;0;33;22;9;0;0 
799;0;32;59;9;0;0 
619;0;37;18;9;0;0 
1804;0;32;37;9;0;0 
683;0;32;42;9;0;0 
669;0;30;46;9;0;0 
643;0;34;22;8;0;0 
640;0;36;32;9;0;0 
676;0;48;42;9;0;0 
612;0;33;32;10;0;0 
676;0;36;33;9;0;0 
765;0;37;19;9;0;0 
721;0;37;33;8;0;0 
658;0;32;43;9;0;0 
619;0;32;42;10;0;0 
1688;0;492;61;15;0;0 
921;0;36;44;13;0;0 
630;0;34;36;8;0;0 
784;0;36;39;8;0;0 
1679;0;197;237;13;0;0 
671;0;35;39;10;0;0 
648;0;39;39;9;0;0 
1110;0;323;61;14;0;0 
640;0;36;18;9;0;0 
807;0;49;39;10;0;0 
3248;0;1096;50;13;0;0 
625;0;33;18;9;0;0 
856;0;48;61;9;0;0 
863;0;29;64;14;0;0 
2245;0;31;47;10;0;0 
645;0;30;41;10;0;0 
749;0;43;43;9;0;0 
2103;0;31;41;9;0;0 
629;0;35;37;9;0;0 
668;0;33;37;8;0;0 
631;0;30;42;14;0;0 
675;0;33;44;8;0;0 
633;0;34;36;9;0;0 
663;0;35;38;9;0;0 
2125;0;28;38;15;0;0 
649;0;32;42;9;0;0 
762;0;29;47;10;0;0 
878;0;37;32;8;0;0 
671;0;34;41;10;0;0 
661;0;27;62;14;0;0 
2579;0;27;36;9;0;0 
852;0;29;45;9;0;0 
2363;0;35;36;10;0;0 
719;0;33;43;9;0;0 
618;0;33;36;10;0;0 
806;0;38;38;8;0;0 
1506;0;30;64;15;0;0 
629;0;36;18;9;0;0 
645;0;37;19;8;0;0 
664;0;33;42;9;0;0 
637;0;37;38;8;0;0 
2040;0;36;18;9;0;0 
592;0;27;23;10;0;0 
636;0;36;19;10;0;0 
669;0;46;37;8;0;0 
826;0;36;34;9;0;0 
668;0;30;41;9;0;0 
804;0;32;56;9;0;0 
671;0;32;37;9;0;0 
621;0;36;32;9;0;0 
655;0;36;33;9;0;0 
650;0;37;18;10;0;0 
756;0;33;59;15;0;0 
1642;0;37;32;9;0;0 
642;0;32;39;9;0;0 
629;0;36;38;8;0;0 
656;0;34;42;10;0;0 
2499;0;36;32;9;0;0 
634;0;34;38;8;0;0 
2434;0;37;32;8;0;0 
2364;0;38;39;9;0;0 
785;0;33;44;8;0;0 
646;0;38;18;9;0;0 
630;0;37;32;8;0;0 
765;0;33;42;8;0;0 
626;0;36;33;8;0;0 
759;0;48;39;9;0;0 
662;0;32;42;9;0;0 
808;0;35;39;9;0;0 
691;0;40;66;10;0;0 
660;0;36;32;9;0;0 
2809;0;36;18;9;0;0 
756;0;35;38;9;0;0 
2239;0;35;34;9;0;0 
668;0;35;42;9;0;0 
723;0;35;36;9;0;0 
648;0;35;38;10;0;0 
647;0;30;40;10;0;0 
719;0;49;18;9;0;0 
662;0;35;38;9;0;0 
632;0;35;42;8;0;0 
712;0;33;18;9;0;0 
620;0;36;18;9;0;0 
625;0;34;22;9;0;0 
718;0;35;64;13;0;0 
641;0;35;33;10;0;0 
611;0;34;22;8;0;0 
660;0;33;43;9;0;0 
1041;0;32;42;10;0;0 
635;0;38;32;9;0;0 
648;0;33;42;8;0;0 
876;0;22;74;13;0;0 
970;0;36;33;10;0;0 
775;0;35;36;9;0;0 
633;0;36;32;9;0;0 
635;0;38;43;9;0;0 
652;0;36;38;9;0;0 
629;0;36;35;8;0;0 
813;0;45;42;8;0;0 
1637;0;33;35;10;0;0 
633;0;33;36;9;0;0 
622;0;37;18;8;0;0 
660;0;45;38;10;0;0 
871;0;36;22;9;0;0 
714;0;40;69;10;0;0 
1580;0;37;32;9;0;0 
1298;0;29;45;10;0;0 
833;0;35;37;9;0;0 
646;0;35;33;10;0;0 
1077;0;36;35;9;0;0 
860;0;34;42;10;0;0 
690;0;39;57;9;0;0 
671;0;27;44;14;0;0 
648;0;35;33;9;0;0 
634;0;35;39;9;0;0 
953;0;163;57;15;0;0 
640;0;35;38;10;0;0 
661;0;36;38;8;0;0 
3549;0;28;63;14;0;0 
648;0;32;42;9;0;0 
616;0;27;42;8;0;0 
706;0;29;65;14;0;0 
607;0;32;37;9;0;0 
2055;0;33;38;8;0;0 
633;0;33;36;9;0;0 
619;0;32;33;10;0;0 
1658;0;35;42;9;0;0 
3711;0;33;41;8;0;0 
809;0;123;61;8;0;0 
673;0;34;36;8;0;0 
651;0;36;41;8;0;0 
733;0;46;58;8;0;0 
645;0;36;36;8;0;0 
625;0;32;42;9;0;0 
654;0;33;36;10;0;0 
688;0;34;22;8;0;0 
817;0;46;36;10;0;0 
609;0;27;22;9;0;0 
640;0;34;42;9;0;0 
656;0;32;37;10;0;0 
