CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
497;0;7;0;3;136;0 
491;0;7;0;2;136;0 
2727;0;6;0;6;136;0 
657;0;6;0;6;136;0 
714;0;6;0;3;136;0 
1142;0;4;0;4;136;0 
1096;0;9;0;8;136;0 
476;0;4;0;2;136;0 
515;0;7;0;3;136;0 
510;0;6;0;3;136;0 
627;0;8;0;3;136;0 
491;0;6;0;2;136;0 
491;0;4;0;2;136;0 
503;0;7;0;3;136;0 
475;0;5;0;2;136;0 
659;0;8;0;3;136;0 
2620;0;6;0;2;136;0 
706;0;7;0;5;136;0 
559;0;7;0;4;136;0 
761;0;7;0;2;136;0 
2883;0;6;0;3;136;0 
483;0;5;0;2;136;0 
693;0;4;0;4;136;0 
2854;0;4;0;2;136;0 
654;0;4;0;3;136;0 
2042;0;7;0;6;136;0 
719;0;5;0;4;136;0 
510;0;6;0;2;136;0 
806;0;6;0;5;136;0 
681;0;4;0;3;136;0 
570;0;6;0;5;136;0 
809;0;7;0;3;136;0 
668;0;7;0;4;136;0 
2142;0;6;0;3;136;0 
533;0;7;0;4;136;0 
1108;0;8;0;5;136;0 
724;0;6;0;4;136;0 
2329;0;6;0;2;136;0 
2669;0;6;0;4;136;0 
916;0;6;0;5;136;0 
852;0;5;0;4;136;0 
638;0;7;0;6;136;0 
842;0;6;0;3;136;0 
676;0;7;0;4;136;0 
474;0;4;0;2;136;0 
773;0;7;0;4;136;0 
494;0;6;0;2;136;0 
678;0;6;0;7;136;0 
737;0;6;0;2;136;0 
2060;0;6;0;4;136;0 
786;0;5;0;9;136;0 
2451;0;7;0;5;136;0 
861;0;7;0;3;136;0 
495;0;6;0;3;136;0 
527;0;6;0;3;136;0 
696;0;6;0;3;136;0 
2633;0;6;0;5;136;0 
482;0;5;0;2;136;0 
1790;0;5;0;4;136;0 
948;0;8;0;2;136;0 
551;0;4;0;3;136;0 
658;0;6;0;3;136;0 
537;0;7;0;7;136;0 
755;0;6;0;2;136;0 
2068;0;11;0;12;136;0 
556;0;7;0;6;136;0 
492;0;5;0;6;136;0 
577;0;6;0;3;136;0 
676;0;7;0;3;136;0 
494;0;6;0;3;136;0 
3310;0;6;0;3;136;0 
1269;0;8;0;10;136;0 
504;0;6;0;3;136;0 
586;0;6;0;4;136;0 
514;0;7;0;2;136;0 
633;0;4;0;2;136;0 
538;0;4;0;3;136;0 
548;0;6;0;4;136;0 
759;0;8;0;4;136;0 
495;0;6;0;2;136;0 
920;0;6;0;4;136;0 
1492;0;6;0;3;136;0 
688;0;6;0;3;136;0 
1340;0;8;0;6;136;0 
870;0;9;0;7;136;0 
878;0;7;0;3;136;0 
838;0;8;0;4;136;0 
491;0;6;0;2;136;0 
1656;0;4;0;2;136;0 
486;0;6;0;3;136;0 
1460;0;8;0;5;136;0 
3203;0;7;0;4;136;0 
674;0;6;0;5;136;0 
1257;0;5;0;3;136;0 
516;0;7;0;5;136;0 
500;0;6;0;2;136;0 
492;0;6;0;2;136;0 
700;0;8;0;5;136;0 
494;0;6;0;2;136;0 
767;0;6;0;3;136;0 
693;0;6;0;2;136;0 
1794;0;6;0;3;136;0 
672;0;8;0;5;136;0 
3310;0;6;0;2;136;0 
488;0;5;0;3;136;0 
2672;0;5;0;5;136;0 
736;0;7;0;6;136;0 
3458;0;4;0;4;136;0 
1278;0;8;0;4;136;0 
554;0;6;0;3;136;0 
662;0;7;0;4;136;0 
2152;0;6;0;2;136;0 
1494;0;5;0;3;136;0 
492;0;7;0;2;136;0 
627;0;5;0;2;136;0 
2603;0;7;0;4;136;0 
498;0;5;0;2;136;0 
714;0;8;0;7;136;0 
3091;0;7;0;5;136;0 
822;0;4;0;3;136;0 
2389;0;6;0;5;136;0 
1573;0;7;0;2;136;0 
950;0;6;0;3;136;0 
1413;0;8;0;2;136;0 
650;0;5;0;4;136;0 
640;0;7;0;6;136;0 
716;0;6;0;2;136;0 
485;0;5;0;2;136;0 
598;0;6;0;2;136;0 
1610;0;6;0;2;136;0 
832;0;4;0;3;136;0 
566;0;4;0;6;136;0 
513;0;7;0;4;136;0 
615;0;6;0;6;136;0 
821;0;5;0;3;136;0 
560;0;6;0;3;136;0 
2470;0;6;0;3;136;0 
485;0;4;0;3;136;0 
491;0;5;0;2;136;0 
665;0;6;0;3;136;0 
852;0;6;0;4;136;0 
500;0;6;0;2;136;0 
646;0;4;0;2;136;0 
509;0;7;0;3;136;0 
778;0;5;0;4;136;0 
871;0;5;0;2;136;0 
495;0;7;0;3;136;0 
533;0;7;0;4;136;0 
699;0;7;0;3;136;0 
635;0;7;0;3;136;0 
573;0;4;0;3;136;0 
685;0;5;0;3;136;0 
1847;0;8;0;10;136;0 
1486;0;6;0;3;136;0 
522;0;7;0;4;136;0 
511;0;8;0;2;136;0 
496;0;6;0;3;136;0 
703;0;6;0;3;136;0 
495;0;6;0;2;136;0 
493;0;4;0;4;136;0 
495;0;5;0;3;136;0 
1308;0;6;0;4;136;0 
560;0;7;0;5;136;0 
676;0;8;0;3;136;0 
623;0;7;0;3;136;0 
483;0;4;0;3;136;0 
899;0;8;0;3;136;0 
2600;0;8;0;4;136;0 
494;0;6;0;2;136;0 
516;0;6;0;3;136;0 
746;0;6;0;4;136;0 
538;0;7;0;7;136;0 
615;0;6;0;2;136;0 
2575;0;4;0;3;136;0 
1074;0;7;0;6;136;0 
500;0;6;0;3;136;0 
897;0;6;0;7;136;0 
626;0;7;0;3;136;0 
814;0;7;0;3;136;0 
808;0;8;0;6;136;0 
627;0;7;0;3;136;0 
489;0;5;0;2;136;0 
519;0;7;0;4;136;0 
590;0;7;0;5;136;0 
485;0;4;0;2;136;0 
637;0;4;0;2;136;0 
544;0;7;0;7;136;0 
807;0;8;0;2;136;0 
1089;0;6;0;4;136;0 
683;0;6;0;3;136;0 
832;0;8;0;5;136;0 
587;0;9;0;6;136;0 
2323;0;6;0;3;136;0 
1974;0;7;0;2;136;0 
682;0;5;0;4;136;0 
738;0;4;0;3;136;0 
1017;0;11;0;6;136;0 
1305;0;6;0;3;136;0 
851;0;8;0;3;136;0 
854;0;5;0;2;136;0 
680;0;6;0;4;136;0 
654;0;6;0;3;136;0 
732;0;7;0;4;136;0 
2417;0;5;0;3;136;0 
669;0;6;0;3;136;0 
509;0;7;0;3;136;0 
822;0;7;0;2;136;0 
2261;0;6;0;2;136;0 
1458;0;7;0;8;136;0 
1592;0;6;0;4;136;0 
2429;0;8;0;3;136;0 
800;0;7;0;3;136;0 
3377;0;8;0;2;136;0 
2606;0;6;0;4;136;0 
502;0;6;0;3;136;0 
1291;0;8;0;7;136;0 
2770;0;6;0;2;136;0 
3327;0;8;0;2;136;0 
646;0;6;0;3;136;0 
1053;0;7;0;5;136;0 
567;0;7;0;4;136;0 
677;0;5;0;5;136;0 
485;0;6;0;2;136;0 
813;0;8;0;4;136;0 
498;0;6;0;2;136;0 
501;0;6;0;3;136;0 
1775;0;5;0;3;136;0 
604;0;4;0;2;136;0 
518;0;7;0;3;136;0 
667;0;7;0;3;136;0 
679;0;5;0;4;136;0 
2065;0;6;0;5;136;0 
656;0;6;0;2;136;0 
486;0;7;0;2;136;0 
724;0;7;0;2;136;0 
3455;0;8;0;3;136;0 
1609;0;7;0;8;136;0 
618;0;7;0;3;136;0 
511;0;7;0;3;136;0 
653;0;5;0;2;136;0 
509;0;6;0;3;136;0 
492;0;6;0;2;136;0 
503;0;6;0;4;136;0 
1932;0;5;0;4;136;0 
650;0;7;0;6;136;0 
2207;0;4;0;2;136;0 
917;0;7;0;4;136;0 
689;0;5;0;3;136;0 
721;0;6;0;3;136;0 
646;0;7;0;2;136;0 
1160;0;6;0;3;136;0 
481;0;5;0;2;136;0 
488;0;6;0;2;136;0 
509;0;7;0;3;136;0 
493;0;4;0;3;136;0 
834;0;7;0;6;136;0 
2488;0;6;0;5;136;0 
2814;0;7;0;4;136;0 
3717;0;5;0;4;136;0 
849;0;7;0;3;136;0 
488;0;7;0;2;136;0 
483;0;5;0;2;136;0 
690;0;6;0;5;136;0 
3302;0;7;0;6;136;0 
857;0;8;0;5;136;0 
640;0;5;0;3;136;0 
654;0;7;0;2;136;0 
535;0;8;0;4;136;0 
2918;0;7;0;7;136;0 
682;0;7;0;4;136;0 
765;0;5;0;4;136;0 
735;0;4;0;3;136;0 
2561;0;4;0;3;136;0 
1973;0;5;0;2;136;0 
513;0;6;0;5;136;0 
904;0;7;0;3;136;0 
484;0;6;0;2;136;0 
741;0;7;0;3;136;0 
952;0;7;0;3;136;0 
564;0;8;0;3;136;0 
609;0;6;0;2;136;0 
562;0;6;0;8;136;0 
716;0;7;0;4;136;0 
509;0;5;0;3;136;0 
499;0;6;0;3;136;0 
691;0;8;0;8;136;0 
637;0;6;0;3;136;0 
556;0;4;0;3;136;0 
3601;0;5;0;3;136;0 
1522;0;6;0;3;136;0 
1923;0;6;0;2;136;0 
501;0;6;0;3;136;0 
657;0;7;0;5;136;0 
692;0;8;0;6;136;0 
481;0;6;0;2;136;0 
730;0;5;0;5;136;0 
998;0;7;0;3;136;0 
485;0;6;0;2;136;0 
1854;0;5;0;3;136;0 
1568;0;4;0;3;136;0 
676;0;7;0;3;136;0 
777;0;7;0;3;136;0 
715;0;6;0;4;136;0 
662;0;7;0;3;136;0 
504;0;7;0;5;136;0 
673;0;6;0;3;136;0 
731;0;7;0;3;136;0 
646;0;7;0;4;136;0 
1933;0;4;0;2;136;0 
625;0;7;0;3;136;0 
1020;0;7;0;3;136;0 
630;0;5;0;2;136;0 
803;0;8;0;4;136;0 
2396;0;4;0;3;136;0 
579;0;7;0;5;136;0 
3218;0;4;0;4;136;0 
569;0;5;0;3;136;0 
616;0;6;0;3;136;0 
2395;0;6;0;3;136;0 
1540;0;7;0;3;136;0 
2316;0;8;0;8;136;0 
2054;0;6;0;2;136;0 
1926;0;5;0;6;136;1 
2121;0;6;0;2;136;0 
625;0;7;0;2;136;0 
574;0;6;0;3;136;0 
492;0;6;0;2;136;0 
757;0;7;0;2;136;0 
495;0;7;0;2;136;0 
530;0;4;0;3;136;0 
500;0;7;0;2;136;0 
666;0;7;0;4;136;0 
738;0;5;0;4;136;0 
800;0;6;0;2;136;0 
2414;0;7;0;4;136;0 
547;0;6;0;3;136;0 
514;0;6;0;5;136;0 
665;0;7;0;2;136;0 
490;0;5;0;3;136;0 
537;0;8;0;5;136;0 
1610;0;6;0;2;136;0 
493;0;5;0;4;136;0 
516;0;5;0;3;136;0 
494;0;6;0;2;136;0 
550;0;4;0;6;136;0 
487;0;7;0;2;136;0 
812;0;6;0;3;136;0 
733;0;4;0;7;136;0 
1038;0;4;0;3;136;0 
739;0;6;0;3;136;0 
661;0;7;0;2;136;0 
795;0;8;0;5;136;0 
839;0;6;0;3;136;0 
531;0;6;0;3;136;0 
2549;0;6;0;4;136;0 
4152;0;7;0;4;136;0 
635;0;4;0;2;136;0 
477;0;5;0;3;136;0 
640;0;8;0;3;136;0 
899;0;6;0;3;136;0 
502;0;6;0;3;136;0 
487;0;7;0;2;136;0 
2029;0;6;0;3;136;0 
568;0;6;0;4;136;0 
2265;0;5;0;2;136;0 
492;0;7;0;2;136;0 
506;0;6;0;2;136;0 
644;0;7;0;2;136;0 
501;0;6;0;3;136;0 
717;0;6;0;3;136;0 
642;0;6;0;5;136;0 
1952;0;7;0;6;136;0 
616;0;5;0;4;136;0 
661;0;6;0;3;136;0 
1017;0;6;0;3;136;0 
2249;0;7;0;3;136;0 
1536;0;4;0;6;136;0 
1208;0;4;0;2;136;0 
897;0;6;0;2;136;0 
644;0;6;0;2;136;0 
468;0;4;0;2;136;0 
508;0;6;0;3;136;0 
618;0;8;0;3;136;0 
894;0;8;0;8;136;0 
632;0;7;0;2;136;0 
666;0;6;0;3;136;0 
518;0;4;0;5;136;0 
954;0;6;0;8;136;0 
1827;0;7;0;3;136;0 
803;0;6;0;2;136;0 
1243;0;8;0;6;136;0 
664;0;6;0;3;136;0 
1098;0;7;0;4;136;0 
1362;0;5;0;2;136;0 
621;0;6;0;3;136;0 
491;0;6;0;2;136;0 
1955;0;6;0;2;136;0 
3236;0;7;0;2;136;0 
2704;0;6;0;4;136;0 
1243;0;6;0;4;136;0 
657;0;7;0;2;136;0 
715;0;6;0;4;136;0 
748;0;7;0;3;136;0 
3150;0;5;0;3;136;0 
1480;0;6;0;6;136;0 
1461;0;4;0;2;136;0 
3803;0;6;0;5;136;0 
491;0;5;0;2;136;0 
639;0;5;0;4;136;0 
623;0;5;0;2;136;0 
842;0;9;0;8;136;0 
598;0;6;0;2;136;0 
1133;0;7;0;3;136;0 
490;0;7;0;3;136;0 
1085;0;6;0;3;136;0 
506;0;6;0;4;136;0 
667;0;8;0;3;136;0 
743;0;7;0;5;136;0 
676;0;6;0;6;136;0 
585;0;6;0;4;136;0 
657;0;7;0;2;136;0 
1357;0;5;0;2;136;0 
692;0;6;0;3;136;0 
476;0;4;0;2;136;0 
832;0;5;0;3;136;0 
658;0;6;0;2;136;0 
749;0;7;0;7;136;0 
761;0;7;0;6;136;0 
2957;0;5;0;5;136;0 
643;0;5;0;3;136;0 
695;0;7;0;2;136;0 
481;0;5;0;2;136;0 
535;0;4;0;3;136;0 
843;0;8;0;3;136;0 
545;0;6;0;3;136;0 
645;0;6;0;6;136;0 
1512;0;8;0;2;136;0 
2177;0;6;0;3;136;0 
1095;0;10;0;10;136;0 
610;0;5;0;2;136;0 
1907;0;6;0;4;136;0 
888;0;5;0;4;136;0 
673;0;9;0;7;136;0 
1551;0;8;0;6;136;0 
513;0;7;0;3;136;0 
596;0;7;0;11;136;0 
2812;0;6;0;3;136;0 
497;0;7;0;2;136;0 
622;0;6;0;2;136;0 
2529;0;4;0;4;136;0 
3978;0;6;0;5;136;0 
756;0;6;0;4;136;0 
686;0;5;0;3;136;0 
495;0;7;0;2;136;0 
723;0;5;0;3;136;0 
520;0;4;0;6;136;0 
479;0;6;0;2;136;0 
760;0;6;0;2;136;0 
756;0;7;0;8;136;0 
1281;0;8;0;4;136;0 
3349;0;7;0;4;136;0 
528;0;4;0;3;136;0 
3035;0;7;0;3;136;0 
871;0;7;0;4;136;0 
1523;0;7;0;2;136;0 
1583;0;7;0;2;136;0 
652;0;7;0;3;136;0 
597;0;6;0;2;136;0 
898;0;9;0;7;136;0 
509;0;6;0;3;136;0 
526;0;6;0;3;136;0 
889;0;6;0;3;136;0 
490;0;7;0;2;136;0 
624;0;5;0;2;136;0 
733;0;6;0;3;136;0 
2596;0;6;0;2;136;0 
1540;0;4;0;2;136;0 
1926;0;6;0;4;136;0 
1743;0;8;0;2;136;0 
753;0;7;0;3;136;0 
698;0;6;0;6;136;0 
1335;0;6;0;3;136;0 
623;0;6;0;3;136;0 
495;0;6;0;2;136;0 
748;0;7;0;3;136;0 
1082;0;8;0;2;136;0 
1364;0;8;0;7;136;0 
633;0;6;0;3;136;0 
647;0;6;0;4;136;0 
598;0;4;0;2;136;0 
2100;0;4;0;2;136;0 
662;0;6;0;4;136;0 
671;0;5;0;3;136;0 
656;0;8;0;4;136;0 
2118;0;6;0;2;136;0 
2819;0;6;0;2;136;0 
3011;0;8;0;6;136;0 
799;0;5;0;2;136;0 
714;0;6;0;6;136;0 
643;0;5;0;5;136;0 
556;0;6;0;6;136;0 
531;0;7;0;5;136;0 
648;0;7;0;3;136;0 
806;0;7;0;6;136;0 
601;0;7;0;2;136;0 
622;0;6;0;2;136;0 
769;0;6;0;4;136;0 
855;0;6;0;6;136;0 
683;0;4;0;3;136;0 
496;0;5;0;2;136;0 
504;0;7;0;3;136;0 
502;0;4;0;5;136;0 
572;0;6;0;4;136;0 
512;0;7;0;4;136;0 
2251;0;6;0;6;136;0 
868;0;5;0;3;136;0 
584;0;6;0;3;136;0 
3796;0;5;0;5;136;0 
491;0;6;0;2;136;0 
678;0;6;0;3;136;0 
488;0;5;0;2;136;0 
508;0;7;0;3;136;0 
526;0;6;0;4;136;0 
1007;0;5;0;6;136;0 
483;0;5;0;2;136;0 
490;0;4;0;2;136;0 
1485;0;6;0;4;136;0 
537;0;4;0;7;136;0 
678;0;8;0;6;136;0 
522;0;5;0;7;136;0 
2111;0;6;0;2;136;0 
667;0;7;0;5;136;0 
513;0;4;0;3;136;0 
677;0;6;0;2;136;0 
2962;0;8;0;2;136;0 
735;0;4;0;3;136;0 
922;0;9;0;8;136;0 
682;0;6;0;2;136;0 
856;0;8;0;2;136;0 
518;0;7;0;4;136;0 
487;0;5;0;3;136;0 
629;0;4;0;2;136;0 
491;0;7;0;2;136;0 
673;0;5;0;4;136;0 
688;0;5;0;3;136;0 
1041;0;6;0;2;136;0 
493;0;6;0;2;136;0 
498;0;6;0;3;136;0 
517;0;5;0;4;136;0 
590;0;6;0;3;136;0 
720;0;6;0;3;136;0 
580;0;7;0;3;136;0 
652;0;5;0;2;136;0 
1521;0;6;0;3;136;0 
1463;0;4;0;3;136;0 
3134;0;8;0;4;136;0 
610;0;7;0;2;136;0 
499;0;5;0;2;136;0 
2680;0;5;0;2;136;0 
1142;0;5;0;2;136;0 
1280;0;8;0;2;136;0 
1042;0;7;0;5;136;0 
705;0;7;0;3;136;0 
613;0;6;0;2;136;0 
3045;0;6;0;3;136;0 
504;0;6;0;2;136;0 
631;0;6;0;2;136;0 
1844;0;5;0;5;136;0 
841;0;7;0;7;136;0 
541;0;6;0;3;136;0 
1737;0;6;0;2;136;0 
924;0;5;0;4;136;0 
706;0;8;0;4;136;0 
612;0;7;0;2;136;0 
486;0;4;0;3;136;0 
485;0;6;0;2;136;0 
671;0;6;0;3;136;0 
499;0;6;0;2;136;0 
2771;0;5;0;2;136;0 
3149;0;5;0;3;136;0 
3095;0;6;0;3;136;0 
2033;0;5;0;4;136;0 
2155;0;4;0;2;136;0 
492;0;6;0;2;136;0 
497;0;7;0;2;136;0 
1150;0;7;0;5;136;0 
623;0;6;0;3;136;0 
754;0;8;0;3;136;0 
617;0;6;0;3;136;0 
1059;0;6;0;5;136;0 
500;0;6;0;2;136;0 
591;0;5;0;3;136;0 
661;0;6;0;3;136;0 
788;0;7;0;5;136;0 
501;0;7;0;2;136;0 
478;0;4;0;3;136;0 
2370;0;7;0;4;136;0 
503;0;5;0;5;136;0 
622;0;6;0;2;136;0 
567;0;4;0;6;136;0 
655;0;9;0;6;136;0 
735;0;5;0;2;136;0 
482;0;4;0;3;136;0 
663;0;6;0;2;136;0 
2129;0;6;0;8;136;0 
503;0;6;0;2;136;0 
486;0;7;0;2;136;0 
1617;0;4;0;3;136;0 
2096;0;8;0;3;136;0 
480;0;4;0;2;136;0 
822;0;7;0;6;136;0 
643;0;7;0;3;136;0 
1167;0;5;0;4;136;0 
1749;0;6;0;2;136;0 
686;0;6;0;2;136;0 
1714;0;6;0;6;136;0 
614;0;6;0;2;136;0 
547;0;6;0;5;136;0 
881;0;8;0;2;136;0 
2808;0;8;0;7;136;0 
917;0;6;0;6;136;0 
579;0;6;0;4;136;0 
663;0;7;0;4;136;0 
544;0;7;0;5;136;0 
475;0;4;0;2;136;0 
579;0;5;0;3;136;0 
652;0;5;0;2;136;0 
1550;0;8;0;8;136;0 
616;0;6;0;3;136;0 
470;0;4;0;2;136;0 
504;0;5;0;3;136;0 
2510;0;6;0;2;136;0 
716;0;5;0;5;136;0 
532;0;6;0;3;136;0 
745;0;7;0;3;136;0 
786;0;4;0;6;136;0 
1759;0;5;0;2;136;0 
1955;0;9;0;2;136;0 
1208;0;6;0;2;136;0 
2325;0;8;0;5;136;0 
517;0;6;0;3;136;0 
618;0;7;0;2;136;0 
665;0;7;0;3;136;0 
834;0;6;0;7;136;0 
819;0;6;0;3;136;0 
760;0;6;0;5;136;0 
482;0;4;0;2;136;0 
1887;0;6;0;3;136;0 
718;0;6;0;2;136;0 
647;0;6;0;3;136;0 
527;0;4;0;4;136;0 
652;0;4;0;2;136;0 
1134;0;6;0;3;136;0 
492;0;6;0;3;136;0 
2396;0;4;0;5;136;0 
670;0;5;0;4;136;0 
