CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
2921;56;0;0;0;0;0 
921;67;0;0;0;0;0 
1653;56;0;0;0;0;0 
670;56;0;0;0;0;0 
664;56;0;0;0;0;0 
1550;57;0;0;0;0;0 
2166;56;0;0;0;0;0 
875;57;0;0;0;0;0 
2719;56;0;0;0;0;0 
644;67;0;0;0;0;0 
1579;57;0;0;0;0;0 
644;57;0;0;0;0;0 
635;67;0;0;0;0;0 
671;56;0;0;0;0;0 
724;53;0;0;0;0;0 
901;57;0;0;0;0;0 
727;57;0;0;0;0;0 
678;68;0;0;0;0;0 
614;56;0;0;0;0;0 
881;68;0;0;0;0;0 
686;73;0;0;0;0;0 
2148;56;0;0;0;0;0 
1201;56;0;0;0;0;0 
647;57;0;0;0;0;0 
611;57;0;0;0;0;0 
731;56;0;0;0;0;0 
680;68;0;0;0;0;0 
2226;56;0;0;0;0;0 
694;56;0;0;0;0;0 
661;68;0;0;0;0;0 
621;57;0;0;0;0;0 
633;56;0;0;0;0;0 
1279;58;0;0;0;0;0 
2240;56;0;0;0;0;0 
1088;71;0;0;0;0;0 
702;57;0;0;0;0;0 
2834;56;0;0;0;0;0 
2438;68;0;0;0;0;0 
708;57;0;0;0;0;0 
703;67;0;0;0;0;0 
664;67;0;0;0;0;0 
732;56;0;0;0;0;0 
849;57;0;0;0;0;0 
671;68;0;0;0;0;0 
2344;57;0;0;0;0;0 
702;67;0;0;0;0;0 
645;61;0;0;0;0;0 
709;56;0;0;0;0;0 
692;63;0;0;0;0;0 
638;54;0;0;0;0;0 
632;56;0;0;0;0;0 
662;56;0;0;0;0;0 
2263;57;0;0;0;0;0 
678;57;0;0;0;0;0 
711;48;0;0;0;0;0 
594;56;0;0;0;0;0 
622;57;0;0;0;0;0 
1448;56;0;0;0;0;0 
2217;56;0;0;0;0;0 
921;56;0;0;0;0;0 
646;57;0;0;0;0;0 
1044;57;0;0;0;0;0 
740;56;0;0;0;0;0 
2062;1329;0;0;0;0;0 
646;57;0;0;0;0;0 
621;56;0;0;0;0;0 
820;56;0;0;0;0;0 
668;56;0;0;0;0;0 
636;56;0;0;0;0;0 
738;52;0;0;0;0;0 
650;61;0;0;0;0;0 
1251;68;0;0;0;0;0 
651;56;0;0;0;0;0 
847;67;0;0;0;0;0 
649;57;0;0;0;0;0 
687;56;0;0;0;0;0 
644;67;0;0;0;0;0 
598;57;0;0;0;0;0 
2401;75;0;0;0;0;0 
722;57;0;0;0;0;0 
848;61;0;0;0;0;0 
717;68;0;0;0;0;0 
651;67;0;0;0;0;0 
656;57;0;0;0;0;0 
711;68;0;0;0;0;0 
612;56;0;0;0;0;0 
667;59;0;0;0;0;0 
641;56;0;0;0;0;0 
707;53;0;0;0;0;0 
638;56;0;0;0;0;0 
1638;56;0;0;0;0;0 
677;57;0;0;0;0;0 
2054;72;0;0;0;0;0 
1021;56;0;0;0;0;0 
2164;56;0;0;0;0;0 
838;56;0;0;0;0;0 
729;61;0;0;0;0;0 
640;57;0;0;0;0;0 
681;56;0;0;0;0;0 
2169;61;0;0;0;0;0 
687;57;0;0;0;0;0 
690;61;0;0;0;0;0 
744;56;0;0;0;0;0 
998;57;0;0;0;0;0 
677;61;0;0;0;0;0 
2725;67;0;0;0;0;0 
663;57;0;0;0;0;0 
864;56;0;0;0;0;0 
867;57;0;0;0;0;0 
660;68;0;0;0;0;0 
608;57;0;0;0;0;0 
2162;57;0;0;0;0;0 
650;56;0;0;0;0;0 
715;67;0;0;0;0;0 
1065;61;0;0;0;0;0 
662;57;0;0;0;0;0 
1277;58;0;0;0;0;0 
810;69;0;0;0;0;0 
2637;57;0;0;0;0;0 
2378;57;0;0;0;0;0 
745;69;0;0;0;0;0 
724;57;0;0;0;0;0 
636;56;0;0;0;0;0 
1546;56;0;0;0;0;0 
828;72;0;0;0;0;0 
701;61;0;0;0;0;0 
654;56;0;0;0;0;0 
624;56;0;0;0;0;0 
1004;56;0;0;0;0;0 
2132;56;0;0;0;0;0 
3227;52;0;0;0;0;0 
629;56;0;0;0;0;0 
3697;56;0;0;0;0;0 
749;67;0;0;0;0;0 
663;56;0;0;0;0;0 
606;56;0;0;0;0;0 
612;56;0;0;0;0;0 
837;56;0;0;0;0;0 
751;61;0;0;0;0;0 
630;72;0;0;0;0;0 
2843;54;0;0;0;0;0 
707;56;0;0;0;0;0 
645;56;0;0;0;0;0 
636;57;0;0;0;0;0 
685;70;0;0;0;0;0 
1909;56;0;0;0;0;0 
636;61;0;0;0;0;0 
631;61;0;0;0;0;0 
651;57;0;0;0;0;0 
725;67;0;0;0;0;0 
667;61;0;0;0;0;0 
677;68;0;0;0;0;0 
663;57;0;0;0;0;0 
655;57;0;0;0;0;0 
825;57;0;0;0;0;0 
639;52;0;0;0;0;0 
609;61;0;0;0;0;0 
995;67;0;0;0;0;0 
1669;57;0;0;0;0;0 
734;56;0;0;0;0;0 
636;56;0;0;0;0;0 
640;57;0;0;0;0;0 
622;57;0;0;0;0;0 
638;56;0;0;0;0;0 
655;57;0;0;0;0;0 
838;61;0;0;0;0;0 
626;61;0;0;0;0;0 
1381;56;0;0;0;0;0 
1574;56;0;0;0;0;0 
3214;56;0;0;0;0;0 
3231;56;0;0;0;0;0 
643;68;0;0;0;0;0 
2293;57;0;0;0;0;0 
814;57;0;0;0;0;0 
656;56;0;0;0;0;0 
625;57;0;0;0;0;0 
2783;61;0;0;0;0;0 
754;57;0;0;0;0;0 
901;56;0;0;0;0;0 
626;68;0;0;0;0;0 
657;56;0;0;0;0;0 
788;57;0;0;0;0;0 
2771;53;0;0;0;0;0 
690;56;0;0;0;0;0 
658;56;0;0;0;0;0 
658;57;0;0;0;0;0 
681;57;0;0;0;0;0 
716;68;0;0;0;0;0 
667;61;0;0;0;0;0 
954;56;0;0;0;0;0 
642;56;0;0;0;0;0 
639;67;0;0;0;0;0 
