CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
799;0;5;0;2;136;0 
502;0;7;0;3;136;0 
491;0;4;0;2;136;0 
1747;0;7;0;4;136;0 
612;0;6;0;2;136;0 
1327;0;8;0;6;136;0 
1211;0;7;0;4;136;0 
654;0;8;0;4;136;0 
2798;0;6;0;3;136;0 
2007;0;5;0;4;136;0 
614;0;7;0;3;136;0 
631;0;7;0;3;136;0 
1086;0;9;0;2;136;0 
718;0;8;0;4;136;0 
989;0;6;0;3;136;0 
548;0;7;0;3;136;0 
650;0;8;0;3;136;0 
683;0;7;0;6;136;0 
679;0;4;0;4;136;0 
515;0;6;0;5;136;0 
506;0;7;0;2;136;0 
2537;0;4;0;3;136;0 
2088;0;7;0;4;136;0 
2626;0;8;0;2;136;0 
497;0;6;0;2;136;0 
660;0;5;0;2;136;0 
2743;0;7;0;7;136;0 
715;0;4;0;4;136;0 
501;0;5;0;3;136;0 
606;0;6;0;3;136;0 
657;0;4;0;2;136;0 
858;0;8;0;5;136;0 
743;0;6;0;2;136;0 
665;0;6;0;5;136;0 
548;0;8;0;6;136;0 
640;0;4;0;3;136;0 
749;0;7;0;3;136;0 
755;0;6;0;4;136;0 
702;0;6;0;6;136;0 
611;0;6;0;2;136;0 
2251;0;6;0;3;136;0 
529;0;6;0;2;136;0 
503;0;7;0;3;136;0 
2998;0;8;0;2;136;0 
1048;0;7;0;5;136;0 
2013;0;4;0;4;136;0 
646;0;6;0;2;136;0 
736;0;6;0;6;136;0 
1186;0;5;0;3;136;0 
859;0;8;0;3;136;0 
485;0;5;0;2;136;0 
503;0;6;0;4;136;0 
604;0;4;0;3;136;0 
725;0;6;0;3;136;0 
724;0;8;0;7;136;0 
1360;0;6;0;5;136;0 
1424;0;7;0;5;136;0 
663;0;6;0;4;136;0 
498;0;6;0;3;136;0 
607;0;7;0;3;136;0 
577;0;8;0;8;136;0 
1655;0;5;0;2;136;0 
814;0;6;0;2;136;0 
632;0;8;0;7;136;0 
487;0;6;0;2;136;0 
729;0;4;0;4;136;0 
2038;0;6;0;3;136;0 
516;0;6;0;2;136;0 
674;0;6;0;4;136;0 
747;0;8;0;2;136;0 
597;0;7;0;2;136;0 
1939;0;4;0;3;136;0 
1750;0;7;0;4;136;0 
2825;0;7;0;5;136;0 
650;0;7;0;2;136;0 
1576;0;5;0;4;136;0 
523;0;7;0;4;136;0 
702;0;7;0;3;136;0 
487;0;6;0;2;136;0 
507;0;5;0;4;136;0 
1499;0;5;0;3;136;0 
1292;0;5;0;2;136;0 
711;0;6;0;3;136;0 
793;0;7;0;4;136;0 
492;0;7;0;3;136;0 
629;0;7;0;4;136;0 
518;0;8;0;3;136;0 
789;0;8;0;4;136;0 
733;0;6;0;4;136;0 
2433;0;6;0;2;136;0 
635;0;7;0;3;136;0 
684;0;5;0;3;136;0 
670;0;6;0;2;136;0 
499;0;6;0;3;136;0 
551;0;4;0;4;136;0 
632;0;6;0;3;136;0 
621;0;6;0;5;136;0 
769;0;6;0;8;136;0 
1554;0;5;0;5;136;0 
493;0;5;0;3;136;0 
485;0;6;0;2;136;0 
651;0;4;0;4;136;0 
3119;0;7;0;2;136;0 
705;0;6;0;6;136;0 
1837;0;5;0;2;136;0 
514;0;5;0;3;136;0 
647;0;6;0;2;136;0 
843;0;6;0;4;136;0 
1151;0;6;0;3;136;0 
703;0;6;0;8;136;0 
550;0;6;0;4;136;0 
669;0;6;0;3;136;0 
710;0;7;0;5;136;0 
501;0;6;0;2;136;0 
1665;0;6;0;2;136;0 
690;0;8;0;9;136;0 
896;0;6;0;4;136;0 
617;0;6;0;2;136;0 
799;0;4;0;3;136;0 
3696;0;5;0;3;136;0 
832;0;5;0;2;136;0 
611;0;7;0;2;136;0 
672;0;7;0;4;136;0 
501;0;5;0;2;136;0 
497;0;5;0;2;136;0 
614;0;6;0;2;136;0 
564;0;7;0;3;136;0 
1338;0;7;0;2;136;0 
870;0;8;0;5;136;0 
639;0;7;0;4;136;0 
485;0;6;0;2;136;0 
697;0;6;0;3;136;0 
676;0;7;0;6;136;0 
491;0;7;0;2;136;0 
2489;0;7;0;4;136;0 
606;0;7;0;2;136;0 
566;0;4;0;4;136;0 
791;0;6;0;4;136;0 
612;0;5;0;2;136;0 
1858;0;6;0;2;136;0 
753;0;7;0;5;136;0 
707;0;7;0;3;136;0 
544;0;7;0;3;136;0 
2922;0;8;0;4;136;0 
653;0;7;0;5;136;0 
742;0;5;0;2;136;0 
827;0;8;0;3;136;0 
508;0;6;0;3;136;0 
1937;0;5;0;3;136;0 
2056;0;6;0;6;136;0 
2507;0;5;0;2;136;0 
1023;0;10;0;12;136;0 
790;0;7;0;3;136;0 
496;0;6;0;2;136;0 
488;0;7;0;3;136;0 
851;0;7;0;9;136;0 
504;0;6;0;3;136;0 
486;0;6;0;3;136;0 
798;0;7;0;3;136;0 
633;0;4;0;4;136;0 
2284;0;7;0;7;136;0 
502;0;6;0;4;136;0 
503;0;6;0;2;136;0 
1541;0;7;0;2;136;0 
1239;0;6;0;3;136;0 
659;0;6;0;5;136;0 
707;0;5;0;2;136;0 
687;0;6;0;3;136;0 
653;0;6;0;3;136;0 
985;0;9;0;2;136;0 
534;0;7;0;3;136;0 
498;0;7;0;2;136;0 
2769;0;7;0;4;136;0 
2366;0;5;0;2;136;0 
1231;0;6;0;2;136;0 
651;0;5;0;2;136;0 
847;0;4;0;7;136;0 
3483;0;8;0;4;136;0 
487;0;6;0;2;136;0 
628;0;6;0;2;136;0 
595;0;6;0;3;136;0 
492;0;7;0;2;136;0 
664;0;5;0;3;136;0 
540;0;6;0;3;136;0 
706;0;6;0;5;136;0 
504;0;6;0;3;136;0 
606;0;6;0;2;136;0 
833;0;6;0;3;136;0 
936;0;4;0;3;136;0 
3300;0;10;0;5;136;0 
2357;0;6;0;3;136;0 
2163;0;7;0;7;136;0 
513;0;7;0;3;136;0 
631;0;6;0;2;136;0 
898;0;7;0;8;136;0 
752;0;7;0;5;136;0 
724;0;6;0;2;136;0 
673;0;6;0;2;136;0 
611;0;6;0;2;136;0 
602;0;4;0;3;136;0 
799;0;4;0;3;136;0 
623;0;6;0;2;136;0 
3366;0;7;0;5;136;0 
739;0;6;0;3;136;0 
728;0;8;0;5;136;0 
788;0;6;0;2;136;0 
949;0;6;0;5;136;0 
498;0;5;0;2;136;0 
549;0;6;0;3;136;0 
531;0;4;0;4;136;0 
750;0;6;0;5;136;0 
744;0;7;0;2;136;0 
1159;0;7;0;5;136;0 
777;0;6;0;6;136;0 
656;0;6;0;3;136;0 
481;0;4;0;3;136;0 
798;0;6;0;4;136;0 
662;0;6;0;2;136;0 
865;0;6;0;5;136;0 
1298;0;5;0;5;136;0 
1013;0;6;0;2;136;0 
723;0;7;0;4;136;0 
499;0;6;0;2;136;0 
664;0;6;0;2;136;0 
763;0;9;0;8;136;0 
491;0;5;0;2;136;0 
548;0;7;0;3;136;0 
659;0;8;0;4;136;0 
545;0;6;0;3;136;0 
674;0;5;0;2;136;0 
504;0;5;0;6;136;0 
617;0;5;0;4;136;0 
667;0;5;0;2;136;0 
702;0;8;0;3;136;0 
622;0;7;0;4;136;0 
1488;0;4;0;4;136;0 
748;0;7;0;7;136;0 
698;0;8;0;7;136;0 
505;0;5;0;3;136;0 
677;0;8;0;3;136;0 
498;0;7;0;2;136;0 
495;0;5;0;2;136;0 
878;0;7;0;3;136;0 
755;0;9;0;4;136;0 
703;0;8;0;3;136;0 
781;0;6;0;5;136;0 
883;0;8;0;5;136;0 
548;0;4;0;3;136;0 
872;0;7;0;3;136;0 
768;0;7;0;6;136;0 
665;0;7;0;5;136;0 
546;0;7;0;3;136;0 
614;0;6;0;5;136;0 
799;0;6;0;5;136;0 
634;0;7;0;2;136;0 
503;0;6;0;3;136;0 
819;0;5;0;5;136;0 
870;0;6;0;3;136;0 
667;0;5;0;2;136;0 
824;0;8;0;5;136;0 
537;0;6;0;4;136;0 
865;0;8;0;8;136;0 
495;0;6;0;4;136;0 
1800;0;6;0;2;136;0 
619;0;7;0;2;136;0 
501;0;5;0;4;136;0 
664;0;6;0;3;136;0 
1024;0;6;0;7;136;0 
1804;0;8;0;3;136;0 
484;0;6;0;2;136;0 
2860;0;6;0;3;136;0 
620;0;6;0;2;136;0 
908;0;6;0;4;136;0 
671;0;7;0;2;136;0 
1935;0;5;0;5;136;0 
3542;0;4;0;7;136;0 
2705;0;9;0;2;136;0 
550;0;6;0;5;136;0 
539;0;6;0;3;136;0 
678;0;5;0;3;136;0 
753;0;6;0;2;136;0 
646;0;7;0;4;136;0 
1686;0;7;0;4;136;0 
1556;0;6;0;3;136;0 
688;0;6;0;5;136;0 
648;0;5;0;3;136;0 
661;0;7;0;4;136;0 
664;0;7;0;2;136;0 
2085;0;4;0;2;136;0 
2344;0;4;0;3;136;0 
1493;0;6;0;3;136;0 
508;0;7;0;4;136;0 
914;0;5;0;4;136;0 
698;0;8;0;5;136;0 
502;0;7;0;3;136;0 
909;0;5;0;3;136;0 
1245;0;4;0;2;136;0 
1125;0;5;0;3;136;0 
654;0;6;0;2;136;0 
502;0;6;0;2;136;0 
543;0;5;0;4;136;0 
541;0;6;0;3;136;0 
491;0;6;0;2;136;0 
806;0;9;0;6;136;0 
2703;0;5;0;3;136;0 
2151;0;6;0;6;136;0 
500;0;6;0;3;136;0 
1747;0;5;0;3;136;0 
512;0;6;0;5;136;0 
807;0;7;0;3;136;0 
626;0;5;0;3;136;0 
1957;0;4;0;4;136;0 
609;0;6;0;2;136;0 
502;0;6;0;4;136;0 
700;0;4;0;3;136;0 
3345;0;8;0;4;136;0 
884;0;7;0;6;136;0 
495;0;5;0;2;136;0 
552;0;6;0;3;136;0 
592;0;7;0;10;136;0 
717;0;6;0;4;136;0 
1715;0;7;0;4;136;0 
713;0;4;0;5;136;0 
1844;0;7;0;5;136;0 
537;0;4;0;3;136;0 
761;0;7;0;6;136;0 
2362;0;6;0;2;136;0 
2512;0;6;0;2;136;0 
609;0;5;0;3;136;0 
736;0;5;0;3;136;0 
2759;0;7;0;2;136;0 
504;0;8;0;2;136;0 
503;0;6;0;3;136;0 
612;0;6;0;2;136;0 
613;0;6;0;2;136;0 
672;0;5;0;4;136;0 
1918;0;7;0;5;136;0 
559;0;8;0;7;136;0 
1040;0;5;0;3;136;0 
491;0;7;0;2;136;0 
604;0;4;0;2;136;0 
688;0;8;0;5;136;0 
862;0;6;0;4;136;0 
772;0;4;0;2;136;0 
594;0;7;0;2;136;0 
1318;0;8;0;6;136;0 
626;0;7;0;3;136;0 
872;0;9;0;6;136;0 
610;0;7;0;3;136;0 
488;0;5;0;3;136;0 
481;0;4;0;2;136;0 
1070;0;7;0;7;136;0 
685;0;6;0;2;136;0 
629;0;7;0;2;136;0 
509;0;7;0;3;136;0 
1435;0;7;0;4;136;0 
620;0;6;0;2;136;0 
2417;0;5;0;3;136;0 
673;0;7;0;2;136;0 
2379;0;6;0;5;136;0 
516;0;7;0;4;136;0 
575;0;6;0;4;136;0 
529;0;7;0;7;136;0 
664;0;5;0;2;136;0 
1539;0;7;0;3;136;0 
631;0;6;0;3;136;0 
2455;0;6;0;5;136;0 
1730;0;6;0;3;136;0 
529;0;8;0;4;136;0 
758;0;5;0;3;136;0 
625;0;4;0;6;136;0 
710;0;6;0;2;136;0 
804;0;8;0;3;136;0 
488;0;5;0;2;136;0 
685;0;6;0;3;136;0 
2903;0;4;0;3;136;0 
498;0;6;0;2;136;0 
637;0;7;0;4;136;0 
2230;0;6;0;4;136;0 
515;0;6;0;4;136;0 
680;0;6;0;2;136;0 
492;0;6;0;2;136;0 
788;0;8;0;4;136;0 
1775;0;7;0;2;136;0 
3068;0;7;0;4;136;0 
671;0;7;0;3;136;0 
1970;0;5;0;3;136;0 
667;0;6;0;2;136;0 
577;0;6;0;8;136;0 
982;0;7;0;3;136;0 
533;0;4;0;3;136;0 
792;0;8;0;5;136;0 
504;0;6;0;3;136;0 
1727;0;5;0;2;136;0 
788;0;8;0;3;136;0 
1100;0;6;0;3;136;0 
731;0;6;0;3;136;0 
494;0;7;0;2;136;0 
505;0;7;0;3;136;0 
538;0;5;0;3;136;0 
2941;0;6;0;3;136;0 
537;0;6;0;5;136;0 
891;0;6;0;2;136;0 
506;0;7;0;2;136;0 
3102;0;6;0;2;136;0 
556;0;6;0;6;136;0 
3107;0;5;0;4;136;0 
1264;0;5;0;2;136;0 
3055;0;4;0;4;136;0 
669;0;6;0;2;136;0 
1021;0;4;0;3;136;0 
482;0;6;0;2;136;0 
671;0;6;0;4;136;0 
2676;0;4;0;3;136;0 
493;0;6;0;2;136;0 
487;0;7;0;2;136;0 
2006;0;5;0;2;136;0 
817;0;5;0;5;136;0 
526;0;6;0;3;136;0 
667;0;6;0;5;136;0 
706;0;9;0;8;136;0 
2362;0;7;0;3;136;0 
625;0;6;0;3;136;0 
525;0;7;0;4;136;0 
512;0;7;0;4;136;0 
1911;0;6;0;2;136;0 
884;0;7;0;3;136;0 
697;0;5;0;3;136;0 
694;0;7;0;6;136;0 
487;0;7;0;2;136;0 
631;0;5;0;3;136;0 
822;0;8;0;6;136;0 
635;0;4;0;2;136;0 
647;0;5;0;2;136;0 
713;0;10;0;9;136;0 
667;0;7;0;3;136;0 
613;0;5;0;3;136;0 
658;0;8;0;2;136;0 
821;0;7;0;3;136;0 
1567;0;6;0;4;136;0 
690;0;5;0;2;136;0 
714;0;6;0;2;136;0 
679;0;7;0;4;136;0 
560;0;4;0;3;136;0 
504;0;6;0;4;136;0 
2756;0;6;0;3;136;0 
557;0;5;0;7;136;0 
2912;0;8;0;6;136;0 
3089;0;5;0;3;136;0 
499;0;6;0;3;136;0 
2224;0;6;0;3;136;0 
514;0;8;0;2;136;0 
511;0;6;0;4;136;0 
2745;0;8;0;3;136;0 
668;0;5;0;3;136;0 
550;0;7;0;6;136;0 
643;0;7;0;2;136;0 
805;0;7;0;6;136;0 
562;0;8;0;3;136;0 
2415;0;5;0;2;136;0 
602;0;5;0;3;136;0 
910;0;7;0;8;136;0 
547;0;6;0;6;136;0 
1252;0;8;0;3;136;0 
648;0;4;0;3;136;0 
500;0;6;0;3;136;0 
544;0;6;0;4;136;0 
553;0;6;0;4;136;0 
664;0;5;0;2;136;0 
552;0;6;0;4;136;0 
918;0;6;0;2;136;0 
1183;0;7;0;3;136;0 
539;0;4;0;3;136;0 
2304;0;5;0;3;136;0 
494;0;7;0;2;136;0 
589;0;5;0;3;136;0 
482;0;4;0;2;136;0 
1542;0;5;0;4;136;0 
3503;0;7;0;3;136;0 
491;0;5;0;4;136;0 
737;0;6;0;3;136;0 
738;0;4;0;4;136;0 
672;0;7;0;4;136;0 
782;0;4;0;2;136;0 
2231;0;6;0;4;136;0 
2251;0;9;0;3;136;0 
648;0;7;0;6;136;0 
482;0;4;0;2;136;0 
3209;0;6;0;2;136;0 
2268;0;6;0;3;136;0 
2053;0;4;0;3;136;0 
682;0;5;0;5;136;0 
564;0;4;0;4;136;0 
481;0;4;0;2;136;0 
2490;0;5;0;3;136;0 
969;0;6;0;3;136;0 
860;0;4;0;2;136;0 
689;0;6;0;4;136;0 
492;0;6;0;2;136;0 
747;0;8;0;8;136;0 
629;0;6;0;2;136;0 
550;0;6;0;4;136;0 
493;0;6;0;2;136;0 
666;0;5;0;3;136;0 
473;0;5;0;2;136;0 
1167;0;8;0;3;136;0 
719;0;8;0;7;136;0 
1961;0;6;0;3;136;0 
615;0;4;0;3;136;0 
562;0;6;0;6;136;0 
800;0;4;0;6;136;0 
781;0;7;0;4;136;0 
629;0;7;0;4;136;0 
659;0;7;0;3;136;0 
1410;0;6;0;2;136;0 
1219;0;6;0;2;136;0 
752;0;6;0;8;136;0 
831;0;6;0;2;136;0 
736;0;7;0;6;136;0 
1498;0;5;0;3;136;0 
624;0;6;0;2;136;0 
2048;0;7;0;11;136;0 
570;0;6;0;3;136;0 
489;0;5;0;2;136;0 
602;0;5;0;2;136;0 
652;0;6;0;3;136;0 
755;0;8;0;2;136;0 
707;0;7;0;8;136;0 
496;0;6;0;2;136;0 
499;0;6;0;2;136;0 
670;0;7;0;3;136;0 
648;0;5;0;2;136;0 
954;0;5;0;4;136;0 
1854;0;5;0;4;136;0 
822;0;6;0;2;136;0 
660;0;6;0;2;136;0 
870;0;4;0;3;136;0 
623;0;7;0;6;136;0 
546;0;6;0;4;136;0 
503;0;7;0;3;136;0 
1824;0;6;0;2;136;0 
491;0;5;0;2;136;0 
3038;0;5;0;2;136;0 
602;0;5;0;2;136;0 
1057;0;7;0;3;136;0 
543;0;6;0;4;136;0 
555;0;5;0;4;136;0 
981;0;7;0;4;136;0 
617;0;7;0;4;136;0 
596;0;4;0;2;136;0 
1707;0;6;0;3;136;0 
