CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
2680;3;96;2253;0;33;42 
614;3;96;201;0;34;22 
2387;3;96;1974;0;36;18 
657;3;96;229;0;34;43 
665;3;96;227;0;40;41 
662;3;96;227;0;32;47 
817;3;96;391;0;32;40 
2433;3;96;2003;0;35;38 
3188;3;96;2758;0;39;46 
676;3;96;249;0;38;32 
679;3;96;251;0;46;33 
798;3;96;350;0;26;61 
2443;3;96;2012;0;32;43 
821;3;96;400;0;39;34 
760;3;96;347;0;34;22 
638;3;96;226;0;33;21 
661;3;96;236;0;48;32 
720;3;97;286;0;34;42 
660;3;96;236;0;48;32 
1874;3;96;1460;0;33;23 
610;3;96;181;0;40;33 
1238;3;96;808;0;33;42 
647;3;96;223;0;36;32 
2715;3;97;404;0;1915;37 
1016;3;96;599;0;38;19 
665;3;96;241;0;29;38 
649;3;96;229;0;33;33 
648;3;96;221;0;32;37 
609;3;96;196;0;33;22 
624;3;96;194;0;29;42 
650;3;96;217;0;37;38 
669;3;96;239;0;35;37 
1766;3;96;1339;0;35;33 
610;3;96;186;0;30;40 
608;3;96;197;0;28;36 
636;3;96;206;0;39;36 
637;3;96;206;0;33;42 
633;3;96;220;0;36;18 
644;3;96;220;0;26;46 
699;3;96;274;0;36;33 
786;3;96;356;0;32;42 
690;3;96;263;0;30;40 
1267;3;96;834;0;37;37 
666;3;96;243;0;30;39 
666;3;96;236;0;35;38 
679;3;96;246;0;43;45 
2900;3;96;2474;0;35;36 
1425;3;96;1001;0;36;32 
627;3;96;196;0;32;42 
636;3;96;206;0;35;37 
3115;3;96;2684;0;37;36 
2801;3;96;2376;0;25;52 
1315;3;96;251;0;684;22 
653;3;96;235;0;27;40 
1027;3;96;597;0;25;46 
2902;3;96;2472;0;33;38 
724;3;96;300;0;36;32 
2345;3;96;1914;0;35;38 
645;3;96;198;0;25;61 
1625;3;96;1186;0;48;41 
639;3;96;207;0;32;43 
687;3;96;252;0;27;50 
664;3;96;239;0;36;33 
622;3;96;207;0;38;18 
670;3;96;238;0;31;40 
659;3;96;227;0;33;42 
630;3;96;201;0;36;33 
803;3;96;356;0;25;64 
650;3;96;220;0;35;38 
2735;3;96;2303;0;31;46 
710;3;96;283;0;46;33 
2608;3;96;2177;0;32;41 
634;3;96;201;0;33;44 
837;3;96;405;0;35;42 
2485;3;96;2071;0;34;22 
3343;3;96;2922;0;34;35 
692;3;96;245;0;31;61 
2204;3;96;1778;0;49;32 
1616;3;96;1200;0;39;18 
643;3;96;228;0;35;22 
697;3;96;269;0;35;33 
2367;3;96;1732;0;257;19 
2234;3;96;1814;0;39;40 
2297;3;96;1859;0;35;41 
896;3;96;444;0;46;61 
3011;3;97;2578;0;43;42 
647;3;96;222;0;37;32 
769;3;96;339;0;35;38 
2608;3;96;2178;0;48;38 
1977;3;96;1552;0;36;32 
665;3;96;240;0;37;33 
614;3;96;201;0;33;22 
760;3;97;335;0;110;36 
1747;3;96;1317;0;32;42 
701;3;96;288;0;33;22 
682;3;96;257;0;43;38 
831;3;96;399;0;34;42 
672;3;96;241;0;46;38 
851;3;96;427;0;34;36 
1562;3;96;1131;0;35;38 
2610;3;96;2179;0;33;41 
664;3;96;228;0;39;39 
641;3;96;224;0;26;42 
646;3;96;233;0;44;22 
1572;3;96;1144;0;35;38 
735;3;96;321;0;34;22 
827;3;96;413;0;38;18 
647;3;96;219;0;35;33 
786;3;96;373;0;33;22 
657;3;96;225;0;34;44 
1036;3;96;603;0;28;57 
642;3;96;215;0;35;33 
1574;3;96;1147;0;36;33 
754;3;96;230;0;103;58 
850;3;96;418;0;37;38 
647;3;96;220;0;35;33 
663;3;96;235;0;36;37 
1588;3;96;1155;0;37;38 
610;3;96;197;0;36;18 
661;3;96;234;0;49;32 
654;3;96;239;0;38;18 
716;3;96;302;0;36;19 
3172;3;96;2742;0;46;38 
650;3;96;224;0;36;32 
710;3;96;276;0;28;47 
634;3;96;218;0;38;18 
651;3;96;220;0;40;46 
949;3;96;522;0;36;33 
635;3;96;222;0;36;18 
642;3;96;218;0;47;32 
704;3;96;270;0;39;50 
613;3;96;200;0;37;18 
644;3;96;220;0;33;36 
1696;3;96;1283;0;36;18 
656;3;96;231;0;37;32 
1001;3;96;566;0;35;38 
685;3;96;257;0;35;34 
649;3;96;223;0;33;40 
731;3;96;305;0;37;34 
647;3;96;219;0;30;41 
2625;3;96;2211;0;28;43 
807;3;96;375;0;28;59 
2199;3;96;1769;0;32;42 
2213;3;96;1785;0;35;33 
1608;3;96;1194;0;36;19 
1047;3;96;606;0;25;65 
622;3;96;207;0;37;19 
1666;3;96;1252;0;47;18 
632;3;96;217;0;36;22 
647;3;96;218;0;32;37 
764;3;96;347;0;27;42 
671;3;96;227;0;32;55 
650;3;96;215;0;35;43 
608;3;96;194;0;30;22 
667;3;96;236;0;30;46 
622;3;96;199;0;32;38 
725;3;96;311;0;37;18 
2341;3;96;1914;0;36;33 
611;3;96;197;0;36;18 
645;3;96;232;0;36;18 
635;3;96;210;0;30;41 
722;3;96;292;0;32;42 
1178;3;96;731;0;38;55 
636;3;96;209;0;41;30 
631;3;96;205;0;46;36 
628;3;96;198;0;33;42 
630;3;96;217;0;46;22 
631;3;96;201;0;36;38 
627;3;96;207;0;36;21 
601;3;96;188;0;36;18 
642;3;96;223;0;34;34 
625;3;96;210;0;49;18 
639;3;96;221;0;34;33 
638;3;97;230;0;33;18 
610;3;96;197;0;36;18 
777;3;96;361;0;33;36 
631;3;96;207;0;27;36 
2001;3;96;1570;0;32;42 
931;3;96;484;0;31;57 
777;3;96;347;0;32;41 
912;3;96;470;0;28;53 
645;3;96;215;0;38;39 
653;3;96;222;0;35;38 
719;3;96;286;0;35;42 
627;3;96;197;0;33;42 
646;3;96;219;0;35;33 
621;3;96;195;0;33;38 
1243;3;96;813;0;44;42 
633;3;96;220;0;45;22 
623;3;96;193;0;35;38 
635;3;96;221;0;38;18 
797;3;96;345;0;40;68 
660;3;96;236;0;36;32 
2850;3;96;2426;0;34;36 
633;3;96;207;0;34;38 
858;3;97;433;0;34;36 
776;3;96;346;0;32;42 
3067;3;96;2637;0;35;37 
962;3;96;543;0;30;36 
658;3;96;232;0;36;33 
650;3;96;225;0;33;37 
2379;3;96;1955;0;34;36 
3331;3;97;760;0;2149;65 
623;3;96;193;0;33;42 
2278;3;96;1848;0;30;46 
633;3;96;208;0;36;33 
646;3;96;220;0;33;36 
3381;3;96;2965;0;35;23 
661;3;96;229;0;33;42 
2401;3;96;1976;0;36;32 
627;3;96;198;0;35;37 
830;3;96;413;0;39;18 
632;3;96;208;0;33;36 
994;3;96;564;0;46;37 
2718;3;96;2289;0;37;33 
651;3;96;219;0;46;39 
677;3;96;256;0;48;21 
638;3;96;212;0;33;37 
598;3;96;181;0;33;32 
606;3;96;182;0;37;32 
723;3;96;287;0;35;43 
1504;3;96;1084;0;35;38 
658;3;96;233;0;36;32 
2988;3;96;2557;0;26;45 
1413;3;96;982;0;60;38 
642;3;96;210;0;32;43 
614;3;96;196;0;34;32 
1668;3;96;1247;0;33;36 
656;3;96;232;0;36;32 
976;3;96;532;0;34;56 
643;3;96;220;0;32;38 
3173;3;96;2740;0;43;44 
653;3;96;223;0;36;38 
996;3;96;566;0;35;38 
650;3;96;223;0;48;32 
824;3;96;366;0;78;40 
1976;3;96;1552;0;30;40 
621;3;96;206;0;34;22 
732;3;96;281;0;34;61 
626;3;96;195;0;30;46 
632;3;96;217;0;38;18 
684;3;96;274;0;38;18 
635;3;96;221;0;33;22 
1985;3;96;1569;0;35;22 
661;3;96;230;0;35;38 
655;3;96;233;0;39;20 
2591;3;96;2159;0;28;41 
629;3;96;221;0;35;18 
640;3;96;210;0;32;41 
843;3;96;419;0;48;32 
668;3;96;238;0;26;46 
1963;3;96;1531;0;36;38 
761;3;96;348;0;37;18 
623;3;96;210;0;36;18 
2669;3;96;2242;0;29;41 
663;3;96;230;0;46;43 
634;3;96;218;0;46;22 
639;3;96;212;0;50;32 
643;3;96;216;0;37;35 
1623;3;96;1192;0;30;46 
977;3;96;564;0;30;26 
616;3;96;208;0;35;18 
673;3;96;244;0;50;33 
678;3;96;258;0;32;33 
670;3;96;244;0;36;36 
1557;3;96;1144;0;36;18 
657;3;96;231;0;36;33 
897;3;96;359;0;151;42 
809;3;96;396;0;33;22 
829;3;96;401;0;32;37 
802;3;96;372;0;32;42 
632;3;96;199;0;31;46 
640;3;96;214;0;38;32 
2593;3;96;2166;0;38;32 
657;3;96;233;0;33;36 
1888;3;96;1460;0;44;37 
721;3;96;221;0;102;42 
698;3;96;252;0;38;51 
675;3;96;250;0;45;36 
638;3;96;208;0;35;37 
902;3;96;437;0;46;62 
1321;3;96;889;0;37;38 
1631;3;96;1206;0;44;37 
657;3;96;230;0;47;33 
739;3;96;287;2;36;62 
658;3;96;226;0;32;44 
865;3;96;441;0;33;36 
786;3;96;356;0;35;37 
641;3;96;218;0;31;39 
647;3;96;232;0;36;31 
581;3;96;184;0;28;22 
632;3;96;209;0;30;41 
653;3;96;223;0;33;42 
737;3;96;305;0;43;42 
663;3;96;230;0;27;45 
640;3;96;210;0;32;42 
832;3;96;394;0;36;42 
643;3;96;216;0;46;33 
709;3;96;282;0;38;34 
633;3;96;209;0;44;36 
922;3;96;492;0;29;45 
649;3;96;235;0;36;18 
704;3;96;290;0;34;22 
637;3;96;207;0;32;42 
650;3;96;222;0;29;42 
674;3;97;242;0;46;37 
616;3;96;203;0;33;22 
643;3;96;231;0;36;17 
3249;3;96;2836;0;36;18 
640;3;96;205;0;34;46 
627;3;96;214;0;36;18 
640;3;96;209;0;33;42 
3507;3;96;3080;0;32;37 
617;3;96;191;0;38;34 
794;3;96;262;0;34;143 
644;3;96;216;0;40;30 
637;3;96;219;0;26;43 
759;3;96;308;0;26;69 
800;3;96;359;0;32;55 
672;3;96;242;0;32;42 
629;3;96;217;0;38;36 
628;3;96;203;0;33;36 
909;3;96;485;0;27;36 
690;3;96;265;0;36;33 
606;3;96;181;0;37;33 
613;3;96;198;0;35;22 
681;3;96;257;0;33;36 
3329;3;96;2903;0;35;36 
711;3;96;277;0;44;45 
665;3;96;226;0;42;38 
947;3;96;525;0;26;46 
680;3;96;263;0;33;32 
625;3;96;197;0;35;33 
682;3;96;268;0;37;19 
654;3;96;222;0;29;42 
619;3;96;205;0;33;22 
629;3;96;204;0;35;36 
622;3;96;209;0;36;18 
630;3;96;199;0;32;42 
833;3;96;400;0;35;40 
760;3;96;336;0;33;36 
725;3;96;312;0;48;18 
2924;3;96;2501;0;34;35 
3106;3;96;2676;0;35;38 
797;3;96;349;0;28;62 
663;3;96;236;0;39;33 
613;3;96;199;0;37;18 
896;3;96;464;0;45;41 
787;3;96;350;0;35;41 
659;3;96;230;0;35;37 
642;3;96;218;0;34;36 
682;3;96;234;0;44;57 
627;3;96;196;0;24;58 
642;3;96;212;0;32;41 
640;3;96;224;0;37;18 
1519;3;96;346;0;759;58 
1769;3;96;1345;0;36;32 
807;3;96;374;0;34;42 
1840;3;96;1416;0;30;41 
744;3;96;311;0;34;42 
635;3;96;218;0;25;42 
626;3;96;199;0;32;37 
649;3;96;223;0;41;30 
1112;3;96;639;2;47;68 
3888;3;96;3441;0;28;65 
895;3;96;423;0;49;60 
637;3;96;222;0;49;18 
1625;3;96;1198;0;36;33 
666;3;96;242;0;45;36 
2109;3;96;1453;2;218;89 
709;3;96;275;0;33;46 
641;3;96;217;0;29;36 
768;3;96;355;0;33;22 
2030;3;96;1607;0;31;39 
672;3;96;247;0;47;32 
1953;3;96;1543;0;37;18 
732;3;96;284;0;49;44 
2326;3;96;1878;0;31;61 
638;3;96;211;0;30;41 
1801;3;96;1371;0;46;38 
2843;3;96;2417;0;50;32 
1295;3;96;878;0;26;40 
650;3;96;224;0;36;36 
814;3;97;383;0;30;44 
1022;3;96;598;0;36;32 
653;3;96;203;0;25;68 
901;3;96;280;0;231;33 
778;3;96;363;0;35;22 
642;3;96;217;0;34;36 
648;3;96;222;0;36;32 
1658;3;96;1234;0;47;32 
1107;3;96;660;0;28;65 
628;3;96;196;0;37;38 
2042;3;96;1618;0;37;32 
3433;3;96;3007;0;37;32 
655;3;96;224;0;32;42 
1431;3;96;1004;0;47;38 
1230;3;96;783;0;42;61 
1116;3;96;686;0;35;37 
692;3;96;243;0;42;61 
649;3;96;236;0;36;18 
660;3;96;228;0;42;46 
675;3;96;245;0;35;38 
650;3;96;232;0;27;42 
638;3;96;223;0;38;18 
3030;3;96;2617;0;36;18 
751;3;96;241;0;132;19 
1746;3;96;1306;0;32;54 
671;3;96;245;0;47;36 
1575;3;96;1149;0;36;36 
645;3;96;217;0;30;41 
896;3;96;456;0;26;64 
1877;3;96;1448;0;34;37 
648;3;96;224;0;44;36 
966;3;96;553;0;33;22 
960;3;96;535;0;33;36 
2375;3;96;1949;0;39;32 
3361;3;96;2943;0;28;40 
688;3;96;264;0;37;32 
750;3;96;244;0;116;42 
668;3;97;237;0;28;44 
603;3;96;183;0;36;32 
868;3;96;439;0;31;41 
2157;3;96;1744;0;36;18 
623;3;96;217;0;33;22 
695;3;96;282;0;36;18 
657;3;96;232;0;37;32 
2990;3;96;2549;0;32;55 
644;3;96;219;0;44;36 
642;3;96;210;0;34;42 
643;3;96;219;0;33;36 
652;3;96;227;0;36;32 
2822;3;96;2410;0;37;17 
3834;3;96;3404;0;44;42 
649;3;96;218;0;36;38 
1625;3;96;1212;0;30;26 
641;3;96;211;0;35;38 
708;3;96;261;0;32;57 
682;3;96;253;0;34;37 
802;3;96;215;0;218;22 
