CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
604;21;18;0;0;4;22 
958;21;18;0;0;8;22 
662;21;18;0;0;8;22 
659;21;18;0;0;8;22 
639;21;18;0;0;8;22 
788;21;18;0;0;8;22 
820;21;18;0;0;6;22 
656;21;18;0;0;8;22 
635;21;18;0;0;8;22 
1641;21;18;0;0;8;22 
1605;21;18;0;0;8;22 
664;21;18;0;0;8;22 
709;21;18;0;0;8;22 
2103;21;18;0;0;8;22 
814;21;18;0;0;8;22 
678;21;18;0;0;8;22 
1068;21;18;0;0;8;22 
847;21;18;0;0;6;22 
525;21;18;0;0;8;22 
1429;21;18;0;0;8;22 
1745;21;18;0;0;8;22 
1811;21;18;0;0;8;22 
665;21;18;0;0;8;22 
649;21;18;0;0;7;22 
636;21;18;0;0;6;22 
467;21;18;0;0;7;22 
680;21;18;0;0;8;22 
707;21;18;0;0;8;22 
697;21;18;0;0;8;22 
681;21;18;0;0;7;22 
747;21;18;0;0;8;22 
712;21;18;0;0;8;22 
709;21;18;0;0;8;22 
1207;21;18;0;0;7;22 
857;21;18;0;0;8;22 
875;21;18;0;0;6;22 
754;21;18;0;0;8;22 
627;21;18;0;0;8;22 
726;21;18;0;0;8;22 
725;21;18;0;0;7;22 
661;21;18;0;0;8;22 
1684;21;18;0;0;7;22 
758;21;18;0;0;7;22 
855;21;18;0;0;8;22 
935;21;18;0;0;8;22 
2244;21;18;0;0;7;22 
2246;21;18;0;0;8;22 
1645;21;18;0;0;8;22 
704;21;18;0;0;8;22 
703;21;18;0;0;7;22 
2020;21;18;0;0;8;22 
2299;21;18;0;0;8;22 
647;21;18;0;0;8;22 
2637;21;18;0;0;8;22 
713;21;18;0;0;8;22 
710;21;18;0;0;8;22 
760;21;18;0;0;8;22 
1317;21;18;0;0;8;22 
697;21;18;0;0;8;22 
653;21;18;0;0;8;22 
629;21;18;0;0;8;22 
1761;21;18;0;0;8;22 
710;21;18;0;0;8;22 
635;21;18;0;0;7;22 
697;21;18;0;0;8;22 
797;21;18;0;0;8;22 
709;22;18;0;0;8;23 
1880;21;18;0;0;8;22 
532;21;18;0;0;8;22 
756;21;18;0;0;8;22 
640;21;18;0;0;8;22 
909;21;18;0;0;8;22 
685;21;18;0;0;8;22 
642;21;18;0;0;7;22 
654;21;18;0;0;8;22 
696;21;18;0;0;8;22 
2130;21;18;0;0;8;22 
2119;21;18;0;0;8;22 
700;21;18;0;0;7;22 
653;21;18;0;0;7;22 
892;21;18;0;0;8;22 
3598;21;18;0;0;8;22 
659;21;18;0;0;7;22 
656;21;18;0;0;7;22 
675;21;18;0;0;8;22 
651;21;18;0;0;8;22 
776;21;18;0;0;8;22 
672;21;18;0;0;8;22 
687;21;18;0;0;7;22 
686;21;18;0;0;8;22 
791;21;18;0;0;8;22 
652;21;18;0;0;8;22 
658;21;18;0;0;8;22 
2557;21;18;0;0;8;22 
719;21;18;0;0;8;22 
665;21;18;0;0;8;22 
668;21;18;0;0;8;22 
694;21;18;0;0;8;22 
764;21;18;0;0;8;22 
746;21;18;0;0;7;22 
675;21;18;0;0;8;22 
693;21;18;0;0;8;22 
806;21;18;0;0;7;22 
696;21;18;0;0;7;22 
758;21;18;0;0;8;22 
652;21;18;0;0;8;22 
2398;21;18;0;0;7;22 
2633;21;18;0;0;8;22 
1517;21;18;0;0;8;22 
977;21;18;0;0;8;22 
687;21;18;0;0;8;22 
654;21;18;0;0;7;22 
668;21;18;0;0;8;22 
649;21;18;0;0;8;22 
649;21;18;0;0;8;22 
628;21;18;0;0;8;22 
2038;21;18;0;0;8;22 
701;21;18;0;0;7;22 
734;21;18;0;0;8;22 
456;21;18;0;0;6;22 
1818;21;18;0;0;6;22 
744;21;18;0;0;8;22 
732;21;18;0;0;7;22 
2189;21;18;0;0;8;22 
1072;21;18;0;0;8;22 
671;21;18;0;0;8;22 
1087;21;18;0;0;7;22 
705;21;18;0;0;8;22 
796;21;18;0;0;8;22 
1647;21;18;0;0;7;22 
719;21;18;0;0;8;22 
666;21;18;0;0;8;22 
695;21;18;0;0;8;22 
2301;21;18;0;0;7;22 
750;21;18;0;0;8;22 
921;21;18;0;0;8;22 
1953;21;18;0;0;8;22 
1633;21;18;0;0;7;22 
613;21;18;0;0;8;22 
893;21;18;0;0;8;22 
657;21;18;0;0;8;22 
2051;21;18;0;0;8;22 
4432;22;18;0;0;8;23 
456;21;18;0;0;8;22 
713;21;18;0;0;7;22 
764;21;18;0;0;8;22 
932;21;18;0;0;8;22 
2192;21;18;0;0;8;22 
1670;21;18;0;0;8;22 
688;21;18;0;0;8;22 
624;21;18;0;0;8;22 
678;21;18;0;0;7;22 
650;21;18;0;0;8;22 
664;21;18;0;0;8;22 
664;21;18;0;0;8;22 
841;21;18;0;0;7;22 
700;21;18;0;0;8;22 
783;21;18;0;0;7;22 
648;21;18;0;0;7;22 
638;21;18;0;0;8;22 
671;21;18;0;0;8;22 
968;21;18;0;0;8;22 
825;21;18;0;0;8;22 
648;21;18;0;0;8;22 
2888;21;18;0;0;8;22 
822;21;18;0;0;6;22 
711;21;18;0;0;8;22 
706;21;18;0;0;7;22 
661;21;18;0;0;8;22 
668;21;18;0;0;8;22 
2753;21;18;0;0;8;22 
2804;21;18;0;0;8;22 
1597;21;18;0;0;8;22 
1342;21;18;0;0;7;22 
784;21;18;0;0;8;22 
1798;21;18;0;0;8;22 
801;21;18;0;0;8;22 
1950;21;18;0;0;7;22 
634;21;18;0;0;8;22 
1264;22;18;0;0;8;23 
628;21;18;0;0;8;22 
648;21;18;0;0;7;22 
3303;21;18;0;0;8;22 
696;21;18;0;0;8;22 
656;21;18;0;0;8;22 
635;21;18;0;0;8;22 
698;21;18;0;0;8;22 
3324;21;18;0;0;8;22 
757;21;18;0;0;8;22 
670;21;18;0;0;8;22 
736;21;18;0;0;8;22 
903;21;18;0;0;7;22 
719;21;18;0;0;8;22 
2345;21;18;0;0;7;22 
715;21;18;0;0;8;22 
810;21;18;0;0;7;22 
952;21;18;0;0;8;22 
1605;21;18;0;0;7;22 
689;21;18;0;0;7;22 
1629;21;18;0;0;7;22 
789;21;18;0;0;8;22 
634;21;18;0;0;7;22 
2150;21;18;0;0;8;22 
658;21;18;0;0;8;22 
1374;21;18;0;0;8;22 
670;21;18;0;0;8;22 
711;21;18;0;0;8;22 
756;21;18;0;0;6;22 
643;21;18;0;0;8;22 
1367;21;18;0;0;8;22 
827;21;18;0;0;8;22 
689;21;18;0;0;8;22 
670;21;18;0;0;8;22 
665;21;18;0;0;8;22 
715;21;18;0;0;8;22 
3384;21;18;0;0;7;22 
1749;21;18;0;0;8;22 
1650;21;18;0;0;8;22 
690;21;18;0;0;8;22 
2903;21;18;0;0;8;22 
653;21;18;0;0;8;22 
723;21;18;0;0;7;22 
705;21;18;0;0;7;22 
870;21;18;0;0;6;22 
666;21;18;0;0;7;22 
1779;21;18;0;0;8;22 
669;21;18;0;0;8;22 
709;21;18;0;0;7;22 
491;21;18;0;0;7;22 
693;21;18;0;0;8;22 
759;21;18;0;0;8;22 
880;21;18;0;0;8;22 
685;21;18;0;0;8;22 
1814;21;18;0;0;8;22 
3390;21;18;0;0;6;22 
653;21;18;0;0;8;22 
747;21;18;0;0;6;22 
722;21;18;0;0;7;22 
555;21;18;0;0;8;22 
2560;21;18;0;0;7;22 
645;21;18;0;0;8;22 
724;21;18;0;0;7;22 
672;21;18;0;0;8;22 
661;21;18;0;0;8;22 
2774;21;18;0;0;8;22 
822;21;18;0;0;8;22 
489;21;18;0;0;6;22 
2625;21;18;0;0;8;22 
2103;21;18;0;0;7;22 
681;21;18;0;0;8;22 
874;21;18;0;0;8;22 
663;21;18;0;0;8;22 
749;21;18;0;0;8;22 
1185;21;18;0;0;8;22 
1719;21;18;0;0;8;22 
694;21;18;0;0;8;22 
886;21;18;0;0;7;22 
642;21;18;0;0;7;22 
2291;21;18;0;0;8;22 
3431;21;18;0;0;7;22 
3306;21;18;0;0;8;22 
751;21;18;0;0;8;22 
1153;21;18;0;0;8;22 
884;22;18;0;0;6;23 
702;21;18;0;0;8;22 
746;21;18;0;0;6;22 
643;21;18;0;0;7;22 
839;21;18;0;0;6;22 
645;21;18;0;0;7;22 
754;21;18;0;0;8;22 
3282;21;18;0;0;8;22 
641;21;18;0;0;7;22 
