CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
636;8;0;318;0;8;0 
621;12;0;311;0;12;0 
1559;4;0;779;0;4;0 
655;4;0;328;0;4;0 
634;4;0;317;0;4;0 
672;4;0;336;0;4;0 
661;8;0;331;0;4;4 
1882;8;0;941;0;4;4 
633;4;0;317;0;4;0 
657;4;0;329;0;4;0 
710;16;0;355;0;16;0 
945;20;0;473;0;20;0 
659;4;0;329;0;4;0 
1667;8;0;834;0;4;4 
1620;4;0;810;0;4;0 
843;12;0;422;0;12;0 
3427;4;0;1713;0;4;0 
646;4;0;323;0;4;0 
1657;8;0;828;0;4;4 
609;4;0;305;0;4;0 
787;16;0;394;0;12;4 
619;4;0;309;0;4;0 
740;8;0;370;0;8;0 
1626;4;0;813;0;4;0 
656;12;0;328;0;12;0 
675;4;0;338;0;4;0 
628;4;0;314;0;4;0 
640;4;0;320;0;4;0 
655;4;0;327;0;4;0 
649;8;0;325;0;4;4 
2812;24;0;1406;0;16;8 
740;12;0;370;0;8;4 
609;12;0;304;0;12;0 
646;16;0;323;0;12;4 
766;16;0;383;0;12;4 
665;4;0;333;0;4;0 
644;12;0;322;0;12;0 
843;4;0;421;0;4;0 
1204;24;0;602;0;16;8 
649;4;0;324;0;4;0 
1293;4;0;646;0;4;0 
648;8;0;324;0;4;4 
803;12;0;402;0;12;0 
642;8;0;321;0;8;0 
2028;12;0;1014;0;12;0 
645;8;0;323;0;4;4 
683;8;0;341;0;4;4 
3574;12;0;1787;0;12;0 
834;24;0;417;0;16;8 
620;20;0;310;0;12;8 
635;16;0;318;0;12;4 
638;4;0;319;0;4;0 
624;4;0;312;0;4;0 
636;4;0;318;0;4;0 
625;8;0;313;0;8;0 
639;8;0;319;0;4;4 
655;8;0;327;0;4;4 
1273;22;0;637;0;18;4 
645;4;0;322;0;4;0 
652;12;0;326;0;8;4 
2194;12;0;1097;0;8;4 
1676;4;0;838;0;4;0 
3168;12;0;1584;0;12;0 
1550;16;0;775;0;16;0 
644;12;0;322;0;12;0 
634;12;0;317;0;12;0 
658;8;0;329;0;4;4 
648;16;0;324;0;8;8 
636;16;0;318;0;12;4 
652;12;0;326;0;8;4 
648;20;0;324;0;12;8 
618;8;0;309;0;8;0 
618;12;0;309;0;4;8 
1559;8;0;780;0;4;4 
2219;16;0;1109;0;12;4 
638;8;0;319;0;8;0 
667;12;0;334;0;12;0 
1653;8;0;826;0;4;4 
624;4;0;312;0;4;0 
1719;8;0;859;0;4;4 
637;8;0;318;0;4;4 
2223;4;0;1112;0;4;0 
748;4;0;374;0;4;0 
1264;4;0;632;0;4;0 
2773;16;0;1387;0;8;8 
598;16;0;299;0;12;4 
649;20;0;325;0;12;8 
612;12;0;306;0;12;0 
2637;8;0;1319;0;8;0 
709;4;0;354;0;4;0 
1060;4;0;530;0;4;0 
652;4;0;326;0;4;0 
632;12;0;316;0;12;0 
622;4;0;311;0;4;0 
657;4;0;328;0;4;0 
722;20;0;361;0;16;4 
630;12;0;315;0;12;0 
670;12;0;335;0;12;0 
628;12;0;314;0;12;0 
647;4;0;324;0;4;0 
925;12;0;463;0;12;0 
600;4;0;300;0;4;0 
627;16;0;313;0;12;4 
2497;16;0;1249;0;12;4 
682;4;0;341;0;4;0 
2162;4;0;1081;0;4;0 
1928;8;0;964;0;4;4 
841;12;0;421;0;8;4 
650;8;0;325;0;4;4 
645;4;0;323;0;4;0 
639;8;0;320;0;8;0 
2578;4;0;1289;0;4;0 
618;4;0;309;0;4;0 
1863;4;0;932;0;4;0 
662;4;0;331;0;4;0 
639;16;0;320;0;12;4 
751;20;0;376;0;12;8 
1584;4;0;792;0;4;0 
604;12;0;302;0;12;0 
609;12;0;304;0;12;0 
774;8;0;387;0;4;4 
622;4;0;311;0;4;0 
632;4;0;316;0;4;0 
680;4;0;340;0;4;0 
3236;16;0;1618;0;12;4 
660;8;0;330;0;4;4 
671;8;0;336;0;4;4 
641;12;0;321;0;12;0 
938;8;0;469;0;8;0 
763;16;0;381;0;12;4 
671;4;0;336;0;4;0 
654;4;0;327;0;4;0 
649;4;0;325;0;4;0 
643;4;0;321;0;4;0 
683;4;0;341;0;4;0 
1593;4;0;797;0;4;0 
2123;4;0;1061;0;4;0 
623;8;0;311;0;8;0 
651;8;0;326;0;8;0 
1281;8;0;640;0;8;0 
998;20;0;499;0;16;4 
708;4;0;354;0;4;0 
660;4;0;330;0;4;0 
1802;16;0;901;0;16;0 
1623;4;0;812;0;4;0 
2295;4;0;1147;0;4;0 
