CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
676;0;35;38;9;0;0 
698;0;32;42;9;0;0 
1042;0;194;61;10;0;0 
621;0;33;36;10;0;0 
606;0;33;23;10;0;0 
656;0;47;32;9;0;0 
1766;0;36;32;9;0;0 
2944;0;30;46;9;0;0 
635;0;33;37;9;0;0 
685;0;48;18;10;0;0 
666;0;33;37;10;0;0 
800;0;34;38;9;0;0 
1366;0;33;42;8;0;0 
1807;0;37;32;10;0;0 
2083;0;36;38;8;0;0 
652;0;33;36;9;0;0 
791;0;114;64;14;0;0 
679;0;34;42;8;0;0 
680;0;26;59;14;0;0 
1167;0;35;32;10;0;0 
615;0;33;42;8;0;0 
665;0;38;40;8;0;0 
840;0;45;61;9;0;0 
699;0;51;38;10;0;0 
733;0;33;42;8;0;0 
622;0;35;22;9;0;0 
613;0;28;37;14;0;0 
632;0;36;32;9;0;0 
1718;0;32;36;15;0;0 
622;0;34;36;8;0;0 
712;0;32;41;15;0;0 
771;0;26;61;13;0;0 
730;0;132;56;20;0;0 
615;0;37;32;9;0;0 
2058;0;34;36;8;0;0 
612;0;25;61;14;0;0 
589;0;32;42;9;0;0 
1056;0;38;33;8;0;0 
590;0;32;44;9;0;0 
617;0;35;41;9;0;0 
748;0;45;57;9;0;0 
669;0;44;57;11;0;0 
618;0;34;31;10;0;0 
627;0;35;37;9;0;0 
664;0;35;36;9;0;0 
636;0;33;32;9;0;0 
627;0;36;18;9;0;0 
752;0;88;42;15;0;0 
632;0;35;38;9;0;0 
700;0;37;43;9;0;0 
887;0;34;36;8;0;0 
4417;0;33;37;9;0;0 
633;0;35;38;9;0;0 
1110;0;34;37;8;0;0 
653;0;37;18;8;0;0 
736;0;36;38;9;0;0 
668;0;32;22;14;0;0 
2099;0;33;23;9;0;0 
646;0;36;18;9;0;0 
772;0;33;36;10;0;0 
647;0;36;32;9;0;0 
1952;0;35;33;9;0;0 
665;0;48;41;10;0;0 
641;0;32;43;10;0;0 
3193;0;33;36;9;0;0 
646;0;37;32;9;0;0 
669;0;35;34;9;0;0 
771;0;30;22;10;0;0 
700;0;36;18;9;0;0 
846;0;32;41;15;0;0 
617;0;39;18;9;0;0 
660;0;35;38;9;0;0 
659;0;41;33;10;0;0 
2193;0;27;47;13;0;0 
633;0;36;32;10;0;0 
682;0;33;35;9;0;0 
1547;0;29;37;14;0;0 
2029;0;27;339;9;0;0 
627;0;36;38;8;0;0 
833;0;32;56;10;0;0 
666;0;51;41;9;0;0 
647;0;35;38;10;0;0 
1408;0;36;33;9;0;0 
639;0;39;40;9;0;0 
620;0;38;34;8;0;0 
1665;0;33;42;8;0;0 
691;0;27;66;14;0;0 
663;0;32;41;9;0;0 
2464;0;33;22;9;0;0 
2112;0;26;46;9;0;0 
643;0;26;46;13;0;0 
606;0;37;32;9;0;0 
1006;0;36;38;9;0;0 
615;0;36;36;9;0;0 
618;0;32;37;9;0;0 
659;0;36;37;8;0;0 
650;0;35;38;9;0;0 
631;0;47;31;9;0;0 
616;0;25;41;14;0;0 
673;0;33;33;8;0;0 
635;0;35;32;10;0;0 
754;0;47;38;8;0;0 
670;0;33;40;8;0;0 
780;0;32;41;9;0;0 
799;0;33;42;9;0;0 
651;0;35;38;9;0;0 
634;0;35;22;9;0;0 
793;0;116;56;20;0;0 
1648;0;36;32;9;0;0 
684;0;51;38;9;0;0 
751;0;36;33;9;0;0 
658;0;26;52;15;0;0 
1642;0;37;32;8;0;0 
832;0;36;40;8;0;0 
673;0;46;38;10;0;0 
659;0;37;38;4;0;0 
624;0;34;36;10;0;0 
838;0;27;40;9;0;0 
1251;0;36;18;9;0;0 
650;0;36;35;9;0;0 
2448;0;49;32;8;0;0 
679;0;46;57;10;0;0 
649;0;47;39;9;0;0 
736;0;46;38;9;0;0 
3214;0;41;32;8;0;0 
686;0;39;36;9;0;0 
617;0;36;32;9;0;0 
1091;0;35;38;9;0;0 
679;0;33;36;9;0;0 
638;0;35;39;9;0;0 
881;0;45;57;9;0;0 
625;0;35;38;9;0;0 
644;0;36;38;8;0;0 
647;0;35;38;9;0;0 
1591;0;47;18;9;0;0 
640;0;36;32;9;0;0 
687;0;35;57;10;0;0 
2002;0;28;94;8;0;0 
646;0;36;32;9;0;0 
683;0;37;33;9;0;0 
1279;0;49;22;10;0;0 
619;0;33;35;9;0;0 
920;0;44;36;9;0;0 
663;0;35;38;9;0;0 
1422;0;37;38;9;0;0 
708;0;32;42;9;0;0 
766;0;39;33;8;0;0 
679;0;36;38;9;0;0 
1581;0;33;22;9;0;0 
3375;0;46;37;9;0;0 
1951;0;32;41;10;0;0 
694;0;34;39;9;0;0 
633;0;44;25;9;0;0 
1337;0;34;38;10;0;0 
1605;0;48;32;8;0;0 
1447;0;36;18;9;0;0 
933;0;36;36;8;0;0 
666;0;36;31;9;0;0 
624;0;37;18;8;0;0 
735;0;51;33;8;0;0 
1685;0;38;32;9;0;0 
786;0;36;54;8;0;0 
1264;0;43;42;9;0;0 
