CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
33241;3605;3662;0;0;75;3666 
33237;3605;3662;0;0;77;3666 
33238;3605;3662;0;0;74;3666 
33219;3605;3662;0;0;74;3666 
33329;3605;3662;0;0;77;3666 
33217;3605;3662;0;0;75;3666 
33234;3605;3662;0;0;77;3666 
30072;3606;3662;0;0;80;3667 
33219;3605;3662;0;0;76;3666 
33205;3605;3662;0;0;74;3666 
33299;3605;3662;0;0;77;3666 
31383;3606;3662;0;0;77;3667 
29903;3605;3662;0;0;74;3666 
29874;3605;3662;0;0;75;3666 
30087;3605;3662;0;0;77;3666 
29882;3605;3662;0;0;75;3666 
33399;3605;3662;0;0;75;3666 
30020;3605;3662;0;0;74;3666 
29981;3605;3662;0;0;77;3666 
33202;3605;3662;0;0;74;3666 
33265;3605;3662;0;0;79;3666 
33319;3605;3662;0;0;77;3666 
33216;3605;3662;0;0;75;3666 
29988;3605;3662;0;0;75;3666 
33457;3605;3662;0;0;74;3666 
29936;3605;3662;0;0;74;3666 
30065;3605;3662;0;0;75;3666 
29896;3605;3662;0;0;75;3666 
29891;3605;3662;0;0;74;3666 
33220;3605;3662;0;0;75;3666 
33364;3605;3662;0;0;74;3666 
29902;3605;3662;0;0;75;3666 
33198;3605;3662;0;0;74;3666 
29882;3605;3662;0;0;73;3666 
33276;3605;3662;0;0;75;3666 
33203;3605;3662;0;0;75;3666 
29921;3605;3662;0;0;75;3666 
33266;3605;3662;0;0;75;3666 
33272;3605;3662;0;0;78;3666 
29908;3605;3662;0;0;76;3666 
30038;3605;3662;0;0;76;3666 
29932;3605;3662;0;0;77;3666 
33234;3605;3662;0;0;77;3666 
30045;3605;3662;0;0;75;3666 
33237;3605;3662;0;0;75;3666 
33184;3605;3662;0;0;74;3666 
30091;3605;3662;0;0;77;3666 
33267;3605;3662;0;0;76;3666 
33259;3605;3662;0;0;76;3666 
33223;3605;3662;0;0;76;3666 
33225;3605;3662;0;0;75;3666 
33413;3605;3662;0;0;77;3666 
33274;3605;3662;0;0;75;3666 
33347;3606;3662;0;0;77;3667 
30426;3605;3662;0;0;74;3666 
30012;3605;3662;0;0;75;3666 
33303;3605;3662;0;0;75;3666 
33221;3605;3662;0;0;77;3666 
33255;3605;3662;0;0;74;3666 
29972;3605;3662;0;0;75;3666 
33289;3605;3662;0;0;75;3666 
29904;3605;3662;0;0;74;3666 
33266;3605;3662;0;0;75;3666 
33276;3605;3662;0;0;75;3666 
33309;3605;3662;0;0;77;3666 
29924;3605;3662;0;0;77;3666 
33270;3605;3662;0;0;74;3666 
32336;3606;3662;0;0;75;3667 
29919;3605;3662;0;0;75;3666 
33441;3605;3662;0;0;74;3666 
33243;3605;3662;0;0;75;3666 
33262;3605;3662;0;0;75;3666 
30302;3605;3662;0;0;75;3666 
33277;3605;3662;0;0;75;3666 
29890;3605;3662;0;0;76;3666 
33230;3605;3662;0;0;75;3666 
