CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
33271;3661;1;1;75;0;0 
29896;3661;0;0;72;0;0 
31062;3661;1;1;74;0;0 
29926;3661;1;1;73;0;0 
33222;3661;1;1;77;0;0 
33428;3661;1;1;76;0;0 
33265;3661;1;1;72;0;0 
33477;3661;1;1;72;0;0 
32627;3661;1;1;75;0;0 
33206;3661;1;1;72;0;0 
33350;3661;0;0;74;0;0 
29968;3661;1;1;74;0;0 
30956;3661;1;1;74;0;0 
30080;3661;0;0;73;0;0 
30296;3661;1;1;75;0;0 
30455;3661;1;1;75;0;0 
30150;3661;1;1;75;0;0 
30880;3661;1;1;73;0;0 
30460;3661;0;0;74;0;0 
30452;3661;0;0;72;0;0 
30522;3661;1;1;73;0;0 
29929;3661;1;1;72;0;0 
30599;3661;1;1;75;0;0 
29919;3661;1;1;73;0;0 
30520;3661;1;1;72;0;0 
33231;3661;0;0;72;0;0 
32748;3661;1;1;73;0;0 
29870;3661;1;1;73;0;0 
33259;3661;1;1;75;0;0 
33196;3661;1;1;74;0;0 
30469;3661;1;1;73;0;0 
33254;3661;1;1;74;0;0 
33275;3661;1;1;75;0;0 
29910;3661;1;1;72;0;0 
33263;3661;1;1;72;0;0 
33377;3661;1;1;72;0;0 
29883;3661;0;0;72;0;0 
29942;3661;1;1;73;0;0 
33231;3661;0;0;74;0;0 
32493;3661;1;1;79;0;0 
33606;3661;0;0;74;0;0 
33250;3661;1;1;73;0;0 
33218;3661;1;1;73;0;0 
30532;3661;0;0;74;0;0 
31531;3662;1;1;73;0;0 
30521;3661;0;0;72;0;0 
30618;3661;1;1;73;0;0 
29932;3661;0;0;73;0;0 
30811;3661;1;1;72;0;0 
30058;3661;1;1;73;0;0 
33243;3661;1;1;74;0;0 
30351;3661;1;1;75;0;0 
33281;3661;1;1;76;0;0 
30210;3661;1;1;72;0;0 
29898;3661;0;0;72;0;0 
32834;3661;1;1;73;0;0 
29918;3661;1;1;74;0;0 
29890;3661;0;0;75;0;0 
30138;3661;1;1;73;0;0 
33280;3661;1;1;73;0;0 
33321;3661;1;1;73;0;0 
29949;3661;1;1;73;0;0 
33293;3661;1;1;78;0;0 
33232;3661;1;1;73;0;0 
29880;3661;1;1;73;0;0 
29926;3661;1;1;73;0;0 
33271;3661;1;1;73;0;0 
33603;3661;1;1;75;0;0 
30297;3661;1;1;75;0;0 
33209;3661;1;1;72;0;0 
33257;3661;1;1;74;0;0 
30661;3661;0;0;72;0;0 
33369;3661;1;1;72;0;0 
30543;3661;1;1;75;0;0 
30536;3661;1;1;74;0;0 
30487;3661;1;1;72;0;0 
33261;3661;0;0;72;0;0 
29888;3661;1;1;73;0;0 
33298;3661;1;1;76;0;0 
30189;3661;1;1;73;0;0 
29989;3661;1;1;72;0;0 
33255;3661;1;1;73;0;0 
33585;3661;0;0;74;0;0 
30206;3661;1;1;75;0;0 
33269;3661;1;1;73;0;0 
30517;3661;1;1;74;0;0 
29892;3661;1;1;72;0;0 
29878;3661;0;0;74;0;0 
