CYCLES;0x00;0x01;0x02;0x03;0x04;0x05
30161;0;6;0;9;3670;0 
29979;0;7;0;8;3671;0 
30393;0;9;0;43;3667;0 
30011;0;6;0;10;3671;0 
29974;0;8;0;7;3671;0 
30057;0;6;0;15;3670;0 
29936;0;4;0;6;3671;0 
30149;0;6;0;23;3670;0 
29984;0;6;0;9;3671;0 
29962;0;4;0;10;3671;0 
30381;0;10;0;44;3667;0 
30437;0;7;0;8;3671;0 
30011;0;7;0;11;3670;0 
29982;0;8;0;6;3671;0 
30924;0;7;0;9;3671;0 
30079;0;9;0;8;3671;0 
30074;0;12;0;10;3671;0 
30050;0;8;0;13;3670;0 
29991;0;8;0;8;3671;0 
31152;0;7;0;9;3671;0 
30272;0;13;0;26;3670;0 
30155;0;6;0;10;3671;0 
30659;0;6;0;8;3671;0 
29972;0;7;0;7;3671;0 
29957;0;4;0;8;3671;0 
30235;0;9;0;29;3669;0 
29964;0;5;0;8;3671;0 
29973;0;4;0;10;3671;0 
29956;0;6;0;7;3671;0 
30178;0;6;0;11;3670;0 
31240;0;9;0;22;3670;0 
29983;0;6;0;9;3671;0 
31400;0;9;0;37;3668;0 
31160;0;10;0;12;3670;0 
29963;0;7;0;7;3671;0 
29972;0;7;0;7;3671;0 
30211;0;6;0;28;3671;0 
30207;0;8;0;27;3670;0 
29973;0;6;0;8;3671;0 
29979;0;6;0;8;3671;0 
29989;0;5;0;10;3670;0 
29968;0;6;0;6;3671;0 
29940;0;7;0;6;3671;0 
30163;0;6;0;27;3668;0 
30066;0;8;0;9;3671;0 
29976;0;5;0;7;3671;0 
29997;0;5;0;10;3671;0 
30252;0;8;0;33;3670;0 
30353;0;7;0;41;3669;0 
30051;0;12;0;8;3671;0 
30047;0;6;0;14;3670;0 
30100;0;4;0;21;3669;0 
30154;0;7;0;26;3669;0 
29991;0;8;0;6;3671;0 
30408;0;10;0;46;3667;0 
29985;0;6;0;9;3671;0 
30009;0;8;0;8;3671;0 
29999;0;6;0;11;3670;0 
29981;0;7;0;7;3671;0 
29986;0;8;0;8;3670;0 
29979;0;8;0;7;3671;0 
30298;0;5;0;37;3669;0 
29966;0;5;0;7;3671;0 
30013;0;9;0;6;3671;0 
30164;0;11;0;16;3671;0 
30178;0;7;0;9;3670;0 
29964;0;6;0;6;3671;0 
30155;0;6;0;10;3670;0 
30534;0;13;0;14;3671;0 
30044;0;8;0;14;3671;0 
30105;0;5;0;20;3670;0 
29989;0;6;0;10;3670;0 
30017;0;7;0;10;3671;0 
29952;0;7;0;6;3671;0 
30096;0;7;0;19;3670;0 
29997;0;6;0;8;3671;0 
29999;0;9;0;7;3671;0 
29980;0;7;0;7;3670;0 
29977;0;6;0;8;3670;0 
29982;0;7;0;7;3671;0 
30009;0;9;0;7;3671;0 
29995;0;7;0;9;3670;0 
30023;0;6;0;9;3670;0 
29978;0;7;0;7;3671;0 
30060;0;4;0;18;3669;0 
29975;0;6;0;8;3671;0 
29961;0;6;0;9;3671;0 
30488;0;8;0;49;3670;0 
30098;0;6;0;17;3671;0 
31562;0;8;0;17;3669;0 
30015;0;5;0;12;3670;0 
29977;0;6;0;8;3671;0 
30031;0;10;0;8;3671;0 
30276;0;14;0;13;3671;0 
30249;0;4;0;35;3670;0 
30077;0;10;0;9;3670;0 
30379;0;4;0;48;3666;0 
29961;0;6;0;8;3671;0 
29981;0;8;0;6;3671;0 
29985;0;5;0;10;3671;0 
30043;0;7;0;12;3670;0 
29962;0;5;0;7;3671;0 
30268;0;7;0;12;3670;0 
29945;0;5;0;7;3671;0 
30004;0;6;0;9;3671;0 
29994;0;7;0;6;3671;0 
30001;0;9;0;6;3671;0 
30047;0;6;0;15;3670;0 
30196;0;8;0;9;3671;0 
29952;0;7;0;6;3671;0 
30252;0;8;0;33;3670;0 
29994;0;6;0;9;3670;0 
30136;0;9;0;7;3671;0 
30004;0;5;0;9;3671;0 
30214;0;10;0;27;3668;0 
29936;0;5;0;6;3671;0 
31580;0;6;0;8;3671;0 
30192;0;7;0;13;3671;0 
29978;0;9;0;6;3671;0 
30090;0;5;0;19;3669;0 
29992;0;6;0;9;3671;0 
30009;0;10;0;9;3671;0 
29976;0;6;0;8;3670;0 
29954;0;7;0;6;3671;0 
30436;0;9;0;48;3668;0 
29987;0;6;0;10;3670;0 
30135;0;5;0;7;3671;0 
29966;0;8;0;7;3671;0 
30161;0;6;0;24;3669;0 
30013;0;8;0;8;3671;0 
29982;0;6;0;6;3671;0 
29974;0;7;0;8;3671;0 
29971;0;6;0;8;3670;0 
30013;0;8;0;9;3671;0 
29974;0;5;0;6;3671;0 
30063;0;4;0;17;3670;0 
29953;0;4;0;8;3671;0 
29999;0;7;0;9;3670;0 
29931;0;5;0;6;3671;0 
30291;0;5;0;37;3668;0 
29950;0;8;0;7;3671;0 
30003;0;6;0;10;3671;0 
30107;0;8;0;18;3668;0 
29984;0;7;0;7;3671;0 
29999;0;7;0;8;3671;0 
30717;0;8;0;74;3668;0 
30099;0;9;0;18;3670;0 
30042;0;9;0;12;3671;0 
29987;0;9;0;9;3671;0 
30326;0;11;0;31;3669;0 
30053;0;9;0;15;3670;0 
30119;0;8;0;20;3671;0 
30080;0;4;0;19;3669;0 
30244;0;5;0;33;3667;0 
29983;0;7;0;8;3671;0 
30417;0;8;0;46;3669;0 
30148;0;8;0;24;3670;0 
30349;0;8;0;41;3669;0 
29967;0;5;0;6;3671;0 
29973;0;5;0;9;3671;0 
30129;0;5;0;22;3669;0 
30173;0;8;0;9;3670;0 
30326;0;10;0;26;3670;0 
30057;0;5;0;14;3670;0 
30004;0;8;0;10;3670;0 
29975;0;7;0;7;3671;0 
30172;0;7;0;26;3668;0 
29981;0;7;0;8;3671;0 
30001;0;8;0;9;3671;0 
30007;0;7;0;9;3671;0 
30659;0;7;0;67;3665;0 
29969;0;7;0;8;3671;0 
29982;0;7;0;8;3671;0 
29988;0;5;0;7;3671;0 
29989;0;5;0;10;3670;0 
30140;0;9;0;23;3670;0 
29936;0;4;0;7;3671;0 
29991;0;5;0;10;3671;0 
31107;0;8;0;9;3671;0 
29968;0;4;0;9;3671;0 
30011;0;8;0;10;3670;0 
30042;0;8;0;14;3670;0 
30150;0;8;0;7;3671;0 
29940;0;6;0;6;3671;0 
30017;0;6;0;10;3671;0 
29974;0;9;0;7;3671;0 
30021;0;7;0;11;3671;0 
30008;0;7;0;9;3671;0 
30083;0;13;0;10;3671;0 
29948;0;7;0;6;3671;0 
30012;0;5;0;11;3670;0 
30020;0;6;0;12;3671;0 
29976;0;5;0;7;3671;0 
29989;0;7;0;8;3671;0 
29969;0;7;0;7;3671;0 
30025;0;6;0;11;3671;0 
29970;0;5;0;6;3671;0 
30115;0;12;0;14;3670;0 
29971;0;6;0;7;3671;0 
29961;0;8;0;7;3671;0 
30169;0;6;0;9;3671;0 
30287;0;9;0;35;3669;0 
30015;0;6;0;9;3671;0 
29938;0;5;0;6;3671;0 
29973;0;4;0;8;3671;0 
30027;0;6;0;12;3671;0 
30002;0;5;0;13;3671;0 
30162;0;10;0;24;3668;0 
30462;0;7;0;52;3669;0 
30051;0;7;0;14;3669;0 
30013;0;6;0;12;3670;0 
29987;0;7;0;10;3671;0 
29977;0;6;0;6;3671;0 
29974;0;6;0;10;3671;0 
29992;0;7;0;9;3671;0 
29990;0;8;0;9;3670;0 
30439;0;8;0;42;3666;0 
