CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
33270;0;284;81;13;0;3671 
29877;0;353;45;23;0;3666 
29881;0;342;71;12;0;3665 
30037;0;364;133;17;0;3669 
31126;0;347;509;13;0;3667 
30513;0;345;179;17;0;3669 
33324;0;296;95;12;0;3673 
33216;0;285;74;13;0;3669 
30572;0;342;697;8;0;3666 
30297;0;350;427;8;0;3667 
33508;0;303;58;8;0;3670 
33407;0;348;72;17;0;3670 
31044;0;349;380;9;0;3667 
30119;0;352;85;8;0;3669 
33258;0;287;52;17;0;3669 
29947;0;350;116;13;0;3664 
33511;0;292;97;12;0;3671 
30458;0;355;90;13;0;3668 
29895;0;346;70;17;0;3667 
29905;0;347;78;29;0;3667 
30180;0;384;61;18;0;3669 
33206;0;290;66;8;0;3671 
33381;0;295;61;29;0;3671 
30296;0;347;52;18;0;3671 
33283;0;286;78;16;0;3671 
33199;0;287;34;18;0;3671 
31023;0;351;815;9;0;3667 
30365;0;354;433;8;0;3667 
33294;0;293;74;13;0;3673 
30568;0;353;665;12;0;3668 
30384;0;353;512;8;0;3669 
30850;0;348;127;16;0;3667 
29925;0;350;73;23;0;3667 
31763;0;348;754;13;0;3667 
30260;0;354;76;13;0;3671 
30160;0;351;280;16;0;3668 
30061;0;351;244;13;0;3667 
29911;0;347;78;13;0;3667 
30079;0;345;213;9;0;3667 
33224;0;284;83;13;0;3671 
33327;0;297;73;16;0;3673 
30185;0;355;77;23;0;3669 
30353;0;342;67;17;0;3668 
29899;0;349;70;9;0;3667 
29887;0;348;78;12;0;3667 
29888;0;355;74;9;0;3666 
30670;0;372;653;10;0;3670 
30710;0;351;84;23;0;3666 
30503;0;345;667;13;0;3668 
33237;0;293;63;8;0;3673 
30286;0;351;441;9;0;3667 
30245;0;346;364;8;0;3665 
30820;0;495;770;22;0;3667 
33258;0;288;71;17;0;3671 
33308;0;342;108;8;0;3671 
33236;0;289;54;9;0;3671 
33273;0;293;52;13;0;3673 
29897;0;358;53;11;0;3668 
29907;0;346;70;9;0;3667 
33227;0;285;76;9;0;3669 
33220;0;288;60;17;0;3671 
33254;0;295;59;9;0;3673 
33253;0;292;49;8;0;3673 
29873;0;349;57;16;0;3667 
30942;0;353;680;28;0;3667 
30727;0;349;689;26;0;3668 
33286;0;295;80;8;0;3673 
30001;0;355;74;24;0;3668 
32953;0;300;366;13;0;3670 
33226;0;289;53;12;0;3671 
33232;0;288;82;12;0;3671 
29930;0;344;85;13;0;3667 
33284;0;287;64;15;0;3671 
33285;0;293;66;8;0;3673 
33244;0;289;75;12;0;3671 
32241;0;344;405;13;0;3671 
29907;0;345;68;13;0;3664 
33290;0;293;75;13;0;3671 
33228;0;297;48;23;0;3671 
33205;0;294;48;10;0;3669 
30509;0;348;628;9;0;3667 
29899;0;346;44;13;0;3667 
30076;0;347;74;15;0;3669 
29902;0;349;69;13;0;3667 
33202;0;288;55;17;0;3671 
33246;0;284;105;18;0;3671 
33219;0;296;52;10;0;3672 
29894;0;345;62;13;0;3665 
33223;0;290;74;12;0;3671 
33236;0;289;64;9;0;3671 
30640;0;365;764;23;0;3668 
29910;0;354;75;8;0;3668 
33227;0;287;52;17;0;3671 
30599;0;345;739;17;0;3667 
29916;0;351;89;13;0;3666 
30555;0;353;656;12;0;3668 
34715;0;285;73;9;0;3671 
29891;0;344;85;13;0;3667 
33378;0;286;58;13;0;3671 
33212;0;292;54;22;0;3671 
33879;0;285;61;12;0;3671 
