CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
31156;2;0;1340;0;342;86 
33223;2;0;78;0;288;67 
30481;2;0;104;0;346;654 
29899;2;0;103;0;350;70 
33271;0;0;116;0;299;91 
33276;0;0;155;0;284;66 
33489;0;0;410;0;285;88 
33454;2;0;411;0;285;56 
30739;0;0;260;0;369;663 
33242;2;0;90;0;310;72 
30202;3;0;126;0;343;302 
33202;2;0;93;0;286;48 
33282;0;0;90;0;292;116 
33215;2;0;97;0;285;68 
33383;2;0;318;0;284;63 
33404;0;0;229;0;289;112 
33477;2;0;398;0;291;79 
33419;0;0;178;0;311;147 
30017;2;0;227;0;345;68 
30605;2;0;205;0;350;601 
29909;2;0;112;0;346;67 
33254;2;0;93;0;296;67 
33319;0;0;163;0;287;108 
33203;2;0;82;0;286;56 
30539;2;0;126;0;363;627 
30308;2;0;113;0;346;474 
34615;2;0;1476;0;284;78 
33226;2;0;82;0;290;77 
29860;2;0;77;0;347;55 
29893;2;0;105;0;346;55 
29906;2;0;121;0;346;71 
33299;2;0;151;0;290;93 
33342;0;0;99;0;365;105 
29865;2;0;81;0;348;58 
29892;2;0;104;0;349;44 
29938;0;0;113;0;355;73 
33254;0;0;91;0;286;102 
33278;0;0;91;0;292;120 
33548;2;0;496;0;282;57 
30104;2;0;120;0;350;195 
33216;2;0;79;0;285;75 
33231;2;0;98;0;299;54 
30289;2;0;494;0;346;82 
33217;2;0;91;0;288;67 
29912;2;0;103;0;347;76 
30019;2;0;202;0;356;70 
33271;2;0;145;0;290;58 
33465;2;0;380;0;284;89 
29932;2;0;123;0;344;73 
30513;2;0;80;0;356;626 
30059;2;0;286;0;344;41 
33247;2;0;128;0;285;71 
29907;2;0;117;0;344;61 
30748;2;0;322;0;351;677 
30586;2;0;157;0;348;708 
29982;2;0;160;0;356;72 
30528;2;0;99;0;354;635 
33265;2;0;129;0;295;51 
32199;0;0;560;0;342;130 
29864;2;0;80;0;344;55 
33263;0;0;114;0;295;97 
30219;2;0;412;0;346;91 
33261;2;0;116;0;296;74 
33355;2;0;302;0;283;51 
33318;2;0;205;0;289;66 
33214;0;0;97;0;286;75 
30232;2;0;204;0;349;250 
33353;0;0;131;0;310;157 
33228;2;0;97;0;287;93 
33247;2;0;92;0;284;96 
29926;2;0;104;0;350;73 
33261;2;0;143;0;286;65 
33259;0;0;103;0;288;103 
33390;2;0;308;0;296;51 
30311;2;0;412;0;346;117 
30412;2;0;78;0;347;600 
29899;2;0;91;0;347;76 
33227;2;0;91;0;283;80 
33270;2;0;175;0;309;34 
31616;0;0;366;0;336;138 
33207;2;0;92;0;285;54 
33259;2;0;140;0;285;68 
30329;0;0;498;0;346;103 
30018;2;0;90;0;344;163 
33215;2;0;92;0;287;52 
33269;2;0;144;0;287;69 
29961;2;0;183;0;344;48 
29908;2;0;115;0;348;59 
33483;0;0;414;0;285;87 
29894;2;0;90;0;350;69 
33275;2;0;171;0;292;65 
33318;2;0;189;0;293;71 
33212;2;0;94;0;291;64 
34294;0;0;90;0;1333;102 
32643;2;0;129;0;303;56 
33256;2;0;138;0;286;69 
30575;2;0;104;0;351;721 
33243;0;0;85;0;284;101 
30805;0;0;174;0;369;855 
33280;0;0;142;0;286;86 
30455;2;0;89;0;356;611 
30072;2;0;258;0;351;60 
33226;2;0;96;0;291;71 
33274;0;0;141;0;286;80 
30091;2;0;280;0;347;68 
33223;2;0;84;0;291;78 
33272;0;0;142;0;288;83 
33275;0;0;105;0;292;112 
30684;0;0;163;0;365;705 
33293;0;0;142;0;286;88 
33254;2;0;100;0;309;75 
30085;0;0;280;0;346;78 
33216;2;0;104;0;288;63 
30074;2;0;135;0;343;161 
30459;2;0;441;0;359;238 
29909;2;0;119;0;353;58 
30391;0;0;80;0;350;530 
30362;2;0;104;0;345;477 
30597;0;0;90;0;341;745 
33284;2;0;151;0;294;60 
33271;2;0;155;0;292;61 
29892;2;0;92;0;350;70 
33241;2;0;123;0;289;42 
33423;0;0;303;0;292;107 
30480;2;0;406;0;350;286 
33316;2;0;204;0;285;77 
33244;2;0;140;0;284;56 
29898;2;0;103;0;343;64 
33235;0;0;92;0;288;80 
33236;0;0;83;0;290;86 
30542;2;0;89;0;348;672 
29916;2;0;115;0;343;92 
30090;0;0;282;0;347;92 
32446;2;0;1995;0;345;671 
33240;0;0;81;0;288;93 
33557;0;0;484;0;285;106 
33286;2;0;161;0;301;55 
33339;2;0;212;0;290;78 
33226;2;0;82;0;289;75 
33224;2;0;129;0;283;48 
29919;2;0;89;0;351;82 
33247;0;0;111;0;288;71 
33043;2;0;80;0;298;41 
33422;0;0;279;0;294;109 
34362;2;0;1238;0;292;58 
29868;2;0;80;0;347;53 
33542;2;0;527;0;290;48 
33442;2;0;333;0;294;56 
33486;2;0;450;0;300;48 
33283;0;0;108;0;295;113 
33286;2;0;144;0;308;48 
29921;2;0;119;0;349;76 
33235;2;0;110;0;295;48 
29879;2;0;81;0;349;53 
33627;0;0;504;0;356;86 
29981;2;0;189;0;350;59 
33606;2;0;556;0;287;87 
33285;0;0;142;0;287;93 
31852;2;0;2051;0;349;70 
30054;0;0;179;0;354;140 
30425;2;0;507;0;344;140 
29917;2;0;112;0;345;79 
30295;2;0;80;0;349;433 
30323;0;0;94;0;351;463 
32783;2;0;145;0;332;88 
33389;2;0;318;0;293;44 
29979;2;0;189;0;343;66 
29874;2;0;80;0;348;55 
30047;0;0;202;0;342;127 
33398;0;0;241;0;289;89 
29980;2;0;91;0;350;145 
33324;2;0;234;0;292;35 
29948;2;0;114;0;357;79 
30421;2;0;114;0;349;572 
33233;2;0;129;0;286;76 
30168;2;0;161;0;341;244 
33242;2;0;111;0;290;63 
33208;2;0;89;0;288;55 
33210;2;0;80;0;292;69 
33559;0;0;408;0;350;99 
29889;2;0;91;0;345;76 
33284;2;0;140;0;291;75 
33273;2;0;171;0;284;66 
33236;2;0;140;0;287;48 
29867;2;0;79;0;349;50 
33273;2;0;156;0;288;67 
30110;2;0;322;0;342;61 
30555;2;0;93;0;362;656 
