CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
30648;3603;6;50684;0;1;0 
30678;3603;6;50683;0;1;0 
30257;3603;6;50686;0;1;0 
33263;3603;6;50618;0;1;0 
33480;3603;6;50619;0;1;0 
33943;3603;6;50618;0;1;0 
33219;3603;6;50618;0;1;0 
33318;3603;6;50618;0;1;0 
33315;3603;6;50618;0;1;0 
33497;3603;6;50618;0;1;0 
33280;3603;6;50618;0;1;0 
30219;3603;6;50686;0;1;0 
33210;3603;6;50618;0;1;0 
33021;3603;6;50624;0;1;0 
32205;3603;6;50653;0;2;0 
33378;3603;6;50618;0;1;0 
29911;3603;6;50685;0;1;0 
30003;3603;6;50685;0;1;0 
33271;3603;6;50618;0;1;0 
30455;3603;6;50683;0;1;0 
33264;3603;6;50618;0;1;0 
30596;3603;6;50686;0;1;0 
33252;3603;7;50619;0;1;0 
33294;3603;6;50619;0;1;0 
30463;3603;6;50685;0;1;0 
30023;3603;6;50685;0;1;0 
29928;3603;6;50686;0;1;0 
33481;3603;6;50618;0;1;0 
33244;3603;6;50618;0;1;0 
29894;3603;6;50685;0;1;0 
30726;3603;6;50685;0;1;0 
33279;3603;6;50618;0;1;0 
33700;3603;6;50618;0;1;0 
33241;3603;6;50618;0;1;0 
29906;3603;6;50684;0;1;0 
29872;3603;6;50685;0;1;0 
30027;3603;6;50685;0;1;0 
33339;3603;6;50619;0;1;0 
33239;3603;6;50618;0;1;0 
30464;3603;6;50685;0;1;0 
33109;3603;6;50624;0;1;0 
33396;3603;6;50618;0;1;0 
33264;3603;6;50618;0;1;0 
33242;3603;6;50618;0;1;0 
29895;3603;6;50685;0;1;0 
33218;3603;6;50618;0;1;0 
31813;3603;6;50685;0;1;0 
30503;3603;6;50684;0;1;0 
33178;3603;6;50618;0;1;0 
33204;3603;6;50618;0;1;0 
30542;3603;6;50684;0;1;0 
33205;3603;6;50618;0;1;0 
33367;3603;6;50619;0;1;0 
29977;3603;6;50685;0;1;0 
29887;3603;6;50685;0;1;0 
31738;3603;6;50655;0;2;0 
33265;3603;6;50618;0;1;0 
33362;3603;6;50618;0;1;0 
29926;3603;6;50686;0;1;0 
33253;3603;6;50619;0;1;0 
33246;3603;6;50618;0;1;0 
33213;3603;6;50618;0;1;0 
30356;3603;6;50686;0;1;0 
36829;3603;6;50618;0;1;0 
33309;3603;6;50618;0;1;0 
33288;3603;6;50618;0;1;0 
