CYCLES;0x7A;0x86;0x87;0xC0;0xC1;0xC2
33272;1;0;0;204;0;185 
29904;1;0;0;231;0;214 
29877;1;0;0;234;0;219 
33298;1;0;0;191;0;170 
33217;1;1;0;130;0;97 
30169;1;0;0;230;0;215 
33431;1;0;0;182;0;143 
33276;1;0;0;188;0;170 
29974;1;0;0;239;0;215 
29913;1;0;0;226;0;209 
29911;1;0;0;235;0;219 
33268;1;0;0;185;0;163 
29946;1;0;0;236;0;218 
32115;1;0;0;186;0;163 
29921;1;0;0;233;0;214 
33497;1;0;0;190;0;145 
29969;1;0;0;174;0;151 
29959;1;0;0;237;0;217 
30189;1;0;0;234;0;217 
31698;1;0;0;233;0;218 
33544;1;0;0;190;0;137 
29984;1;0;0;238;0;217 
33875;1;0;0;242;0;225 
30554;1;0;0;238;0;220 
33531;1;0;0;187;0;135 
29952;1;0;0;236;0;215 
32761;1;1;0;196;0;172 
30708;1;1;0;92;0;31 
30013;1;0;0;176;0;150 
33243;1;0;0;188;0;173 
30040;1;0;0;229;0;199 
32882;1;1;0;187;0;147 
33267;1;0;0;179;0;159 
33309;1;0;0;174;0;153 
29956;1;0;0;229;0;208 
29912;1;0;0;232;0;215 
32615;1;1;0;181;0;157 
33294;1;0;0;247;0;227 
29928;1;0;0;235;0;221 
30197;1;0;0;237;0;220 
29922;1;0;0;241;0;221 
33272;1;0;0;201;0;183 
30343;1;0;0;234;0;217 
30477;1;0;0;187;0;168 
30552;1;0;0;234;0;193 
29888;1;0;0;232;0;217 
33871;1;0;0;167;0;144 
33399;1;0;0;98;0;28 
33242;1;0;0;204;0;189 
30733;1;0;0;236;0;202 
30563;1;0;0;222;0;208 
33327;1;0;0;201;0;182 
29922;1;0;0;229;0;210 
29898;1;0;0;232;0;214 
33260;1;0;0;231;0;214 
33249;1;0;0;194;0;179 
30484;1;0;0;233;0;218 
32899;1;0;0;180;0;163 
30185;1;0;0;188;0;171 
35440;1;0;0;234;0;220 
29914;1;0;0;230;0;213 
30510;1;1;0;243;0;218 
33259;1;0;0;233;0;216 
30606;1;0;0;74;0;54 
34217;1;0;0;186;0;172 
34171;1;0;0;162;0;148 
33573;1;0;0;238;0;183 
33349;1;0;0;234;0;205 
29899;1;0;0;236;0;220 
33303;1;0;0;185;0;166 
31884;1;1;0;207;0;184 
33283;1;0;0;235;0;217 
33303;1;0;0;235;0;216 
33302;1;0;0;143;0;120 
33254;1;0;0;233;0;218 
