CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
29887;108;0;0;0;0;0 
29899;106;0;0;0;0;0 
29897;114;0;0;0;0;0 
31931;3931;0;0;0;0;0 
29963;114;0;0;0;0;0 
33216;7027;0;0;0;0;0 
33374;7011;0;0;0;0;0 
33248;7026;0;0;0;0;0 
33821;7015;0;0;0;0;0 
29913;112;0;0;0;0;0 
33319;7028;0;0;0;0;0 
29970;115;0;0;0;0;0 
33282;7018;0;0;0;0;0 
33483;6989;0;0;0;0;0 
30778;1554;0;0;0;0;0 
33286;7037;0;0;0;0;0 
33249;7029;0;0;0;0;0 
29913;111;0;0;0;0;0 
29907;112;0;0;0;0;0 
33340;7011;0;0;0;0;0 
33343;7032;0;0;0;0;0 
33349;7011;0;0;0;0;0 
33938;5515;0;0;0;0;0 
33462;6992;0;0;0;0;0 
33368;7020;0;0;0;0;0 
31455;115;0;0;0;0;0 
33273;7019;0;0;0;0;0 
33330;7012;0;0;0;0;0 
33259;7023;0;0;0;0;0 
33228;7024;0;0;0;0;0 
33281;7040;0;0;0;0;0 
30367;228;0;0;0;0;0 
30398;113;0;0;0;0;0 
33256;7028;0;0;0;0;0 
29879;120;0;0;0;0;0 
30547;228;0;0;0;0;0 
33241;7031;0;0;0;0;0 
30380;220;0;0;0;0;0 
31016;226;0;0;0;0;0 
29901;120;0;0;0;0;0 
33287;6991;0;0;0;0;0 
29938;110;0;0;0;0;0 
33350;7007;0;0;0;0;0 
33255;7030;0;0;0;0;0 
33238;7032;0;0;0;0;0 
29882;118;0;0;0;0;0 
30050;115;0;0;0;0;0 
33235;7024;0;0;0;0;0 
30582;229;0;0;0;0;0 
33279;7018;0;0;0;0;0 
30687;224;0;0;0;0;0 
30210;230;0;0;0;0;0 
33223;7030;0;0;0;0;0 
29890;112;0;0;0;0;0 
29983;125;0;0;0;0;0 
30161;108;0;0;0;0;0 
29915;112;0;0;0;0;0 
33280;7025;0;0;0;0;0 
29909;111;0;0;0;0;0 
33310;7035;0;0;0;0;0 
33273;7023;0;0;0;0;0 
30872;114;0;0;0;0;0 
33260;7036;0;0;0;0;0 
30325;112;0;0;0;0;0 
30194;227;0;0;0;0;0 
30097;110;0;0;0;0;0 
29888;118;0;0;0;0;0 
33362;7004;0;0;0;0;0 
30341;224;0;0;0;0;0 
33215;7028;0;0;0;0;0 
33339;7029;0;0;0;0;0 
33273;7027;0;0;0;0;0 
33236;7032;0;0;0;0;0 
33312;7033;0;0;0;0;0 
30539;228;0;0;0;0;0 
33545;6973;0;0;0;0;0 
33252;7037;0;0;0;0;0 
29914;108;0;0;0;0;0 
33218;7024;0;0;0;0;0 
33315;7021;0;0;0;0;0 
33233;7029;0;0;0;0;0 
33228;7032;0;0;0;0;0 
33250;7020;0;0;0;0;0 
33271;7026;0;0;0;0;0 
29913;116;0;0;0;0;0 
29896;116;0;0;0;0;0 
30330;112;0;0;0;0;0 
29932;118;0;0;0;0;0 
30005;112;0;0;0;0;0 
33233;7033;0;0;0;0;0 
29874;112;0;0;0;0;0 
33193;7032;0;0;0;0;0 
30230;113;0;0;0;0;0 
30692;228;0;0;0;0;0 
33327;7026;0;0;0;0;0 
33249;7019;0;0;0;0;0 
30147;222;0;0;0;0;0 
29921;122;0;0;0;0;0 
33253;7027;0;0;0;0;0 
33200;7021;0;0;0;0;0 
29994;122;0;0;0;0;0 
33213;7034;0;0;0;0;0 
33236;7029;0;0;0;0;0 
29901;112;0;0;0;0;0 
30210;113;0;0;0;0;0 
29874;112;0;0;0;0;0 
33695;7027;0;0;0;0;0 
33636;6979;0;0;0;0;0 
31038;216;0;0;0;0;0 
30019;113;0;0;0;0;0 
30021;114;0;0;0;0;0 
30518;114;0;0;0;0;0 
