CYCLES;0x06;0x07;0x08;0x09;0x0A;0x0B
30025;3603;6;50685;0;2;0 
33279;3603;6;50618;0;1;0 
33236;3603;6;50618;0;1;0 
30284;3603;6;50686;0;1;0 
33716;3603;6;50618;0;1;0 
29889;3603;6;50686;0;1;0 
29886;3603;6;50685;0;1;0 
30510;3603;6;50684;0;1;0 
33305;3603;6;50618;0;1;0 
34015;3603;6;50618;0;1;0 
33698;3603;6;50618;0;1;0 
32608;3603;6;50631;0;1;0 
33214;3603;6;50618;0;1;0 
33230;3603;6;50619;0;1;0 
33257;3603;6;50618;0;1;0 
33362;3603;6;50618;0;1;0 
32977;3603;6;50627;0;1;0 
33291;3603;6;50618;0;1;0 
33267;3603;6;50618;0;1;0 
34177;3603;6;50622;0;1;0 
33203;3603;6;50618;0;1;0 
30123;3603;6;50685;0;1;0 
30027;3603;6;50685;0;1;0 
33497;3603;6;50618;0;1;0 
33632;3603;6;50620;0;1;0 
33262;3603;6;50618;0;1;0 
29945;3603;6;50684;0;1;0 
29922;3603;6;50684;0;1;0 
32737;3603;6;50627;0;1;0 
30022;3603;6;50685;0;1;0 
33228;3603;6;50618;0;1;0 
33256;3603;6;50618;0;1;0 
30101;3603;6;50688;0;2;0 
33203;3603;6;50618;0;1;0 
29904;3603;6;50685;0;1;0 
33007;3603;6;50630;0;1;0 
33601;3603;6;50618;0;1;0 
33223;3603;6;50618;0;1;0 
30235;3603;6;50685;0;1;0 
29887;3603;6;50685;0;1;0 
33272;3603;6;50618;0;1;0 
33640;3603;6;50622;0;2;0 
33206;3603;6;50618;0;1;0 
33270;3603;6;50618;0;1;0 
29976;3603;6;50684;0;1;0 
29922;3603;6;50685;0;1;0 
33332;3603;6;50618;0;1;0 
29935;3603;6;50684;0;1;0 
33263;3603;6;50618;0;1;0 
33402;3603;6;50619;0;1;0 
33336;3603;6;50618;0;1;0 
29888;3603;6;50685;0;1;0 
33271;3603;6;50619;0;1;0 
32421;3603;6;50685;0;1;0 
30089;3603;6;50685;0;1;0 
33338;3603;6;50618;0;1;0 
29878;3603;6;50684;0;1;0 
33240;3603;6;50618;0;1;0 
30087;3603;6;50686;0;1;0 
33221;3603;6;50618;0;1;0 
29974;3603;6;50685;0;1;0 
30581;3603;6;50687;0;2;0 
33287;3603;6;50618;0;1;0 
30030;3603;6;50686;0;1;0 
33203;3603;6;50618;0;1;0 
31363;3603;6;50687;0;2;0 
30055;3603;6;50690;0;2;0 
33204;3603;6;50618;0;1;0 
33241;3603;6;50618;0;1;0 
33214;3603;6;50618;0;1;0 
31187;3603;6;50674;0;2;0 
30365;3603;6;50683;0;1;0 
33208;3603;6;50618;0;1;0 
30227;3603;6;50684;0;1;0 
30145;3603;6;50685;0;1;0 
30207;3603;6;50685;0;1;0 
31107;3603;6;50684;0;1;0 
33397;3603;6;50619;0;1;0 
33253;3603;6;50618;0;1;0 
30319;3603;6;50685;0;1;0 
33233;3603;6;50618;0;1;0 
29926;3603;6;50685;0;1;0 
29881;3603;6;50685;0;1;0 
33229;3603;6;50618;0;1;0 
33582;3603;6;50624;0;1;0 
30579;3603;6;50684;0;1;0 
33223;3603;6;50618;0;1;0 
33327;3603;6;50618;0;1;0 
29924;3603;6;50685;0;1;0 
32542;3603;6;50630;0;1;0 
33343;3603;6;50618;0;1;0 
33510;3603;6;50619;0;1;0 
29974;3603;6;50686;0;1;0 
30178;3603;6;50685;0;1;0 
30439;3603;6;50686;0;1;0 
32944;3603;6;50628;0;2;0 
29875;3603;6;50686;0;1;0 
33197;3603;6;50618;0;1;0 
33350;3603;6;50618;0;1;0 
30316;3603;6;50685;0;1;0 
33236;3603;6;50618;0;1;0 
32680;3603;6;50630;0;1;0 
29880;3603;6;50685;0;1;0 
33206;3603;6;50618;0;1;0 
33262;3603;6;50618;0;1;0 
30465;3603;6;50685;0;1;0 
33018;3603;6;50628;0;1;0 
30093;3603;6;50685;0;1;0 
29903;3603;6;50685;0;1;0 
33239;3603;6;50618;0;1;0 
33242;3603;6;50618;0;1;0 
30470;3603;6;50684;0;1;0 
33547;3603;6;50618;0;1;0 
33232;3603;6;50618;0;1;0 
30761;3603;6;50685;0;1;0 
33284;3603;6;50619;0;1;0 
30346;3603;6;50685;0;1;0 
29935;3603;6;50685;0;1;0 
29914;3603;6;50685;0;1;0 
33264;3603;6;50618;0;1;0 
30043;3603;6;50684;0;1;0 
29906;3603;6;50685;0;1;0 
30222;3603;6;50685;0;1;0 
33284;3603;6;50618;0;1;0 
29875;3603;6;50685;0;1;0 
29895;3603;6;50684;0;1;0 
30094;3603;6;50685;0;1;0 
29917;3603;6;50686;0;1;0 
30782;3603;6;50684;0;1;0 
30455;3603;6;50683;0;1;0 
32558;3603;6;50630;0;1;0 
29899;3603;6;50685;0;1;0 
33232;3603;6;50618;0;1;0 
33376;3603;6;50619;0;1;0 
29910;3603;6;50686;0;1;0 
33225;3603;6;50618;0;1;0 
33252;3603;6;50618;0;1;0 
30578;3603;6;50685;0;1;0 
33228;3603;6;50618;0;1;0 
30043;3603;6;50685;0;1;0 
29914;3603;6;50685;0;1;0 
33338;3603;6;50618;0;1;0 
29918;3603;6;50685;0;1;0 
33170;3603;6;50625;0;2;0 
30004;3603;6;50684;0;1;0 
33253;3603;6;50618;0;1;0 
29940;3603;6;50686;0;1;0 
33188;3603;6;50618;0;1;0 
32334;3603;6;50640;0;2;0 
33271;3603;6;50618;0;1;0 
33328;3603;6;50618;0;1;0 
30178;3603;6;50685;0;1;0 
30277;3603;6;50684;0;1;0 
30750;3603;6;50677;0;2;0 
33216;3603;6;50618;0;1;0 
33231;3603;6;50618;0;1;0 
29899;3603;6;50685;0;1;0 
29902;3603;6;50684;0;1;0 
32938;3604;6;50629;0;2;0 
33346;3603;6;50618;0;1;0 
33214;3603;6;50618;0;1;0 
33225;3603;6;50618;0;1;0 
33221;3603;6;50618;0;1;0 
33236;3603;6;50618;0;1;0 
33228;3603;6;50618;0;1;0 
30239;3603;6;50684;0;1;0 
33204;3603;6;50618;0;1;0 
33218;3603;6;50618;0;1;0 
30578;3603;6;50685;0;1;0 
29940;3603;6;50685;0;1;0 
34517;3603;6;50618;0;1;0 
31053;3603;6;50685;0;1;0 
33272;3603;6;50618;0;1;0 
30365;3603;6;50685;0;1;0 
30356;3603;6;50684;0;1;0 
29941;3603;6;50684;0;1;0 
29900;3603;6;50685;0;1;0 
33315;3603;6;50618;0;1;0 
32218;3603;6;50684;0;1;0 
33247;3603;6;50618;0;1;0 
30555;3603;6;50683;0;1;0 
29968;3603;6;50684;0;1;0 
30822;3603;6;50685;0;1;0 
30139;3603;6;50685;0;1;0 
33230;3603;6;50618;0;1;0 
33273;3603;6;50618;0;1;0 
33225;3603;6;50618;0;1;0 
33252;3603;6;50618;0;1;0 
29882;3603;6;50685;0;1;0 
33455;3603;6;50618;0;1;0 
30604;3603;6;50685;0;1;0 
33242;3603;6;50618;0;1;0 
33223;3603;6;50618;0;1;0 
29997;3603;6;50685;0;1;0 
29904;3603;6;50685;0;1;0 
30635;3603;6;50684;0;1;0 
30233;3603;6;50688;0;2;0 
33294;3603;6;50619;0;1;0 
33268;3603;6;50618;0;1;0 
31033;3603;6;50684;0;1;0 
33366;3603;6;50618;0;1;0 
33253;3603;6;50618;0;1;0 
30549;3603;6;50686;0;1;0 
29876;3603;6;50685;0;1;0 
29995;3603;6;50684;0;1;0 
31150;3603;6;50685;0;1;0 
30084;3603;6;50689;0;2;0 
33387;3603;6;50618;0;1;0 
33230;3603;6;50618;0;1;0 
33219;3603;6;50618;0;1;0 
29872;3603;6;50685;0;1;0 
30310;3603;6;50688;0;2;0 
33076;3603;6;50630;0;1;0 
29896;3603;6;50685;0;1;0 
29947;3603;6;50685;0;1;0 
30164;3603;6;50685;0;1;0 
30709;3603;6;50685;0;1;0 
30361;3603;6;50685;0;1;0 
30022;3603;6;50684;0;1;0 
30201;3603;6;50684;0;1;0 
33256;3603;6;50618;0;1;0 
30213;3603;6;50686;0;1;0 
30517;3603;6;50684;0;1;0 
30232;3603;6;50685;0;1;0 
35433;3603;6;50618;0;1;0 
33262;3603;6;50618;0;1;0 
34201;3603;6;50620;0;1;0 
30436;3603;6;50685;0;1;0 
31552;3603;6;50685;0;1;0 
33404;3603;6;50618;0;1;0 
33177;3603;6;50629;0;1;0 
33430;3603;6;50618;0;1;0 
33233;3603;6;50619;0;1;0 
29909;3603;6;50685;0;1;0 
33193;3603;6;50618;0;1;0 
30567;3603;6;50680;0;2;0 
33418;3603;6;50619;0;1;0 
30078;3603;6;50685;0;1;0 
30562;3603;6;50684;0;1;0 
33545;3603;6;50618;0;1;0 
29905;3603;6;50685;0;1;0 
33404;3603;6;50618;0;1;0 
33294;3603;6;50618;0;1;0 
29929;3603;6;50685;0;1;0 
30482;3603;6;50685;0;1;0 
30802;3603;6;50672;0;2;0 
29877;3603;6;50685;0;1;0 
33565;3603;6;50618;0;1;0 
31215;3603;6;50685;0;1;0 
33592;3603;6;50618;0;1;0 
32797;3603;6;50634;0;2;0 
33209;3603;6;50618;0;1;0 
29900;3603;6;50685;0;1;0 
29916;3603;6;50686;0;1;0 
33211;3603;6;50618;0;1;0 
33223;3603;6;50618;0;1;0 
33351;3603;6;50619;0;1;0 
30674;3603;6;50685;0;1;0 
29933;3603;6;50685;0;1;0 
33322;3603;6;50618;0;1;0 
30543;3603;6;50683;0;1;0 
33269;3603;6;50618;0;1;0 
29934;3603;6;50685;0;1;0 
30028;3603;6;50685;0;1;0 
