CYCLES;0x19;0x1A;0x1D;0x1E;0x60;0x61
4017;8;0;2008;0;8;0 
4233;8;0;2117;0;8;0 
3672;12;0;1836;0;8;4 
3968;8;0;1984;0;8;0 
4033;16;0;2017;0;8;8 
4621;8;0;2311;0;8;0 
4146;8;0;2073;0;4;4 
4469;12;0;2234;0;8;4 
4040;32;0;2020;0;24;8 
4599;8;0;2299;0;8;0 
3946;4;0;1973;0;4;0 
3959;12;0;1979;0;8;4 
3671;4;0;1836;0;4;0 
3947;16;0;1973;0;8;8 
3656;8;0;1828;0;8;0 
4541;12;0;2270;0;8;4 
3618;8;0;1809;0;4;4 
3635;12;0;1817;0;12;0 
3650;4;0;1825;0;4;0 
3627;12;0;1813;0;8;4 
3654;12;0;1827;0;8;4 
5305;12;0;2653;0;4;8 
3643;12;0;1822;0;8;4 
4276;4;0;2138;0;4;0 
3939;20;0;1969;0;16;4 
3666;8;0;1833;0;4;4 
3746;28;0;1873;0;8;20 
3958;0;0;1979;0;0;0 
4265;12;0;2133;0;8;4 
3911;8;0;1956;0;4;4 
3675;12;0;1837;0;8;4 
3633;8;0;1816;0;8;0 
3635;4;0;1817;0;4;0 
4574;8;0;2287;0;8;0 
3644;8;0;1822;0;8;0 
3638;4;0;1819;0;4;0 
3751;4;0;1875;0;4;0 
4436;4;0;2218;0;4;0 
3625;4;0;1813;0;4;0 
3657;8;0;1828;0;4;4 
3620;4;0;1810;0;4;0 
3648;8;0;1824;0;8;0 
3959;0;0;1980;0;0;0 
3962;8;0;1981;0;4;4 
3633;12;0;1817;0;8;4 
3941;12;0;1970;0;8;4 
4317;8;0;2158;0;8;0 
3632;4;0;1816;0;4;0 
3963;8;0;1981;0;8;0 
3885;49;0;1942;0;17;32 
4730;8;0;2365;0;4;4 
5421;4;0;2710;0;4;0 
3993;16;0;1997;0;12;4 
4503;4;0;2252;0;4;0 
3966;0;0;1983;0;0;0 
3787;4;0;1893;0;4;0 
3933;4;0;1967;0;0;4 
4560;4;0;2280;0;4;0 
3928;8;0;1964;0;4;4 
3953;8;0;1976;0;4;4 
4385;12;0;2192;0;8;4 
3994;8;0;1997;0;4;4 
4345;16;0;2173;0;12;4 
3658;4;0;1829;0;4;0 
3643;8;0;1822;0;4;4 
4395;8;0;2197;0;4;4 
4565;8;0;2282;0;4;4 
3652;20;0;1826;0;12;8 
4023;24;0;2011;0;4;20 
3629;8;0;1814;0;8;0 
3659;16;0;1829;0;8;8 
3755;4;0;1878;0;4;0 
3637;12;0;1819;0;8;4 
3978;8;0;1989;0;4;4 
3644;8;0;1822;0;8;0 
3587;12;0;1794;0;12;0 
4032;4;0;2016;0;4;0 
4810;4;0;2405;0;4;0 
4173;12;0;2087;0;4;8 
3672;12;0;1836;0;8;4 
4033;12;0;2017;0;8;4 
3640;12;0;1820;0;8;4 
3631;4;0;1816;0;4;0 
3960;8;0;1980;0;8;0 
3955;4;0;1978;0;4;0 
3930;12;0;1965;0;8;4 
4051;16;0;2025;0;12;4 
4009;12;0;2004;0;4;8 
3587;8;0;1793;0;8;0 
3957;8;0;1979;0;4;4 
3930;0;0;1965;0;0;0 
4354;16;0;2177;0;12;4 
3638;12;0;1819;0;8;4 
3611;8;0;1805;0;8;0 
3983;12;0;1992;0;8;4 
3629;4;0;1814;0;4;0 
3645;8;0;1822;0;4;4 
3649;12;0;1824;0;4;8 
3945;4;0;1973;0;4;0 
4633;8;0;2317;0;4;4 
3656;4;0;1828;0;4;0 
3905;0;0;1952;0;0;0 
3779;28;0;1890;0;20;8 
3616;12;0;1808;0;8;4 
3604;8;0;1802;0;4;4 
