CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
33282;0;0;160;0;295;45 
33492;2;0;439;0;279;87 
29905;2;0;80;0;345;97 
32035;2;0;162;0;353;2127 
33236;2;0;102;0;288;69 
31075;2;0;155;0;363;78 
30133;2;0;321;0;355;69 
30771;2;0;91;0;348;901 
29942;2;0;138;0;350;82 
29924;0;0;89;0;348;109 
29907;2;0;104;0;348;70 
30536;2;0;99;0;346;721 
33239;2;0;90;0;296;69 
30017;2;0;103;0;355;118 
30145;0;0;316;0;346;105 
33243;2;0;139;0;290;48 
30191;2;0;408;0;347;46 
33225;0;0;92;0;286;84 
33238;2;0;106;0;292;60 
33851;0;0;91;0;877;105 
33227;2;0;105;0;292;50 
33232;2;0;109;0;298;57 
29898;2;0;104;0;349;58 
30429;2;0;80;0;345;568 
33533;0;0;481;0;285;88 
30079;2;0;113;0;355;216 
33271;2;0;139;0;297;56 
29905;2;0;115;0;348;77 
29908;2;0;106;0;352;55 
30429;2;0;123;0;347;521 
30834;2;0;391;0;351;660 
29876;2;0;92;0;346;44 
30481;2;0;90;0;347;657 
33368;0;0;170;0;350;101 
30476;2;0;92;0;349;598 
33261;2;0;125;0;284;82 
33247;2;0;101;0;294;73 
33294;2;0;95;0;349;79 
33245;0;0;82;0;288;102 
33215;2;0;97;0;292;55 
33239;0;0;93;0;288;83 
33229;2;0;93;0;291;72 
33220;2;0;82;0;292;65 
30568;2;0;126;0;351;640 
30132;2;0;94;0;349;254 
32647;2;0;79;0;299;52 
33262;2;0;153;0;288;49 
33336;0;0;202;0;296;73 
29937;0;0;90;0;353;109 
30513;2;0;92;0;345;643 
30566;2;0;122;0;345;662 
30215;2;0;79;0;340;358 
29925;2;0;115;0;346;77 
30150;0;0;300;0;349;109 
29890;2;0;102;0;346;55 
33061;2;0;79;0;298;59 
33647;2;0;523;0;300;767 
33208;2;0;82;0;289;66 
33481;0;0;359;0;304;138 
33397;2;0;355;0;286;38 
30378;2;0;95;0;352;497 
33222;2;0;104;0;284;69 
29875;2;0;93;0;346;52 
33280;2;0;170;0;287;52 
33172;0;0;182;0;306;113 
30061;2;0;137;0;355;127 
30498;2;0;89;0;351;618 
33298;2;0;162;0;287;90 
33337;0;0;85;0;371;106 
33329;0;0;158;0;296;101 
33218;0;0;81;0;291;66 
29962;2;0;167;0;350;61 
33224;2;0;80;0;287;81 
30030;2;0;206;0;341;97 
30023;2;0;164;0;377;92 
33218;2;0;106;0;286;65 
33265;2;0;159;0;286;49 
33242;2;0;157;0;286;44 
30283;0;0;206;0;370;252 
33233;2;0;127;0;288;51 
33205;2;0;80;0;288;54 
29923;0;0;103;0;347;87 
30015;2;0;225;0;346;62 
31370;2;0;371;0;339;114 
29897;2;0;105;0;347;52 
33209;2;0;92;0;286;57 
33217;2;0;81;0;287;71 
33343;2;0;241;0;296;53 
33258;0;0;81;0;291;108 
30230;2;0;94;0;347;405 
33232;2;0;127;0;288;48 
29957;2;0;150;0;349;65 
33206;2;0;112;0;288;37 
30247;0;0;413;0;348;106 
29883;2;0;80;0;346;67 
29933;2;0;101;0;351;75 
33709;2;0;699;0;289;92 
33369;2;0;280;0;296;54 
30552;0;0;106;0;346;677 
33243;2;0;128;0;289;52 
29869;2;0;82;0;344;58 
29886;2;0;104;0;342;58 
30100;2;0;94;0;354;230 
33625;0;0;479;0;347;112 
33306;2;0;235;0;283;53 
33230;2;0;108;0;288;74 
33278;2;0;133;0;303;64 
29997;2;0;190;0;346;79 
33404;0;0;188;0;352;102 
34780;2;0;1664;0;291;51 
33203;2;0;90;0;293;34 
29995;2;0;115;0;348;97 
29944;0;0;160;0;349;54 
33784;0;0;172;0;764;108 
30532;2;0;483;0;351;258 
33539;2;0;491;0;290;62 
30208;2;0;401;0;343;72 
29910;2;0;89;0;349;76 
30501;0;0;190;0;347;582 
30823;0;0;413;0;357;605 
29888;2;0;90;0;353;53 
29892;2;0;92;0;358;45 
33211;2;0;109;0;285;41 
29937;0;0;117;0;348;102 
33232;2;0;82;0;290;70 
33272;2;0;143;0;286;73 
32899;2;0;258;0;298;52 
30350;2;0;80;0;348;485 
33271;0;0;90;0;297;105 
33262;2;0;135;0;287;75 
29853;2;0;79;0;348;38 
30329;2;0;536;0;345;65 
33254;0;0;93;0;297;95 
33237;2;0;116;0;285;79 
33366;2;0;272;0;286;89 
33191;2;0;81;0;285;51 
33595;2;0;578;0;285;74 
33447;0;0;271;0;290;115 
33278;2;0;100;0;299;93 
33279;2;0;142;0;294;71 
33260;2;0;154;0;295;34 
33277;2;0;145;0;287;78 
29901;2;0;79;0;354;72 
33284;0;0;104;0;296;114 
29916;2;0;104;0;350;76 
30137;2;0;314;0;347;83 
33265;2;0;144;0;288;73 
33247;2;0;96;0;294;80 
30535;0;0;105;0;348;708 
29878;2;0;79;0;347;65 
30024;2;0;247;0;348;52 
29943;2;0;123;0;353;75 
33206;2;0;89;0;284;68 
29885;2;0;108;0;349;55 
33210;2;0;97;0;282;61 
33339;2;0;259;0;292;54 
33377;2;0;290;0;285;78 
33345;0;0;138;0;344;106 
33269;2;0;145;0;293;51 
33242;2;0;95;0;289;84 
33227;2;0;92;0;292;70 
33317;2;0;211;0;287;75 
33217;0;0;83;0;288;64 
33201;2;0;218;0;332;131 
33236;2;0;107;0;282;73 
29981;2;0;170;0;347;79 
29893;2;0;104;0;345;60 
31462;2;0;379;0;347;1356 
30525;0;0;179;0;353;551 
31372;2;0;152;0;351;107 
29890;2;0;117;0;343;52 
29994;2;0;117;0;344;107 
30194;2;0;168;0;349;291 
32144;0;0;558;0;343;136 
30060;0;0;224;0;344;112 
30106;2;0;113;0;352;206 
33233;2;0;121;0;293;52 
29884;2;0;92;0;351;53 
30597;2;0;216;0;349;604 
30417;0;0;456;0;364;147 
30961;2;0;330;0;357;97 
29909;2;0;82;0;353;79 
29925;2;0;80;0;345;68 
33106;2;0;123;0;301;77 
30153;0;0;319;0;361;98 
33306;2;0;200;0;283;75 
33255;2;0;157;0;288;50 
29977;0;0;139;0;356;84 
33293;2;0;184;0;294;54 
31618;0;0;140;0;334;126 
30978;2;0;376;0;503;670 
33520;2;0;520;0;286;41 
33293;2;0;139;0;290;91 
29866;2;0;79;0;347;53 
30120;0;0;227;0;360;135 
33287;0;0;169;0;287;80 
33407;2;0;347;0;283;78 
33257;2;0;119;0;298;75 
33220;2;0;94;0;289;65 
29895;2;0;81;0;355;63 
34300;2;0;1174;0;290;58 
33209;2;0;79;0;289;68 
33236;2;0;79;0;306;65 
33252;0;0;126;0;286;72 
29920;2;0;118;0;348;76 
30938;2;0;526;0;346;622 
33273;0;0;128;0;286;85 
30555;2;0;113;0;347;709 
30868;0;0;155;0;351;122 
33247;2;0;120;0;290;59 
33246;2;0;155;0;288;59 
33326;2;0;92;0;301;306 
33251;2;0;134;0;290;56 
30185;2;0;319;0;364;105 
30097;0;0;266;0;349;94 
33268;2;0;156;0;291;57 
