CYCLES;0x13;0x14;0x15;0x16;0x17;0x18
33276;3611;26062;186;379;2;31 
33341;3611;26085;224;458;2;35 
30540;3670;26166;226;464;2;24 
31493;3645;26148;175;362;2;38 
33224;3611;26067;96;198;2;17 
33468;3617;26048;227;463;2;34 
32660;3621;26048;228;460;2;26 
33200;3611;26040;177;362;3;24 
33206;3611;26060;180;366;3;16 
33283;3611;26077;176;361;2;21 
29932;3671;26152;222;452;56;41 
33276;3611;26069;220;448;2;28 
30310;3669;26140;224;458;2;32 
33246;3611;26067;176;361;3;39 
33187;3611;26034;180;365;2;26 
29867;3671;26129;227;461;2;27 
30071;3671;26155;230;470;3;34 
30144;3671;26141;119;250;2;21 
30466;3670;26167;225;458;2;30 
33267;3611;26073;177;361;3;25 
29905;3671;26155;223;453;2;23 
33275;3611;26075;221;451;3;33 
33209;3614;26075;116;240;3;21 
30179;3670;26169;227;464;48;39 
33278;3611;26078;184;376;2;23 
33201;3611;26057;231;470;58;39 
30730;3669;26147;228;467;2;42 
33393;3611;26058;200;411;2;17 
30528;3668;26164;182;373;2;12 
33244;3611;26071;114;235;2;12 
33467;3612;26125;181;370;3;29 
33354;3611;26082;186;385;2;29 
29962;3670;26147;223;457;2;25 
33332;3612;26075;177;364;3;27 
31489;3670;26129;226;461;64;64 
30525;3670;26146;176;360;3;27 
33232;3611;26041;195;398;2;10 
33540;3611;26110;174;360;2;25 
33257;3612;26049;213;436;2;29 
30516;3670;26179;227;463;2;30 
33238;3611;26072;229;466;2;25 
30107;3670;26150;195;404;29;17 
33261;3612;26063;180;368;2;27 
33239;3612;26059;130;268;3;25 
29878;3671;26103;226;457;2;34 
33451;3611;26119;134;278;2;22 
33626;3611;26141;182;376;2;26 
30247;3669;26127;220;447;2;33 
29942;3670;26150;229;464;2;37 
29886;3671;26126;224;458;2;30 
33218;3611;26055;192;393;3;7 
33218;3611;26043;195;400;2;20 
30049;3670;26150;176;362;3;29 
33217;3611;26035;173;352;2;34 
30574;3670;26150;177;365;2;34 
33263;3611;26044;231;471;3;12 
33239;3611;26052;185;377;2;24 
33235;3611;26056;177;363;2;17 
33224;3611;26061;158;324;6;20 
29891;3671;26130;222;454;2;29 
33437;3611;26069;232;475;27;29 
30589;3670;26155;189;386;3;14 
33263;3612;26056;176;360;2;34 
33277;3611;26066;175;357;2;19 
30262;3667;26130;221;448;2;50 
33230;3611;26058;174;354;2;13 
30180;3669;26147;173;352;3;25 
30900;3669;26102;148;303;2;14 
33215;3611;26036;230;468;2;27 
29943;3671;26142;218;445;2;32 
33375;3611;26094;83;177;4;6 
33221;3611;26039;180;369;2;12 
30561;3670;26162;178;365;2;24 
29899;3671;26149;226;460;2;27 
33223;3611;26064;173;353;2;27 
33725;3611;26041;197;405;3;9 
33433;3611;26076;160;329;3;24 
33221;3611;26061;179;362;2;16 
29901;3671;26154;224;457;2;29 
32599;3632;26150;147;306;2;24 
33422;3611;26078;174;356;3;29 
33224;3611;26040;188;381;2;17 
33220;3611;26030;178;366;2;15 
33245;3611;26035;113;236;2;15 
33265;3611;26083;159;326;4;23 
29988;3671;26089;220;448;2;24 
33286;3611;26074;175;357;2;30 
33215;3611;26060;180;369;2;29 
29897;3671;26127;219;446;2;41 
29923;3671;26113;195;398;2;17 
33270;3611;26066;185;383;3;21 
