CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
30238;108;0;0;0;0;0 
29887;117;0;0;0;0;0 
33311;7029;0;0;0;0;0 
33337;7018;0;0;0;0;0 
29889;112;0;0;0;0;0 
33204;7020;0;0;0;0;0 
33530;6987;0;0;0;0;0 
29911;113;0;0;0;0;0 
33383;7006;0;0;0;0;0 
29895;113;0;0;0;0;0 
30003;116;0;0;0;0;0 
33256;7019;0;0;0;0;0 
33265;7011;0;0;0;0;0 
33237;7017;0;0;0;0;0 
29914;112;0;0;0;0;0 
33239;7030;0;0;0;0;0 
30010;108;0;0;0;0;0 
29901;115;0;0;0;0;0 
29888;112;0;0;0;0;0 
33433;7013;0;0;0;0;0 
32733;5986;0;0;0;0;0 
29880;112;0;0;0;0;0 
33536;6987;0;0;0;0;0 
29949;111;0;0;0;0;0 
33259;7031;0;0;0;0;0 
29960;117;0;0;0;0;0 
33264;7014;0;0;0;0;0 
33264;7033;0;0;0;0;0 
32671;5876;0;0;0;0;0 
30737;114;0;0;0;0;0 
33283;7025;0;0;0;0;0 
33238;7031;0;0;0;0;0 
29902;112;0;0;0;0;0 
33188;7028;0;0;0;0;0 
33282;7019;0;0;0;0;0 
33206;7032;0;0;0;0;0 
29976;112;0;0;0;0;0 
30506;226;0;0;0;0;0 
33286;7023;0;0;0;0;0 
33268;7030;0;0;0;0;0 
33379;7019;0;0;0;0;0 
30586;226;0;0;0;0;0 
30318;228;0;0;0;0;0 
33256;7023;0;0;0;0;0 
29876;118;0;0;0;0;0 
33436;6996;0;0;0;0;0 
29899;113;0;0;0;0;0 
33344;7012;0;0;0;0;0 
30214;234;0;0;0;0;0 
33230;7033;0;0;0;0;0 
33245;7025;0;0;0;0;0 
30487;232;0;0;0;0;0 
33256;7024;0;0;0;0;0 
30387;111;0;0;0;0;0 
29867;112;0;0;0;0;0 
33293;7026;0;0;0;0;0 
30114;115;0;0;0;0;0 
33475;7010;0;0;0;0;0 
