CYCLES;0xD2;0xE0;0xE1;0xE2;0xE3;0xE4
33194;0;285;51;13;0;3671 
30506;0;365;650;11;0;3667 
30006;0;354;41;13;0;3667 
30265;0;355;422;8;0;3665 
33781;0;284;78;16;0;3670 
33238;0;295;80;8;0;3668 
33237;0;289;80;12;0;3671 
29910;0;343;82;12;0;3666 
30542;0;353;648;22;0;3666 
33255;0;291;73;17;0;3673 
29931;0;350;70;13;0;3667 
33190;0;289;34;23;0;3669 
29923;0;358;58;24;0;3668 
33259;0;284;48;29;0;3671 
33269;0;290;115;12;0;3671 
33533;0;282;61;19;0;3670 
33343;0;286;89;17;0;3668 
33657;0;284;95;13;0;3669 
30025;0;353;86;22;0;3668 
33322;0;348;101;8;0;3673 
33258;0;287;71;23;0;3671 
33273;0;287;48;17;0;3671 
29911;0;357;78;12;0;3667 
29897;0;350;61;13;0;3668 
33284;0;292;122;12;0;3673 
29904;0;345;62;18;0;3668 
29886;0;354;48;17;0;3665 
30123;0;349;202;29;0;3668 
33628;0;295;465;9;0;3671 
34462;0;302;104;46;0;3671 
33264;0;299;618;12;0;3670 
32852;0;298;62;12;0;3670 
33219;0;288;71;8;0;3671 
32647;0;304;83;9;0;3670 
33309;0;322;116;8;0;3671 
30147;0;348;296;23;0;3667 
33218;0;288;65;23;0;3669 
33278;0;304;53;10;0;3671 
29928;0;350;108;9;0;3667 
29864;0;345;42;16;0;3665 
33368;0;297;71;13;0;3671 
30029;0;347;41;13;0;3667 
33239;0;288;100;9;0;3671 
33439;0;287;105;8;0;3671 
33435;0;284;48;9;0;3671 
33244;0;296;52;22;0;3671 
30686;0;345;556;12;0;3666 
33262;0;290;109;12;0;3671 
29904;0;351;70;8;0;3668 
30067;0;368;136;16;0;3667 
31198;0;348;60;13;0;3667 
33311;0;288;55;17;0;3671 
30498;0;345;481;13;0;3667 
29910;0;345;77;17;0;3667 
30222;0;345;382;13;0;3667 
30518;0;349;625;8;0;3668 
33227;0;288;72;27;0;3671 
33209;0;283;54;18;0;3669 
33209;0;283;52;22;0;3667 
33277;0;295;65;17;0;3671 
33258;0;286;53;8;0;3671 
29892;0;346;52;8;0;3667 
33254;0;285;74;27;0;3671 
29913;0;351;77;22;0;3666 
30052;0;345;244;16;0;3667 
31067;0;349;169;12;0;3667 
33742;0;289;73;17;0;3674 
33233;0;289;73;10;0;3671 
33304;0;288;54;8;0;3671 
33011;0;297;45;18;0;3670 
30774;0;557;662;9;0;3666 
29892;0;350;72;13;0;3667 
29922;0;355;97;9;0;3668 
33268;0;290;54;12;0;3669 
33361;0;296;71;17;0;3674 
31674;0;339;92;17;0;3669 
33217;0;310;34;10;0;3673 
29889;0;347;55;9;0;3667 
30459;0;352;544;8;0;3669 
33429;0;359;57;12;0;3671 
33211;0;291;62;12;0;3671 
33229;0;289;53;10;0;3671 
30603;0;373;620;9;0;3668 
29876;0;346;56;23;0;3665 
33308;0;281;116;13;0;3671 
33231;0;296;70;12;0;3673 
30393;0;345;58;8;0;3669 
30667;0;357;717;13;0;3668 
33232;0;289;86;13;0;3671 
33286;0;296;57;8;0;3671 
33227;0;291;49;17;0;3671 
33224;0;288;82;12;0;3670 
33259;0;292;48;29;0;3671 
30510;0;352;655;13;0;3669 
30097;0;349;67;10;0;3669 
32933;0;296;179;13;0;3670 
29953;0;350;113;23;0;3666 
30001;0;345;141;17;0;3668 
34351;0;291;69;12;0;3671 
33356;0;307;54;11;0;3671 
33378;0;367;144;12;0;3671 
33277;0;287;123;12;0;3671 
29989;0;342;68;8;0;3668 
33368;0;289;86;8;0;3671 
30121;0;352;291;9;0;3667 
30203;0;347;74;13;0;3668 
33298;0;286;104;8;0;3671 
30260;0;354;176;23;0;3667 
33207;0;285;69;13;0;3669 
33231;0;285;55;13;0;3669 
33239;0;292;65;28;0;3673 
33253;0;297;72;28;0;3673 
33298;0;293;88;17;0;3673 
31464;0;344;1557;13;0;3667 
33246;0;284;49;9;0;3671 
33231;0;285;77;12;0;3671 
29963;0;348;95;8;0;3667 
33237;0;286;84;27;0;3669 
30574;0;346;556;13;0;3670 
33313;0;286;68;17;0;3669 
33282;0;288;72;12;0;3671 
33450;0;290;121;26;0;3671 
29876;0;350;55;22;0;3665 
29871;0;346;69;9;0;3667 
29981;0;346;69;9;0;3670 
30004;0;355;89;13;0;3669 
