CYCLES;0x0C;0x0D;0x0E;0x0F;0x10;0x12
624176;40701;56909;0;0;2811;60047 
626066;40698;56909;0;0;2762;60044 
624915;40700;56909;0;0;2696;60046 
625784;40698;56909;0;0;2776;60044 
627749;40702;56910;0;0;2753;60048 
624542;40698;56909;0;0;2730;60044 
626618;40700;56909;0;0;2722;60046 
624503;40698;56909;0;0;2726;60044 
625220;40700;56909;0;0;2763;60046 
625343;40698;56909;0;0;2744;60044 
623003;40699;56909;0;0;2745;60045 
626451;40700;56909;0;0;2765;60046 
621845;40698;56909;0;0;2742;60044 
626526;40700;56909;0;0;2801;60046 
626650;40699;56909;0;0;2754;60045 
622815;40699;56910;0;0;2731;60046 
624879;40699;56909;0;0;2740;60045 
626165;40700;56909;0;0;2759;60046 
623542;40701;56910;0;0;2808;60047 
626846;40700;56910;0;0;2738;60046 
623221;40701;56909;0;0;2777;60047 
625815;40699;56909;0;0;2751;60045 
626467;40699;56909;0;0;2791;60045 
628613;40699;56909;0;0;2765;60045 
622934;40699;56909;0;0;2758;60045 
623550;40698;56909;0;0;2728;60044 
622544;40699;56909;0;0;2779;60045 
625271;40698;56909;0;0;2767;60044 
622901;40700;56909;0;0;2763;60046 
623922;40699;56909;0;0;2755;60045 
625340;40699;56909;0;0;2791;60045 
626028;40701;56910;0;0;2771;60047 
624432;40699;56909;0;0;2740;60045 
624022;40699;56909;0;0;2739;60045 
622192;40699;56909;0;0;2773;60045 
625314;40700;56909;0;0;2755;60046 
624870;40700;56909;0;0;2720;60046 
625527;40699;56909;0;0;2811;60045 
625855;40699;56909;0;0;2783;60045 
625886;40701;56910;0;0;2778;60047 
625108;40702;56909;0;0;2837;60048 
626382;40699;56909;0;0;2784;60045 
626113;40699;56909;0;0;2792;60045 
624496;40699;56909;0;0;2776;60045 
622471;40698;56909;0;0;2728;60044 
624408;40700;56909;0;0;2800;60046 
625652;40699;56909;0;0;2793;60045 
626933;40699;56909;0;0;2769;60045 
625397;40699;56909;0;0;2786;60045 
625014;40700;56909;0;0;2744;60046 
622024;40699;56909;0;0;2765;60045 
624993;40701;56910;0;0;2785;60047 
622584;40699;56909;0;0;2761;60045 
625932;40700;56909;0;0;2764;60046 
626347;40699;56909;0;0;2776;60045 
625457;40699;56909;0;0;2736;60045 
625599;40699;56909;0;0;2778;60045 
625551;40700;56909;0;0;2739;60046 
625271;40700;56909;0;0;2773;60046 
621720;40698;56909;0;0;2765;60044 
625878;40702;56909;0;0;2752;60048 
626352;40700;56910;0;0;2794;60047 
626605;40699;56909;0;0;2795;60045 
623236;40698;56909;0;0;2781;60044 
623014;40699;56909;0;0;2789;60045 
622101;40700;56910;0;0;2745;60046 
623410;40700;56909;0;0;2829;60046 
622873;40698;56909;0;0;2785;60044 
622136;40699;56909;0;0;2749;60045 
625669;40698;56909;0;0;2750;60044 
626427;40699;56909;0;0;2717;60045 
623363;40700;56909;0;0;2780;60046 
624436;40700;56909;0;0;2764;60046 
625043;40699;56909;0;0;2756;60045 
624289;40700;56909;0;0;2786;60046 
623842;40700;56909;0;0;2741;60046 
622644;40700;56909;0;0;2786;60046 
622101;40699;56909;0;0;2753;60045 
623582;40700;56909;0;0;2761;60046 
622889;40699;56909;0;0;2766;60045 
623822;40702;56909;0;0;2777;60048 
623990;40698;56909;0;0;2714;60044 
621795;40699;56909;0;0;2736;60045 
625740;40699;56909;0;0;2762;60045 
625561;40699;56909;0;0;2759;60045 
624942;40698;56909;0;0;2748;60044 
624441;40700;56909;0;0;2755;60046 
