CYCLES;0xC3;0xC4;0xC5;0xC6;0xC7;0xC8
624125;51762;0;0;0;0;0 
626742;48784;0;0;0;0;0 
625205;49837;0;0;0;0;0 
627269;48373;0;0;0;0;0 
626538;48731;0;0;0;0;0 
626712;66064;0;0;0;0;0 
624675;48178;0;0;0;0;0 
623640;49464;0;0;0;0;0 
626008;51741;0;0;0;0;0 
626616;48591;0;0;0;0;0 
624904;52309;0;0;0;0;0 
628043;50811;0;0;0;0;0 
625614;50817;0;0;0;0;0 
626696;51014;0;0;0;0;0 
626221;49330;0;0;0;0;0 
624991;48372;0;0;0;0;0 
625641;68837;0;0;0;0;0 
625820;48272;0;0;0;0;0 
627009;47442;0;0;0;0;0 
626077;44876;0;0;0;0;0 
624739;50391;0;0;0;0;0 
626867;68961;0;0;0;0;0 
627603;49522;0;0;0;0;0 
626483;62956;0;0;0;0;0 
627022;73443;0;0;0;0;0 
623497;48609;0;0;0;0;0 
624662;50962;0;0;0;0;0 
623724;48576;0;0;0;0;0 
626210;69910;0;0;0;0;0 
627036;46238;0;0;0;0;0 
623616;50965;0;0;0;0;0 
624157;49277;0;0;0;0;0 
623320;65430;0;0;0;0;0 
624645;54248;0;0;0;0;0 
626640;69842;0;0;0;0;0 
628656;49919;0;0;0;0;0 
627247;61757;0;0;0;0;0 
623230;49692;0;0;0;0;0 
627691;53278;0;0;0;0;0 
624181;49945;0;0;0;0;0 
626151;57998;0;0;0;0;0 
625807;57580;0;0;0;0;0 
627251;49247;0;0;0;0;0 
626240;51285;0;0;0;0;0 
624027;48442;0;0;0;0;0 
625983;50829;0;0;0;0;0 
627085;52483;0;0;0;0;0 
626450;50714;0;0;0;0;0 
626298;47170;0;0;0;0;0 
624493;48099;0;0;0;0;0 
624208;54039;0;0;0;0;0 
625073;48541;0;0;0;0;0 
625386;47002;0;0;0;0;0 
623266;55118;0;0;0;0;0 
627961;60126;0;0;0;0;0 
623897;52454;0;0;0;0;0 
628330;52575;0;0;0;0;0 
623633;63818;0;0;0;0;0 
626249;50891;0;0;0;0;0 
626665;64228;0;0;0;0;0 
625653;52358;0;0;0;0;0 
627058;53759;0;0;0;0;0 
625952;48408;0;0;0;0;0 
623968;49150;0;0;0;0;0 
626880;50339;0;0;0;0;0 
627453;61728;0;0;0;0;0 
624154;49032;0;0;0;0;0 
627619;54680;0;0;0;0;0 
624769;49109;0;0;0;0;0 
626578;49481;0;0;0;0;0 
626184;49224;0;0;0;0;0 
628154;48531;0;0;0;0;0 
626078;49437;0;0;0;0;0 
624248;53634;0;0;0;0;0 
625712;70304;0;0;0;0;0 
628608;48099;0;0;0;0;0 
627613;48534;0;0;0;0;0 
627406;48790;0;0;0;0;0 
627181;56239;0;0;0;0;0 
625778;51228;0;0;0;0;0 
626391;47696;0;0;0;0;0 
623931;54936;0;0;0;0;0 
623380;65243;0;0;0;0;0 
626637;48598;0;0;0;0;0 
627846;49031;0;0;0;0;0 
625620;71251;0;0;0;0;0 
625460;51164;0;0;0;0;0 
626578;58441;0;0;0;0;0 
625147;50311;0;0;0;0;0 
626140;50290;0;0;0;0;0 
623225;72732;0;0;0;0;0 
627215;48416;0;0;0;0;0 
623467;70931;0;0;0;0;0 
625664;48551;0;0;0;0;0 
626594;70458;0;0;0;0;0 
627406;54037;0;0;0;0;0 
624026;70811;0;0;0;0;0 
627030;49996;0;0;0;0;0 
627729;48330;0;0;0;0;0 
626120;50266;0;0;0;0;0 
626131;48376;0;0;0;0;0 
625609;49225;0;0;0;0;0 
626546;44913;0;0;0;0;0 
626349;51801;0;0;0;0;0 
626470;65384;0;0;0;0;0 
625962;68776;0;0;0;0;0 
625231;49653;0;0;0;0;0 
625491;50729;0;0;0;0;0 
627530;47933;0;0;0;0;0 
625471;48878;0;0;0;0;0 
625778;48427;0;0;0;0;0 
626314;48046;0;0;0;0;0 
626369;48409;0;0;0;0;0 
627675;72949;0;0;0;0;0 
626970;64517;0;0;0;0;0 
625056;48117;0;0;0;0;0 
627073;48511;0;0;0;0;0 
626523;70769;0;0;0;0;0 
626934;50823;0;0;0;0;0 
624523;49063;0;0;0;0;0 
627562;49563;0;0;0;0;0 
626288;70079;0;0;0;0;0 
626627;53195;0;0;0;0;0 
626520;58620;0;0;0;0;0 
624063;48293;0;0;0;0;0 
623031;50502;0;0;0;0;0 
626921;49546;0;0;0;0;0 
628725;67491;0;0;0;0;0 
626522;49383;0;0;0;0;0 
625716;48847;0;0;0;0;0 
625062;54766;0;0;0;0;0 
626226;50473;0;0;0;0;0 
627316;49520;0;0;0;0;0 
