CYCLES;0xC9;0xCA;0xCB;0xCC;0xD0;0xD1
623728;51650;1;1;2768;0;0 
622477;51650;0;0;2743;0;0 
622990;51650;1;1;2717;0;0 
623372;51650;1;1;2713;0;0 
622182;51650;1;1;2693;0;0 
625133;51651;1;1;2747;0;0 
625195;51650;1;1;2690;0;0 
626612;51650;1;1;2701;0;0 
623681;51650;1;1;2717;0;0 
626613;51650;1;1;2765;0;0 
626293;51650;1;1;2767;0;0 
626798;51650;1;1;2712;0;0 
623835;51650;1;1;2686;0;0 
625862;51650;1;1;2781;0;0 
624412;51650;1;1;2732;0;0 
622727;51650;1;1;2686;0;0 
625440;51650;1;1;2756;0;0 
625820;51650;1;1;2768;0;0 
626042;51650;0;0;2698;0;0 
624540;51650;1;1;2752;0;0 
623461;51650;1;1;2706;0;0 
626922;51650;1;1;2702;0;0 
624702;51650;1;1;2702;0;0 
625528;51650;1;1;2693;0;0 
624835;51650;1;1;2718;0;0 
625499;51651;1;1;2700;0;0 
623989;51650;1;1;2749;0;0 
627328;51650;1;1;2766;0;0 
626868;51650;1;1;2714;0;0 
623189;51650;1;1;2737;0;0 
626673;51651;0;0;2748;0;0 
624364;51650;1;1;2739;0;0 
625089;51650;1;1;2698;0;0 
626246;51650;1;1;2737;0;0 
627421;51650;1;1;2729;0;0 
623466;51650;1;1;2741;0;0 
626991;51650;0;0;2710;0;0 
623383;51650;1;1;2758;0;0 
622919;51650;1;1;2714;0;0 
624986;51650;1;1;2741;0;0 
625755;51650;1;1;2716;0;0 
625804;51650;1;1;2703;0;0 
625026;51650;1;1;2733;0;0 
623724;51650;1;1;2769;0;0 
622724;51650;1;1;2748;0;0 
623980;51650;1;1;2693;0;0 
623624;51650;1;1;2743;0;0 
622084;51650;1;1;2703;0;0 
623402;51650;1;1;2756;0;0 
625096;51650;1;1;2681;0;0 
623092;51650;1;1;2723;0;0 
623414;51650;1;1;2710;0;0 
624837;51650;1;1;2719;0;0 
622612;51651;1;1;2709;0;0 
622792;51650;1;1;2706;0;0 
622990;51650;1;1;2741;0;0 
623628;51650;1;1;2696;0;0 
627298;51650;1;1;2753;0;0 
623784;51650;1;1;2768;0;0 
625951;51650;1;1;2767;0;0 
625117;51650;1;1;2723;0;0 
626038;51650;1;1;2735;0;0 
622666;51650;1;1;2709;0;0 
624451;51650;1;1;2771;0;0 
622170;51650;1;1;2726;0;0 
623022;51650;1;1;2735;0;0 
623629;51650;1;1;2729;0;0 
624967;51650;1;1;2718;0;0 
623007;51650;1;1;2701;0;0 
626117;51650;1;1;2712;0;0 
622926;51650;1;1;2692;0;0 
626390;51651;1;1;2724;0;0 
624576;51650;1;1;2747;0;0 
622975;51650;1;1;2751;0;0 
626582;51650;1;1;2710;0;0 
625490;51650;1;1;2743;0;0 
624942;51650;1;1;2738;0;0 
627142;51650;1;1;2720;0;0 
624921;51650;1;1;2699;0;0 
625791;51650;1;1;2765;0;0 
626105;51650;1;1;2747;0;0 
625447;51650;1;1;2743;0;0 
624737;51650;1;1;2682;0;0 
626240;51651;1;1;2717;0;0 
624002;51650;1;1;2726;0;0 
623176;51650;1;1;2730;0;0 
626751;51650;1;1;2733;0;0 
624937;51652;1;1;2697;0;0 
624704;51650;1;1;2712;0;0 
622607;51650;1;1;2693;0;0 
627297;51650;1;1;2725;0;0 
624471;51651;1;1;2759;0;0 
622747;51650;1;1;2717;0;0 
626635;51651;1;1;2712;0;0 
625032;51650;1;1;2690;0;0 
625110;51650;1;1;2767;0;0 
626186;51650;1;1;2729;0;0 
623819;51650;1;1;2739;0;0 
622990;51651;1;1;2709;0;0 
622225;51650;1;1;2741;0;0 
623069;51650;1;1;2732;0;0 
622562;51650;1;1;2727;0;0 
625609;51650;1;1;2703;0;0 
625716;51650;1;1;2740;0;0 
625701;51650;1;1;2737;0;0 
623797;51650;1;1;2734;0;0 
628602;51650;0;0;2728;0;0 
625117;51650;1;1;2758;0;0 
625241;51650;1;1;2770;0;0 
625856;51650;1;1;2749;0;0 
627532;51650;1;1;2718;0;0 
623245;51650;1;1;2769;0;0 
627625;51650;0;0;2738;0;0 
626411;51650;1;1;2765;0;0 
626143;51650;1;1;2712;0;0 
623976;51651;1;1;2732;0;0 
623346;51650;1;1;2718;0;0 
624978;51650;1;1;2755;0;0 
626605;51650;1;1;2715;0;0 
625488;51650;1;1;2733;0;0 
627267;51650;1;1;2722;0;0 
623260;51650;1;1;2744;0;0 
625954;51650;1;1;2750;0;0 
626396;51650;1;1;2713;0;0 
627273;51650;1;1;2726;0;0 
627353;51650;1;1;2737;0;0 
623672;51650;1;1;2728;0;0 
625960;51651;1;1;2756;0;0 
626542;51650;1;1;2732;0;0 
623226;51650;1;1;2751;0;0 
625465;51650;1;1;2743;0;0 
622972;51650;1;1;2704;0;0 
627106;51650;1;1;2713;0;0 
623103;51650;1;1;2702;0;0 
623631;51650;1;1;2710;0;0 
625793;51650;1;1;2746;0;0 
626442;51650;1;1;2726;0;0 
623310;51650;1;1;2704;0;0 
627502;51650;1;1;2742;0;0 
626749;51650;1;1;2761;0;0 
623080;51650;1;1;2762;0;0 
626767;51650;1;1;2714;0;0 
622556;51650;1;1;2726;0;0 
626240;51650;1;1;2744;0;0 
624303;51650;1;1;2758;0;0 
625873;51650;1;1;2746;0;0 
626238;51650;1;1;2718;0;0 
624238;51650;1;1;2703;0;0 
623072;51650;1;1;2705;0;0 
627080;51650;1;1;2721;0;0 
626575;51650;1;1;2750;0;0 
625115;51650;1;1;2722;0;0 
622357;51650;1;1;2727;0;0 
622126;51650;1;1;2705;0;0 
623047;51650;1;1;2744;0;0 
622862;51650;1;1;2689;0;0 
625114;51650;1;1;2732;0;0 
625766;51650;1;1;2681;0;0 
622630;51650;1;1;2709;0;0 
626257;51650;1;1;2748;0;0 
623087;51650;1;1;2741;0;0 
626399;51651;1;1;2749;0;0 
626009;51650;1;1;2712;0;0 
623324;51650;1;1;2767;0;0 
625855;51650;1;1;2735;0;0 
624715;51651;1;1;2710;0;0 
624747;51650;1;1;2738;0;0 
627266;51650;1;1;2748;0;0 
625398;51650;1;1;2728;0;0 
624829;51650;1;1;2771;0;0 
626351;51650;1;1;2712;0;0 
623168;51650;1;1;2773;0;0 
625694;51650;1;1;2692;0;0 
625163;51650;1;1;2740;0;0 
622653;51650;1;1;2736;0;0 
624581;51650;1;1;2741;0;0 
623793;51650;1;1;2750;0;0 
623589;51650;1;1;2751;0;0 
622639;51650;1;1;2710;0;0 
625587;51650;1;1;2735;0;0 
623603;51650;1;1;2676;0;0 
622722;51650;1;1;2720;0;0 
625487;51650;1;1;2701;0;0 
623364;51650;1;1;2734;0;0 
625834;51650;1;1;2682;0;0 
627896;51650;1;1;2763;0;0 
626168;51650;1;1;2722;0;0 
627676;51650;1;1;2700;0;0 
