CYCLES;0xE5;0xE6;0xE7;0xE8;0xE0;0xE1
627637;2672;202690;3115;7;12082;9803 
622591;2677;203206;2377;2;11982;4844 
623630;2673;202767;2465;2;11943;6368 
623292;2675;202636;2829;2;11913;5949 
624176;2672;202732;2571;5;12105;7107 
624115;2674;202679;3496;2;11857;6302 
625125;2670;202672;3627;2;11831;7113 
624033;2666;203176;2371;8;11860;6640 
622494;2676;202698;2858;0;11833;5203 
623287;2675;202612;3117;4;11984;5508 
622048;2677;202647;2850;0;11788;4973 
626904;2662;203090;2790;6;12060;9129 
624429;2674;202676;3800;0;11882;6100 
626032;2671;202678;4095;4;11975;7426 
625204;2674;202633;3924;0;11873;6669 
623315;2671;202734;2666;4;11866;6251 
624485;2675;202666;2636;2;11856;7468 
626044;2673;202634;4035;4;11944;7742 
625353;2678;202718;5167;5;11780;6055 
625362;2676;202763;3603;7;12452;6627 
626565;2672;202681;4321;5;11984;7959 
623474;2679;202665;3653;4;11958;5225 
625887;2668;202633;4233;0;11681;7880 
625438;2665;202645;2647;2;12794;7539 
623073;2669;202730;2886;2;12106;5570 
626418;2677;202654;3035;2;11965;8955 
625851;2675;202677;2797;0;11817;8747 
622740;2681;202676;2820;0;11996;5128 
626154;2674;202655;3556;5;11857;8185 
625878;2680;202659;3133;0;11949;8237 
622917;2666;202686;2647;2;11793;6015 
624454;2665;202917;2744;4;12764;6620 
626414;2666;202981;3290;4;11864;8527 
624852;2675;202652;3024;0;11891;7427 
623940;2675;202872;2486;4;12856;5674 
623436;2680;202672;3088;0;12004;5724 
622642;2674;203186;1994;4;11879;5794 
622972;2676;202678;2993;0;11956;5316 
626897;2674;202981;3494;7;12040;8316 
622670;2675;202659;2605;0;11784;5775 
622941;2673;202615;2628;10;11683;6450 
622329;2668;202688;2651;0;11809;5249 
624077;2674;202826;2981;6;11963;6140 
623284;2677;202657;4257;0;11710;5307 
624546;2676;202705;2814;4;11962;7053 
625509;2672;202714;2792;0;12065;7704 
623070;2670;202706;2975;6;11827;5637 
622778;2673;202662;2872;0;11662;6145 
623386;2675;203068;3514;4;11893;5207 
626156;2675;202682;3652;0;11952;7960 
625961;2672;202810;2658;4;12042;8264 
626859;2678;203167;2884;2;12092;8712 
625147;2670;203049;2560;4;12098;7473 
625348;2671;202656;2871;0;11893;8013 
626000;2678;202589;4349;7;12004;6970 
622532;2678;202670;2598;0;11967;5310 
623242;2670;202783;2578;4;11934;5783 
626712;2670;202636;3738;0;11849;8772 
622061;2671;203175;2247;4;11974;4805 
624991;2680;202634;2657;0;11870;7982 
626176;2672;202710;2654;4;11933;8908 
626005;2674;202655;5259;0;11684;6793 
624233;2670;202804;2416;4;11711;7569 
625885;2673;202629;2664;0;11902;8615 
626411;2671;202740;3482;4;11884;8368 
626338;2670;202714;4150;2;11840;7799 
623399;2677;202776;2984;4;12036;5412 
622924;2670;202755;2470;2;12506;5613 
623226;2676;202624;3038;2;11881;5783 
622638;2669;202794;2532;2;11781;5799 
622230;2674;202746;2264;4;11866;5294 
623717;2672;203198;2289;7;12195;6045 
623383;2668;202618;2852;4;11923;6072 
622648;2670;202662;3087;0;11792;5228 
624366;2672;202627;2752;4;12412;6642 
623778;2677;202657;3676;0;11950;5345 
627222;2667;202684;4631;2;11930;8214 
624708;2667;202690;3578;0;11885;6645 
626077;2661;202736;3910;8;12099;7385 
625920;2677;202698;2748;0;12064;8184 
628749;2674;202654;5266;6;11837;9455 
622117;2671;202653;2999;0;11776;4912 
627571;2674;203186;4320;8;12100;7880 
622794;2673;202681;2724;0;11918;5565 
622514;2671;202637;2840;4;11836;5259 
624118;2679;202672;3058;2;11962;6415 
625392;2671;202651;3861;7;11834;7238 
624869;2672;202641;2938;2;11753;7731 
623040;2666;203109;2822;4;11823;5598 
625934;2679;202610;4000;0;11931;7336 
628390;2675;202666;3722;4;13601;8393 
625661;2672;202671;3972;2;11814;7486 
624694;2675;202669;3418;4;11992;6629 
625215;2675;202632;2641;0;11816;8405 
625243;2666;203061;2598;4;13517;6342 
625622;2667;202640;3150;0;11642;8797 
623183;2671;202828;3284;4;11876;5248 
624024;2671;202651;2691;0;11738;7353 
627353;2670;202652;3065;2;13002;8666 
622970;2676;202623;2560;0;11939;5924 
624519;2673;202681;3120;4;11819;7099 
622330;2679;202662;2596;0;11945;5324 
627794;2674;202700;3923;6;12163;8875 
621627;2671;202757;2577;2;11708;4807 
626417;2675;203157;2758;7;11914;8606 
626936;2679;202676;4667;2;12061;7173 
